Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
e944ea63-fa15-4664-bd23-a446e44f16a3,2,05-03-2019_13-02-59,A4,36,0.0,24978x8,111992,13:01:07.592,13:02:59.615,4.521099,221.18515,µV,1551787108461,1551787379615,
Stimuli appearance,4010.0,7007.0,10012.0,13003.0,16011.0,19012.0,22011.0,25015.0,28001.0,31008.0,34006.0,37017.0,40020.0,43011.0,46025.0,49013.0,52014.0,55008.0,58023.0,61007.0,64009.0,67015.0,70009.0,73015.0,76018.0,79018.0,82012.0,85014.0,88026.0,91012.0,94024.0,97020.0,100020.0,103015.0,106020.0,109022.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-12.487793,27.191162,-263.85498,235.2539,15.710449,412.29858,12.890625,-35.650635,silence,0.0,
15.0,229.21143,126.89209,-412.29858,181.87866,73.11401,412.29858,23.76709,-82.37915,silence,0.0,
16.0,86.60889,-2.0141602,57.806396,-133.13599,10.876465,-412.5,33.43506,-30.212402,silence,0.0,
18.0,-175.43335,-130.11475,-412.5,-220.34912,-58.813477,-412.5,33.636475,11.883545,silence,0.0,
19.0,-119.64111,-33.233643,58.007812,73.71826,-31.018066,67.27295,27.191162,-23.565674,silence,0.0,
20.0,156.09741,116.41846,-412.29858,260.2295,51.361084,412.29858,20.544434,-75.531006,silence,0.0,
22.0,202.4231,78.552246,-225.98877,-15.509033,43.304443,181.27441,10.473633,-41.693115,silence,0.0,
23.0,-94.86694,-97.48535,-412.5,-238.27515,-41.290283,-412.5,34.44214,2.6184082,silence,0.0,
25.0,-208.06274,-114.80713,-412.5,-90.83862,-53.17383,-412.5,32.42798,6.4453125,silence,0.0,
30.0,-3.6254883,55.993652,-333.1421,241.09497,21.954346,412.29858,10.675049,-48.94409,silence,0.0,
31.0,212.29248,131.12183,-412.29858,161.13281,70.89844,412.29858,9.466553,-69.08569,silence,0.0,
33.0,55.792236,-8.459473,114.80713,-174.62769,2.2155762,-412.5,15.911865,-7.6538086,silence,0.0,
52.0,-202.02026,-129.30908,-412.5,-208.86841,-66.87012,-412.5,19.73877,32.42798,silence,0.0,
54.0,-116.82129,-16.113281,25.378418,92.248535,-28.399658,224.37744,28.198242,-24.77417,silence,0.0,
56.0,153.27759,127.29492,-412.29858,248.74878,55.59082,412.29858,17.120361,-66.26587,silence,0.0,
57.0,179.8645,63.24463,-158.71582,-43.304443,50.354004,91.8457,16.918945,-49.145508,silence,0.0,
59.0,-113.1958,-117.22412,-412.5,-247.33887,-44.311523,-412.5,42.095947,10.876465,silence,0.0,
61.0,-210.47974,-121.85669,364.96582,-50.958252,-49.54834,-345.42847,39.88037,4.6325684,silence,0.0,
