Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
6e05b9d8-1252-48d6-90a1-e65e3c3815c0,4,05-03-2019_13-07-45,A4,36,0.0,24986x8,112007,13:05:53.954,13:07:45.979,4.512887,221.58765,µV,1551787396477,1551787665979,
Stimuli appearance,4017.0,7016.0,10021.0,13019.0,16023.0,19018.0,22023.0,25015.0,28019.0,31025.0,34020.0,37035.0,40026.0,43025.0,46032.0,49029.0,52023.0,55025.0,58030.0,61029.0,64028.0,67021.0,70027.0,73042.0,76025.0,79032.0,82026.0,85027.0,88022.0,91028.0,94021.0,97020.0,100034.0,103029.0,106028.0,109027.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,165.9668,-83.38623,332.135,-238.07373,99.70093,-412.5,-26.989746,56.19507,silence,0.0,
1.0,68.68286,-95.06836,319.04297,-114.60571,14.099121,-383.89893,-21.551514,64.85596,silence,0.0,
2.0,58.20923,33.83789,-221.75903,215.51514,-104.937744,412.29858,-23.162842,22.76001,silence,0.0,
4.0,150.25635,102.72217,-378.05786,168.78662,-49.346924,412.29858,-28.399658,12.487793,silence,0.0,
18.0,167.37671,-7.6538086,67.8772,-138.77563,90.234375,-412.5,-17.120361,57.403564,silence,0.0,
20.0,76.7395,-105.340576,409.68018,-214.91089,76.7395,-412.5,-22.155762,52.972412,silence,0.0,
31.0,16.113281,-29.003906,26.989746,65.66162,-50.756836,141.39404,-15.509033,24.371338,silence,0.0,
56.0,52.56958,99.90234,-391.95557,242.10205,-98.291016,412.29858,-68.68286,-13.092041,silence,0.0,
58.0,130.92041,67.27295,-151.66626,-20.947266,35.44922,146.83228,-25.378418,-5.6396484,silence,0.0,
60.0,67.474365,-78.75366,347.44263,-236.86523,106.14624,-412.5,-38.47046,53.979492,silence,0.0,
62.0,-43.50586,-78.75366,295.4773,-80.76782,4.6325684,-280.16968,-22.558594,50.958252,silence,0.0,
63.0,-51.159668,66.06445,-269.89746,225.98877,-100.50659,412.29858,-4.0283203,-0.80566406,silence,0.0,
64.0,18.73169,127.697754,-359.32617,147.63794,-36.85913,412.29858,-11.077881,9.869385,silence,0.0,
65.0,8.056641,21.350098,102.72217,-174.22485,94.46411,-412.5,-23.162842,37.060547,silence,0.0,
67.0,-79.76074,-79.96216,399.60938,-202.22168,67.67578,-412.5,-34.44214,70.09277,silence,0.0,
