Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
cbe12713-d405-43c8-aa9d-3bcfbf87ad98,5,05-03-2019_13-10-09,A4,36,0.0,24985x8,112008,13:08:17.541,13:10:09.571,4.5099025,221.73428,µV,1551787553972,1551787809572,
Stimuli appearance,4011.0,7019.0,10013.0,13020.0,16013.0,19019.0,22017.0,25020.0,28024.0,31014.0,34019.0,37018.0,40018.0,43026.0,46025.0,49023.0,52022.0,55026.0,58028.0,61013.0,64027.0,67017.0,70021.0,73020.0,76021.0,79020.0,82028.0,85031.0,88025.0,91035.0,94025.0,97027.0,100030.0,103022.0,106033.0,109023.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.5,-27.79541,-412.29858,189.33105,-45.117188,412.29858,28.601074,-81.170654,silence,0.0,
2.0,130.51758,1.4099121,49.749756,-115.61279,74.32251,-412.5,41.89453,-6.2438965,silence,0.0,
4.0,-311.18774,20.343018,-412.5,-240.69214,69.89136,-412.5,50.55542,3.0212402,silence,0.0,
6.0,-169.18945,-17.321777,54.18091,46.124268,-41.290283,43.304443,37.664795,-21.954346,silence,0.0,
21.0,350.26245,-38.671875,-412.29858,246.93604,-89.02588,412.29858,45.52002,-76.33667,silence,0.0,
24.0,380.27344,-22.76001,-194.56787,12.084961,20.947266,164.7583,43.304443,-57.403564,silence,0.0,
26.0,-158.71582,17.120361,379.46777,-253.9856,86.8103,-412.5,44.714355,0.40283203,silence,0.0,
27.0,-331.9336,8.862305,356.70776,-123.46802,11.077881,-412.5,27.79541,31.622314,silence,0.0,
29.0,72.9126,-23.162842,-265.66772,224.98169,-92.85278,412.29858,36.254883,-78.75366,silence,0.0,
30.0,-412.5,-19.940186,-407.26318,179.66309,-33.032227,412.29858,24.169922,-77.74658,silence,0.0,
31.0,92.44995,11.480713,85.40039,-149.85352,79.35791,-412.5,18.127441,-19.335938,silence,0.0,
32.0,-332.135,21.551514,-412.5,-226.79443,71.30127,-412.5,48.54126,-3.4240723,silence,0.0,
37.0,-131.52466,-13.293457,19.335938,67.474365,-48.138428,176.23901,27.996826,-56.19507,silence,0.0,
39.0,349.25537,-32.42798,-412.29858,248.34595,-83.58765,412.29858,19.335938,-95.67261,silence,0.0,
55.0,332.53784,-12.286377,-138.97705,-26.989746,35.44922,73.516846,55.59082,-77.34375,silence,0.0,
57.0,-221.3562,21.148682,391.1499,-264.86206,92.44995,-412.5,53.778076,16.918945,silence,0.0,
59.0,-339.386,10.070801,318.64014,-96.276855,6.8481445,-351.26953,40.283203,-6.6467285,silence,0.0,
60.0,101.312256,-17.926025,-315.41748,245.3247,-92.65137,412.29858,30.81665,-75.128174,silence,0.0,
62.0,-412.5,-11.682129,-388.12866,161.13281,-29.80957,412.29858,29.003906,-96.47827,silence,0.0,
63.0,50.55542,15.106201,147.2351,-187.3169,84.191895,-412.5,39.074707,-31.82373,silence,0.0,
75.0,-362.75024,16.918945,-412.5,-215.91797,53.17383,-412.5,42.90161,4.2297363,silence,0.0,
77.0,-108.1604,-17.120361,-4.2297363,80.96924,-53.979492,308.97217,35.650635,-34.240723,silence,0.0,
79.0,355.09644,-30.010986,-412.29858,242.10205,-79.76074,412.29858,43.50586,-70.69702,silence,0.0,
81.0,283.59375,-0.60424805,-95.47119,-41.693115,36.053467,7.0495605,35.247803,-59.21631,silence,0.0,
92.0,-263.65356,20.544434,399.8108,-257.61108,89.227295,-412.5,31.622314,10.272217,silence,0.0,
94.0,-338.58032,6.8481445,269.49463,-54.986572,-10.876465,-256.604,13.494873,-1.0070801,silence,0.0,
96.0,157.10449,-32.83081,-346.63696,247.94312,-87.41455,412.29858,26.385498,-60.424805,silence,0.0,
97.0,404.04053,-22.76001,-369.19556,142.1997,-16.71753,412.29858,43.304443,-69.488525,silence,0.0,
98.0,6.2438965,17.523193,208.46558,-211.08398,92.85278,-412.5,50.958252,-11.077881,silence,0.0,
100.0,-388.33008,13.293457,-412.5,-196.78345,48.339844,-412.5,62.64038,-7.8552246,silence,0.0,
101.0,-92.44995,-16.516113,-35.247803,106.54907,-66.87012,408.8745,51.361084,-43.707275,silence,0.0,
109.0,367.3828,-31.82373,-412.29858,242.10205,-70.495605,412.29858,47.93701,-88.62305,silence,0.0,
111.0,222.16187,-2.4169922,-52.166748,-57.000732,46.5271,-85.60181,51.965332,-42.700195,silence,0.0,
129.0,-308.56934,19.134521,-412.5,-255.59692,84.79614,-412.5,47.93701,7.8552246,silence,0.0,
142.0,-337.97607,4.2297363,202.4231,-11.480713,-22.558594,-206.85425,49.346924,0.40283203,silence,0.0,
143.0,202.62451,-22.558594,-364.563,246.33179,-91.8457,412.29858,43.90869,-86.40747,silence,0.0,
146.0,378.25928,-9.265137,-355.49927,123.065186,-9.265137,379.46777,44.714355,-68.28003,silence,0.0,
148.0,-39.47754,15.106201,266.4734,-238.47656,91.04004,-412.5,28.198242,-6.6467285,silence,0.0,
158.0,-405.0476,18.127441,402.4292,-186.91406,45.721436,-412.5,25.378418,5.2368164,silence,0.0,
160.0,-64.25171,-13.696289,-69.89136,138.3728,-71.7041,412.29858,29.80957,-51.965332,silence,0.0,
162.0,374.43237,-18.530273,-412.29858,217.12646,-63.043213,412.29858,38.87329,-78.552246,silence,0.0,
163.0,172.00928,6.4453125,-7.4523926,-82.58057,49.95117,-193.35938,32.42798,-47.332764,silence,0.0,
175.0,-326.49536,20.74585,-412.5,-255.79834,82.177734,-412.5,43.90869,-2.2155762,silence,0.0,
176.0,-317.43164,-6.4453125,153.68042,3.4240723,-27.996826,-144.6167,21.551514,-19.73877,silence,0.0,
191.0,255.99976,-21.75293,-376.84937,242.30347,-84.99756,412.29858,16.314697,-40.88745,silence,0.0,
193.0,366.17432,-6.0424805,-310.7849,73.31543,3.4240723,370.60547,-16.71753,-37.261963,silence,0.0,
194.0,-87.01172,13.696289,318.43872,-246.73462,86.8103,-412.5,12.286377,-0.80566406,silence,0.0,
196.0,-402.83203,10.473633,390.74707,-173.21777,30.212402,-412.5,34.240723,13.897705,silence,0.0,
198.0,-31.018066,-13.293457,-121.85669,175.03052,-85.60181,412.29858,47.735596,-48.138428,silence,0.0,
199.0,399.60938,-17.120361,-412.29858,206.04858,-57.806396,412.29858,30.413818,-72.509766,silence,0.0,
201.0,131.12183,7.4523926,17.72461,-98.291016,53.979492,-331.32935,40.48462,-42.297363,silence,0.0,
209.0,-345.62988,23.162842,-412.5,-251.36719,78.75366,-412.5,53.375244,6.4453125,silence,0.0,
211.0,-269.49463,-3.0212402,102.52075,29.80957,-32.83081,-84.191895,51.159668,-0.20141602,silence,0.0,
212.0,294.4702,-22.357178,-389.74,250.15869,-90.43579,412.29858,35.44922,-79.76074,silence,0.0,
213.0,366.57715,-8.258057,-261.84082,42.700195,9.667969,249.95728,18.328857,-38.87329,silence,0.0,
215.0,-144.81812,14.099121,347.64404,-252.17285,84.191895,-412.5,22.155762,-21.75293,silence,0.0,
226.0,-391.75415,9.869385,380.27344,-156.50024,27.191162,-412.5,89.83154,-1.4099121,silence,0.0,
242.0,-1.8127441,-14.300537,-194.36646,206.65283,-84.59473,412.29858,61.23047,-42.297363,silence,0.0,
244.0,-412.5,-8.862305,-412.29858,199.20044,-48.339844,412.29858,44.51294,-94.86694,silence,0.0,
259.0,97.68677,12.286377,48.138428,-120.043945,75.73242,-412.5,41.693115,-40.686035,silence,0.0,
261.0,-360.9375,8.459473,-412.5,-244.31763,73.31543,-412.5,37.261963,16.918945,silence,0.0,
262.0,-212.29248,-8.258057,62.23755,47.332764,-46.325684,46.92993,15.307617,-12.689209,silence,0.0,
264.0,325.8911,-18.933105,-409.8816,246.73462,-82.37915,412.29858,29.406738,-49.54834,silence,0.0,
265.0,352.47803,-3.4240723,-195.37354,4.2297363,30.81665,188.32397,9.869385,-19.73877,silence,0.0,
266.0,-203.43018,21.148682,376.24512,-251.16577,88.82446,-412.5,30.615234,31.018066,silence,0.0,
267.0,-379.06494,6.0424805,359.729,-128.302,16.314697,-412.5,33.233643,19.940186,silence,0.0,
276.0,35.44922,-8.258057,-246.93604,223.57178,-90.43579,412.29858,30.615234,-57.60498,silence,0.0,
278.0,-412.5,-7.6538086,-395.58105,177.44751,-42.700195,412.29858,23.76709,-71.7041,silence,0.0,
279.0,61.23047,13.494873,86.00464,-145.62378,73.31543,-412.5,36.85913,-40.283203,silence,0.0,
280.0,-378.6621,15.509033,-412.5,-222.36328,63.446045,-412.5,-8.660889,12.487793,silence,0.0,
292.0,-171.80786,-5.4382324,26.78833,64.25171,-49.95117,161.93848,31.82373,-8.862305,silence,0.0,
294.0,329.71802,-17.523193,-412.29858,252.7771,-82.37915,412.29858,21.954346,-74.72534,silence,0.0,
309.0,314.20898,-4.4311523,-138.17139,-17.72461,27.593994,110.57739,36.254883,-56.799316,silence,0.0,
311.0,-252.97852,21.954346,387.12158,-253.9856,84.99756,-412.5,39.276123,13.897705,silence,0.0,
313.0,-376.0437,11.480713,324.07837,-91.44287,-2.8198242,-335.15625,24.572754,28.399658,silence,0.0,
316.0,77.948,-3.0212402,-304.94385,238.07373,-101.71509,412.29858,23.968506,-33.83789,silence,0.0,
326.0,400.21362,-3.6254883,-382.69043,162.34131,-36.254883,412.29858,52.166748,-65.86304,silence,0.0,
329.0,26.184082,15.710449,146.63086,-181.67725,76.33667,-412.5,55.389404,-29.003906,silence,0.0,
331.0,-405.0476,23.968506,-412.5,-212.69531,50.152588,-412.5,60.021973,14.300537,silence,0.0,
332.0,-141.59546,2.2155762,2.0141602,79.76074,-62.036133,271.10596,55.389404,-16.113281,silence,0.0,
334.0,338.1775,-8.056641,-412.29858,253.38135,-83.58765,412.29858,46.92993,-63.848877,silence,0.0,
342.0,266.07056,6.6467285,-90.63721,-42.49878,30.413818,38.067627,43.50586,-32.42798,silence,0.0,
344.0,-292.05322,31.219482,397.3938,-254.18701,80.76782,-412.5,20.141602,20.544434,silence,0.0,
345.0,-368.99414,15.307617,277.9541,-56.799316,-15.911865,-260.63232,27.79541,7.2509766,silence,0.0,
