Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
012fa5a7-a6ba-475c-9b96-6bcb6e12de0f,1,05-03-2019_12-52-49,A4,36,0.0,24991x8,111998,12:50:57.826,12:52:49.859,4.5827065,218.21167,µV,0,1551786769860,
Stimuli appearance,4027.0,7005.0,10002.0,13005.0,15997.0,19007.0,22002.0,25001.0,28008.0,31008.0,34010.0,37001.0,40007.0,43014.0,46002.0,49019.0,52011.0,55013.0,58005.0,61009.0,63998.0,67008.0,70001.0,73012.0,76016.0,79011.0,82017.0,85010.0,88013.0,91021.0,94006.0,97020.0,100003.0,103014.0,106016.0,109015.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,110.37598,74.92676,-405.0476,211.08398,93.255615,412.29858,10.473633,-32.83081,silence,0.0,
2.0,-412.5,87.61597,-412.29858,85.80322,120.44678,412.29858,-1.6113281,-47.131348,silence,0.0,
21.0,50.55542,-26.78833,245.72754,-202.22168,-63.24463,-412.5,0.80566406,21.75293,silence,0.0,
23.0,-412.29858,-92.65137,-412.5,-132.33032,-126.28784,-412.5,20.947266,53.375244,silence,0.0,
25.0,-150.25635,5.4382324,-56.396484,124.87793,15.106201,407.06177,-0.40283203,6.8481445,silence,0.0,
27.0,383.29468,95.06836,-412.29858,175.23193,129.30908,412.29858,-4.8339844,-50.152588,silence,0.0,
29.0,298.0957,17.523193,-65.25879,-81.97632,30.010986,-6.2438965,-2.8198242,-8.056641,silence,0.0,
31.0,-302.9297,-79.559326,-412.5,-207.05566,-119.4397,-412.5,24.169922,39.074707,silence,0.0,
33.0,-408.27026,-53.375244,233.23975,33.032227,-56.19507,-241.29639,29.205322,14.904785,silence,0.0,
35.0,180.26733,71.30127,-412.29858,207.4585,98.49243,412.29858,8.258057,-50.756836,silence,0.0,
37.0,-412.5,82.177734,-412.29858,63.24463,93.45703,412.29858,14.099121,-53.17383,silence,0.0,
