Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
6725c9a3-48fa-4f5c-842b-7b8c975f611d,3,05-03-2019_13-05-08,A4,36,0.0,24980x8,112001,13:03:16.450,13:05:08.477,4.516971,221.3873,µV,1551787267623,1551787508478,
Stimuli appearance,4014.0,7010.0,10006.0,13003.0,16011.0,19010.0,22013.0,25016.0,28014.0,31010.0,34005.0,37011.0,40015.0,43016.0,46014.0,49012.0,52019.0,55011.0,58018.0,61009.0,64016.0,67019.0,70016.0,73021.0,76029.0,79019.0,82017.0,85010.0,88024.0,91018.0,94013.0,97017.0,100023.0,103026.0,106023.0,109025.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-36.254883,-22.357178,-29.80957,106.14624,-81.97632,412.29858,-36.053467,29.003906,silence,0.0,
2.0,63.043213,95.06836,-409.68018,228.20435,-78.149414,412.29858,-33.43506,-11.883545,silence,0.0,
4.0,97.283936,24.975586,-52.770996,-59.61914,48.54126,-63.24463,6.0424805,0.60424805,silence,0.0,
6.0,10.272217,-102.923584,383.6975,-240.49072,85.198975,-412.5,8.056641,58.813477,silence,0.0,
7.0,-57.806396,-80.56641,195.17212,-12.084961,-31.622314,-163.75122,-18.933105,48.742676,silence,0.0,
21.0,4.6325684,74.32251,-328.91235,228.40576,-100.10376,412.29858,-30.81665,-4.2297363,silence,0.0,
23.0,87.41455,97.283936,-322.86987,111.18164,-11.480713,412.29858,-22.357178,-3.0212402,silence,0.0,
26.0,51.763916,-47.93701,242.7063,-225.58594,92.44995,-412.5,-19.335938,55.993652,silence,0.0,
28.0,-54.785156,-125.48218,384.10034,-169.59229,35.44922,-412.5,-21.350098,83.99048,silence,0.0,
52.0,-48.339844,-4.4311523,-55.59082,134.34448,-92.248535,412.29858,-30.81665,21.148682,silence,0.0,
54.0,56.5979,115.41138,-404.04053,203.63159,-69.68994,412.29858,-74.32251,-4.4311523,silence,0.0,
56.0,74.72534,16.918945,-12.689209,-68.68286,45.318604,-99.09668,-75.93384,86.60889,silence,0.0,
58.0,-14.099121,-114.80713,395.37964,-238.8794,82.58057,-412.5,-78.552246,91.44287,silence,0.0,
60.0,-65.05737,-79.96216,144.6167,21.551514,-42.700195,-110.37598,-11.077881,71.502686,silence,0.0,
62.0,14.300537,90.43579,-340.39307,228.00293,-95.47119,412.29858,-34.643555,1.6113281,silence,0.0,
64.0,98.291016,96.276855,-295.4773,73.31543,3.2226562,324.07837,-47.93701,19.335938,silence,0.0,
66.0,36.4563,-69.28711,287.01782,-229.01001,89.63013,-412.5,-83.184814,90.234375,silence,0.0,
67.0,-66.87012,-122.66235,355.29785,-155.29175,23.968506,-412.5,-65.66162,114.20288,silence,0.0,
69.0,-41.89453,6.0424805,-106.54907,165.16113,-94.262695,412.29858,-70.69702,60.827637,silence,0.0,
70.0,61.834717,129.10767,-396.38672,193.35938,-64.05029,412.29858,-76.538086,21.551514,silence,0.0,
72.0,72.9126,11.077881,7.4523926,-87.81738,60.22339,-261.23657,-77.545166,67.67578,silence,0.0,
73.0,-27.593994,-122.86377,405.65186,-227.6001,69.28711,-412.5,-63.043213,100.909424,silence,0.0,
75.0,-71.30127,-59.014893,92.248535,41.4917,-49.346924,-22.155762,-46.92993,82.177734,silence,0.0,
82.0,29.003906,98.0896,-357.312,238.47656,-99.09668,412.29858,-68.481445,24.975586,silence,0.0,
84.0,92.85278,87.81738,-244.31763,37.86621,9.667969,251.97144,-66.06445,38.671875,silence,0.0,
86.0,20.141602,-85.40039,317.83447,-232.6355,90.03296,-412.5,-53.57666,85.60181,silence,0.0,
