Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
7891c3b0-d974-498c-8be1-7b5a4afaee9a,1,05-03-2019_13-12-27,A5,36,0.0,24981x8,111999,13:10:35.840,13:12:27.871,4.5077353,221.84088,µV,1551787697564,1551787947871,
Stimuli appearance,4013.0,7005.0,10013.0,13007.0,16009.0,19009.0,22014.0,25008.0,28011.0,31014.0,34007.0,37008.0,40011.0,43010.0,46017.0,49014.0,52016.0,55013.0,58011.0,61013.0,64020.0,67017.0,70011.0,73016.0,76017.0,79017.0,82015.0,85017.0,88008.0,91012.0,94020.0,97019.0,100011.0,103017.0,106020.0,109014.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,265.86914,13.092041,-287.42065,67.27295,1.8127441,315.6189,15.106201,-57.806396,silence,0.0,
2.0,-126.48926,56.19507,280.97534,-227.19727,119.4397,-412.5,21.350098,0.40283203,silence,0.0,
4.0,-412.29858,51.5625,349.05396,-154.6875,44.51294,-412.5,22.76001,13.696289,silence,0.0,
6.0,-101.312256,18.73169,-129.30908,175.43335,-104.73633,412.29858,15.106201,-48.54126,silence,0.0,
21.0,286.01074,0.40283203,-396.78955,195.37354,-74.32251,412.29858,9.265137,-75.128174,silence,0.0,
24.0,66.467285,31.219482,6.2438965,-82.9834,66.26587,-315.6189,6.2438965,-2.2155762,silence,0.0,
30.0,-338.3789,51.965332,396.1853,-232.43408,106.34766,-412.5,11.883545,28.601074,silence,0.0,
31.0,-284.3994,20.947266,78.75366,39.47754,-43.103027,-23.364258,8.862305,-2.6184082,silence,0.0,
33.0,193.96362,-1.0070801,-364.7644,244.72046,-113.39722,412.29858,7.2509766,-68.07861,silence,0.0,
34.0,267.27905,5.6396484,-234.04541,35.650635,14.099121,229.21143,5.6396484,-37.86621,silence,0.0,
36.0,-174.42627,45.52002,309.97925,-231.02417,116.41846,-412.5,-0.40283203,15.710449,silence,0.0,
37.0,-384.10034,47.735596,326.69678,-132.33032,33.43506,-412.5,3.2226562,22.76001,silence,0.0,
39.0,-53.778076,7.2509766,-195.57495,214.70947,-116.015625,412.29858,3.8269043,-30.010986,silence,0.0,
40.0,307.9651,4.2297363,-391.1499,186.30981,-65.25879,412.29858,11.883545,-71.7041,silence,0.0,
42.0,49.145508,36.85913,31.420898,-111.987305,88.82446,-412.5,19.940186,-25.78125,silence,0.0,
51.0,-340.7959,46.728516,398.6023,-218.33496,90.63721,-412.5,15.911865,31.219482,silence,0.0,
53.0,-221.96045,12.890625,50.756836,54.18091,-53.17383,57.000732,16.71753,-8.862305,silence,0.0,
54.0,233.64258,-17.523193,-380.07202,241.90063,-114.001465,412.29858,14.703369,-64.453125,silence,0.0,
56.0,280.5725,-1.6113281,-180.87158,1.6113281,23.968506,138.3728,19.73877,-59.21631,silence,0.0,
57.0,-190.53955,39.678955,332.73926,-235.05249,116.21704,-412.5,31.82373,15.509033,silence,0.0,
59.0,-340.19165,24.169922,311.9934,-103.326416,20.141602,-412.5,26.586914,11.883545,silence,0.0,
76.0,19.940186,-11.682129,-244.51904,222.76611,-122.25952,412.29858,14.300537,-63.043213,silence,0.0,
78.0,352.47803,-26.989746,-365.77148,169.18945,-61.834717,412.29858,10.675049,-86.00464,silence,0.0,
80.0,62.438965,7.8552246,79.96216,-146.02661,98.49243,-412.5,15.710449,-22.558594,silence,0.0,
82.0,-304.54102,22.76001,396.38672,-211.68823,79.76074,-412.5,20.343018,19.537354,silence,0.0,
83.0,-132.1289,-15.911865,18.73169,69.68994,-59.820557,188.12256,7.6538086,-8.056641,silence,0.0,
84.0,288.0249,-42.49878,-386.71875,247.13745,-113.59863,412.29858,15.710449,-64.25171,silence,0.0,
85.0,296.6858,-20.947266,-129.30908,-20.947266,33.636475,106.34766,16.314697,-48.138428,silence,0.0,
96.0,-190.33813,21.75293,344.6228,-235.45532,116.015625,-412.5,9.667969,16.918945,silence,0.0,
98.0,-292.8589,8.056641,286.615,-68.07861,1.8127441,-316.62598,19.335938,-3.0212402,silence,0.0,
99.0,82.58057,-33.43506,-281.781,235.2539,-122.25952,412.29858,16.314697,-53.979492,silence,0.0,
101.0,356.10352,-31.219482,-346.63696,151.86768,-51.159668,412.29858,4.2297363,-61.6333,silence,0.0,
112.0,61.6333,-1.8127441,126.086426,-176.23901,115.008545,-412.5,17.523193,-16.516113,silence,0.0,
115.0,-302.12402,16.113281,391.95557,-192.15088,78.75366,-412.5,21.350098,31.622314,silence,0.0,
116.0,-91.241455,-12.689209,-5.6396484,87.81738,-71.7041,287.42065,17.926025,-9.265137,silence,0.0,
118.0,309.57642,-47.735596,-398.19946,237.46948,-104.73633,412.29858,9.667969,-67.07153,silence,0.0,
119.0,264.86206,-18.933105,-81.57349,-35.247803,39.678955,35.247803,16.918945,-37.86621,silence,0.0,
120.0,-192.3523,19.537354,358.3191,-238.67798,116.21704,-412.5,25.78125,34.44214,silence,0.0,
130.0,-268.08472,7.6538086,233.844,-29.80957,-12.487793,-233.844,0.60424805,13.092041,silence,0.0,
132.0,142.40112,-42.49878,-307.15942,233.844,-111.78589,412.29858,23.968506,-55.993652,silence,0.0,
145.0,371.0083,-40.081787,-331.12793,141.19263,-31.420898,412.29858,26.78833,-55.389404,silence,0.0,
147.0,57.20215,-0.40283203,190.74097,-202.4231,120.24536,-412.5,27.392578,-13.897705,silence,0.0,
148.0,-282.18384,15.106201,382.69043,-179.66309,67.07153,-412.5,15.307617,33.636475,silence,0.0,
162.0,-47.735596,-22.357178,-30.010986,104.53491,-82.37915,412.29858,10.675049,-14.904785,silence,0.0,
164.0,331.73218,-53.17383,-403.43628,235.05249,-97.88818,412.29858,8.258057,-65.66162,silence,0.0,
167.0,234.85107,-20.947266,-50.756836,-46.325684,45.721436,-63.848877,22.76001,-32.226562,silence,0.0,
168.0,-197.3877,20.947266,374.23096,-229.01001,102.52075,-412.5,16.113281,14.703369,silence,0.0,
