Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
388b67dc-e670-4432-8228-2ac1816464b6,2,05-03-2019_13-15-30,A5,36,0.0,24966x8,111980,13:13:38.200,13:15:30.233,4.5055447,221.94875,µV,1551787835872,1551788130234,
Stimuli appearance,3986.0,6992.0,9989.0,12992.0,15989.0,18980.0,21987.0,24992.0,27997.0,30983.0,33991.0,36993.0,39995.0,42991.0,45991.0,48989.0,51995.0,54995.0,57983.0,60998.0,63985.0,66992.0,70012.0,72999.0,76001.0,78985.0,81994.0,84997.0,88000.0,90997.0,93994.0,96999.0,99989.0,102999.0,106007.0,108994.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-113.39722,-11.682129,335.55908,-245.12329,146.83228,-412.5,-7.8552246,32.83081,silence,0.0,
2.0,-319.64722,-21.148682,347.2412,-138.17139,51.5625,-412.5,5.8410645,27.996826,silence,0.0,
15.0,-7.6538086,-2.4169922,-207.86133,216.3208,-138.3728,412.29858,6.2438965,-46.5271,silence,0.0,
17.0,334.552,10.675049,-389.9414,188.52539,-90.83862,412.29858,4.2297363,-79.35791,silence,0.0,
19.0,86.8103,-0.80566406,57.000732,-121.65527,96.47827,-412.5,18.933105,-29.205322,silence,0.0,
21.0,-287.62207,-15.710449,-412.5,-224.78027,124.87793,-412.5,22.357178,27.996826,silence,0.0,
22.0,-172.2107,-14.904785,47.735596,50.958252,-46.124268,82.177734,26.78833,-19.134521,silence,0.0,
23.0,246.13037,-0.80566406,-399.00513,256.604,-144.01245,412.29858,29.205322,-82.78198,silence,0.0,
24.0,287.8235,8.862305,-174.22485,-0.80566406,23.364258,132.53174,30.010986,-64.05029,silence,0.0,
25.0,-156.90308,-7.4523926,348.85254,-239.88647,141.79688,-412.5,33.43506,11.883545,silence,0.0,
27.0,-304.3396,-16.71753,322.0642,-106.14624,34.240723,-412.29858,34.84497,28.601074,silence,0.0,
28.0,23.76709,2.2155762,-263.04932,229.81567,-137.36572,412.29858,40.283203,-63.043213,silence,0.0,
31.0,327.50244,15.710449,-379.8706,168.5852,-74.32251,412.29858,32.025146,-84.39331,silence,0.0,
33.0,60.021973,0.80566406,94.86694,-165.16113,120.043945,-412.5,31.622314,-21.350098,silence,0.0,
35.0,-301.51978,-14.703369,-412.5,-211.88965,112.59155,-412.5,25.378418,15.710449,silence,0.0,
37.0,-142.80396,-15.106201,13.897705,72.509766,-68.28003,253.17993,20.141602,-29.80957,silence,0.0,
39.0,251.16577,9.869385,-407.26318,245.92896,-141.59546,412.29858,9.869385,-88.42163,silence,0.0,
40.0,252.17285,3.6254883,-113.39722,-32.226562,32.42798,81.97632,17.926025,-64.65454,silence,0.0,
41.0,-205.84717,-12.286377,368.99414,-246.5332,140.58838,-412.5,38.87329,8.459473,silence,0.0,
42.0,-301.7212,-14.300537,282.58667,-65.460205,5.2368164,-309.77783,25.78125,0.20141602,silence,0.0,
43.0,69.28711,4.2297363,-304.13818,240.49072,-141.99829,412.29858,32.226562,-71.7041,silence,0.0,
50.0,311.792,11.480713,-355.09644,162.94556,-71.30127,412.29858,35.650635,-90.63721,silence,0.0,
82.0,25.982666,2.8198242,157.30591,-186.91406,127.29492,-412.5,46.5271,-25.982666,silence,0.0,
84.0,-314.4104,-11.279297,400.61646,-200.61035,103.326416,-412.5,47.332764,3.0212402,silence,0.0,
86.0,-112.994385,-7.4523926,-14.703369,91.44287,-85.40039,351.26953,39.47754,-51.361084,silence,0.0,
88.0,259.62524,9.063721,-412.29858,234.85107,-129.5105,412.29858,40.686035,-102.319336,silence,0.0,
89.0,202.4231,14.904785,-66.467285,-49.54834,44.51294,-31.622314,40.283203,-64.65454,silence,0.0,
91.0,-224.98169,-3.8269043,386.92017,-249.95728,147.03369,-412.5,47.332764,2.8198242,silence,0.0,
92.0,-294.4702,-13.092041,223.7732,-29.80957,-9.869385,-236.26099,40.48462,3.8269043,silence,0.0,
93.0,112.59155,11.279297,-336.76758,235.85815,-143.20679,412.29858,28.198242,-79.76074,silence,0.0,
94.0,303.53394,19.537354,-348.4497,133.74023,-47.131348,412.29858,33.032227,-81.57349,silence,0.0,
95.0,3.8269043,1.4099121,218.13354,-214.70947,133.74023,-412.5,35.44922,-1.0070801,silence,0.0,
97.0,-320.05005,-8.862305,388.7329,-182.68433,85.198975,-412.5,34.84497,19.537354,silence,0.0,
99.0,-82.78198,-6.4453125,-52.972412,125.68359,-105.74341,412.29858,19.940186,-41.290283,silence,0.0,
102.0,278.35693,18.127441,-412.29858,226.19019,-125.48218,412.29858,24.169922,-87.01172,silence,0.0,
104.0,158.71582,7.8552246,-29.608154,-60.62622,54.58374,-141.19263,30.010986,-42.297363,silence,0.0,
105.0,-246.93604,0.20141602,397.99805,-250.76294,143.00537,-412.5,26.989746,22.558594,silence,0.0,
106.0,-286.01074,-2.4169922,159.52148,-0.40283203,-16.71753,-141.59546,15.106201,0.80566406,silence,0.0,
107.0,149.24927,15.509033,-351.47095,241.29639,-144.21387,412.29858,14.501953,-80.56641,silence,0.0,
113.0,294.87305,23.968506,-316.02173,98.69385,-22.357178,359.12476,27.79541,-77.74658,silence,0.0,
115.0,-48.339844,7.0495605,276.7456,-228.8086,135.95581,-412.5,45.52002,-12.487793,silence,0.0,
117.0,-329.3152,-9.063721,375.8423,-167.57812,78.149414,-412.5,51.361084,4.8339844,silence,0.0,
122.0,-70.495605,-0.60424805,-101.51367,164.95972,-124.87793,412.29858,46.5271,-54.382324,silence,0.0,
138.0,287.62207,23.968506,-412.29858,208.66699,-111.18164,412.29858,42.90161,-100.909424,silence,0.0,
151.0,113.1958,10.876465,-0.80566406,-81.7749,69.89136,-317.0288,36.85913,-49.749756,silence,0.0,
153.0,-271.5088,-7.8552246,-412.5,-241.09497,135.15015,-412.5,50.152588,15.911865,silence,0.0,
155.0,-251.36719,-3.6254883,114.001465,31.622314,-33.43506,-83.184814,47.332764,-23.76709,silence,0.0,
