Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
6d8d4c51-d665-494e-a342-5f7ace9eb032,3,05-03-2019_13-17-40,A5,36,0.0,24974x8,112001,13:15:48.623,13:17:40.647,4.5041246,222.01872,µV,1551788018254,1551788260647,
Stimuli appearance,4020.0,7015.0,10021.0,13016.0,16017.0,19021.0,22014.0,25023.0,28023.0,31028.0,34019.0,37015.0,40022.0,43023.0,46024.0,49012.0,52023.0,55025.0,58025.0,61027.0,64016.0,67025.0,70021.0,73020.0,76017.0,79026.0,82025.0,85019.0,88026.0,91019.0,94025.0,97011.0,100037.0,103027.0,106029.0,109032.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,254.79126,3.2226562,-73.71826,-27.191162,36.4563,65.25879,-33.032227,68.68286,silence,0.0,
2.0,-253.58276,41.4917,297.29004,-221.75903,216.72363,-412.5,-54.986572,139.37988,silence,0.0,
4.0,-333.3435,31.622314,200.0061,-43.103027,12.890625,-183.08716,-54.18091,136.15723,silence,0.0,
6.0,113.1958,-15.911865,-262.44507,221.55762,-198.59619,412.29858,-42.49878,64.65454,silence,0.0,
8.0,344.82422,-14.300537,-284.3994,136.76147,-97.08252,412.29858,-63.043213,65.66162,silence,0.0,
9.0,-16.516113,43.707275,147.43652,-187.92114,192.3523,-412.5,-37.86621,109.973145,silence,0.0,
26.0,-396.38672,59.820557,318.0359,-174.42627,146.63086,-412.5,-48.94409,131.52466,silence,0.0,
31.0,-109.973145,10.272217,-34.039307,105.340576,-133.94165,412.29858,-58.61206,100.10376,silence,0.0,
33.0,312.39624,-14.099121,-347.64404,222.16187,-192.55371,412.29858,-95.269775,58.61206,silence,0.0,
35.0,185.50415,34.643555,-62.841797,-47.131348,61.23047,6.6467285,-78.35083,97.48535,silence,0.0,
36.0,-304.94385,65.66162,293.86597,-220.95337,217.5293,-412.5,-58.20923,124.87793,silence,0.0,
37.0,-352.47803,40.48462,148.84644,3.6254883,-7.4523926,-126.28784,-60.021973,114.4043,silence,0.0,
38.0,145.42236,-12.890625,-288.42773,249.75586,-213.09814,412.29858,-57.806396,36.254883,silence,0.0,
40.0,329.5166,2.8198242,-285.4065,125.079346,-70.495605,412.29858,-65.460205,70.29419,silence,0.0,
41.0,-57.000732,38.671875,187.11548,-200.0061,203.63159,-412.5,-27.191162,92.248535,silence,0.0,
43.0,-397.3938,52.56958,290.24048,-153.68042,148.4436,-412.5,-11.883545,106.34766,silence,0.0,
58.0,-78.95508,4.4311523,-80.76782,156.29883,-156.50024,412.29858,-17.523193,57.20215,silence,0.0,
67.0,312.79907,-13.696289,-355.70068,224.98169,-184.49707,412.29858,-38.671875,3.2226562,silence,0.0,
69.0,112.39014,24.572754,-30.212402,-51.5625,77.948,-173.41919,-38.47046,65.86304,silence,0.0,
85.0,-313.0005,44.91577,321.45996,-234.44824,222.76611,-412.5,-34.84497,131.52466,silence,0.0,
86.0,-310.18066,10.070801,108.966064,13.092041,-17.72461,-82.177734,-28.399658,92.248535,silence,0.0,
88.0,207.86133,-28.601074,-298.0957,236.66382,-211.48682,412.29858,-20.947266,31.82373,silence,0.0,
90.0,328.91235,-14.904785,-250.96436,77.142334,-35.44922,339.78882,-35.85205,60.62622,silence,0.0,
91.0,-94.06128,32.42798,237.87231,-230.82275,214.50806,-412.5,-31.420898,85.60181,silence,0.0,
92.0,-379.06494,23.76709,294.87305,-152.67334,128.90625,-412.5,-4.0283203,98.89526,silence,0.0,
94.0,-48.138428,-17.926025,-105.13916,173.41919,-175.23193,412.29858,-36.657715,70.29419,silence,0.0,
95.0,340.7959,-25.78125,-331.9336,199.40186,-161.53564,412.29858,-26.184082,14.703369,silence,0.0,
101.0,81.7749,9.063721,9.667969,-83.184814,110.980225,-322.66846,-34.84497,87.213135,silence,0.0,
104.0,-326.8982,29.003906,350.8667,-231.82983,202.62451,-412.5,-51.763916,124.67651,silence,0.0,
105.0,-258.61816,-10.272217,84.191895,37.060547,-39.276123,-0.20141602,-43.707275,110.980225,silence,0.0,
106.0,243.31055,-33.43506,-299.5056,236.26099,-217.12646,412.29858,-30.413818,56.396484,silence,0.0,
107.0,305.14526,-10.070801,-192.95654,37.46338,-7.4523926,236.4624,-24.77417,31.622314,silence,0.0,
