Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
be878dcc-6d3c-491b-92c8-4825a28d79e9,4,05-03-2019_13-19-51,A5,36,0.0,24968x8,112009,13:17:59.232,13:19:51.275,4.5031133,222.06859,µV,1551788148646,1551788391276,
Stimuli appearance,3998.0,6991.0,10008.0,13001.0,16008.0,19006.0,22004.0,25008.0,28002.0,31006.0,34002.0,37008.0,40018.0,43017.0,46008.0,49008.0,52005.0,55013.0,58019.0,61012.0,64019.0,67018.0,70027.0,73010.0,76026.0,79025.0,82019.0,85029.0,88022.0,91016.0,94015.0,97025.0,100028.0,103014.0,106034.0,109023.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,333.94775,-18.73169,-365.77148,244.92188,-182.88574,412.29858,9.265137,-60.22339,silence,0.0,
2.0,237.46948,2.6184082,-58.20923,-44.91577,32.83081,-20.141602,16.113281,-45.92285,silence,0.0,
5.0,-273.92578,36.657715,329.5166,-243.71338,180.87158,-412.5,19.335938,33.83789,silence,0.0,
7.0,-325.8911,21.148682,189.73389,-31.420898,0.20141602,-197.3877,-11.480713,4.4311523,silence,0.0,
9.0,163.5498,-11.682129,-292.45605,237.46948,-172.00928,412.29858,9.869385,-63.848877,silence,0.0,
11.0,361.54175,-5.6396484,-297.08862,134.14307,-73.71826,412.29858,3.2226562,-62.23755,silence,0.0,
27.0,-12.487793,10.272217,188.12256,-215.91797,165.76538,-412.5,7.2509766,-7.0495605,silence,0.0,
29.0,-374.8352,16.71753,337.77466,-182.88574,116.015625,-412.5,0.40283203,32.42798,silence,0.0,
30.0,-72.9126,-0.60424805,-48.54126,122.058105,-118.63403,412.29858,5.8410645,-16.918945,silence,0.0,
32.0,344.6228,-15.710449,-370.00122,223.97461,-159.92432,412.29858,7.6538086,-72.509766,silence,0.0,
33.0,180.46875,12.286377,-25.982666,-60.021973,49.346924,-137.96997,1.8127441,-13.897705,silence,0.0,
35.0,-288.42773,30.413818,346.83838,-249.55444,184.8999,-412.5,8.056641,25.579834,silence,0.0,
36.0,-298.90137,11.279297,139.78271,2.2155762,-16.516113,-136.76147,4.6325684,0.80566406,silence,0.0,
38.0,217.73071,-13.092041,-308.97217,234.24683,-173.41919,412.29858,-1.0070801,-63.043213,silence,0.0,
40.0,351.0681,-6.0424805,-268.48755,89.227295,-45.117188,362.95166,-15.307617,-56.19507,silence,0.0,
41.0,-62.438965,13.494873,246.33179,-231.22559,166.77246,-412.5,-12.890625,15.307617,silence,0.0,
46.0,-366.77856,14.099121,325.8911,-167.1753,115.20996,-412.5,-0.60424805,42.90161,silence,0.0,
47.0,-34.643555,-7.4523926,-86.00464,159.32007,-140.58838,412.29858,-20.947266,-32.83081,silence,0.0,
49.0,362.3474,-14.904785,-355.49927,210.27832,-142.60254,412.29858,13.696289,-68.481445,silence,0.0,
50.0,127.89917,4.8339844,5.0354004,-78.95508,67.67578,-299.3042,20.74585,-21.954346,silence,0.0,
66.0,-308.36792,27.996826,359.32617,-243.9148,171.80786,-412.5,18.328857,34.039307,silence,0.0,
69.0,-266.87622,8.258057,89.63013,19.134521,-24.371338,-68.07861,12.286377,5.8410645,silence,0.0,
71.0,250.56152,-22.357178,-318.2373,240.2893,-172.00928,412.29858,20.947266,-59.820557,silence,0.0,
73.0,337.97607,-6.0424805,-223.37036,53.17383,-12.084961,230.41992,-0.20141602,-48.94409,silence,0.0,
