Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
1ff07e8e-5ce9-4ed1-a460-4a5212fad999,5,05-03-2019_13-22-21,A5,36,0.0,24970x8,111996,13:20:29.255,13:22:21.283,4.50189,222.1289,µV,1551788279267,1551788541284,
Stimuli appearance,4006.0,7009.0,10010.0,13005.0,16009.0,18996.0,22008.0,25009.0,28009.0,31010.0,34001.0,37006.0,40012.0,43006.0,46012.0,48995.0,52011.0,55014.0,58008.0,61014.0,64014.0,67020.0,70011.0,73017.0,76006.0,79018.0,82012.0,85016.0,88010.0,91011.0,94023.0,97013.0,100015.0,103018.0,106021.0,109017.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,155.896,-22.76001,10.473633,-83.38623,76.7395,-326.69678,19.537354,-22.76001,silence,0.0,
2.0,-298.90137,-45.52002,388.33008,-268.08472,176.64185,-412.5,22.961426,30.81665,silence,0.0,
5.0,-225.78735,-11.883545,77.948,29.406738,-29.205322,2.8198242,4.2297363,8.258057,silence,0.0,
7.0,323.47412,14.300537,-348.65112,270.70312,-184.8999,412.29858,13.897705,-35.44922,silence,0.0,
9.0,377.65503,4.6325684,-238.27515,62.438965,-16.314697,188.52539,27.996826,-41.088867,silence,0.0,
10.0,-146.02661,-37.86621,311.18774,-264.2578,170.59937,-412.5,12.890625,45.117188,silence,0.0,
15.0,-381.0791,-21.954346,320.6543,-162.34131,85.198975,-412.5,23.162842,31.219482,silence,0.0,
16.0,20.74585,12.286377,-188.52539,221.3562,-157.10449,412.29858,11.480713,-23.565674,silence,0.0,
18.0,-412.5,23.76709,-368.18848,214.91089,-127.093506,412.29858,9.063721,-64.65454,silence,0.0,
25.0,66.6687,-7.2509766,48.339844,-113.59863,101.916504,-412.5,9.667969,-7.2509766,silence,0.0,
27.0,-394.57397,-23.565674,396.38672,-258.81958,162.74414,-412.5,9.466553,50.55542,silence,0.0,
29.0,-219.54346,2.0141602,44.311523,57.806396,-42.700195,107.15332,0.0,11.682129,silence,0.0,
30.0,318.84155,27.191162,-371.41113,279.1626,-180.26733,412.29858,-2.0141602,-36.657715,silence,0.0,
56.0,320.8557,9.466553,-162.54272,15.509033,7.2509766,164.35547,1.2084961,-14.904785,silence,0.0,
59.0,-260.83374,-22.558594,335.15625,-262.04224,177.04468,-412.5,-7.4523926,37.060547,silence,0.0,
61.0,-412.29858,-9.667969,307.76367,-132.93457,60.424805,-358.3191,6.8481445,41.088867,silence,0.0,
63.0,34.643555,25.579834,-241.29639,248.14453,-171.20361,412.29858,0.60424805,-9.265137,silence,0.0,
65.0,399.40796,20.947266,-348.04688,197.3877,-117.22412,412.29858,-6.8481445,-48.742676,silence,0.0,
66.0,14.703369,4.0283203,77.34375,-154.88892,131.72607,-412.5,-9.667969,15.911865,silence,0.0,
68.0,-412.29858,-2.8198242,384.10034,-242.10205,151.66626,-412.5,16.71753,32.42798,silence,0.0,
69.0,-172.00928,21.954346,5.0354004,68.88428,-55.18799,274.53003,-3.4240723,-5.2368164,silence,0.0,
75.0,334.75342,29.406738,-381.88477,271.7102,-180.06592,412.29858,-13.092041,-57.60498,silence,0.0,
77.0,299.90845,2.8198242,-110.980225,-18.328857,20.74585,97.88818,-0.60424805,-26.989746,silence,0.0,
79.0,-298.0957,-12.487793,341.19873,-268.28613,175.03052,-412.5,24.77417,47.93701,silence,0.0,
80.0,-385.30884,0.40283203,265.2649,-91.8457,40.48462,-285.6079,31.018066,35.046387,silence,0.0,
92.0,103.326416,29.003906,-290.4419,256.604,-168.98804,412.29858,29.205322,-33.43506,silence,0.0,
94.0,410.083,13.092041,-336.76758,184.29565,-105.944824,412.29858,19.134521,-61.029053,silence,0.0,
108.0,-13.092041,9.466553,139.78271,-200.20752,154.6875,-412.5,19.537354,22.961426,silence,0.0,
111.0,-412.29858,0.60424805,371.20972,-227.6001,136.76147,-412.5,-3.8269043,59.61914,silence,0.0,
124.0,-143.20679,22.961426,-18.530273,88.0188,-77.142334,412.29858,-19.537354,4.6325684,silence,0.0,
126.0,315.8203,31.622314,-387.72583,266.27197,-169.39087,412.29858,-17.926025,-47.735596,silence,0.0,
128.0,187.11548,13.494873,-59.417725,-41.4917,38.671875,36.254883,-15.307617,12.890625,silence,0.0,
129.0,-372.01538,9.667969,349.85962,-274.73145,186.51123,-412.5,-2.2155762,53.979492,silence,0.0,
131.0,-412.29858,29.003906,215.1123,-50.152588,12.890625,-153.07617,6.8481445,39.47754,silence,0.0,
132.0,95.269775,55.18799,-315.8203,264.66064,-173.21777,412.29858,-26.78833,-5.6396484,silence,0.0,
133.0,288.62915,46.124268,-317.63306,152.27051,-75.93384,412.29858,0.40283203,-32.83081,silence,0.0,
134.0,-112.59155,20.947266,196.58203,-227.6001,155.49316,-412.5,10.876465,22.558594,silence,0.0,
141.0,-412.29858,24.572754,358.5205,-214.70947,130.719,-412.5,16.113281,53.375244,silence,0.0,
143.0,-153.479,42.90161,-54.18091,113.1958,-103.326416,412.29858,14.501953,-15.307617,silence,0.0,
144.0,266.07056,49.95117,-396.99097,249.95728,-153.479,412.29858,9.466553,-64.25171,silence,0.0,
147.0,100.50659,26.184082,-38.47046,-58.813477,51.5625,-74.92676,-0.20141602,-16.113281,silence,0.0,
158.0,-361.34033,9.265137,368.18848,-271.5088,178.45459,-412.5,13.293457,46.325684,silence,0.0,
175.0,-358.3191,24.371338,151.06201,-16.516113,-3.4240723,-78.75366,10.070801,34.643555,silence,0.0,
177.0,167.57812,41.088867,-338.78174,253.58276,-166.36963,412.29858,7.0495605,-37.86621,silence,0.0,
179.0,296.28296,25.177002,-294.2688,122.86377,-45.117188,335.9619,8.862305,-42.49878,silence,0.0,
180.0,-86.206055,-6.4453125,261.438,-247.33887,166.57104,-412.5,7.2509766,35.046387,silence,0.0,
192.0,-385.10742,-1.4099121,343.01147,-186.71265,108.56323,-412.5,-12.487793,45.117188,silence,0.0,
193.0,-67.27295,30.413818,-91.241455,159.92432,-129.30908,412.29858,2.8198242,-28.601074,silence,0.0,
195.0,289.2334,42.700195,-382.89185,234.24683,-142.40112,412.29858,-11.480713,-56.799316,silence,0.0,
197.0,60.62622,12.084961,7.2509766,-79.76074,69.89136,-228.40576,2.4169922,-5.6396484,silence,0.0,
199.0,-356.30493,1.4099121,381.48193,-267.6819,183.28857,-412.5,20.141602,44.91577,silence,0.0,
209.0,-323.47412,23.565674,108.966064,11.279297,-11.279297,-18.127441,-13.293457,32.42798,silence,0.0,
211.0,104.73633,67.67578,-331.73218,250.96436,-155.29175,412.29858,-7.0495605,-44.51294,silence,0.0,
226.0,218.53638,17.523193,-245.3247,69.89136,-10.675049,258.21533,0.40283203,-36.4563,silence,0.0,
228.0,-129.71191,-24.572754,293.0603,-255.19409,168.18237,-412.5,-1.8127441,56.396484,silence,0.0,
230.0,-261.6394,-54.382324,332.94067,-173.21777,90.63721,-412.5,-32.83081,48.339844,silence,0.0,
242.0,88.0188,-40.283203,-148.04077,200.81177,-150.65918,412.29858,-5.2368164,-31.219482,silence,0.0,
244.0,405.45044,-7.0495605,-377.4536,216.11938,-122.86377,412.29858,14.703369,-49.346924,silence,0.0,
245.0,119.4397,-18.328857,32.025146,-106.14624,96.8811,-359.12476,4.0283203,6.4453125,silence,0.0,
247.0,-261.6394,-35.44922,397.79663,-264.66064,163.95264,-412.5,11.883545,39.47754,silence,0.0,
249.0,-211.2854,11.883545,62.23755,39.88037,-27.996826,46.92993,-4.0283203,17.120361,silence,0.0,
259.0,190.53955,33.032227,-352.47803,258.81958,-165.76538,412.29858,-4.0283203,-48.54126,silence,0.0,
261.0,231.22559,9.667969,-191.54663,32.42798,-1.0070801,212.09106,-8.459473,-30.212402,silence,0.0,
263.0,-187.92114,-29.205322,324.4812,-257.8125,167.77954,-412.5,24.572754,42.095947,silence,0.0,
265.0,-349.85962,-15.911865,321.25854,-147.83936,70.89844,-393.7683,7.4523926,26.184082,silence,0.0,
266.0,-64.05029,24.572754,-196.98486,222.16187,-147.2351,412.29858,4.2297363,-48.94409,silence,0.0,
276.0,217.12646,26.184082,-339.5874,194.16504,-108.56323,412.29858,-0.20141602,-45.721436,silence,0.0,
290.0,-52.972412,2.2155762,79.559326,-141.79688,122.86377,-412.5,-3.6254883,-1.0070801,silence,0.0,
292.0,-388.12866,-8.862305,405.45044,-250.15869,153.88184,-412.5,1.8127441,40.48462,silence,0.0,
294.0,-228.60718,13.293457,32.629395,51.361084,-37.46338,158.91724,5.0354004,8.660889,silence,0.0,
295.0,187.3169,16.516113,-360.33325,260.02808,-162.74414,412.29858,16.113281,-56.396484,silence,0.0,
297.0,245.52612,-3.6254883,-137.76855,-8.459473,23.162842,112.39014,15.911865,-22.357178,silence,0.0,
309.0,-164.95972,-27.79541,329.11377,-260.63232,165.36255,-412.5,0.20141602,51.965332,silence,0.0,
310.0,-272.7173,-14.703369,290.03906,-115.008545,46.5271,-284.198,-10.272217,30.413818,silence,0.0,
312.0,36.254883,21.148682,-262.04224,238.27515,-144.41528,412.29858,-1.6113281,-37.261963,silence,0.0,
313.0,270.09888,31.420898,-342.2058,175.63477,-97.48535,412.29858,-5.6396484,-49.346924,silence,0.0,
314.0,2.8198242,10.272217,104.333496,-173.21777,126.690674,-412.5,12.689209,3.6254883,silence,0.0,
315.0,-307.9651,-5.6396484,381.28052,-227.19727,134.14307,-412.5,3.6254883,60.22339,silence,0.0,
325.0,-111.987305,13.696289,-6.4453125,76.538086,-63.848877,298.0957,-3.6254883,-9.265137,silence,0.0,
327.0,258.81958,16.516113,-395.17822,268.08472,-158.31299,412.29858,-17.523193,-46.5271,silence,0.0,
343.0,238.67798,-4.8339844,-96.8811,-26.78833,22.961426,70.29419,7.4523926,-29.80957,silence,0.0,
