Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
7ff3cb73-dbb3-40fc-b1c9-b395b70b2e8e,1,05-03-2019_13-25-38,C4-B6,36,-8.5,24969x8,111996,13:23:46.899,13:25:38.933,4.5006843,222.18845,µV,1551788590235,1551788738934,
Stimuli appearance,4008.0,7008.0,10004.0,13010.0,16009.0,19014.0,22007.0,25005.0,28000.0,31001.0,34015.0,36997.0,40015.0,43002.0,46009.0,49010.0,52013.0,55019.0,57998.0,61012.0,63995.0,67017.0,70000.0,73013.0,76005.0,79014.0,82021.0,85028.0,88011.0,91023.0,94021.0,97016.0,100031.0,103013.0,106038.0,109017.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,263.04932,1.8127441,-345.22705,243.71338,-152.27051,412.29858,-26.78833,-8.459473,silence,0.0,
2.0,299.90845,-14.501953,-166.16821,19.73877,-2.4169922,172.2107,-23.968506,15.307617,silence,0.0,
4.0,-96.276855,-43.707275,307.9651,-228.40576,139.78271,-412.5,-21.350098,73.71826,silence,0.0,
6.0,-252.37427,-34.240723,297.49146,-124.27368,59.61914,-379.6692,-29.003906,72.509766,silence,0.0,
8.0,24.371338,12.084961,-218.7378,220.55054,-140.38696,412.29858,-34.643555,9.063721,silence,0.0,
10.0,288.0249,26.989746,-333.54492,179.05884,-99.90234,412.29858,-24.572754,-27.191162,silence,0.0,
11.0,47.735596,-17.120361,75.128174,-132.53174,105.944824,-412.5,-26.586914,41.290283,silence,0.0,
14.0,-257.00684,-44.91577,378.25928,-216.52222,126.28784,-412.5,-23.76709,88.42163,silence,0.0,
15.0,-136.56006,-7.6538086,19.73877,64.25171,-44.110107,205.84717,-16.71753,36.85913,silence,0.0,
20.0,212.89673,25.78125,-355.9021,243.10913,-145.42236,412.29858,-34.44214,-12.084961,silence,0.0,
28.0,308.56934,-15.509033,-120.043945,-5.4382324,7.8552246,105.13916,-19.134521,6.4453125,silence,0.0,
30.0,-71.7041,-58.61206,312.19482,-226.3916,135.55298,-412.5,-4.8339844,55.389404,silence,0.0,
