Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
595befce-99cd-46ac-9219-f69c3f17f12d,2,05-03-2019_13-27-57,C4-B6,36,-8.5,24966x8,112015,13:26:05.769,13:27:57.805,4.4999146,222.22644,µV,1551788626938,1551788877806,
Stimuli appearance,4019.0,7017.0,10015.0,13021.0,16011.0,19016.0,22013.0,25026.0,28016.0,31016.0,34022.0,37025.0,40016.0,43029.0,46005.0,49025.0,52017.0,55024.0,58020.0,61027.0,64022.0,67019.0,70025.0,73023.0,76021.0,79025.0,82018.0,85027.0,88029.0,91034.0,94025.0,97029.0,100028.0,103025.0,106034.0,109019.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-142.40112,21.551514,6.0424805,76.135254,-61.029053,303.53394,-22.357178,22.558594,silence,0.0,
2.0,215.71655,45.92285,-412.29858,268.08472,-151.06201,412.29858,-15.710449,-45.318604,silence,0.0,
4.0,198.99902,16.918945,-102.52075,-28.601074,18.127441,56.799316,-5.8410645,-12.084961,silence,0.0,
6.0,-219.14062,-15.710449,387.72583,-268.48755,138.3728,-412.5,-18.933105,73.91968,silence,0.0,
19.0,-294.87305,-0.20141602,277.9541,-70.09277,15.710449,-236.66382,-10.876465,63.446045,silence,0.0,
21.0,59.61914,45.52002,-330.32227,261.03516,-141.59546,412.29858,-14.099121,-22.558594,silence,0.0,
22.0,276.34277,31.420898,-365.16724,175.03052,-81.37207,412.29858,-9.466553,-33.032227,silence,0.0,
24.0,-0.20141602,-5.6396484,182.88574,-208.26416,117.42554,-412.5,-10.272217,29.205322,silence,0.0,
26.0,-308.97217,-15.509033,-412.5,-209.87549,106.54907,-412.5,-13.092041,69.28711,silence,0.0,
27.0,-98.291016,11.883545,-33.032227,107.35474,-81.37207,412.29858,-17.120361,6.2438965,silence,0.0,
28.0,245.92896,38.067627,-412.29858,262.64648,-136.96289,412.29858,-26.385498,-47.93701,silence,0.0,
29.0,166.16821,9.063721,-53.57666,-45.117188,33.83789,-45.52002,-7.8552246,-5.8410645,silence,0.0,
33.0,-229.81567,-7.0495605,402.22778,-262.24365,140.38696,-412.5,-6.2438965,53.778076,silence,0.0,
35.0,-275.3357,-2.4169922,211.68823,-24.371338,-0.20141602,-159.92432,1.0070801,46.5271,silence,0.0,
52.0,120.24536,42.90161,-352.2766,253.9856,-136.76147,412.29858,-6.0424805,-31.018066,silence,0.0,
54.0,272.7173,30.81665,-345.62988,139.17847,-54.382324,412.29858,-8.660889,-43.304443,silence,0.0,
56.0,-20.74585,-8.862305,251.16577,-229.81567,127.49634,-412.5,8.258057,39.678955,silence,0.0,
58.0,-314.81323,-19.537354,394.9768,-192.75513,91.8457,-412.5,-1.2084961,56.5979,silence,0.0,
59.0,-68.88428,23.162842,-79.76074,139.98413,-101.71509,412.29858,-4.8339844,9.466553,silence,0.0,
61.0,264.0564,41.4917,-412.29858,240.08789,-122.86377,412.29858,-7.6538086,-42.297363,silence,0.0,
63.0,130.31616,1.6113281,-22.155762,-64.453125,42.90161,-166.36963,-2.6184082,15.307617,silence,0.0,
68.0,-239.68506,-20.947266,-412.5,-264.45923,143.4082,-412.5,-15.106201,95.47119,silence,0.0,
70.0,-250.96436,2.2155762,145.22095,4.8339844,-20.544434,-69.488525,-18.328857,54.382324,silence,0.0,
72.0,171.40503,32.025146,-369.19556,262.8479,-140.38696,412.29858,-28.601074,-5.6396484,silence,0.0,
79.0,282.38525,21.148682,-315.8203,101.51367,-30.212402,334.14917,-28.80249,-18.328857,silence,0.0,
81.0,-39.276123,-34.44214,307.15942,-247.33887,134.94873,-412.5,-28.601074,65.86304,silence,0.0,
93.0,-280.3711,-32.42798,373.22388,-179.66309,81.37207,-412.5,-34.643555,89.02588,silence,0.0,
95.0,-19.940186,9.869385,-129.71191,183.48999,-121.85669,412.29858,-35.247803,14.300537,silence,0.0,
96.0,307.9651,26.586914,-412.29858,229.01001,-111.987305,412.29858,-26.586914,-27.392578,silence,0.0,
111.0,117.42554,-3.4240723,10.876465,-82.58057,56.799316,-303.33252,-18.328857,20.141602,silence,0.0,
113.0,-240.49072,-33.032227,-412.5,-256.4026,136.96289,-412.5,-15.710449,75.128174,silence,0.0,
115.0,-195.77637,-8.459473,85.198975,35.44922,-22.76001,5.2368164,-16.113281,38.671875,silence,0.0,
117.0,233.64258,22.76001,-390.54565,271.10596,-140.38696,412.29858,-13.092041,-43.50586,silence,0.0,
126.0,299.5056,15.710449,-251.36719,55.993652,-14.703369,230.2185,-5.6396484,-33.43506,silence,0.0,
144.0,-89.42871,-33.636475,338.98315,-246.13037,134.74731,-412.5,1.8127441,44.91577,silence,0.0,
146.0,-289.03198,-25.378418,360.53467,-160.52856,72.509766,-412.5,-2.8198242,58.61206,silence,0.0,
147.0,4.6325684,11.480713,-201.01318,225.38452,-126.89209,412.29858,8.660889,-15.911865,silence,0.0,
149.0,321.25854,31.82373,-402.83203,215.51514,-108.1604,412.29858,14.904785,-57.60498,silence,0.0,
160.0,83.78906,-19.134521,50.152588,-110.57739,88.220215,-412.5,8.258057,12.286377,silence,0.0,
162.0,-263.85498,-44.110107,-412.5,-252.57568,133.74023,-412.5,2.2155762,71.7041,silence,0.0,
164.0,-166.97388,-1.0070801,53.375244,46.92993,-30.212402,83.58765,1.6113281,43.50586,silence,0.0,
165.0,240.49072,29.406738,-409.07593,273.72437,-143.00537,412.29858,-11.682129,-33.83789,silence,0.0,
166.0,277.7527,12.286377,-185.10132,16.71753,9.265137,162.1399,-8.056641,-13.696289,silence,0.0,
177.0,-158.71582,-35.85205,367.78564,-261.23657,145.8252,-412.5,-2.2155762,63.446045,silence,0.0,
178.0,-292.05322,-26.78833,341.40015,-124.4751,48.138428,-369.19556,-6.6467285,70.89844,silence,0.0,
180.0,32.226562,20.544434,-271.91162,244.51904,-133.94165,412.29858,-21.954346,-5.6396484,silence,0.0,
181.0,325.28687,31.622314,-392.76123,198.39478,-91.8457,412.29858,-11.279297,-24.169922,silence,0.0,
193.0,49.95117,-6.4453125,89.63013,-155.69458,111.78589,-412.5,-18.530273,52.972412,silence,0.0,
212.0,-294.4702,-36.254883,-412.5,-236.4624,125.079346,-412.5,-29.406738,93.85986,silence,0.0,
214.0,-123.87085,4.0283203,9.265137,71.09985,-43.304443,247.13745,-30.413818,29.003906,silence,0.0,
216.0,264.86206,38.87329,-412.29858,272.51587,-152.67334,412.29858,-40.48462,-35.650635,silence,0.0,
218.0,254.38843,13.092041,-131.32324,-12.890625,19.73877,90.83862,-22.558594,-8.258057,silence,0.0,
221.0,-195.37354,-27.191162,371.20972,-268.28613,143.4082,-412.5,-5.0354004,54.986572,silence,0.0,
224.0,-282.18384,-9.869385,293.86597,-91.04004,31.82373,-266.07056,-10.070801,48.339844,silence,0.0,
231.0,81.37207,41.088867,-324.2798,252.17285,-136.96289,412.29858,-8.459473,-23.565674,silence,0.0,
233.0,329.3152,39.678955,-375.8423,179.46167,-84.99756,412.29858,-4.0283203,-39.276123,silence,0.0,
236.0,32.42798,-6.0424805,142.1997,-192.55371,121.85669,-412.5,-1.4099121,27.593994,silence,0.0,
237.0,-301.51978,-31.219482,-412.5,-219.34204,107.35474,-412.5,3.2226562,65.05737,silence,0.0,
240.0,-86.40747,8.056641,-23.76709,93.85986,-66.87012,374.6338,-3.6254883,3.4240723,silence,0.0,
242.0,282.38525,42.297363,-412.29858,262.64648,-137.56714,412.29858,3.4240723,-57.403564,silence,0.0,
243.0,214.70947,8.660889,-76.7395,-35.44922,28.198242,3.6254883,-7.6538086,-11.480713,silence,0.0,
248.0,-229.01001,-19.73877,387.72583,-267.8833,141.39404,-412.5,0.40283203,61.431885,silence,0.0,
261.0,-285.4065,-7.0495605,230.01709,-38.671875,7.2509766,-172.81494,-9.063721,62.438965,silence,0.0,
264.0,133.3374,38.87329,-348.65112,255.79834,-145.01953,412.29858,-3.6254883,-14.904785,silence,0.0,
