Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
94a7284d-cfcb-43a1-bd62-6fc23372d060,3,05-03-2019_13-30-06,C4-B6,36,-8.5,24964x8,112003,13:28:14.190,13:30:06.214,4.499224,222.26053,µV,1551788765791,1551789006214,
Stimuli appearance,4010.0,7022.0,10009.0,13018.0,16015.0,19018.0,22027.0,25012.0,28018.0,31017.0,34026.0,37022.0,40017.0,43022.0,46018.0,49021.0,52021.0,55023.0,58025.0,61028.0,64026.0,67018.0,70028.0,73021.0,76026.0,79012.0,82031.0,85024.0,88034.0,91023.0,94018.0,97018.0,100025.0,103028.0,106020.0,109025.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,96.67969,3.6254883,32.629395,-97.08252,75.93384,-381.28052,-36.85913,39.678955,silence,0.0,
3.0,-352.47803,20.544434,410.88867,-237.6709,134.74731,-412.5,-45.318604,95.06836,silence,0.0,
5.0,-233.44116,13.897705,57.403564,46.325684,-40.081787,92.04712,-43.90869,53.778076,silence,0.0,
8.0,277.9541,-7.0495605,-380.27344,242.90771,-142.80396,412.29858,-46.124268,-18.127441,silence,0.0,
23.0,290.84473,-7.0495605,-192.3523,11.682129,8.056641,232.43408,-43.50586,18.127441,silence,0.0,
25.0,-247.54028,34.039307,335.15625,-233.23975,134.34448,-412.5,-39.47754,102.319336,silence,0.0,
28.0,-374.02954,15.911865,327.70386,-119.23828,48.339844,-345.8313,-53.979492,105.944824,silence,0.0,
30.0,37.46338,-14.300537,-237.6709,224.37744,-125.28076,412.29858,-54.58374,25.378418,silence,0.0,
32.0,393.36548,-29.406738,-367.58423,175.03052,-83.99048,412.29858,-54.58374,11.279297,silence,0.0,
36.0,49.346924,-7.0495605,67.8772,-121.65527,101.11084,-412.5,-51.361084,54.382324,silence,0.0,
55.0,-349.4568,10.876465,407.66602,-211.68823,118.029785,-412.5,-49.95117,97.08252,silence,0.0,
58.0,-145.62378,-6.4453125,16.516113,71.30127,-49.145508,230.62134,-48.339844,43.707275,silence,0.0,
61.0,302.9297,-24.572754,-400.21362,253.78418,-136.76147,412.29858,-56.5979,-20.947266,silence,0.0,
64.0,284.198,-15.911865,-140.38696,-8.258057,22.357178,156.09741,-52.770996,10.876465,silence,0.0,
68.0,-243.51196,9.466553,351.67236,-231.427,137.96997,-412.5,-43.304443,76.538086,silence,0.0,
71.0,-340.39307,7.2509766,286.21216,-79.35791,26.184082,-245.52612,-51.159668,67.27295,silence,0.0,
77.0,72.509766,-11.279297,-291.24756,233.23975,-129.91333,412.29858,-58.410645,-5.2368164,silence,0.0,
80.0,345.02563,-25.579834,-358.11768,159.32007,-73.91968,412.29858,-54.785156,-20.343018,silence,0.0,
81.0,-0.40283203,4.0283203,121.85669,-168.18237,107.958984,-412.5,-48.94409,46.5271,silence,0.0,
83.0,-376.24512,13.897705,402.4292,-198.99902,97.68677,-412.5,-54.785156,100.305176,silence,0.0,
84.0,-121.85669,-2.0141602,-13.494873,82.177734,-63.24463,395.58105,-66.467285,39.678955,silence,0.0,
86.0,292.65747,-23.76709,-409.07593,241.90063,-134.94873,412.29858,-75.32959,-0.40283203,silence,0.0,
94.0,213.7024,-13.092041,-77.74658,-37.664795,27.79541,92.85278,-96.07544,43.304443,silence,0.0,
97.0,-276.5442,25.78125,358.11768,-232.6355,128.90625,-412.5,-71.30127,101.916504,silence,0.0,
99.0,-336.76758,15.911865,236.86523,-41.290283,7.2509766,-164.35547,-63.848877,82.78198,silence,0.0,
113.0,116.41846,-11.077881,-319.64722,231.02417,-128.50342,412.29858,-77.948,14.703369,silence,0.0,
116.0,318.0359,-12.689209,-335.35767,141.39404,-58.61206,412.29858,-79.156494,8.660889,silence,0.0,
117.0,-32.226562,3.4240723,190.94238,-196.78345,122.058105,-412.5,-76.538086,90.63721,silence,0.0,
119.0,-374.8352,17.72461,374.6338,-173.82202,93.65845,-412.5,-66.06445,114.20288,silence,0.0,
121.0,-99.70093,3.0212402,-43.103027,108.76465,-86.206055,412.29858,-65.25879,43.90869,silence,0.0,
123.0,291.24756,-14.501953,-410.88867,224.57886,-124.072266,412.29858,-67.474365,-12.286377,silence,0.0,
130.0,150.45776,-1.0070801,-40.88745,-46.5271,38.87329,-41.088867,-56.799316,30.413818,silence,0.0,
132.0,-294.4702,23.364258,381.28052,-230.41992,135.95581,-412.5,-49.95117,97.68677,silence,0.0,
134.0,-314.4104,18.73169,169.18945,-0.60424805,-10.473633,-105.944824,-44.311523,73.71826,silence,0.0,
136.0,166.57104,-4.8339844,-338.3789,232.03125,-130.31616,412.29858,-42.700195,-4.6325684,silence,0.0,
137.0,294.67163,-12.286377,-319.04297,110.37598,-41.088867,412.29858,-30.010986,6.2438965,silence,0.0,
146.0,-67.27295,10.876465,256.20117,-217.5293,125.079346,-412.5,-24.77417,70.495605,silence,0.0,
149.0,-364.96582,23.565674,364.563,-162.94556,85.60181,-412.5,-38.671875,88.62305,silence,0.0,
150.0,-41.693115,-11.077881,-81.97632,150.25635,-102.11792,412.29858,-51.361084,33.032227,silence,0.0,
152.0,320.25146,-17.523193,-400.41504,205.84717,-109.16748,412.29858,-58.61206,-18.328857,silence,0.0,
