Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
b4931a34-5124-4637-bf96-f6b1c98c0f86,4,05-03-2019_13-32-13,C4-B6,36,-8.5,24965x8,111995,13:30:21.802,13:32:13.821,4.498663,222.28827,µV,1551788894211,1551789133822,
Stimuli appearance,4017.0,7008.0,10014.0,13013.0,16010.0,19014.0,22011.0,25015.0,28005.0,31012.0,34017.0,37011.0,40021.0,43011.0,46017.0,49015.0,52020.0,55027.0,58012.0,61019.0,64017.0,67019.0,70014.0,73017.0,76018.0,79027.0,82028.0,85016.0,88022.0,91017.0,94019.0,97016.0,100026.0,103007.0,106022.0,109019.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-305.7495,-14.099121,210.88257,-27.996826,3.6254883,-133.53882,-17.926025,69.68994,silence,0.0,
13.0,135.55298,31.82373,-371.41113,272.51587,-114.4043,412.29858,-23.76709,-11.682129,silence,0.0,
16.0,271.30737,18.530273,-350.46387,147.43652,-37.86621,405.85327,-14.501953,-13.494873,silence,0.0,
18.0,-67.27295,-37.664795,282.9895,-254.38843,104.937744,-412.5,-19.73877,67.27295,silence,0.0,
19.0,-327.30103,-27.79541,-412.5,-214.30664,78.35083,-412.5,-12.286377,77.545166,silence,0.0,
21.0,-28.399658,10.675049,-87.213135,159.7229,-82.58057,412.29858,-15.911865,4.6325684,silence,0.0,
23.0,307.15942,39.47754,-412.29858,260.02808,-98.0896,412.29858,-20.343018,-46.92993,silence,0.0,
24.0,120.84961,-1.2084961,-19.134521,-65.25879,37.86621,-208.86841,-3.2226562,0.20141602,silence,0.0,
26.0,-263.04932,-38.269043,-412.5,-282.7881,113.59863,-412.5,1.6113281,88.42163,silence,0.0,
27.0,-239.48364,-12.084961,141.79688,12.689209,-10.675049,-70.89844,-1.8127441,43.304443,silence,0.0,
29.0,215.91797,26.184082,-389.13574,279.1626,-116.21704,412.29858,-10.473633,-31.622314,silence,0.0,
31.0,293.86597,19.940186,-314.20898,101.11084,-22.558594,299.90845,-13.092041,-22.558594,silence,0.0,
37.0,-83.78906,-34.039307,334.552,-263.25073,108.76465,-412.5,-12.689209,63.043213,silence,0.0,
42.0,-318.84155,-29.406738,393.36548,-192.15088,62.036133,-412.5,-7.6538086,76.7395,silence,0.0,
59.0,-15.106201,-2.6184082,-143.20679,199.20044,-90.43579,412.29858,-7.8552246,4.2297363,silence,0.0,
62.0,307.9651,17.72461,-412.29858,242.10205,-84.59473,412.29858,-12.286377,-35.44922,silence,0.0,
63.0,77.74658,-20.947266,24.371338,-86.206055,53.778076,-350.06104,-18.328857,36.053467,silence,0.0,
65.0,-275.3357,-56.5979,-412.5,-283.99658,114.4043,-412.5,-12.689209,94.262695,silence,0.0,
66.0,-203.22876,-6.4453125,89.227295,30.81665,-16.516113,26.385498,-17.926025,65.25879,silence,0.0,
79.0,233.44116,23.565674,-409.8816,282.18384,-110.17456,412.29858,-26.385498,-13.897705,silence,0.0,
80.0,270.09888,2.8198242,-242.90771,53.375244,-7.0495605,224.17603,-20.544434,8.056641,silence,0.0,
82.0,-140.58838,-52.972412,369.19556,-277.9541,108.76465,-412.5,-15.509033,89.227295,silence,0.0,
84.0,-312.19482,-48.339844,395.9839,-175.03052,53.57666,-412.5,-17.926025,86.8103,silence,0.0,
86.0,-8.459473,-8.258057,-204.23584,234.24683,-99.90234,412.29858,-15.710449,2.2155762,silence,0.0,
95.0,315.8203,17.321777,-412.29858,220.34912,-71.30127,412.29858,-26.78833,-35.650635,silence,0.0,
97.0,54.986572,-19.134521,60.021973,-120.24536,69.488525,-412.5,-4.2297363,17.72461,silence,0.0,
99.0,-293.0603,-42.49878,-412.5,-268.89038,106.54907,-412.5,-4.6325684,82.177734,silence,0.0,
100.0,-158.11157,3.0212402,40.283203,52.770996,-30.413818,111.987305,3.6254883,22.357178,silence,0.0,
101.0,242.90771,38.47046,-412.29858,288.22632,-116.82129,412.29858,-9.667969,-38.067627,silence,0.0,
112.0,259.62524,14.099121,-181.47583,16.918945,4.2297363,127.29492,6.2438965,-24.169922,silence,0.0,
114.0,-177.44751,-32.83081,386.71875,-271.30737,107.75757,-412.5,1.4099121,53.778076,silence,0.0,
115.0,-292.05322,-17.926025,347.64404,-138.77563,39.276123,-353.4851,-10.876465,56.5979,silence,0.0,
116.0,46.5271,31.018066,-295.6787,256.4026,-109.77173,412.29858,-7.2509766,-31.622314,silence,0.0,
129.0,323.87695,29.80957,-410.88867,209.47266,-71.90552,412.29858,-15.911865,-33.233643,silence,0.0,
131.0,43.103027,-13.092041,97.48535,-167.1753,81.170654,-412.5,-21.75293,31.018066,silence,0.0,
132.0,-285.20508,-43.304443,-412.5,-254.58984,95.47119,-412.5,-20.544434,88.220215,silence,0.0,
134.0,-95.47119,6.4453125,3.4240723,69.488525,-40.88745,297.69287,-24.169922,41.4917,silence,0.0,
146.0,278.96118,37.261963,-412.29858,290.84473,-119.036865,412.29858,-40.48462,-27.996826,silence,0.0,
148.0,242.7063,1.0070801,-123.065186,-18.127441,10.272217,91.44287,-36.053467,21.551514,silence,0.0,
150.0,-206.45142,-40.283203,401.2207,-284.60083,108.966064,-412.5,-33.636475,101.916504,silence,0.0,
152.0,-272.31445,-24.371338,299.90845,-87.81738,17.926025,-214.70947,-41.290283,98.0896,silence,0.0,
162.0,112.79297,30.212402,-340.7959,266.4734,-105.54199,412.29858,-38.269043,17.321777,silence,0.0,
164.0,337.57324,38.47046,-398.19946,197.79053,-60.827637,412.29858,-25.982666,-19.537354,silence,0.0,
166.0,26.385498,-0.60424805,158.91724,-214.50806,98.49243,-412.5,-14.099121,58.410645,silence,0.0,
167.0,-292.8589,-14.099121,408.6731,-240.69214,90.03296,-412.5,-20.141602,90.83862,silence,0.0,
