Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
1cfd57d7-cdea-491e-98e5-1a6d381bc8f4,5,05-03-2019_13-34-35,C4-B6,36,-8.5,24969x8,112009,13:32:43.361,13:34:35.390,4.498158,222.31323,µV,1551789021827,1551789275391,
Stimuli appearance,4018.0,7018.0,10008.0,13021.0,16019.0,19009.0,22022.0,25018.0,28018.0,31022.0,34016.0,37014.0,40020.0,43021.0,46017.0,49030.0,52014.0,55019.0,58025.0,61018.0,64021.0,67018.0,70028.0,73015.0,76019.0,79031.0,82018.0,85028.0,88022.0,91021.0,94028.0,97022.0,100017.0,103022.0,106029.0,109018.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,208.06274,1.8127441,-134.34448,-17.321777,23.76709,39.276123,71.90552,-48.138428,silence,0.0,
2.0,-187.92114,14.300537,362.146,-242.10205,123.065186,-412.5,52.56958,23.76709,silence,0.0,
4.0,-282.38525,17.523193,295.4773,-84.59473,10.473633,-322.66846,37.46338,7.8552246,silence,0.0,
6.0,40.48462,13.494873,-297.08862,221.75903,-119.23828,412.29858,20.74585,-52.972412,silence,0.0,
19.0,279.1626,11.682129,-372.01538,160.9314,-59.21631,412.29858,17.72461,-61.23047,silence,0.0,
21.0,8.862305,15.710449,138.3728,-179.46167,105.13916,-412.5,21.954346,6.4453125,silence,0.0,
23.0,-295.07446,17.120361,409.47876,-207.86133,87.213135,-412.5,24.572754,33.43506,silence,0.0,
29.0,-117.022705,16.516113,-14.300537,77.74658,-64.25171,376.44653,10.272217,-13.293457,silence,0.0,
36.0,222.5647,21.148682,-412.29858,238.07373,-115.81421,412.29858,25.982666,-77.74658,silence,0.0,
39.0,181.27441,25.378418,-94.66553,-39.074707,34.84497,7.8552246,25.78125,-49.749756,silence,0.0,
42.0,-198.19336,12.689209,378.86353,-240.89355,123.87085,-412.5,38.269043,37.060547,silence,0.0,
44.0,-272.11304,14.099121,236.86523,-43.103027,-5.0354004,-232.03125,33.43506,-8.459473,silence,0.0,
46.0,73.31543,31.82373,-337.1704,231.82983,-129.30908,412.29858,37.060547,-69.488525,silence,0.0,
71.0,275.73853,9.667969,-357.312,140.38696,-48.339844,412.29858,44.714355,-87.01172,silence,0.0,
73.0,1.8127441,5.2368164,209.06982,-202.82593,106.54907,-412.5,48.94409,-23.364258,silence,0.0,
75.0,-300.91553,5.8410645,399.00513,-186.51123,74.72534,-412.5,43.50586,21.75293,silence,0.0,
77.0,-77.545166,3.8269043,-46.728516,108.1604,-84.191895,412.29858,28.198242,-26.989746,silence,0.0,
78.0,252.97852,15.307617,-412.29858,230.41992,-105.340576,412.29858,13.494873,-81.170654,silence,0.0,
79.0,159.11865,5.6396484,-47.735596,-49.95117,42.297363,-99.49951,23.565674,-49.346924,silence,0.0,
81.0,-219.54346,3.0212402,406.86035,-247.33887,118.83545,-412.5,15.509033,25.78125,silence,0.0,
82.0,-252.7771,14.904785,181.47583,-8.862305,-17.321777,-169.18945,40.48462,7.8552246,silence,0.0,
83.0,157.30591,17.321777,-364.16016,233.44116,-121.65527,412.29858,29.003906,-75.128174,silence,0.0,
84.0,291.04614,9.466553,-339.78882,107.958984,-33.233643,372.01538,20.544434,-70.69702,silence,0.0,
85.0,-15.509033,7.4523926,268.28613,-217.93213,110.980225,-412.5,1.4099121,5.4382324,silence,0.0,
87.0,-294.4702,7.8552246,376.44653,-172.00928,68.07861,-412.5,10.473633,41.89453,silence,0.0,
88.0,-43.304443,1.6113281,-90.43579,148.64502,-99.49951,412.29858,8.660889,-18.73169,silence,0.0,
95.0,291.8518,11.077881,-412.29858,212.09106,-101.71509,412.29858,-3.0212402,-73.31543,silence,0.0,
96.0,130.51758,-0.20141602,-17.523193,-67.07153,48.339844,-255.39551,22.558594,-19.335938,silence,0.0,
110.0,-218.13354,1.4099121,-412.5,-238.67798,122.86377,-412.5,17.926025,43.50586,silence,0.0,
126.0,-213.90381,1.6113281,119.036865,20.74585,-27.996826,-61.6333,11.682129,11.480713,silence,0.0,
