Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
9fb9f26c-647d-4547-946b-15fcadab9cf8,1,05-03-2019_15-33-01,A4,36,0.0,24973x8,112007,15:31:09.530,15:33:01.565,4.485503,222.94043,µV,0,1551796381566,
Stimuli appearance,4103.0,7018.0,10006.0,13015.0,16014.0,19017.0,22013.0,25018.0,28008.0,31012.0,34016.0,37012.0,40017.0,43009.0,46016.0,49012.0,52015.0,55024.0,58013.0,61024.0,64017.0,67018.0,70015.0,73018.0,76024.0,79022.0,82031.0,85019.0,88025.0,91022.0,94022.0,97031.0,100020.0,103030.0,106022.0,109020.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.5,83.78906,-83.78906,-42.700195,31.018066,0.0,36.053467,-1.2084961,silence,0.0,
1.0,-412.5,79.35791,-8.862305,57.20215,-20.544434,0.80566406,26.385498,-0.60424805,silence,0.0,
3.0,-412.29858,-55.389404,6.0424805,158.11157,-45.318604,-0.60424805,21.148682,-0.20141602,silence,0.0,
21.0,-412.29858,-87.61597,-76.94092,68.88428,-5.2368164,0.60424805,16.516113,-0.40283203,silence,0.0,
23.0,311.38916,24.169922,-117.022705,-52.166748,39.47754,-0.40283203,42.095947,0.20141602,silence,0.0,
25.0,-412.5,103.52783,-32.025146,-1.2084961,12.084961,0.80566406,44.714355,-0.20141602,silence,0.0,
27.0,-177.64893,9.667969,24.572754,115.20996,-30.212402,0.20141602,18.530273,0.40283203,silence,0.0,
29.0,-412.29858,-86.8103,-20.544434,117.62695,-26.385498,0.20141602,18.530273,-0.20141602,silence,0.0,
30.0,-173.21777,-38.87329,-114.001465,-15.509033,19.134521,1.0070801,48.54126,0.40283203,silence,0.0,
35.0,-412.5,79.96216,-78.149414,-42.90161,32.629395,-0.20141602,47.131348,0.20141602,silence,0.0,
37.0,378.4607,62.036133,10.272217,77.142334,-22.961426,0.60424805,25.78125,0.0,silence,0.0,
39.0,-412.29858,-82.177734,4.4311523,147.2351,-41.4917,-0.40283203,12.084961,0.40283203,silence,0.0,
41.0,-412.29858,-91.64429,-83.78906,61.431885,5.0354004,0.60424805,25.579834,0.0,silence,0.0,
43.0,344.82422,22.155762,-112.39014,-61.834717,40.686035,0.20141602,40.081787,1.0070801,silence,0.0,
66.0,-412.5,102.319336,-21.75293,4.2297363,8.258057,0.0,26.586914,0.20141602,silence,0.0,
