Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
f02695e3-9cb1-4ca5-9ceb-b6979a2d6003,2,05-03-2019_15-35-37,A4,36,0.0,24972x8,112006,15:33:45.463,15:35:37.490,4.4856057,222.93533,µV,1551796269559,1551796537491,
Stimuli appearance,4018.0,7023.0,10026.0,13015.0,16022.0,19018.0,22023.0,25028.0,28022.0,31026.0,34018.0,37037.0,40020.0,43026.0,46022.0,49020.0,52029.0,55028.0,58028.0,61034.0,64034.0,67027.0,70024.0,73030.0,76026.0,79034.0,82025.0,85031.0,88039.0,91029.0,94037.0,97026.0,100028.0,103023.0,106032.0,109038.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.29858,-126.086426,12.487793,116.41846,-43.103027,1.2084961,-6.4453125,0.0,silence,0.0,
17.0,-347.0398,-50.55542,-97.48535,-61.23047,28.399658,-0.20141602,22.155762,-0.40283203,silence,0.0,
19.0,-412.5,124.87793,-25.982666,-134.74731,53.778076,0.0,37.86621,-0.40283203,silence,0.0,
21.0,-412.5,90.83862,64.05029,-2.6184082,-5.8410645,0.60424805,13.494873,-0.80566406,silence,0.0,
23.0,-412.29858,-89.42871,60.62622,161.73706,-62.64038,0.20141602,-2.8198242,-0.40283203,silence,0.0,
24.0,-412.29858,-105.54199,-61.6333,40.283203,-16.516113,0.0,15.307617,0.0,silence,0.0,
35.0,358.72192,44.311523,-68.88428,-116.82129,54.785156,-0.60424805,31.82373,-0.40283203,silence,0.0,
37.0,-412.5,130.719,37.060547,-71.30127,25.579834,-0.20141602,19.73877,-0.60424805,silence,0.0,
39.0,-165.16113,-22.558594,80.76782,90.234375,-37.261963,0.0,1.8127441,-0.40283203,silence,0.0,
40.0,-412.29858,-122.058105,-1.2084961,106.34766,-42.49878,-0.80566406,-10.876465,0.60424805,silence,0.0,
42.0,-240.69214,-31.82373,-95.47119,-80.163574,29.80957,0.40283203,0.60424805,0.20141602,silence,0.0,
44.0,-412.5,129.10767,-16.71753,-125.88501,50.152588,-0.40283203,14.904785,-0.40283203,silence,0.0,
