Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
f2e143b2-c44b-4664-9236-60011bae184b,3,05-03-2019_15-38-02,A4,36,0.0,24968x8,112007,15:36:10.556,15:38:02.584,4.485793,222.92603,µV,1551796425485,1551796682584,
Stimuli appearance,4018.0,7026.0,10021.0,13021.0,16031.0,19017.0,22026.0,25026.0,28021.0,31032.0,34020.0,37019.0,40020.0,43019.0,46020.0,49025.0,52033.0,55029.0,58023.0,61027.0,64026.0,67019.0,70023.0,73038.0,76029.0,79034.0,82030.0,85026.0,88024.0,91037.0,94034.0,97028.0,100030.0,103028.0,106034.0,109036.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.29858,-34.84497,71.7041,13.897705,2.0141602,-0.40283203,-38.269043,140.18555,silence,0.0,
2.0,-412.29858,-143.4082,132.1289,-104.53491,17.321777,-1.2084961,-37.46338,77.142334,silence,0.0,
3.0,-412.5,-13.696289,-34.240723,-48.138428,1.2084961,-0.80566406,-35.247803,-86.60889,silence,0.0,
17.0,-412.5,159.92432,-186.51123,112.18872,-12.286377,-1.2084961,-37.664795,-56.5979,silence,0.0,
18.0,-412.29858,72.10693,-55.389404,87.01172,-5.8410645,-1.6113281,-81.57349,131.92749,silence,0.0,
20.0,-412.29858,-94.66553,132.73315,-84.99756,15.710449,0.0,-55.792236,164.95972,silence,0.0,
21.0,-120.24536,-85.80322,43.50586,-105.944824,16.71753,-1.2084961,-36.4563,6.8481445,silence,0.0,
23.0,-412.5,99.298096,-128.90625,31.018066,-4.6325684,-1.6113281,-24.572754,-79.96216,silence,0.0,
25.0,-412.5,143.00537,-126.28784,136.35864,-22.961426,-2.0141602,-25.378418,43.304443,silence,0.0,
27.0,-412.29858,-53.57666,82.177734,3.8269043,2.2155762,-0.80566406,-29.003906,164.95972,silence,0.0,
29.0,-412.29858,-134.5459,126.086426,-104.13208,13.293457,-0.60424805,-18.328857,64.85596,silence,0.0,
40.0,-412.5,7.4523926,-60.827637,-36.4563,2.2155762,-0.80566406,17.120361,-106.34766,silence,0.0,
41.0,-412.5,170.59937,-176.0376,109.57031,-14.099121,-0.60424805,18.127441,-75.73242,silence,0.0,
43.0,-412.29858,65.66162,-38.87329,75.531006,-12.689209,-1.6113281,19.537354,100.10376,silence,0.0,
45.0,-412.29858,-104.937744,133.94165,-95.269775,10.070801,-1.6113281,5.0354004,119.036865,silence,0.0,
47.0,86.00464,-63.64746,32.226562,-100.70801,17.523193,-0.60424805,38.47046,-58.20923,silence,0.0,
72.0,-412.5,109.3689,-144.6167,50.756836,-10.876465,-1.6113281,34.84497,-139.78271,silence,0.0,
74.0,385.9131,133.53882,-122.058105,122.86377,-14.703369,-0.80566406,13.092041,15.710449,silence,0.0,
76.0,-412.29858,-60.827637,92.248535,-11.883545,7.0495605,-1.4099121,-14.099121,139.98413,silence,0.0,
77.0,-412.29858,-123.065186,114.80713,-113.80005,16.113281,-1.6113281,-2.4169922,22.357178,silence,0.0,
78.0,-412.5,35.85205,-84.99756,-15.509033,3.2226562,-1.2084961,6.8481445,-133.53882,silence,0.0,
80.0,-412.5,162.34131,-174.42627,110.37598,-15.911865,-1.4099121,-15.106201,-62.036133,silence,0.0,
81.0,-412.29858,44.311523,-19.537354,73.71826,-5.8410645,-1.0070801,-31.420898,132.73315,silence,0.0,
