Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
1ebb871c-fe86-452a-a88e-daaa736adde0,4,05-03-2019_15-40-42,A4,36,0.0,24973x8,112006,15:38:50.160,15:40:42.183,4.485857,222.92285,µV,1551796570577,1551796842183,
Stimuli appearance,4027.0,7018.0,10016.0,13019.0,16018.0,19017.0,22023.0,25018.0,28017.0,31033.0,34014.0,37024.0,40028.0,43020.0,46026.0,49026.0,52028.0,55024.0,58023.0,61029.0,64020.0,67024.0,70025.0,73033.0,76022.0,79031.0,82021.0,85032.0,88030.0,91026.0,94029.0,97033.0,100030.0,103017.0,106030.0,109027.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.29858,-16.314697,62.23755,32.83081,-2.4169922,-0.80566406,-30.010986,171.0022,silence,0.0,
1.0,-412.29858,-158.71582,147.83936,-109.16748,22.961426,-1.6113281,-27.996826,93.65845,silence,0.0,
16.0,-412.5,-22.155762,-11.480713,-68.88428,10.272217,-1.8127441,-2.8198242,-110.37598,silence,0.0,
18.0,-412.5,145.42236,-184.69849,109.16748,-28.399658,-1.0070801,-25.378418,-120.043945,silence,0.0,
23.0,-372.2168,77.34375,-54.382324,95.269775,-22.357178,-1.6113281,-49.145508,101.51367,silence,0.0,
25.0,-412.29858,-98.89526,125.079346,-52.368164,16.516113,-1.2084961,-42.90161,169.7937,silence,0.0,
26.0,-388.5315,-94.86694,56.799316,-120.043945,20.947266,-0.80566406,-21.350098,-4.4311523,silence,0.0,
28.0,-412.5,97.48535,-123.2666,20.141602,-6.8481445,-1.2084961,-18.73169,-154.48608,silence,0.0,
32.0,-412.5,153.07617,-150.65918,126.28784,-27.996826,-1.4099121,-19.335938,3.6254883,silence,0.0,
33.0,-412.29858,-32.42798,79.76074,13.494873,0.80566406,-0.60424805,-25.78125,176.44043,silence,0.0,
34.0,-412.29858,-134.74731,130.51758,-114.60571,27.191162,-0.20141602,-11.480713,93.0542,silence,0.0,
41.0,-412.5,-6.6467285,-33.83789,-59.417725,1.8127441,-0.60424805,-16.71753,-107.15332,silence,0.0,
42.0,-412.5,152.87476,-181.67725,105.340576,-18.933105,-1.2084961,-11.480713,-94.06128,silence,0.0,
44.0,-412.29858,62.23755,-39.47754,89.02588,-11.682129,-1.4099121,-2.2155762,120.043945,silence,0.0,
46.0,-412.29858,-100.10376,137.56714,-69.89136,20.343018,-1.2084961,-7.4523926,154.88892,silence,0.0,
47.0,-140.99121,-88.0188,42.700195,-103.930664,18.328857,-1.8127441,28.601074,-41.89453,silence,0.0,
70.0,-412.5,101.916504,-137.56714,26.989746,-7.4523926,-1.8127441,20.141602,-144.6167,silence,0.0,
71.0,-412.5,141.59546,-123.2666,130.92041,-28.399658,-0.20141602,-5.6396484,4.6325684,silence,0.0,
73.0,-412.29858,-59.21631,91.44287,3.2226562,1.0070801,-0.40283203,-20.544434,171.0022,silence,0.0,
74.0,-412.29858,-137.96997,128.302,-106.75049,28.80249,-0.60424805,-14.501953,64.05029,silence,0.0,
76.0,-412.5,3.0212402,-65.25879,-42.90161,3.2226562,-1.2084961,11.279297,-131.92749,silence,0.0,
77.0,-412.5,158.31299,-173.41919,114.4043,-23.162842,-0.80566406,13.494873,-92.04712,silence,0.0,
91.0,-412.29858,45.318604,-26.78833,89.227295,-16.516113,-0.80566406,-12.689209,122.66235,silence,0.0,
93.0,-412.29858,-119.4397,145.42236,-85.60181,22.558594,-0.60424805,-10.070801,139.78271,silence,0.0,
94.0,102.923584,-72.71118,30.212402,-103.72925,11.682129,-0.80566406,1.0070801,-68.68286,silence,0.0,
96.0,-412.5,103.326416,-140.99121,34.643555,-14.300537,-1.0070801,-10.070801,-138.97705,silence,0.0,
97.0,-412.5,124.4751,-115.81421,133.13599,-25.177002,-0.80566406,5.8410645,22.357178,silence,0.0,
98.0,-412.29858,-75.73242,103.326416,-6.2438965,11.480713,-1.4099121,-30.010986,181.27441,silence,0.0,
107.0,-412.29858,-143.00537,129.10767,-111.987305,22.76001,-1.2084961,-2.2155762,46.92993,silence,0.0,
109.0,-412.5,24.77417,-89.83154,-25.982666,4.4311523,-1.6113281,5.0354004,-124.87793,silence,0.0,
110.0,-412.5,159.92432,-175.23193,112.39014,-21.148682,-0.20141602,-6.8481445,-63.848877,silence,0.0,
112.0,-412.29858,32.629395,-15.106201,80.163574,-4.4311523,-1.4099121,-27.191162,153.479,silence,0.0,
124.0,-412.29858,-133.13599,151.86768,-92.65137,21.350098,-1.0070801,-35.85205,151.26343,silence,0.0,
127.0,352.47803,-56.799316,23.162842,-88.220215,18.127441,-1.0070801,-10.675049,-74.92676,silence,0.0,
128.0,-412.5,110.57739,-145.42236,63.24463,-22.357178,-1.8127441,-17.72461,-125.48218,silence,0.0,
130.0,272.9187,115.41138,-100.909424,127.49634,-20.141602,-0.60424805,-24.975586,38.269043,silence,0.0,
140.0,-412.29858,-85.60181,107.15332,-17.523193,8.660889,-1.8127441,-32.629395,172.2107,silence,0.0,
142.0,-412.29858,-134.5459,106.951904,-128.50342,21.75293,-2.0141602,-14.300537,34.44214,silence,0.0,
158.0,-412.5,53.17383,-103.52783,-10.473633,-2.0141602,-1.4099121,-8.056641,-132.93457,silence,0.0,
159.0,-412.5,159.7229,-166.36963,108.1604,-18.328857,-1.0070801,-22.155762,-63.24463,silence,0.0,
160.0,-412.29858,23.76709,11.480713,62.64038,-7.2509766,-0.60424805,-37.664795,138.17139,silence,0.0,
173.0,-412.29858,-145.8252,159.32007,-104.13208,19.73877,-1.6113281,-35.85205,119.036865,silence,0.0,
175.0,-412.5,-44.311523,13.293457,-88.220215,8.258057,-0.40283203,5.8410645,-100.909424,silence,0.0,
176.0,-412.5,116.61987,-158.91724,82.78198,-27.996826,-2.6184082,-18.530273,-140.99121,silence,0.0,
177.0,37.664795,91.64429,-78.35083,122.86377,-20.343018,-1.8127441,-18.73169,43.50586,silence,0.0,
178.0,-412.29858,-87.01172,111.38306,-24.169922,10.876465,-0.60424805,-21.551514,149.85352,silence,0.0,
179.0,-412.29858,-126.086426,88.82446,-126.086426,30.212402,-0.40283203,-4.8339844,-10.272217,silence,0.0,
191.0,-412.5,73.11401,-113.80005,-1.8127441,-2.4169922,-0.20141602,11.682129,-168.5852,silence,0.0,
192.0,-412.5,153.27759,-166.36963,116.015625,-21.551514,-2.0141602,-12.487793,-46.325684,silence,0.0,
194.0,-412.29858,14.099121,43.50586,47.53418,1.2084961,-1.4099121,-17.321777,162.94556,silence,0.0,
207.0,-412.29858,-145.42236,150.05493,-105.944824,22.357178,-1.8127441,-13.494873,108.36182,silence,0.0,
208.0,-412.5,-40.686035,5.2368164,-78.75366,9.063721,-1.4099121,2.4169922,-106.34766,silence,0.0,
209.0,-412.5,127.29492,-173.6206,96.8811,-25.579834,-1.6113281,-8.056641,-123.065186,silence,0.0,
211.0,-209.87549,85.198975,-61.23047,105.13916,-15.911865,-0.40283203,-26.385498,91.04004,silence,0.0,
212.0,-412.29858,-85.60181,124.87793,-27.996826,10.876465,-1.6113281,-39.678955,180.26733,silence,0.0,
226.0,-412.29858,-113.1958,76.538086,-124.67651,17.72461,-0.40283203,-16.113281,12.890625,silence,0.0,
228.0,-412.5,83.184814,-115.41138,6.2438965,-6.8481445,-1.8127441,-20.141602,-131.52466,silence,0.0,
229.0,-412.5,146.63086,-157.50732,126.28784,-31.219482,-1.0070801,-34.44214,2.4169922,silence,0.0,
242.0,-412.29858,-18.73169,68.481445,27.79541,-1.6113281,-0.60424805,-43.707275,172.61353,silence,0.0,
