Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
283ac448-e229-4f4a-a7fa-2b1bea99f339,5,05-03-2019_15-43-02,A4,36,0.0,24979x8,112019,15:41:10.771,15:43:02.809,4.485853,222.92303,µV,1551796730177,1551796982810,
Stimuli appearance,4012.0,7026.0,10014.0,13020.0,16019.0,19026.0,22021.0,25016.0,28026.0,31011.0,34023.0,37027.0,40028.0,43024.0,46022.0,49029.0,52037.0,55025.0,58027.0,61017.0,64030.0,67031.0,70030.0,73034.0,76028.0,79033.0,82029.0,85030.0,88034.0,91038.0,94031.0,97027.0,100031.0,103028.0,106029.0,109040.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.5,-16.71753,-79.156494,33.032227,-9.063721,-116.82129,-42.700195,-157.91016,silence,0.0,
2.0,-412.5,206.85425,-150.05493,84.59473,1.0070801,-118.029785,-48.138428,-36.657715,silence,0.0,
4.0,-412.29858,107.958984,27.593994,-21.148682,24.169922,-116.61987,-74.72534,142.1997,silence,0.0,
6.0,-412.29858,-191.1438,130.92041,-87.61597,6.8481445,-117.62695,-59.21631,82.177734,silence,0.0,
8.0,-412.5,-155.29175,24.77417,-19.73877,-24.371338,-117.022705,-16.71753,-131.32324,silence,0.0,
10.0,-412.5,131.32324,-149.6521,88.42163,-7.8552246,-116.21704,-40.88745,-131.92749,silence,0.0,
23.0,-185.90698,207.05566,-72.71118,36.4563,17.72461,-117.22412,-11.480713,51.5625,silence,0.0,
25.0,-412.29858,-42.297363,99.09668,-81.7749,24.77417,-116.015625,-58.61206,117.42554,silence,0.0,
30.0,-209.47266,-217.12646,84.191895,-69.08569,-4.4311523,-116.41846,-19.940186,-32.42798,silence,0.0,
31.0,-412.5,1.0070801,-81.37207,40.081787,-15.911865,-116.015625,-9.063721,-173.21777,silence,0.0,
33.0,-412.5,218.7378,-132.53174,84.79614,1.4099121,-115.61279,-35.046387,-46.92993,silence,0.0,
34.0,-412.29858,80.56641,38.269043,-33.43506,27.191162,-115.20996,-45.52002,115.41138,silence,0.0,
35.0,-412.29858,-199.80469,134.94873,-92.85278,14.904785,-114.4043,-36.85913,40.081787,silence,0.0,
55.0,-412.5,-143.81104,6.0424805,-11.682129,-15.307617,-115.41138,-13.696289,-136.35864,silence,0.0,
57.0,-412.5,158.31299,-152.67334,83.78906,-5.4382324,-115.61279,-50.756836,-145.01953,silence,0.0,
59.0,-288.0249,198.39478,-61.834717,36.657715,15.106201,-115.008545,-52.368164,48.339844,silence,0.0,
61.0,-412.29858,-59.21631,108.76465,-91.44287,20.74585,-115.41138,-31.82373,106.14624,silence,0.0,
62.0,-26.78833,-221.75903,79.156494,-63.64746,-8.660889,-114.80713,-32.025146,-61.23047,silence,0.0,
63.0,-412.5,15.307617,-89.42871,46.728516,-18.73169,-115.20996,-7.8552246,-156.90308,silence,0.0,
64.0,-412.5,216.52222,-122.058105,74.12109,11.883545,-114.4043,-21.954346,-19.537354,silence,0.0,
65.0,-412.29858,57.20215,51.5625,-33.43506,22.558594,-113.39722,-46.728516,133.13599,silence,0.0,
66.0,-412.29858,-201.2146,126.690674,-82.78198,3.6254883,-113.59863,-71.30127,23.364258,silence,0.0,
67.0,-412.5,-124.4751,-15.710449,1.8127441,-13.897705,-114.4043,6.2438965,-149.24927,silence,0.0,
69.0,-412.5,180.26733,-150.05493,82.177734,-7.4523926,-114.001465,-29.406738,-111.987305,silence,0.0,
77.0,-378.05786,182.08008,-51.5625,30.81665,15.911865,-113.59863,-29.003906,73.91968,silence,0.0,
