Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
16072504-577a-4a2e-ab74-3079d9b6fe29,1,05-03-2019_15-47-12,A5,36,-8.5,24963x8,112009,15:45:20.151,15:47:12.187,4.4861813,222.90674,µV,1551797048919,1551797232187,
Stimuli appearance,4012.0,7020.0,10012.0,13017.0,16009.0,19016.0,22011.0,25016.0,28017.0,31022.0,34018.0,37017.0,40026.0,43026.0,46013.0,49021.0,52020.0,55025.0,58014.0,61027.0,64011.0,67024.0,70027.0,73020.0,76019.0,79029.0,82024.0,85027.0,88027.0,91031.0,94026.0,97025.0,100028.0,103028.0,106025.0,109027.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.5,131.12183,-307.56226,185.70557,208.26416,-2.6184082,1.8127441,-166.36963,silence,0.0,
2.0,326.09253,245.3247,-304.54102,225.1831,197.79053,-2.0141602,4.2297363,18.933105,silence,0.0,
4.0,-412.29858,-58.410645,-129.91333,204.03442,108.36182,-2.6184082,-21.350098,183.08716,silence,0.0,
16.0,-412.29858,-239.08081,-98.69385,176.0376,86.206055,-3.0212402,-4.0283203,44.51294,silence,0.0,
18.0,-412.5,-33.43506,-259.021,181.47583,171.60645,-3.0212402,27.79541,-169.99512,silence,0.0,
20.0,-412.5,266.27197,-330.12085,220.34912,210.0769,-2.8198242,20.544434,-95.269775,silence,0.0,
22.0,-412.29858,119.23828,-218.53638,218.13354,146.63086,-2.6184082,1.2084961,131.52466,silence,0.0,
24.0,-412.29858,-181.27441,-80.96924,169.18945,78.95508,-3.4240723,-5.0354004,143.60962,silence,0.0,
26.0,203.02734,-164.55688,-172.2107,165.36255,128.90625,-3.2226562,32.226562,-97.88818,silence,0.0,
28.0,-412.5,134.5459,-310.5835,192.75513,220.1477,-4.2297363,33.032227,-168.78662,silence,0.0,
29.0,235.05249,222.36328,-285.80933,218.93921,188.52539,-2.4169922,15.307617,25.579834,silence,0.0,
30.0,-412.29858,-91.44287,-120.64819,189.73389,109.57031,-2.4169922,-32.025146,166.97388,silence,0.0,
31.0,-412.29858,-236.05957,-103.72925,153.88184,98.69385,-3.2226562,-2.4169922,-15.307617,silence,0.0,
33.0,-412.5,10.473633,-273.32153,169.7937,188.12256,-1.8127441,36.053467,-218.13354,silence,0.0,
44.0,-412.5,260.02808,-320.05005,201.61743,216.72363,-4.0283203,17.523193,-118.43262,silence,0.0,
47.0,-412.29858,97.68677,-205.0415,209.87549,136.35864,-1.4099121,2.8198242,105.944824,silence,0.0,
48.0,-412.29858,-210.88257,-81.37207,161.53564,89.83154,-4.0283203,-5.0354004,88.62305,silence,0.0,
50.0,356.10352,-137.1643,-181.67725,162.34131,136.76147,-2.8198242,32.629395,-156.29883,silence,0.0,
52.0,-412.5,152.06909,-317.63306,199.60327,223.97461,-3.2226562,41.290283,-218.53638,silence,0.0,
78.0,44.714355,207.25708,-265.06348,214.30664,186.51123,-2.6184082,27.593994,-3.8269043,silence,0.0,
79.0,-412.29858,-103.72925,-114.4043,192.3523,103.72925,-2.2155762,1.6113281,122.66235,silence,0.0,
81.0,-412.29858,-232.6355,-120.84961,152.87476,102.72217,-2.8198242,20.947266,-52.166748,silence,0.0,
83.0,-412.5,49.54834,-278.75977,178.05176,183.08716,-2.6184082,28.399658,-224.37744,silence,0.0,
85.0,-412.5,259.2224,-326.49536,210.47974,215.31372,-2.4169922,18.328857,-100.909424,silence,0.0,
87.0,-412.29858,68.88428,-171.40503,206.65283,124.072266,-3.8269043,-20.74585,120.24536,silence,0.0,
88.0,-412.29858,-243.31055,-79.76074,171.0022,87.213135,-3.4240723,0.80566406,73.11401,silence,0.0,
89.0,-412.5,-114.4043,-194.36646,164.95972,142.40112,-2.6184082,22.155762,-167.77954,silence,0.0,
92.0,-412.5,176.64185,-327.50244,201.41602,223.37036,-4.0283203,35.046387,-180.87158,silence,0.0,
94.0,-146.63086,188.52539,-257.61108,212.89673,182.08008,-2.8198242,-14.300537,55.792236,silence,0.0,
100.0,-412.29858,-117.62695,-109.3689,185.70557,93.0542,-3.4240723,-9.063721,153.479,silence,0.0,
102.0,-378.6621,-220.1477,-130.719,152.67334,110.980225,-2.4169922,-0.80566406,-33.032227,silence,0.0,
104.0,-412.5,83.38623,-289.83765,177.85034,196.1792,-3.0212402,28.399658,-182.2815,silence,0.0,
106.0,-412.5,247.7417,-320.6543,201.01318,213.29956,-3.6254883,3.2226562,-23.76709,silence,0.0,
108.0,-412.29858,42.49878,-152.67334,201.61743,127.89917,-2.0141602,-24.169922,183.89282,silence,0.0,
113.0,-412.29858,-248.74878,-86.8103,161.73706,90.234375,-3.2226562,-6.0424805,96.276855,silence,0.0,
115.0,-412.5,-91.64429,-202.4231,157.50732,159.52148,-2.6184082,21.148682,-141.79688,silence,0.0,
117.0,-412.5,204.03442,-332.53784,205.0415,220.1477,-3.6254883,4.2297363,-140.38696,silence,0.0,
129.0,-353.08228,175.03052,-247.54028,208.06274,173.6206,-2.6184082,4.6325684,111.987305,silence,0.0,
130.0,-412.29858,-123.065186,-104.53491,174.42627,85.60181,-2.6184082,5.2368164,175.63477,silence,0.0,
132.0,-260.4309,-197.79053,-151.66626,150.8606,113.39722,-3.4240723,31.018066,-41.693115,silence,0.0,
134.0,-412.5,110.17456,-289.63623,179.8645,192.15088,-2.6184082,36.657715,-177.2461,silence,0.0,
