Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
61f18389-e9ac-4b5e-bc64-5aa9769a1f9b,2,05-03-2019_15-49-17,A5,36,-8.5,24962x8,112008,15:47:25.038,15:49:17.068,4.4863176,222.89996,µV,1551797120178,1551797357068,
Stimuli appearance,4017.0,7017.0,10023.0,13022.0,16029.0,19019.0,22019.0,25011.0,28019.0,31026.0,34023.0,37025.0,40019.0,43024.0,46022.0,49021.0,52026.0,55017.0,58024.0,61016.0,64027.0,67021.0,70027.0,73026.0,76023.0,79024.0,82022.0,85033.0,88018.0,91026.0,94028.0,97025.0,100035.0,103023.0,106027.0,109031.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.29858,-225.58594,92.85278,-31.622314,-49.749756,0.0,-15.307617,-12.487793,silence,0.0,
1.0,-412.5,-109.77173,-33.83789,10.675049,-0.60424805,0.40283203,-6.8481445,-146.63086,silence,0.0,
4.0,-412.5,215.51514,-117.42554,32.226562,49.145508,0.20141602,-22.76001,-111.18164,silence,0.0,
5.0,-362.146,174.62769,-37.86621,5.6396484,20.343018,0.60424805,-26.586914,60.22339,silence,0.0,
22.0,-412.29858,-135.95581,102.11792,-37.46338,-54.382324,0.20141602,-3.8269043,53.17383,silence,0.0,
25.0,139.37988,-207.86133,41.89453,-14.300537,-30.615234,-0.20141602,3.4240723,-99.49951,silence,0.0,
28.0,-412.5,55.389404,-85.60181,33.233643,41.4917,-0.20141602,-21.148682,-154.28467,silence,0.0,
29.0,184.8999,237.26807,-86.8103,29.205322,38.671875,-0.40283203,-21.75293,-25.378418,silence,0.0,
31.0,-412.29858,-4.2297363,55.18799,-14.904785,-24.975586,0.40283203,-39.88037,91.44287,silence,0.0,
56.0,-412.29858,-228.40576,88.62305,-32.83081,-51.159668,-0.60424805,-27.191162,-35.247803,silence,0.0,
58.0,-412.5,-77.34375,-43.103027,12.286377,11.682129,-0.40283203,15.509033,-169.7937,silence,0.0,
60.0,-412.5,222.16187,-119.84253,30.615234,52.770996,0.40283203,-6.0424805,-90.43579,silence,0.0,
61.0,-400.41504,150.8606,-12.487793,0.40283203,4.2297363,-0.40283203,-28.601074,49.749756,silence,0.0,
63.0,-412.29858,-173.21777,111.18164,-33.233643,-53.57666,0.40283203,-20.343018,44.311523,silence,0.0,
64.0,230.2185,-200.20752,40.686035,-9.667969,-29.406738,0.0,-5.4382324,-108.1604,silence,0.0,
66.0,-412.5,79.35791,-104.53491,33.233643,46.5271,-0.60424805,1.2084961,-150.05493,silence,0.0,
67.0,24.371338,236.86523,-70.09277,17.321777,39.678955,0.0,-5.6396484,-4.4311523,silence,0.0,
69.0,-412.29858,-13.696289,58.007812,-16.918945,-31.018066,-0.40283203,-31.219482,87.01172,silence,0.0,
70.0,-381.28052,-223.57178,79.156494,-26.184082,-47.332764,0.0,6.2438965,-35.046387,silence,0.0,
72.0,-412.5,-33.636475,-55.792236,9.063721,20.343018,0.40283203,17.926025,-170.59937,silence,0.0,
78.0,-412.5,226.79443,-112.39014,28.80249,53.17383,-0.20141602,-6.0424805,-89.42871,silence,0.0,
80.0,-412.29858,132.73315,10.876465,-1.8127441,-5.0354004,0.20141602,4.6325684,66.6687,silence,0.0,
81.0,-412.29858,-200.61035,103.52783,-30.010986,-52.972412,-0.20141602,2.8198242,33.636475,silence,0.0,
83.0,284.198,-178.45459,24.169922,-10.272217,-19.940186,0.0,19.73877,-144.41528,silence,0.0,
84.0,-412.5,110.980225,-108.36182,35.247803,44.714355,-1.4099121,7.0495605,-154.08325,silence,0.0,
86.0,-132.93457,229.61426,-67.07153,18.933105,32.42798,0.0,-36.4563,14.904785,silence,0.0,
92.0,-412.29858,-41.4917,69.08569,-22.558594,-31.622314,0.60424805,13.494873,71.7041,silence,0.0,
107.0,-307.36084,-239.68506,76.33667,-27.191162,-51.361084,-0.60424805,33.032227,-52.166748,silence,0.0,
109.0,-412.5,-14.300537,-60.22339,15.911865,21.551514,0.0,26.78833,-164.7583,silence,0.0,
111.0,403.03345,212.09106,-103.326416,29.205322,51.5625,-1.2084961,7.4523926,-63.043213,silence,0.0,
113.0,-412.29858,93.65845,22.76001,-4.8339844,-9.869385,-0.20141602,1.8127441,59.820557,silence,0.0,
114.0,-412.29858,-213.50098,102.319336,-33.032227,-54.986572,1.4099121,16.918945,6.2438965,silence,0.0,
116.0,324.4812,-173.01636,17.523193,-8.862305,-6.4453125,-0.20141602,16.71753,-149.6521,silence,0.0,
117.0,-412.5,148.24219,-110.980225,35.44922,45.117188,0.0,6.2438965,-146.22803,silence,0.0,
126.0,-245.72754,204.03442,-46.92993,12.286377,33.43506,0.0,-2.2155762,24.572754,silence,0.0,
