Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
e0c257c9-8ba4-4c1f-b0a7-ecbb33329a0d,3,05-03-2019_15-51-35,A5,36,-8.5,24952x8,111996,15:49:43.707,15:51:35.744,4.486577,222.88707,µV,1551797245060,1551797495744,
Stimuli appearance,3996.0,6993.0,9991.0,13003.0,15998.0,19002.0,21998.0,25002.0,27992.0,31000.0,34003.0,37010.0,40007.0,43006.0,46012.0,49012.0,52004.0,55014.0,58001.0,61008.0,64005.0,67009.0,70014.0,73012.0,76013.0,79012.0,82014.0,85006.0,88011.0,91011.0,94007.0,97012.0,100004.0,103011.0,106008.0,109015.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,194.9707,-126.89209,-30.010986,10.876465,-57.000732,-0.60424805,38.47046,-117.022705,silence,0.0,
1.0,-412.5,120.84961,-139.78271,38.87329,-33.032227,0.20141602,23.968506,-129.30908,silence,0.0,
3.0,-51.159668,148.64502,-93.0542,15.307617,10.876465,-1.0070801,19.940186,23.364258,silence,0.0,
6.0,-412.29858,-57.403564,21.75293,-20.343018,-3.0212402,-0.60424805,32.025146,60.22339,silence,0.0,
7.0,-359.729,-190.33813,2.4169922,-5.6396484,-42.49878,-0.20141602,48.339844,-66.87012,silence,0.0,
8.0,-412.5,11.279297,-99.09668,29.205322,-46.5271,0.20141602,47.131348,-167.98096,silence,0.0,
9.0,-412.5,167.37671,-132.73315,32.42798,-2.6184082,-0.20141602,8.459473,-70.89844,silence,0.0,
19.0,-412.29858,22.76001,-15.911865,-7.2509766,16.314697,-0.80566406,19.134521,54.58374,silence,0.0,
21.0,-412.29858,-172.2107,33.233643,-7.8552246,-23.162842,-0.20141602,18.73169,-19.940186,silence,0.0,
22.0,251.97144,-109.973145,-55.389404,16.918945,-61.6333,-0.60424805,26.385498,-165.16113,silence,0.0,
23.0,-412.5,154.6875,-153.479,39.88037,-37.664795,-0.60424805,4.6325684,-154.08325,silence,0.0,
25.0,-144.41528,130.31616,-87.41455,12.890625,10.675049,-0.40283203,0.20141602,-2.6184082,silence,0.0,
26.0,-412.29858,-83.184814,31.219482,-23.162842,1.8127441,-1.0070801,-3.6254883,32.83081,silence,0.0,
27.0,-202.82593,-189.53247,4.8339844,3.8269043,-49.145508,-0.20141602,11.077881,-103.125,silence,0.0,
28.0,-412.5,23.968506,-111.58447,39.678955,-50.152588,-0.60424805,7.2509766,-179.8645,silence,0.0,
29.0,-412.5,177.85034,-129.91333,26.385498,-1.0070801,-1.4099121,13.696289,-69.08569,silence,0.0,
45.0,-412.29858,-4.8339844,-6.0424805,-12.890625,17.523193,-0.60424805,5.0354004,55.389404,silence,0.0,
47.0,-412.29858,-174.42627,27.593994,-13.092041,-28.198242,-0.40283203,31.622314,-31.219482,silence,0.0,
49.0,334.75342,-86.40747,-73.11401,17.72461,-51.5625,-0.60424805,43.103027,-165.56396,silence,0.0,
