Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
274defe3-e068-436c-a311-ef68d7a8198b,4,05-03-2019_15-55-41,A5,36,-8.5,24961x8,111993,15:53:49.640,15:55:41.674,4.48812,222.81042,µV,1551797383748,1551797741675,
Stimuli appearance,4000.0,7009.0,9998.0,13000.0,15994.0,19000.0,21991.0,25005.0,28000.0,30995.0,34004.0,36991.0,40001.0,42994.0,45996.0,48994.0,52003.0,55001.0,57997.0,61002.0,63999.0,67004.0,70005.0,73004.0,76004.0,79002.0,82010.0,85003.0,88009.0,91016.0,93997.0,97010.0,100014.0,103008.0,106016.0,109014.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-87.41455,22.961426,1.8127441,-5.6396484,10.473633,0.0,-3.8269043,20.544434,silence,0.0,
2.0,-224.17603,-37.060547,18.328857,-2.2155762,-4.6325684,0.0,-2.2155762,18.328857,silence,0.0,
21.0,29.003906,-30.413818,-2.2155762,4.8339844,-11.279297,-0.40283203,2.2155762,-14.501953,silence,0.0,
22.0,210.88257,24.77417,-30.010986,5.2368164,4.0283203,-0.20141602,1.4099121,-23.968506,silence,0.0,
24.0,19.73877,41.088867,-14.501953,-2.2155762,9.265137,-0.40283203,1.4099121,5.4382324,silence,0.0,
26.0,-214.50806,-7.8552246,11.883545,-5.6396484,1.2084961,-0.20141602,1.4099121,22.357178,silence,0.0,
27.0,-129.91333,-41.088867,8.258057,-0.20141602,-10.070801,-0.40283203,7.6538086,-4.6325684,silence,0.0,
29.0,182.2815,3.0212402,-17.523193,5.8410645,-2.2155762,-0.20141602,9.265137,-28.80249,silence,0.0,
30.0,152.06909,44.51294,-28.601074,1.6113281,11.480713,-0.20141602,7.4523926,-11.279297,silence,0.0,
31.0,-108.1604,16.314697,3.0212402,-4.4311523,7.2509766,-0.40283203,5.8410645,17.120361,silence,0.0,
32.0,-209.47266,-39.88037,15.710449,-2.0141602,-5.2368164,-0.20141602,6.8481445,10.876465,silence,0.0,
33.0,42.095947,-27.392578,-4.4311523,2.6184082,-9.466553,-0.20141602,11.682129,-21.551514,silence,0.0,
35.0,209.27124,32.42798,-29.205322,3.2226562,4.0283203,0.0,9.869385,-26.78833,silence,0.0,
37.0,-13.293457,38.067627,-14.703369,-2.0141602,11.077881,-0.20141602,5.4382324,6.8481445,silence,0.0,
39.0,-214.10522,-12.084961,14.904785,-6.2438965,-2.4169922,0.0,3.4240723,20.141602,silence,0.0,
43.0,-100.50659,-43.103027,8.660889,1.2084961,-11.883545,-0.20141602,8.258057,-6.2438965,silence,0.0,
63.0,193.7622,5.8410645,-20.74585,6.2438965,-5.0354004,-0.20141602,5.2368164,-23.364258,silence,0.0,
65.0,139.98413,44.714355,-25.78125,0.40283203,11.480713,0.0,-0.60424805,-3.6254883,silence,0.0,
66.0,-142.60254,8.660889,5.6396484,-5.8410645,6.8481445,0.0,-5.0354004,25.579834,silence,0.0,
67.0,-195.77637,-41.4917,14.300537,-1.2084961,-8.056641,-0.20141602,-0.80566406,14.703369,silence,0.0,
69.0,60.424805,-23.565674,-9.063721,4.8339844,-8.459473,-0.40283203,3.2226562,-14.501953,silence,0.0,
70.0,212.89673,38.067627,-31.622314,4.0283203,5.6396484,-0.20141602,5.4382324,-15.509033,silence,0.0,
71.0,-35.650635,34.240723,-10.675049,-2.6184082,10.876465,-0.20141602,-0.20141602,16.71753,silence,0.0,
73.0,-217.5293,-15.710449,16.71753,-4.8339844,-1.0070801,-0.20141602,-0.20141602,26.184082,silence,0.0,
74.0,-61.6333,-40.88745,4.6325684,0.80566406,-10.272217,-0.20141602,4.0283203,-4.2297363,silence,0.0,
76.0,200.81177,7.8552246,-20.947266,6.6467285,-3.2226562,-0.20141602,8.056641,-20.947266,silence,0.0,
81.0,125.88501,44.110107,-23.968506,2.0141602,11.077881,-0.20141602,1.4099121,3.0212402,silence,0.0,
82.0,-176.0376,3.8269043,8.862305,-4.8339844,5.8410645,-0.20141602,-1.6113281,27.191162,silence,0.0,
84.0,-180.87158,-38.87329,14.904785,-1.0070801,-9.063721,0.0,2.6184082,9.265137,silence,0.0,
85.0,77.74658,-18.530273,-11.279297,4.8339844,-7.2509766,-0.20141602,7.2509766,-20.947266,silence,0.0,
87.0,200.61035,41.088867,-29.003906,3.2226562,6.0424805,-0.20141602,7.8552246,-18.127441,silence,0.0,
88.0,-47.93701,32.226562,-9.667969,-2.2155762,9.466553,-0.20141602,4.0283203,13.696289,silence,0.0,
94.0,-219.14062,-24.572754,19.537354,-4.8339844,-3.2226562,-0.20141602,4.0283203,19.73877,silence,0.0,
96.0,-25.579834,-37.060547,2.8198242,2.4169922,-11.077881,-0.20141602,9.667969,-11.480713,silence,0.0,
110.0,198.7976,11.279297,-22.961426,5.8410645,-1.8127441,-0.20141602,7.0495605,-27.392578,silence,0.0,
112.0,103.930664,45.318604,-19.537354,-1.2084961,10.675049,-0.20141602,2.2155762,-1.6113281,silence,0.0,
126.0,-195.97778,1.0070801,9.869385,-5.8410645,3.4240723,-0.40283203,1.6113281,21.551514,silence,0.0,
127.0,-164.15405,-40.283203,12.689209,-0.40283203,-11.279297,-0.20141602,5.4382324,5.4382324,silence,0.0,
128.0,102.319336,-11.480713,-15.307617,5.8410645,-8.258057,-0.20141602,8.258057,-23.565674,silence,0.0,
129.0,186.91406,42.297363,-29.205322,2.8198242,6.8481445,-0.20141602,2.0141602,-12.487793,silence,0.0,
144.0,-63.24463,29.80957,-6.4453125,-2.8198242,10.876465,0.0,-1.4099121,23.162842,silence,0.0,
145.0,-223.57178,-31.82373,19.335938,-4.2297363,-5.6396484,0.0,-0.20141602,27.79541,silence,0.0,
146.0,1.6113281,-34.44214,2.2155762,3.2226562,-13.494873,-0.40283203,3.0212402,-9.063721,silence,0.0,
159.0,200.40894,15.106201,-26.184082,6.0424805,0.80566406,-0.20141602,3.0212402,-19.73877,silence,0.0,
161.0,67.67578,43.90869,-19.537354,-0.40283203,10.675049,0.0,0.60424805,6.6467285,silence,0.0,
162.0,-207.4585,-1.0070801,9.466553,-5.8410645,4.2297363,0.20141602,-4.6325684,28.601074,silence,0.0,
163.0,-151.86768,-41.088867,11.077881,-1.4099121,-11.077881,-0.20141602,4.2297363,5.6396484,silence,0.0,
165.0,138.77563,-6.2438965,-15.509033,4.0283203,-7.2509766,0.0,8.056641,-22.558594,silence,0.0,
177.0,172.00928,41.290283,-29.80957,0.60424805,8.862305,0.0,5.8410645,-12.286377,silence,0.0,
178.0,-77.34375,26.184082,-1.4099121,-5.8410645,9.466553,-0.20141602,3.0212402,20.343018,silence,0.0,
179.0,-221.15479,-34.039307,16.71753,-3.6254883,-3.8269043,-0.20141602,4.6325684,14.300537,silence,0.0,
180.0,21.75293,-30.212402,0.0,2.8198242,-10.070801,0.0,10.675049,-17.926025,silence,0.0,
182.0,200.81177,19.940186,-27.392578,5.4382324,3.0212402,-0.20141602,10.070801,-28.198242,silence,0.0,
183.0,31.420898,44.110107,-18.933105,-1.0070801,10.070801,-0.40283203,6.2438965,1.2084961,silence,0.0,
194.0,-210.47974,-5.6396484,9.869385,-6.4453125,1.6113281,-0.20141602,6.2438965,20.141602,silence,0.0,
195.0,-137.36572,-41.89453,8.459473,0.0,-10.675049,-0.20141602,6.2438965,-3.4240723,silence,0.0,
196.0,168.78662,-1.6113281,-15.911865,5.8410645,-7.2509766,-0.20141602,7.6538086,-26.184082,silence,0.0,
210.0,153.07617,42.49878,-28.80249,2.2155762,5.4382324,-0.20141602,3.4240723,-8.056641,silence,0.0,
212.0,-97.68677,19.537354,2.0141602,-5.2368164,0.60424805,0.20141602,1.8127441,22.155762,silence,0.0,
228.0,-212.29248,-37.86621,14.703369,-3.6254883,-2.8198242,-0.20141602,2.2155762,14.099121,silence,0.0,
230.0,37.46338,-28.601074,-1.8127441,3.2226562,-10.876465,0.0,5.0354004,-17.120361,silence,0.0,
231.0,206.45142,27.593994,-29.003906,5.6396484,4.8339844,-0.20141602,2.0141602,-17.321777,silence,0.0,
244.0,-3.4240723,41.088867,-15.307617,-3.0212402,13.897705,-0.20141602,2.2155762,12.084961,silence,0.0,
246.0,-209.87549,-8.862305,13.293457,-7.2509766,-4.2297363,0.20141602,0.80566406,27.191162,silence,0.0,
247.0,-111.78589,-43.304443,7.2509766,1.4099121,-12.487793,0.0,3.6254883,3.6254883,silence,0.0,
248.0,186.30981,0.60424805,-18.127441,5.0354004,-3.4240723,0.0,3.4240723,-21.551514,silence,0.0,
250.0,139.78271,43.707275,-28.198242,1.6113281,12.084961,-0.20141602,0.0,-4.2297363,silence,0.0,
251.0,-126.48926,12.689209,4.4311523,-5.8410645,8.258057,-0.20141602,-2.6184082,25.378418,silence,0.0,
261.0,-199.40186,-38.47046,15.710449,-2.2155762,-10.070801,-0.20141602,-2.2155762,7.6538086,silence,0.0,
263.0,51.361084,-29.003906,-4.0283203,2.4169922,-11.077881,-0.40283203,6.2438965,-21.954346,silence,0.0,
264.0,205.0415,33.636475,-29.406738,3.6254883,5.2368164,-0.20141602,7.2509766,-25.579834,silence,0.0,
277.0,-29.406738,38.47046,-12.084961,-3.2226562,10.473633,-0.20141602,6.2438965,4.2297363,silence,0.0,
278.0,-213.90381,-10.272217,15.106201,-4.4311523,-1.8127441,-0.40283203,5.2368164,7.8552246,silence,0.0,
279.0,-76.33667,-38.067627,6.0424805,3.0212402,-11.279297,-0.20141602,9.869385,-23.968506,silence,0.0,
295.0,193.35938,6.6467285,-18.933105,6.0424805,-1.4099121,-0.40283203,10.675049,-42.90161,silence,0.0,
297.0,126.086426,45.318604,-24.572754,0.0,13.696289,-0.20141602,5.6396484,-18.933105,silence,0.0,
298.0,-163.5498,7.0495605,8.459473,-5.2368164,6.6467285,-0.20141602,3.6254883,9.063721,silence,0.0,
300.0,-182.68433,-36.254883,13.897705,0.40283203,-10.876465,0.20141602,7.8552246,-3.6254883,silence,0.0,
