Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
57ea5cd3-0ec1-424d-ba53-6c1ca53cf289,5,05-03-2019_15-57-53,A5,36,-8.5,24959x8,111992,15:56:01.811,15:57:53.836,4.488773,222.77803,µV,1551797629682,1551797873836,
Stimuli appearance,3998.0,7002.0,10009.0,13001.0,16005.0,19007.0,22009.0,25000.0,28013.0,31014.0,34006.0,37008.0,40008.0,43009.0,46005.0,49005.0,51995.0,55006.0,58011.0,61006.0,64003.0,67007.0,70018.0,73007.0,76014.0,79016.0,82010.0,85010.0,88010.0,91011.0,94006.0,97016.0,100016.0,103008.0,106013.0,109009.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-76.94092,25.982666,-30.413818,-73.71826,24.77417,-139.17847,52.166748,-57.20215,silence,0.0,
2.0,186.1084,81.170654,-68.88428,-40.283203,10.675049,-139.17847,50.55542,-70.495605,silence,0.0,
4.0,73.11401,104.53491,-68.481445,-40.283203,26.184082,-139.37988,48.339844,-46.325684,silence,0.0,
6.0,-267.07764,50.756836,-24.975586,-73.516846,42.297363,-139.17847,45.721436,-24.77417,silence,0.0,
8.0,-227.6001,18.73169,-16.314697,-86.8103,34.84497,-138.97705,53.375244,-43.50586,silence,0.0,
9.0,66.467285,55.59082,-55.993652,-52.166748,13.494873,-139.17847,56.19507,-71.90552,silence,0.0,
24.0,163.75122,105.54199,-79.35791,-34.643555,14.703369,-139.17847,52.368164,-63.446045,silence,0.0,
25.0,-123.46802,81.97632,-46.92993,-57.806396,40.686035,-138.97705,45.318604,-31.219482,silence,0.0,
27.0,-289.2334,22.76001,-7.6538086,-91.04004,44.714355,-138.97705,51.5625,-30.010986,silence,0.0,
29.0,-36.85913,28.399658,-32.83081,-74.12109,27.191162,-138.97705,54.785156,-59.21631,silence,0.0,
30.0,178.25317,83.38623,-71.90552,-36.657715,10.070801,-138.77563,54.785156,-69.28711,silence,0.0,
31.0,36.4563,101.71509,-64.65454,-41.290283,28.399658,-139.17847,50.55542,-44.91577,silence,0.0,
32.0,-279.1626,46.92993,-20.947266,-75.93384,44.91577,-139.17847,47.93701,-24.371338,silence,0.0,
33.0,-206.25,16.918945,-17.321777,-85.40039,32.226562,-139.17847,49.346924,-42.90161,silence,0.0,
38.0,100.70801,65.460205,-59.61914,-50.55542,12.689209,-139.17847,52.972412,-71.30127,silence,0.0,
40.0,141.99829,107.15332,-76.7395,-34.643555,14.904785,-139.17847,49.749756,-60.021973,silence,0.0,
41.0,-138.3728,77.142334,-41.088867,-61.834717,41.4917,-139.17847,44.110107,-31.018066,silence,0.0,
43.0,-285.20508,17.523193,-8.660889,-89.227295,43.304443,-138.97705,46.124268,-33.83789,silence,0.0,
44.0,-7.8552246,31.622314,-35.247803,-70.495605,22.558594,-139.17847,48.94409,-64.85596,silence,0.0,
45.0,177.85034,87.81738,-74.32251,-34.240723,11.279297,-138.97705,45.318604,-72.10693,silence,0.0,
47.0,-11.682129,98.49243,-61.029053,-45.721436,31.018066,-138.97705,42.49878,-44.51294,silence,0.0,
62.0,-284.198,41.693115,-19.537354,-78.552246,45.92285,-139.17847,40.081787,-30.81665,silence,0.0,
77.0,-193.15796,16.918945,-21.551514,-83.78906,30.615234,-138.77563,45.721436,-55.792236,silence,0.0,
79.0,141.59546,68.481445,-62.23755,-49.346924,11.480713,-138.97705,46.124268,-81.57349,silence,0.0,
81.0,120.44678,105.944824,-76.7395,-34.643555,17.120361,-139.17847,48.138428,-67.67578,silence,0.0,
82.0,-157.10449,70.29419,-32.83081,-67.07153,41.89453,-138.77563,46.5271,-42.700195,silence,0.0,
83.0,-273.72437,14.099121,-11.077881,-87.61597,41.4917,-138.97705,51.965332,-50.958252,silence,0.0,
85.0,4.4311523,37.46338,-38.067627,-67.07153,16.71753,-138.97705,55.389404,-82.9834,silence,0.0,
86.0,180.06592,94.06128,-78.35083,-31.018066,9.466553,-138.97705,52.368164,-83.58765,silence,0.0,
87.0,-53.57666,94.46411,-58.813477,-47.131348,29.406738,-138.77563,47.735596,-54.58374,silence,0.0,
89.0,-281.781,38.87329,-16.113281,-83.99048,47.735596,-138.77563,46.728516,-39.276123,silence,0.0,
95.0,-165.76538,18.530273,-22.76001,-80.96924,29.608154,-138.97705,50.354004,-63.043213,silence,0.0,
97.0,166.57104,72.30835,-61.834717,-46.325684,12.487793,-138.97705,49.749756,-82.9834,silence,0.0,
99.0,105.13916,105.944824,-74.523926,-34.44214,19.73877,-138.97705,43.103027,-63.848877,silence,0.0,
100.0,-188.32397,62.841797,-26.989746,-68.28003,40.283203,-138.97705,42.49878,-38.067627,silence,0.0,
112.0,-261.6394,16.516113,-12.286377,-86.40747,39.678955,-138.77563,43.50586,-45.318604,silence,0.0,
114.0,22.357178,39.47754,-41.693115,-63.043213,14.703369,-138.77563,46.728516,-74.72534,silence,0.0,
116.0,181.67725,99.90234,-79.96216,-31.219482,12.689209,-138.77563,40.88745,-74.523926,silence,0.0,
127.0,-86.8103,92.248535,-56.799316,-48.742676,32.226562,-138.57422,40.48462,-44.51294,silence,0.0,
129.0,-279.96826,37.664795,-14.904785,-86.00464,47.735596,-138.57422,43.707275,-34.240723,silence,0.0,
130.0,-123.66943,22.357178,-27.593994,-76.33667,28.80249,-138.3728,45.318604,-60.22339,silence,0.0,
131.0,179.05884,74.72534,-64.453125,-45.52002,11.279297,-138.77563,45.117188,-79.559326,silence,0.0,
133.0,86.8103,104.53491,-70.69702,-36.4563,21.954346,-138.77563,44.91577,-56.396484,silence,0.0,
134.0,-225.78735,55.792236,-25.579834,-71.7041,40.48462,-138.77563,42.297363,-30.010986,silence,0.0,
