Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
6864fb50-def7-4cd4-934f-a0463463d4f4,1,05-03-2019_16-00-46,C4-B6,36,-8.5,24961x8,111965,15:58:54.825,16:00:46.851,4.4889207,222.7707,µV,1551797761844,1551798046852,
Stimuli appearance,3988.0,6983.0,9986.0,12989.0,15978.0,18984.0,21993.0,24986.0,27995.0,30986.0,33983.0,36990.0,39985.0,42989.0,45976.0,48992.0,51978.0,54986.0,57991.0,60991.0,63994.0,66986.0,69987.0,72989.0,75985.0,78996.0,81989.0,84990.0,87990.0,90989.0,93989.0,96990.0,99987.0,102989.0,105997.0,108981.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,211.68823,8.862305,-23.968506,11.682129,-12.689209,-0.20141602,4.0283203,-18.127441,silence,0.0,
2.0,220.75195,40.686035,-35.247803,24.975586,-10.675049,0.0,-1.6113281,-4.0283203,silence,0.0,
4.0,-49.145508,13.293457,3.8269043,-3.2226562,11.883545,0.0,-2.2155762,26.586914,silence,0.0,
6.0,-180.26733,-36.254883,24.169922,-26.385498,12.890625,0.0,-9.063721,16.314697,silence,0.0,
7.0,86.60889,-20.74585,1.2084961,-7.8552246,-7.0495605,0.0,-6.4453125,-16.113281,silence,0.0,
9.0,264.0564,30.413818,-35.650635,28.198242,-15.106201,0.0,5.0354004,-21.148682,silence,0.0,
24.0,58.813477,32.226562,-19.134521,13.494873,3.0212402,-0.20141602,-6.8481445,3.0212402,silence,0.0,
26.0,-179.8645,-15.106201,19.134521,-20.74585,17.72461,-0.20141602,-1.0070801,21.350098,silence,0.0,
28.0,-82.37915,-33.636475,13.897705,-19.73877,3.4240723,0.0,1.0070801,-4.8339844,silence,0.0,
30.0,243.71338,10.876465,-21.551514,11.682129,-13.092041,-0.20141602,2.4169922,-25.982666,silence,0.0,
32.0,200.61035,42.90161,-32.83081,24.572754,-7.0495605,0.0,-6.8481445,-10.473633,silence,0.0,
33.0,-75.128174,7.4523926,8.459473,-8.258057,14.099121,0.0,-2.0141602,13.092041,silence,0.0,
35.0,-165.36255,-37.86621,23.76709,-25.579834,13.293457,0.0,3.2226562,6.8481445,silence,0.0,
