Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
e231f3b3-16fe-4148-ae00-3d68f1fa356a,2,05-03-2019_16-03-46,C4-B6,36,-8.5,24962x8,112006,16:01:54.163,16:03:46.195,4.4885955,222.78685,µV,1551797934887,1551798226195,
Stimuli appearance,4011.0,7005.0,10008.0,13012.0,16015.0,19013.0,22007.0,25010.0,28019.0,31018.0,34028.0,37013.0,40014.0,43011.0,46018.0,49024.0,52023.0,55021.0,58015.0,61015.0,64015.0,67014.0,70021.0,73020.0,76024.0,79015.0,82019.0,85024.0,88020.0,91028.0,94026.0,97022.0,100031.0,103024.0,106031.0,109031.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-228.40576,-16.516113,16.314697,-16.113281,15.509033,0.0,0.60424805,20.74585,silence,0.0,
2.0,-132.33032,-37.060547,13.696289,-16.516113,0.20141602,0.0,8.862305,5.0354004,silence,0.0,
4.0,185.30273,13.494873,-23.76709,13.897705,-14.501953,-0.20141602,6.8481445,-20.141602,silence,0.0,
17.0,151.46484,40.88745,-34.039307,24.169922,-7.4523926,-0.40283203,3.0212402,-3.8269043,silence,0.0,
18.0,-113.39722,6.0424805,8.258057,-5.8410645,13.092041,-0.20141602,-0.40283203,20.544434,silence,0.0,
20.0,-211.08398,-40.081787,23.162842,-21.954346,10.070801,0.0,2.6184082,13.897705,silence,0.0,
21.0,50.958252,-17.523193,-2.2155762,-1.6113281,-10.876465,0.20141602,6.4453125,-16.516113,silence,0.0,
23.0,211.08398,35.85205,-36.657715,25.378418,-12.890625,-0.20141602,1.0070801,-16.71753,silence,0.0,
24.0,-21.148682,29.205322,-14.300537,10.272217,4.0283203,-0.20141602,-2.4169922,9.869385,silence,0.0,
28.0,-219.34204,-20.343018,21.148682,-19.335938,15.106201,-0.20141602,7.8552246,20.947266,silence,0.0,
29.0,-99.298096,-33.83789,11.077881,-14.300537,-1.4099121,0.0,9.063721,-1.4099121,silence,0.0,
47.0,200.0061,14.703369,-24.371338,14.703369,-13.696289,-0.40283203,10.070801,-22.558594,silence,0.0,
49.0,130.31616,42.700195,-32.83081,23.968506,-3.8269043,0.0,7.0495605,-7.6538086,silence,0.0,
50.0,-148.84644,-4.0283203,11.480713,-7.4523926,13.494873,0.0,5.4382324,16.113281,silence,0.0,
51.0,-198.39478,-40.081787,21.954346,-21.551514,8.862305,-0.20141602,6.4453125,2.2155762,silence,0.0,
52.0,64.25171,-13.293457,-7.6538086,3.2226562,-12.689209,-0.20141602,16.918945,-24.371338,silence,0.0,
53.0,208.26416,41.89453,-38.47046,26.385498,-12.084961,0.0,12.286377,-24.77417,silence,0.0,
54.0,-45.92285,25.177002,-14.300537,8.459473,6.8481445,0.0,7.8552246,5.6396484,silence,0.0,
55.0,-222.16187,-25.579834,24.77417,-25.378418,15.106201,-0.20141602,7.6538086,13.293457,silence,0.0,
56.0,-59.014893,-30.010986,8.459473,-13.092041,-1.4099121,-0.20141602,9.466553,-8.862305,silence,0.0,
62.0,207.25708,18.933105,-27.392578,17.523193,-14.904785,-0.40283203,6.8481445,-24.975586,silence,0.0,
64.0,119.036865,39.88037,-28.80249,21.954346,0.60424805,-0.20141602,6.6467285,-2.4169922,silence,0.0,
77.0,-188.7268,-6.0424805,12.689209,-9.265137,13.092041,0.0,2.8198242,20.74585,silence,0.0,
