Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
e2bf5c5e-c9aa-4647-b4f7-a23679c1354b,3,05-03-2019_16-05-52,C4-B6,36,-8.5,24964x8,112014,16:04:00.868,16:05:52.901,4.488586,222.78731,µV,1551798114189,1551798352902,
Stimuli appearance,4018.0,7019.0,10017.0,13018.0,16016.0,19020.0,22028.0,25026.0,28022.0,31030.0,34027.0,37033.0,40039.0,43028.0,46032.0,49030.0,52036.0,55033.0,58030.0,61031.0,64030.0,67038.0,70028.0,73035.0,76024.0,79040.0,82028.0,85037.0,88038.0,91034.0,94040.0,97033.0,100033.0,103036.0,106036.0,109039.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-147.83936,-37.46338,12.890625,-17.926025,-2.4169922,-0.20141602,-13.696289,-2.6184082,silence,0.0,
2.0,184.29565,10.473633,-24.975586,12.890625,-14.904785,-0.20141602,-13.293457,-25.78125,silence,0.0,
3.0,165.56396,44.714355,-36.85913,23.565674,-5.2368164,0.0,-14.099121,-8.862305,silence,0.0,
4.0,-111.38306,7.4523926,6.0424805,-7.4523926,15.106201,-0.20141602,-16.314697,19.537354,silence,0.0,
6.0,-227.19727,-41.088867,23.565674,-23.162842,10.675049,-0.20141602,-17.120361,17.72461,silence,0.0,
7.0,51.361084,-17.120361,-2.6184082,-3.4240723,-10.272217,0.20141602,-15.307617,-17.321777,silence,0.0,
19.0,222.5647,34.039307,-38.87329,27.79541,-13.494873,0.0,-16.918945,-20.947266,silence,0.0,
20.0,-6.6467285,31.622314,-17.523193,10.473633,3.6254883,0.0,-22.76001,9.466553,silence,0.0,
21.0,-234.44824,-19.940186,20.343018,-21.350098,14.904785,0.0,-19.134521,22.155762,silence,0.0,
23.0,-121.85669,-34.039307,9.869385,-15.911865,-1.8127441,-0.20141602,-17.120361,-0.60424805,silence,0.0,
24.0,210.0769,14.904785,-24.975586,13.696289,-13.696289,-0.20141602,-16.516113,-21.148682,silence,0.0,
28.0,147.63794,41.290283,-35.247803,23.162842,-3.0212402,-0.20141602,-22.155762,-1.6113281,silence,0.0,
30.0,-138.17139,0.80566406,9.667969,-10.272217,15.106201,0.0,-29.205322,21.75293,silence,0.0,
46.0,-210.88257,-40.686035,23.968506,-23.364258,10.272217,0.0,-24.77417,11.682129,silence,0.0,
47.0,68.07861,-15.106201,-8.862305,0.80566406,-13.494873,0.0,-20.947266,-13.897705,silence,0.0,
49.0,220.95337,39.678955,-39.88037,26.989746,-12.689209,-0.20141602,-21.350098,-15.307617,silence,0.0,
50.0,-42.095947,26.989746,-11.682129,9.466553,6.0424805,-0.20141602,-24.77417,13.696289,silence,0.0,
51.0,-229.61426,-21.75293,21.350098,-22.961426,14.099121,0.0,-21.75293,22.155762,silence,0.0,
52.0,-75.32959,-32.83081,5.6396484,-12.084961,-3.2226562,-0.40283203,-15.106201,-4.0283203,silence,0.0,
53.0,221.55762,19.537354,-27.593994,16.113281,-15.307617,-0.20141602,-13.696289,-22.357178,silence,0.0,
61.0,128.50342,41.4917,-29.003906,21.954346,0.0,0.0,-15.307617,-6.0424805,silence,0.0,
62.0,-173.41919,-6.8481445,13.494873,-11.682129,14.099121,-0.20141602,-14.904785,15.307617,silence,0.0,
63.0,-193.35938,-39.47754,20.141602,-21.954346,7.6538086,0.20141602,-12.689209,2.8198242,silence,0.0,
64.0,82.78198,-9.063721,-13.092041,4.2297363,-14.300537,-0.20141602,-11.883545,-23.76709,silence,0.0,
66.0,213.09814,46.5271,-39.074707,26.385498,-11.480713,0.0,-12.286377,-20.343018,silence,0.0,
78.0,-60.62622,23.162842,-10.876465,6.8481445,9.265137,-0.20141602,-18.127441,11.279297,silence,0.0,
80.0,-231.22559,-28.399658,25.982666,-24.975586,12.487793,0.20141602,-17.72461,23.76709,silence,0.0,
81.0,-32.83081,-29.608154,5.4382324,-10.070801,-4.0283203,-0.20141602,-14.501953,-8.056641,silence,0.0,
95.0,222.36328,21.350098,-29.608154,18.530273,-15.911865,-0.20141602,-15.710449,-20.343018,silence,0.0,
96.0,110.980225,40.283203,-26.78833,18.328857,0.60424805,-0.20141602,-20.74585,1.8127441,silence,0.0,
98.0,-210.27832,-11.279297,16.314697,-13.494873,12.890625,0.0,-20.74585,22.961426,silence,0.0,
99.0,-172.61353,-39.47754,19.940186,-23.162842,4.6325684,0.0,-18.328857,5.4382324,silence,0.0,
100.0,107.55615,-3.0212402,-18.328857,8.459473,-15.307617,0.0,-16.113281,-17.926025,silence,0.0,
112.0,202.82593,43.707275,-36.657715,26.184082,-12.084961,-0.20141602,-19.134521,-6.4453125,silence,0.0,
128.0,-73.31543,20.343018,-9.265137,2.6184082,12.487793,0.0,-28.399658,23.364258,silence,0.0,
130.0,-233.44116,-33.636475,25.177002,-26.184082,12.286377,0.0,-26.586914,28.198242,silence,0.0,
131.0,6.6467285,-27.191162,4.0283203,-11.279297,-5.4382324,0.0,-24.371338,-5.8410645,silence,0.0,
132.0,213.09814,24.371338,-32.226562,22.357178,-15.710449,0.0,-24.77417,-16.314697,silence,0.0,
134.0,78.95508,36.85913,-24.572754,16.113281,2.2155762,0.20141602,-30.615234,8.258057,silence,0.0,
145.0,-227.39868,-13.696289,13.494873,-13.897705,15.106201,0.20141602,-29.003906,25.78125,silence,0.0,
