Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
dbe1dffd-4e65-4d90-8efb-29d23840a838,4,05-03-2019_16-07-55,C4-B6,36,-8.5,24959x8,112006,16:06:03.947,16:07:55.969,4.4885807,222.78757,µV,1551798240888,1551798475970,
Stimuli appearance,4022.0,7019.0,10020.0,13016.0,16017.0,19017.0,22029.0,25010.0,28024.0,31023.0,34021.0,37023.0,40032.0,43027.0,46024.0,49028.0,52027.0,55028.0,58025.0,61025.0,64031.0,67028.0,70026.0,73030.0,76043.0,79029.0,82045.0,85029.0,88032.0,91029.0,94034.0,97024.0,100032.0,103036.0,106031.0,109033.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-200.81177,-43.304443,26.586914,-23.162842,8.660889,-0.20141602,10.876465,0.0,silence,0.0,
1.0,82.9834,-9.869385,-12.286377,2.6184082,-14.300537,-0.20141602,14.501953,-28.198242,silence,0.0,
3.0,228.40576,44.110107,-38.671875,24.572754,-10.070801,0.0,11.279297,-26.385498,silence,0.0,
16.0,-54.18091,23.364258,-12.689209,8.459473,8.459473,-0.20141602,7.2509766,5.2368164,silence,0.0,
17.0,-234.85107,-28.198242,29.003906,-26.184082,15.307617,0.0,6.4453125,16.918945,silence,0.0,
19.0,-47.332764,-31.82373,7.8552246,-12.084961,-3.6254883,-0.20141602,11.077881,-16.516113,silence,0.0,
21.0,227.39868,21.148682,-29.205322,18.328857,-15.106201,0.0,12.689209,-32.025146,silence,0.0,
32.0,128.70483,37.86621,-26.586914,18.530273,3.0212402,0.0,9.063721,-9.869385,silence,0.0,
33.0,-201.61743,-13.696289,15.710449,-12.286377,15.307617,-0.20141602,8.258057,16.314697,silence,0.0,
34.0,-183.28857,-42.49878,25.378418,-21.148682,4.8339844,0.0,9.265137,-2.8198242,silence,0.0,
36.0,101.71509,-5.6396484,-17.523193,8.862305,-16.113281,-0.20141602,13.696289,-26.989746,silence,0.0,
37.0,210.0769,44.91577,-37.46338,25.378418,-12.286377,-0.20141602,8.660889,-21.551514,silence,0.0,
39.0,-70.69702,19.940186,-6.4453125,4.6325684,11.077881,0.0,8.056641,8.862305,silence,0.0,
41.0,-234.24683,-34.44214,27.191162,-25.78125,13.092041,-0.20141602,9.265137,13.293457,silence,0.0,
54.0,-4.8339844,-27.79541,5.2368164,-8.862305,-5.0354004,-0.20141602,11.682129,-16.314697,silence,0.0,
56.0,227.19727,21.551514,-30.413818,20.141602,-15.710449,-0.20141602,12.084961,-28.80249,silence,0.0,
58.0,100.305176,37.060547,-22.961426,16.71753,2.0141602,0.0,5.8410645,-5.0354004,silence,0.0,
75.0,-222.36328,-15.911865,18.73169,-13.293457,15.106201,-0.20141602,5.2368164,18.73169,silence,0.0,
76.0,-161.73706,-40.48462,19.73877,-21.954346,3.0212402,-0.20141602,11.279297,-2.2155762,silence,0.0,
77.0,126.89209,2.8198242,-18.530273,9.667969,-15.307617,0.0,11.077881,-27.996826,silence,0.0,
78.0,197.79053,44.51294,-32.83081,23.968506,-10.473633,-0.20141602,9.667969,-17.72461,silence,0.0,
79.0,-84.191895,15.307617,-0.60424805,0.0,13.696289,-0.20141602,5.6396484,13.293457,silence,0.0,
81.0,-237.46948,-38.269043,31.018066,-24.77417,12.286377,0.0,7.4523926,13.092041,silence,0.0,
81.0,28.80249,-23.364258,2.8198242,-7.8552246,-7.4523926,0.0,8.660889,-18.328857,silence,0.0,
82.0,223.16895,27.593994,-32.629395,25.177002,-16.516113,-0.40283203,14.300537,-26.385498,silence,0.0,
92.0,60.424805,36.053467,-17.321777,15.307617,3.2226562,-0.20141602,7.4523926,1.8127441,silence,0.0,
94.0,-232.03125,-17.321777,19.537354,-15.911865,16.113281,-0.20141602,5.6396484,21.954346,silence,0.0,
108.0,-147.43652,-39.074707,18.530273,-19.940186,0.20141602,-0.20141602,7.8552246,-3.8269043,silence,0.0,
110.0,164.35547,9.265137,-23.565674,11.883545,-12.890625,-0.40283203,11.077881,-28.399658,silence,0.0,
111.0,181.47583,44.110107,-33.636475,23.76709,-7.6538086,-0.20141602,6.8481445,-15.509033,silence,0.0,
113.0,-99.49951,12.689209,4.8339844,-2.8198242,14.501953,-0.20141602,2.6184082,13.897705,silence,0.0,
114.0,-233.64258,-40.283203,29.406738,-23.364258,10.272217,0.0,6.0424805,9.667969,silence,0.0,
115.0,48.742676,-20.343018,1.8127441,-5.4382324,-10.876465,-0.20141602,10.473633,-22.961426,silence,0.0,
126.0,222.5647,30.212402,-37.46338,26.78833,-13.696289,-0.40283203,9.667969,-29.608154,silence,0.0,
128.0,21.148682,29.80957,-15.911865,13.293457,4.6325684,0.0,9.667969,-2.6184082,silence,0.0,
129.0,-234.85107,-20.343018,21.551514,-17.321777,15.710449,0.0,10.876465,12.084961,silence,0.0,
142.0,-132.53174,-37.86621,17.72461,-19.940186,-1.2084961,0.0,15.106201,-11.077881,silence,0.0,
143.0,198.7976,15.106201,-22.961426,11.883545,-14.300537,-0.20141602,15.911865,-33.43506,silence,0.0,
144.0,161.93848,41.693115,-33.83789,22.961426,-4.8339844,-0.40283203,11.077881,-15.710449,silence,0.0,
159.0,-118.63403,5.2368164,10.473633,-9.265137,14.501953,0.0,9.063721,8.258057,silence,0.0,
161.0,-217.93213,-43.90869,28.198242,-23.162842,9.063721,0.0,10.070801,0.20141602,silence,0.0,
174.0,62.23755,-16.918945,-1.6113281,-2.8198242,-12.286377,-0.20141602,14.703369,-26.184082,silence,0.0,
176.0,227.39868,38.87329,-37.664795,26.586914,-12.286377,-0.40283203,14.501953,-30.010986,silence,0.0,
177.0,-17.926025,27.79541,-13.092041,8.258057,7.2509766,-0.20141602,10.876465,1.0070801,silence,0.0,
178.0,-229.81567,-23.162842,23.76709,-21.954346,15.106201,0.0,6.8481445,15.710449,silence,0.0,
179.0,-105.54199,-36.254883,12.286377,-15.710449,-2.0141602,-0.40283203,16.314697,-13.494873,silence,0.0,
180.0,218.13354,16.113281,-23.968506,14.904785,-15.106201,-0.20141602,15.106201,-33.636475,silence,0.0,
192.0,143.60962,41.89453,-30.413818,22.76001,-1.6113281,-0.20141602,8.056641,-10.272217,silence,0.0,
193.0,-146.63086,-4.0283203,12.084961,-8.459473,12.286377,-0.20141602,4.4311523,14.099121,silence,0.0,
195.0,-205.24292,-40.48462,25.579834,-23.76709,8.056641,0.0,7.4523926,3.4240723,silence,0.0,
208.0,75.73242,-13.092041,-7.2509766,1.8127441,-14.904785,-0.20141602,9.265137,-25.177002,silence,0.0,
209.0,224.37744,41.290283,-39.074707,25.378418,-12.084961,-0.40283203,6.0424805,-22.357178,silence,0.0,
211.0,-48.138428,25.579834,-11.077881,6.4453125,8.660889,-0.20141602,3.0212402,8.258057,silence,0.0,
212.0,-229.41284,-25.579834,27.79541,-24.975586,15.509033,-0.20141602,5.6396484,16.71753,silence,0.0,
213.0,-60.62622,-32.226562,10.272217,-13.092041,-4.0283203,0.20141602,6.8481445,-14.300537,silence,0.0,
226.0,225.78735,20.74585,-26.586914,15.710449,-16.314697,-0.20141602,17.523193,-29.205322,silence,0.0,
227.0,127.49634,42.095947,-27.79541,20.343018,-0.20141602,0.0,10.070801,-11.077881,silence,0.0,
229.0,-187.92114,-8.459473,15.710449,-12.689209,14.300537,0.0,9.063721,13.897705,silence,0.0,
230.0,-186.1084,-40.283203,24.572754,-23.76709,4.6325684,-0.20141602,11.279297,-1.0070801,silence,0.0,
242.0,94.66553,-7.8552246,-13.494873,6.4453125,-16.516113,0.0,13.696289,-30.212402,silence,0.0,
243.0,214.50806,43.304443,-36.053467,25.177002,-11.682129,0.0,9.265137,-21.75293,silence,0.0,
259.0,-64.85596,21.954346,-8.056641,6.8481445,9.667969,-0.20141602,4.8339844,9.466553,silence,0.0,
261.0,-230.41992,-30.212402,29.406738,-27.191162,13.494873,0.0,7.8552246,12.084961,silence,0.0,
262.0,-17.523193,-29.608154,7.0495605,-9.869385,-5.8410645,-0.20141602,14.099121,-15.710449,silence,0.0,
263.0,223.97461,22.357178,-29.608154,18.933105,-16.113281,-0.20141602,14.099121,-30.413818,silence,0.0,
276.0,107.75757,40.081787,-23.565674,18.530273,1.2084961,-0.20141602,7.6538086,-5.2368164,silence,0.0,
278.0,-216.92505,-13.494873,17.120361,-11.883545,13.293457,0.0,7.6538086,17.926025,silence,0.0,
280.0,-165.16113,-40.88745,22.558594,-21.954346,2.4169922,0.0,11.279297,1.2084961,silence,0.0,
282.0,117.22412,-1.4099121,-17.120361,10.070801,-16.71753,-0.40283203,14.501953,-26.78833,silence,0.0,
293.0,200.81177,44.311523,-34.84497,23.968506,-9.466553,-0.20141602,9.667969,-17.120361,silence,0.0,
295.0,-75.93384,18.933105,-4.2297363,1.0070801,12.487793,0.20141602,2.6184082,13.494873,silence,0.0,
297.0,-235.05249,-34.643555,28.601074,-26.184082,11.682129,-0.20141602,1.4099121,10.272217,silence,0.0,
298.0,16.314697,-24.572754,4.0283203,-7.8552246,-8.258057,-0.20141602,6.4453125,-19.335938,silence,0.0,
310.0,220.34912,22.961426,-31.018066,23.162842,-16.71753,-0.40283203,8.056641,-27.996826,silence,0.0,
312.0,68.68286,37.060547,-18.127441,14.099121,2.4169922,-0.20141602,3.0212402,-5.2368164,silence,0.0,
313.0,-230.01709,-15.911865,19.73877,-16.113281,14.703369,0.0,3.4240723,11.077881,silence,0.0,
315.0,-149.85352,-39.074707,21.954346,-21.551514,1.4099121,-0.20141602,8.056641,-7.4523926,silence,0.0,
316.0,152.47192,9.265137,-20.74585,9.667969,-13.897705,0.0,8.459473,-33.032227,silence,0.0,
