Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
d30980e7-9f6d-4d9c-8700-9c5aacc6c6a1,5,05-03-2019_16-10-01,C4-B6,36,-8.5,24956x8,112008,16:08:09.289,16:10:01.316,4.488596,222.78682,µV,1551798363964,1551798601316,
Stimuli appearance,4020.0,7021.0,10027.0,13022.0,16022.0,19018.0,22027.0,25027.0,28025.0,31024.0,34024.0,37024.0,40027.0,43030.0,46026.0,49023.0,52031.0,55017.0,58032.0,61027.0,64032.0,67036.0,70034.0,73036.0,76029.0,79042.0,82033.0,85032.0,88037.0,91033.0,94033.0,97032.0,100033.0,103025.0,106026.0,109035.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-202.22168,-13.293457,20.343018,-12.689209,14.904785,0.0,0.20141602,22.961426,silence,0.0,
2.0,-176.44043,-42.095947,27.392578,-21.75293,3.8269043,-0.20141602,6.8481445,6.8481445,silence,0.0,
3.0,106.54907,-2.2155762,-17.321777,8.258057,-15.509033,-0.20141602,7.6538086,-19.940186,silence,0.0,
4.0,216.3208,48.54126,-36.053467,23.76709,-8.660889,-0.20141602,5.0354004,-14.501953,silence,0.0,
18.0,-70.29419,18.530273,-3.2226562,3.0212402,12.286377,-0.20141602,1.0070801,16.516113,silence,0.0,
20.0,-237.26807,-37.46338,30.413818,-25.378418,11.279297,0.0,2.2155762,18.530273,silence,0.0,
22.0,0.60424805,-28.80249,7.6538086,-8.660889,-7.6538086,0.0,4.8339844,-14.703369,silence,0.0,
24.0,228.40576,26.989746,-30.81665,22.558594,-15.911865,0.0,4.4311523,-24.169922,silence,0.0,
44.0,101.312256,38.47046,-20.947266,15.509033,3.0212402,0.0,1.0070801,2.0141602,silence,0.0,
46.0,-224.78027,-18.530273,20.343018,-15.307617,15.307617,0.0,-1.2084961,22.155762,silence,0.0,
