Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
c86e06e1-2821-45dd-b425-9010d9d3b2a5,1,05-03-2019_22-07-45,A4,36,-2.9749994,24976x8,112002,22:05:53.351,22:07:45.377,4.484062,223.01207,µV,0,1551820065378,
Stimuli appearance,4115.0,7019.0,10014.0,13021.0,16018.0,19016.0,22007.0,25022.0,28030.0,31015.0,34015.0,37023.0,40026.0,43015.0,46024.0,49025.0,52025.0,55026.0,58024.0,61018.0,64016.0,67028.0,70018.0,73027.0,76026.0,79024.0,82028.0,85026.0,88027.0,91029.0,94027.0,97035.0,100025.0,103028.0,106037.0,109024.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-252.97852,37.86621,14.501953,76.538086,28.198242,-422.16797,11.279297,-4.0283203,silence,0.0,
18.0,-147.43652,0.0,23.364258,39.47754,186.91406,-203.02734,7.2509766,-5.6396484,silence,0.0,
19.0,170.80078,-58.813477,1.6113281,-82.177734,70.09277,503.54004,7.2509766,-8.056641,silence,0.0,
21.0,158.71582,-13.696289,-30.615234,-75.73242,-194.16504,293.26172,12.890625,-15.307617,silence,0.0,
23.0,-213.50098,50.756836,-4.8339844,53.979492,-108.76465,-233.64258,1.6113281,-6.4453125,silence,0.0,
24.0,-221.55762,23.364258,16.113281,72.509766,142.60254,-383.4961,-9.667969,-0.80566406,silence,0.0,
26.0,-9.667969,-24.169922,15.307617,-8.056641,126.48926,259.42383,-11.279297,3.2226562,silence,0.0,
28.0,266.6748,-49.145508,-24.975586,-102.319336,-98.291016,546.24023,-0.80566406,-4.8339844,silence,0.0,
30.0,-82.9834,44.311523,-24.169922,13.696289,-196.58203,-20.947266,-0.80566406,-5.6396484,silence,0.0,
35.0,-251.36719,41.89453,8.056641,76.538086,72.509766,-410.88867,-8.862305,-0.80566406,silence,0.0,
37.0,-132.1289,-2.4169922,24.169922,36.254883,186.91406,-171.60645,-2.4169922,6.4453125,silence,0.0,
38.0,199.80469,-57.20215,-2.4169922,-90.234375,48.339844,554.2969,8.056641,-6.4453125,silence,0.0,
59.0,142.60254,-3.2226562,-31.420898,-62.036133,-203.02734,227.19727,30.615234,-25.78125,silence,0.0,
61.0,-224.78027,57.20215,-4.0283203,66.06445,-97.48535,-260.2295,19.335938,-20.947266,silence,0.0,
63.0,-211.88965,20.141602,19.335938,74.92676,167.57812,-377.85645,7.2509766,-7.2509766,silence,0.0,
65.0,7.2509766,-26.586914,20.947266,-19.335938,115.20996,290.84473,12.084961,-12.890625,silence,0.0,
66.0,265.06348,-43.50586,-24.169922,-97.48535,-100.70801,519.6533,18.530273,-19.335938,silence,0.0,
68.0,-107.958984,42.700195,-21.75293,30.615234,-194.16504,-110.37598,18.530273,-29.003906,silence,0.0,
69.0,-235.2539,39.47754,3.2226562,83.78906,86.206055,-410.88867,12.084961,-17.72461,silence,0.0,
70.0,-95.06836,-8.056641,23.364258,40.283203,174.02344,-151.46484,3.2226562,-8.056641,silence,0.0,
80.0,220.75195,-49.145508,-13.696289,-86.206055,18.530273,576.0498,12.084961,-12.890625,silence,0.0,
81.0,123.2666,-1.6113281,-28.198242,-37.060547,-211.08398,194.16504,24.975586,-13.696289,silence,0.0,
83.0,-243.31055,60.424805,-1.6113281,61.23047,-79.76074,-283.59375,20.141602,-5.6396484,silence,0.0,
85.0,-188.52539,23.364258,16.918945,70.89844,188.52539,-352.88086,11.279297,5.6396484,silence,0.0,
86.0,28.198242,-33.83789,12.084961,-33.032227,109.57031,330.32227,8.056641,-4.8339844,silence,0.0,
87.0,264.2578,-41.088867,-21.75293,-99.90234,-109.57031,506.7627,17.72461,-16.918945,silence,0.0,
96.0,-114.4043,45.92285,-14.501953,26.586914,-174.8291,-147.43652,18.530273,-11.279297,silence,0.0,
97.0,-209.47266,35.44922,5.6396484,77.34375,96.67969,-393.16406,-6.4453125,-4.0283203,silence,0.0,
99.0,-59.61914,-21.75293,24.169922,28.198242,178.05176,-76.538086,-12.890625,-4.0283203,silence,0.0,
100.0,253.78418,-64.453125,-9.667969,-103.930664,-16.113281,605.0537,-14.501953,1.6113281,silence,0.0,
113.0,118.43262,3.2226562,-26.586914,-26.586914,-204.63867,153.88184,5.6396484,-18.530273,silence,0.0,
115.0,-229.61426,48.339844,-0.80566406,68.481445,-71.7041,-304.54102,0.80566406,-17.72461,silence,0.0,
118.0,-151.46484,9.667969,20.947266,62.841797,207.05566,-301.31836,-9.667969,-1.6113281,silence,0.0,
119.0,62.841797,-30.615234,10.473633,-52.368164,100.70801,370.60547,-4.0283203,-4.8339844,silence,0.0,
129.0,257.00684,-39.47754,-34.643555,-96.67969,-122.46094,474.53613,21.75293,-23.364258,silence,0.0,
131.0,-118.43262,40.283203,-7.2509766,33.83789,-152.27051,-189.33105,20.947266,-19.335938,silence,0.0,
132.0,-200.61035,37.86621,12.890625,70.09277,108.76465,-404.44336,3.2226562,-13.696289,silence,0.0,
133.0,-22.558594,-24.169922,27.392578,16.113281,181.27441,-31.420898,4.0283203,-19.335938,silence,0.0,
146.0,273.92578,-62.841797,-17.72461,-107.958984,-47.53418,580.0781,18.530273,-21.75293,silence,0.0,
148.0,98.291016,8.056641,-29.80957,-18.530273,-201.41602,102.319336,21.75293,-26.586914,silence,0.0,
149.0,-209.47266,45.117188,0.0,66.06445,-49.145508,-352.0752,20.947266,-24.975586,silence,0.0,
151.0,-120.043945,8.862305,19.335938,56.396484,203.02734,-273.12012,6.4453125,-12.084961,silence,0.0,
152.0,116.015625,-45.117188,8.056641,-61.23047,96.67969,398.8037,8.056641,-16.113281,silence,0.0,
163.0,252.97852,-29.003906,-29.003906,-91.8457,-149.85352,431.83594,17.72461,-26.586914,silence,0.0,
164.0,-125.68359,43.50586,-6.4453125,50.756836,-131.32324,-201.41602,12.084961,-18.530273,silence,0.0,
165.0,-189.33105,32.226562,12.890625,72.509766,118.43262,-393.96973,2.4169922,-13.696289,silence,0.0,
180.0,11.279297,-24.975586,25.78125,18.530273,168.38379,62.036133,-4.8339844,-9.667969,silence,0.0,
181.0,296.48438,-59.61914,-18.530273,-104.73633,-72.509766,574.4385,10.473633,-7.2509766,silence,0.0,
196.0,53.979492,21.75293,-20.947266,-8.862305,-198.99902,74.92676,13.696289,-13.696289,silence,0.0,
198.0,-204.63867,46.728516,4.0283203,71.7041,-12.084961,-374.6338,5.6396484,-4.8339844,silence,0.0,
200.0,-114.4043,5.6396484,23.364258,45.92285,206.25,-232.83691,-9.667969,0.0,silence,0.0,
201.0,156.29883,-54.785156,8.056641,-70.09277,87.81738,452.7832,4.8339844,-12.890625,silence,0.0,
203.0,234.44824,-21.75293,-32.226562,-78.149414,-176.44043,377.05078,16.918945,-15.307617,silence,0.0,
214.0,-141.79688,48.339844,-8.056641,54.785156,-123.2666,-210.27832,10.473633,-11.279297,silence,0.0,
216.0,-173.21777,20.141602,14.501953,74.92676,132.93457,-408.47168,8.056641,-17.72461,silence,0.0,
218.0,33.032227,-28.198242,17.72461,7.2509766,155.49316,137.76855,18.530273,-27.392578,silence,0.0,
220.0,310.98633,-54.785156,-20.947266,-108.76465,-78.95508,539.7949,26.586914,-30.615234,silence,0.0,
231.0,29.003906,27.392578,-20.947266,-2.4169922,-198.99902,24.975586,24.975586,-24.169922,silence,0.0,
232.0,-200.61035,42.700195,10.473633,67.67578,23.364258,-418.13965,11.279297,-16.918945,silence,0.0,
234.0,-91.04004,-1.6113281,16.113281,51.5625,196.58203,-219.14062,4.0283203,-15.307617,silence,0.0,
235.0,209.47266,-65.25879,0.80566406,-79.76074,78.149414,482.59277,12.890625,-18.530273,silence,0.0,
247.0,223.16895,-20.947266,-36.254883,-71.7041,-193.35938,310.98633,17.72461,-25.78125,silence,0.0,
249.0,-149.85352,40.283203,-3.2226562,55.59082,-110.37598,-219.14062,12.890625,-20.947266,silence,0.0,
251.0,-175.63477,22.558594,20.141602,69.28711,141.79688,-390.74707,3.2226562,-8.862305,silence,0.0,
253.0,48.339844,-29.80957,18.530273,2.4169922,132.1289,233.64258,-2.4169922,-4.8339844,silence,0.0,
264.0,320.6543,-55.59082,-21.75293,-102.319336,-88.62305,543.82324,16.113281,-20.141602,silence,0.0,
266.0,-18.530273,36.254883,-22.558594,8.056641,-203.83301,-3.2226562,16.113281,-6.4453125,silence,0.0,
268.0,-198.99902,41.088867,2.4169922,74.92676,70.89844,-418.9453,10.473633,-4.0283203,silence,0.0,
270.0,-84.59473,-12.084961,21.75293,39.47754,194.16504,-190.94238,12.084961,-3.2226562,silence,0.0,
282.0,237.6709,-65.25879,2.4169922,-91.8457,66.06445,533.3496,15.307617,-3.2226562,silence,0.0,
285.0,187.71973,-17.72461,-26.586914,-62.036133,-203.02734,248.14453,27.392578,-10.473633,silence,0.0,
299.0,-167.57812,52.368164,3.2226562,58.007812,-107.958984,-261.03516,22.558594,-4.8339844,silence,0.0,
301.0,-166.77246,20.141602,16.918945,65.25879,163.5498,-385.10742,14.501953,-6.4453125,silence,0.0,
303.0,54.785156,-35.44922,20.947266,-15.307617,116.82129,254.58984,13.696289,-10.473633,silence,0.0,
306.0,326.29395,-58.813477,-17.72461,-106.34766,-97.48535,522.876,21.75293,-26.586914,silence,0.0,
314.0,-59.61914,32.226562,-18.530273,24.975586,-198.19336,-124.072266,27.392578,-29.003906,silence,0.0,
317.0,-206.25,39.47754,11.279297,74.12109,88.62305,-424.58496,19.335938,-14.501953,silence,0.0,
319.0,-74.12109,-14.501953,24.975586,39.47754,179.66309,-190.13672,16.918945,-16.918945,silence,0.0,
321.0,257.8125,-64.453125,-1.6113281,-93.45703,29.003906,547.0459,28.198242,-16.918945,silence,0.0,
332.0,162.74414,-5.6396484,-25.78125,-49.95117,-215.91797,190.13672,35.44922,-33.83789,silence,0.0,
334.0,-217.5293,52.368164,3.2226562,59.61914,-89.42871,-289.2334,30.615234,-29.003906,silence,0.0,
336.0,-174.8291,16.918945,19.335938,65.25879,175.63477,-364.16016,12.084961,-16.918945,silence,0.0,
339.0,52.368164,-32.226562,15.307617,-30.615234,108.76465,286.8164,12.890625,-20.947266,silence,0.0,
348.0,294.87305,-45.117188,-29.003906,-94.262695,-115.20996,497.09473,23.364258,-27.392578,silence,0.0,
350.0,-103.125,43.50586,-9.667969,27.392578,-189.33105,-168.38379,24.169922,-30.615234,silence,0.0,
353.0,-217.5293,34.643555,12.084961,75.73242,96.67969,-412.5,7.2509766,-20.141602,silence,0.0,
355.0,-68.481445,-16.113281,22.558594,30.615234,185.30273,-137.76855,0.80566406,-12.084961,silence,0.0,
365.0,251.36719,-53.17383,-10.473633,-98.291016,-6.4453125,572.0215,6.4453125,-18.530273,silence,0.0,
366.0,128.90625,5.6396484,-27.392578,-27.392578,-207.86133,146.63086,15.307617,-28.198242,silence,0.0,
369.0,-243.31055,63.64746,-12.890625,70.09277,-81.37207,-306.958,1.6113281,-12.890625,silence,0.0,
371.0,-177.2461,13.696289,22.558594,66.06445,199.80469,-322.26562,-8.862305,-1.6113281,silence,0.0,
382.0,55.59082,-37.060547,16.113281,-40.283203,103.125,329.5166,-5.6396484,-11.279297,silence,0.0,
383.0,252.97852,-35.44922,-29.80957,-93.45703,-122.46094,483.39844,15.307617,-24.169922,silence,0.0,
385.0,-127.29492,37.060547,-5.6396484,30.615234,-161.93848,-184.49707,11.279297,-19.335938,silence,0.0,
387.0,-228.8086,35.44922,14.501953,78.149414,104.73633,-405.24902,8.056641,-13.696289,silence,0.0,
388.0,-45.117188,-25.78125,26.586914,29.80957,173.21777,-84.59473,6.4453125,-10.473633,silence,0.0,
399.0,255.39551,-53.979492,-18.530273,-105.54199,-39.47754,563.1592,15.307617,-17.72461,silence,0.0,
413.0,78.149414,8.056641,-29.80957,-15.307617,-207.86133,91.8457,23.364258,-28.198242,silence,0.0,
415.0,-257.8125,49.95117,6.4453125,68.481445,-56.396484,-368.99414,18.530273,-13.696289,silence,0.0,
417.0,-177.2461,12.890625,20.947266,62.036133,211.08398,-308.56934,11.279297,-17.72461,silence,0.0,
419.0,70.09277,-39.47754,12.890625,-59.61914,103.930664,345.62988,16.918945,-15.307617,silence,0.0,
431.0,212.69531,-24.169922,-32.226562,-85.40039,-140.99121,409.27734,32.226562,-32.226562,silence,0.0,
433.0,-162.74414,49.95117,-9.667969,49.95117,-143.4082,-240.89355,33.83789,-34.643555,silence,0.0,
434.0,-239.28223,33.032227,12.890625,74.12109,123.2666,-439.0869,33.032227,-37.060547,silence,0.0,
435.0,-37.86621,-21.75293,23.364258,17.72461,183.6914,-20.947266,16.918945,-27.392578,silence,0.0,
447.0,254.58984,-49.145508,-16.113281,-102.319336,-63.64746,538.98926,20.141602,-28.198242,silence,0.0,
449.0,38.671875,17.72461,-25.78125,-8.056641,-205.44434,47.53418,20.141602,-20.947266,silence,0.0,
451.0,-247.33887,49.145508,0.80566406,74.12109,-20.947266,-401.2207,4.0283203,-12.890625,silence,0.0,
452.0,-156.29883,7.2509766,22.558594,60.424805,205.44434,-271.5088,3.2226562,-7.2509766,silence,0.0,
453.0,106.34766,-52.368164,11.279297,-61.23047,92.65137,404.44336,-4.8339844,1.6113281,silence,0.0,
