Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
fc0755de-4954-4cac-aafa-09d8a69a28c3,2,05-03-2019_22-10-18,A4,36,-2.9749994,24960x8,112009,22:08:26.590,22:10:18.621,4.4858527,222.92305,µV,1551819953376,1551820218622,
Stimuli appearance,4003.0,7016.0,10025.0,13019.0,16017.0,19019.0,22023.0,25032.0,28027.0,31033.0,34019.0,37033.0,40020.0,43019.0,46020.0,49022.0,52014.0,55017.0,58031.0,61027.0,64025.0,67037.0,70027.0,73032.0,76027.0,79029.0,82017.0,85031.0,88024.0,91014.0,94028.0,97029.0,100037.0,103028.0,106036.0,109033.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,217.5293,24.975586,101.51367,-223.97461,-33.032227,809.6924,-82.177734,380.27344,silence,0.0,
2.0,85.40039,18.530273,-48.339844,16.113281,-118.43262,285.20508,-78.149414,377.05078,silence,0.0,
3.0,-157.91016,-38.671875,-89.42871,153.07617,0.80566406,-77.34375,-92.65137,390.74707,silence,0.0,
5.0,-92.65137,-49.95117,-8.862305,69.28711,202.22168,64.453125,-100.70801,394.7754,silence,0.0,
7.0,67.67578,15.307617,105.54199,-165.9668,84.59473,701.7334,-99.90234,388.33008,silence,0.0,
10.0,205.44434,32.226562,29.003906,-141.79688,-94.262695,634.8633,-91.04004,382.69043,silence,0.0,
26.0,-93.45703,-13.696289,-96.67969,148.24219,-64.453125,34.643555,-99.09668,385.10742,silence,0.0,
28.0,-136.96289,-58.813477,-52.368164,128.90625,137.76855,-62.036133,-106.34766,394.7754,silence,0.0,
30.0,0.0,-20.947266,54.785156,-22.558594,155.49316,377.85645,-103.930664,388.33008,silence,0.0,
32.0,213.50098,34.643555,95.06836,-219.14062,-49.95117,811.3037,-89.42871,374.6338,silence,0.0,
38.0,47.53418,18.530273,-66.06445,34.643555,-113.59863,263.45215,-91.8457,375.43945,silence,0.0,
59.0,-145.8252,-45.92285,-85.40039,153.07617,33.83789,-95.06836,-96.67969,381.88477,silence,0.0,
61.0,-95.06836,-37.86621,4.8339844,47.53418,207.05566,106.34766,-103.930664,380.27344,silence,0.0,
63.0,97.48535,9.667969,112.79297,-187.71973,70.89844,737.1826,-99.09668,369.7998,silence,0.0,
64.0,181.27441,30.615234,24.169922,-132.93457,-109.57031,569.6045,-85.40039,366.57715,silence,0.0,
65.0,-120.84961,-11.279297,-100.70801,152.27051,-49.145508,16.918945,-89.42871,373.82812,silence,0.0,
67.0,-136.96289,-58.007812,-45.117188,120.84961,149.85352,-65.25879,-95.06836,380.27344,silence,0.0,
69.0,8.056641,-15.307617,61.23047,-46.728516,140.99121,480.17578,-90.234375,368.99414,silence,0.0,
70.0,231.22559,21.75293,96.67969,-207.86133,-65.25879,769.4092,-70.89844,366.57715,silence,0.0,
72.0,27.392578,0.80566406,-70.89844,50.756836,-123.2666,211.88965,-69.28711,364.96582,silence,0.0,
77.0,-147.43652,-45.117188,-85.40039,160.32715,58.813477,-120.043945,-78.95508,368.99414,silence,0.0,
79.0,-80.56641,-37.86621,17.72461,32.226562,194.9707,122.46094,-77.34375,367.3828,silence,0.0,
80.0,128.90625,16.113281,116.82129,-197.3877,66.87012,762.96387,-72.509766,363.3545,silence,0.0,
82.0,149.04785,37.060547,12.890625,-103.125,-129.71191,477.7588,-68.481445,366.57715,silence,0.0,
83.0,-136.15723,-19.335938,-113.59863,151.46484,-38.671875,-4.8339844,-62.841797,373.02246,silence,0.0,
85.0,-131.32324,-50.756836,-38.671875,117.62695,163.5498,-73.31543,-71.7041,380.27344,silence,0.0,
86.0,12.084961,-10.473633,62.841797,-64.453125,124.87793,526.09863,-60.424805,373.02246,silence,0.0,
87.0,223.97461,42.700195,74.92676,-196.58203,-65.25879,722.68066,-45.117188,364.16016,silence,0.0,
93.0,-18.530273,4.0283203,-71.7041,70.09277,-114.4043,165.16113,-55.59082,368.99414,silence,0.0,
95.0,-153.88184,-47.53418,-74.12109,155.49316,106.34766,-141.79688,-69.28711,356.90918,silence,0.0,
97.0,-76.538086,-26.586914,25.78125,18.530273,186.1084,152.27051,-85.40039,360.9375,silence,0.0,
107.0,165.16113,29.003906,113.59863,-207.05566,52.368164,810.49805,-80.56641,360.9375,silence,0.0,
