Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
95bf13f5-63fa-43ec-905a-67e7f7d1f44b,3,05-03-2019_22-12-38,A4,36,-2.9749994,24964x8,111996,22:10:46.830,22:12:38.856,4.486412,222.89526,µV,1551820106613,1551820358857,
Stimuli appearance,4009.0,6996.0,10008.0,13010.0,16015.0,19015.0,22013.0,25015.0,28003.0,31012.0,34024.0,37013.0,40018.0,43005.0,46017.0,49009.0,52013.0,55019.0,58014.0,61021.0,64018.0,67016.0,70014.0,73016.0,76027.0,79012.0,82021.0,85022.0,88016.0,91018.0,94020.0,97011.0,100027.0,103019.0,106018.0,109028.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-210.27832,48.339844,-115.20996,200.61035,-62.841797,-339.18457,66.87012,-63.64746,silence,0.0,
1.0,-255.39551,20.141602,-58.007812,165.9668,119.23828,-393.16406,59.61914,-62.036133,silence,0.0,
3.0,-54.785156,8.862305,66.87012,-73.31543,111.987305,227.19727,65.25879,-74.12109,silence,0.0,
19.0,190.13672,20.947266,106.34766,-252.97852,-78.95508,472.11914,73.31543,-80.56641,silence,0.0,
21.0,-59.61914,42.700195,-74.12109,78.95508,-140.18555,-139.37988,79.76074,-73.31543,silence,0.0,
23.0,-273.92578,17.72461,-94.262695,211.88965,49.145508,-473.73047,72.509766,-62.841797,silence,0.0,
25.0,-184.49707,2.4169922,19.335938,20.141602,170.80078,-154.6875,68.481445,-63.64746,silence,0.0,
27.0,94.262695,12.084961,129.71191,-250.56152,53.17383,503.54004,74.92676,-67.67578,silence,0.0,
32.0,107.15332,37.86621,20.141602,-115.20996,-141.79688,143.4082,71.7041,-74.12109,silence,0.0,
34.0,-238.47656,37.86621,-121.65527,211.88965,-69.28711,-345.62988,72.509766,-60.424805,silence,0.0,
35.0,-250.56152,12.890625,-45.92285,143.4082,132.1289,-368.18848,54.785156,-54.785156,silence,0.0,
