Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
4470f6d5-1f19-4fde-9812-c46fa20eb07b,4,05-03-2019_22-15-13,A4,36,-2.9749994,24969x8,111998,22:13:21.295,22:15:13.324,4.4866157,222.88515,µV,1551820246861,1551820513325,
Stimuli appearance,4007.0,7010.0,10005.0,12998.0,16010.0,19004.0,22014.0,25013.0,28007.0,31013.0,34007.0,37025.0,40003.0,43008.0,46026.0,49015.0,52023.0,55011.0,58011.0,61005.0,64015.0,67021.0,70014.0,73023.0,76013.0,79017.0,82016.0,85017.0,88023.0,91014.0,94027.0,97019.0,100015.0,103017.0,106019.0,109024.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,268.28613,-12.890625,120.043945,-247.33887,-132.1289,507.56836,87.01172,-70.89844,silence,0.0,
2.0,58.813477,12.890625,-75.73242,56.396484,-140.18555,-117.62695,92.65137,-69.28711,silence,0.0,
18.0,-166.77246,-8.056641,-107.15332,215.1123,45.117188,-514.0137,78.149414,-47.53418,silence,0.0,
20.0,-89.42871,-20.141602,9.667969,45.92285,178.05176,-191.74805,64.453125,-43.50586,silence,0.0,
22.0,188.52539,-33.83789,140.99121,-221.55762,6.4453125,504.3457,70.89844,-48.339844,silence,0.0,
24.0,215.91797,0.80566406,35.44922,-132.1289,-174.02344,208.66699,75.73242,-48.339844,silence,0.0,
25.0,-106.34766,2.4169922,-129.71191,203.02734,-53.17383,-337.57324,62.036133,-36.254883,silence,0.0,
28.0,-141.79688,-33.83789,-58.813477,161.93848,141.79688,-405.24902,48.339844,-26.586914,silence,0.0,
30.0,58.813477,-32.226562,66.87012,-83.78906,80.56641,300.5127,51.5625,-39.47754,silence,0.0,
32.0,292.45605,-24.169922,108.76465,-231.22559,-128.10059,501.9287,65.25879,-52.368164,silence,0.0,
34.0,24.169922,3.2226562,-79.76074,77.34375,-132.93457,-135.35156,70.89844,-52.368164,silence,0.0,
40.0,-153.07617,-17.72461,-107.15332,212.69531,95.06836,-488.23242,58.007812,-48.339844,silence,0.0,
41.0,-59.61914,-35.44922,25.78125,16.113281,158.71582,-144.21387,57.20215,-57.20215,silence,0.0,
65.0,228.8086,-29.80957,124.072266,-236.05957,-8.862305,556.71387,76.538086,-78.95508,silence,0.0,
67.0,213.50098,-2.4169922,13.696289,-84.59473,-188.52539,112.79297,91.04004,-78.149414,silence,0.0,
69.0,-103.930664,-1.6113281,-128.10059,194.16504,-50.756836,-378.6621,79.76074,-64.453125,silence,0.0,
70.0,-128.90625,-25.78125,-44.311523,146.63086,160.32715,-396.38672,75.73242,-64.453125,silence,0.0,
72.0,66.87012,-24.975586,88.62305,-123.2666,43.50586,323.87695,81.37207,-78.149414,silence,0.0,
73.0,295.6787,-17.72461,98.291016,-214.30664,-127.29492,451.17188,91.8457,-82.177734,silence,0.0,
74.0,-4.0283203,8.056641,-83.78906,104.73633,-136.15723,-261.03516,86.206055,-72.509766,silence,0.0,
76.0,-160.32715,-13.696289,-103.930664,205.44434,117.62695,-486.6211,74.92676,-57.20215,silence,0.0,
78.0,-37.86621,-26.586914,39.47754,8.862305,149.85352,-116.015625,70.09277,-58.813477,silence,0.0,
79.0,243.31055,-16.918945,131.32324,-254.58984,-54.785156,567.99316,83.78906,-70.89844,silence,0.0,
84.0,176.44043,5.6396484,-11.279297,-30.615234,-166.77246,53.979492,87.81738,-67.67578,silence,0.0,
85.0,-158.71582,0.80566406,-125.68359,203.83301,-36.254883,-395.58105,78.149414,-47.53418,silence,0.0,
87.0,-136.15723,-15.307617,-37.060547,129.71191,179.66309,-327.90527,65.25879,-41.89453,silence,0.0,
88.0,59.61914,-24.975586,111.987305,-168.38379,37.060547,386.71875,63.64746,-46.728516,silence,0.0,
89.0,260.2295,-4.0283203,74.92676,-198.99902,-138.57422,440.69824,71.7041,-51.5625,silence,0.0,
90.0,-61.23047,16.918945,-92.65137,116.015625,-101.51367,-289.2334,66.06445,-45.117188,silence,0.0,
92.0,-181.27441,-1.6113281,-100.70801,198.19336,125.68359,-456.81152,56.396484,-39.47754,silence,0.0,
93.0,-33.032227,-16.113281,52.368164,-9.667969,157.91016,-37.86621,52.368164,-41.088867,silence,0.0,
95.0,231.22559,-10.473633,133.74023,-267.48047,-85.40039,578.4668,66.87012,-53.17383,silence,0.0,
101.0,125.68359,20.947266,-33.032227,0.0,-157.10449,4.8339844,83.78906,-67.67578,silence,0.0,
102.0,-199.80469,16.113281,-120.84961,197.3877,-22.558594,-449.56055,74.92676,-56.396484,silence,0.0,
104.0,-150.65918,-3.2226562,-32.226562,107.15332,189.33105,-281.98242,58.813477,-57.20215,silence,0.0,
111.0,65.25879,-8.862305,122.46094,-192.55371,21.75293,410.083,69.28711,-64.453125,silence,0.0,
114.0,217.5293,22.558594,60.424805,-183.6914,-139.37988,360.9375,87.81738,-77.34375,silence,0.0,
128.0,-102.319336,29.003906,-107.15332,162.74414,-83.78906,-332.73926,82.9834,-67.67578,silence,0.0,
129.0,-207.86133,6.4453125,-90.234375,190.13672,125.68359,-463.25684,72.509766,-60.424805,silence,0.0,
131.0,-31.420898,-4.0283203,56.396484,-29.003906,137.76855,33.032227,74.12109,-74.12109,silence,0.0,
132.0,228.8086,1.6113281,127.29492,-264.2578,-117.62695,534.1553,82.177734,-80.56641,silence,0.0,
144.0,63.64746,33.83789,-57.20215,29.80957,-148.24219,-56.396484,84.59473,-72.509766,silence,0.0,
146.0,-203.83301,14.501953,-112.79297,202.22168,8.862305,-487.42676,78.149414,-58.007812,silence,0.0,
148.0,-140.18555,1.6113281,-11.279297,78.95508,184.49707,-249.75586,69.28711,-62.036133,silence,0.0,
149.0,88.62305,-4.0283203,133.74023,-206.25,16.113281,431.83594,81.37207,-73.31543,silence,0.0,
151.0,198.19336,18.530273,45.92285,-161.13281,-164.35547,281.98242,91.8457,-74.92676,silence,0.0,
162.0,-125.68359,26.586914,-112.79297,185.30273,-62.841797,-352.0752,80.56641,-61.23047,silence,0.0,
163.0,-208.66699,7.2509766,-75.73242,170.80078,140.99121,-457.6172,66.06445,-57.20215,silence,0.0,
165.0,-4.8339844,-9.667969,60.424805,-48.339844,119.23828,161.93848,62.841797,-62.036133,silence,0.0,
178.0,235.2539,-0.80566406,119.23828,-240.89355,-122.46094,503.54004,68.481445,-64.453125,silence,0.0,
179.0,20.947266,29.003906,-74.12109,50.756836,-139.37988,-103.930664,69.28711,-54.785156,silence,0.0,
180.0,-211.88965,5.6396484,-107.958984,208.66699,54.785156,-505.15137,51.5625,-43.50586,silence,0.0,
182.0,-130.51758,-8.056641,8.056641,49.95117,176.44043,-195.77637,49.145508,-48.339844,silence,0.0,
183.0,147.43652,-20.947266,132.1289,-222.36328,11.279297,495.4834,57.20215,-46.728516,silence,0.0,
184.0,188.52539,5.6396484,27.392578,-132.93457,-166.77246,196.58203,75.73242,-54.785156,silence,0.0,
195.0,-145.8252,12.084961,-130.51758,187.71973,-49.95117,-354.4922,66.06445,-42.700195,silence,0.0,
196.0,-190.94238,-8.862305,-57.20215,148.24219,154.6875,-424.58496,54.785156,-40.283203,silence,0.0,
213.0,17.72461,-23.364258,69.28711,-76.538086,83.78906,261.84082,70.09277,-60.424805,silence,0.0,
231.0,257.00684,-13.696289,107.15332,-236.05957,-127.29492,475.3418,76.538086,-65.25879,silence,0.0,
234.0,-13.696289,18.530273,-83.78906,70.89844,-136.15723,-151.46484,82.9834,-67.67578,silence,0.0,
237.0,-203.02734,-7.2509766,-107.15332,208.66699,93.45703,-508.37402,72.509766,-57.20215,silence,0.0,
239.0,-115.20996,-19.335938,25.78125,23.364258,163.5498,-162.74414,67.67578,-62.036133,silence,0.0,
247.0,186.91406,-24.169922,135.35156,-241.69922,-9.667969,540.6006,79.76074,-69.28711,silence,0.0,
249.0,167.57812,-3.2226562,16.918945,-89.42871,-174.02344,116.015625,88.62305,-67.67578,silence,0.0,
251.0,-150.65918,0.80566406,-128.10059,190.13672,-45.117188,-375.43945,82.9834,-66.87012,silence,0.0,
253.0,-170.80078,-24.169922,-49.95117,145.01953,171.60645,-396.38672,67.67578,-53.979492,silence,0.0,
263.0,19.335938,-25.78125,95.87402,-126.48926,57.20215,335.15625,64.453125,-61.23047,silence,0.0,
265.0,252.17285,-5.6396484,92.65137,-220.75195,-122.46094,472.11914,79.76074,-68.481445,silence,0.0,
267.0,-61.23047,25.78125,-89.42871,103.125,-128.90625,-246.5332,81.37207,-66.06445,silence,0.0,
269.0,-215.91797,0.0,-106.34766,207.05566,125.68359,-494.67773,70.09277,-50.756836,silence,0.0,
280.0,-96.67969,-11.279297,41.89453,5.6396484,158.71582,-122.46094,55.59082,-47.53418,silence,0.0,
283.0,195.77637,-14.501953,134.5459,-252.17285,-50.756836,576.85547,62.841797,-59.61914,silence,0.0,
285.0,134.5459,16.113281,-10.473633,-44.311523,-162.74414,77.34375,74.92676,-62.036133,silence,0.0,
287.0,-209.47266,29.003906,-133.74023,198.99902,-35.44922,-383.4961,64.453125,-49.145508,silence,0.0,
289.0,-190.94238,6.4453125,-45.117188,131.32324,185.30273,-341.60156,59.61914,-48.339844,silence,0.0,
297.0,7.2509766,0.0,105.54199,-161.93848,38.671875,379.46777,59.61914,-52.368164,silence,0.0,
299.0,220.75195,16.113281,71.7041,-198.19336,-133.74023,431.03027,82.9834,-73.31543,silence,0.0,
301.0,-107.958984,39.47754,-98.291016,116.015625,-105.54199,-287.62207,73.31543,-58.007812,silence,0.0,
303.0,-228.8086,10.473633,-101.51367,190.94238,131.32324,-451.97754,57.20215,-46.728516,silence,0.0,
305.0,-85.40039,4.0283203,47.53418,-7.2509766,160.32715,-49.145508,54.785156,-55.59082,silence,0.0,
314.0,200.61035,0.0,131.32324,-265.06348,-77.34375,578.4668,66.87012,-57.20215,silence,0.0,
316.0,99.09668,35.44922,-35.44922,0.0,-159.52148,16.918945,74.12109,-58.007812,silence,0.0,
318.0,-232.83691,27.392578,-121.65527,194.9707,-16.918945,-419.75098,61.23047,-44.311523,silence,0.0,
330.0,-166.77246,-2.4169922,-29.80957,107.15332,193.35938,-275.5371,53.979492,-45.92285,silence,0.0,
332.0,36.254883,2.4169922,128.10059,-192.55371,31.420898,414.11133,62.036133,-53.17383,silence,0.0,
346.0,200.61035,16.918945,62.036133,-185.30273,-136.15723,379.46777,69.28711,-53.979492,silence,0.0,
348.0,-119.23828,34.643555,-100.70801,155.49316,-80.56641,-312.59766,64.453125,-42.700195,silence,0.0,
350.0,-219.94629,6.4453125,-86.206055,186.1084,133.74023,-439.89258,47.53418,-35.44922,silence,0.0,
351.0,-45.92285,-9.667969,59.61914,-16.918945,136.96289,60.424805,43.50586,-28.198242,silence,0.0,
