Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
4e90be17-d1da-4219-878a-294d7517b5db,5,05-03-2019_22-17-26,A4,36,-2.9749994,24965x8,112007,22:15:34.723,22:17:26.754,4.486891,222.87148,µV,1551820401327,1551820646754,
Stimuli appearance,4016.0,7017.0,10028.0,13022.0,16023.0,19015.0,22021.0,25024.0,28023.0,31022.0,34029.0,37025.0,40019.0,43024.0,46026.0,49022.0,52023.0,55021.0,58026.0,61026.0,64026.0,67023.0,70026.0,73036.0,76018.0,79031.0,82023.0,85029.0,88027.0,91029.0,94029.0,97025.0,100028.0,103026.0,106032.0,109024.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,147.43652,26.586914,51.5625,-155.49316,-112.79297,704.95605,-303.73535,84.59473,silence,0.0,
2.0,-222.36328,67.67578,-162.74414,195.77637,-31.420898,114.4043,-315.01465,98.291016,silence,0.0,
18.0,-305.34668,46.728516,-96.67969,161.93848,132.93457,95.06836,-327.0996,103.125,silence,0.0,
20.0,-53.17383,24.975586,60.424805,-75.73242,103.930664,727.51465,-327.0996,96.67969,silence,0.0,
23.0,219.94629,2.4169922,132.1289,-248.14453,-77.34375,973.2422,-314.20898,90.234375,silence,0.0,
25.0,-20.141602,56.396484,-98.291016,55.59082,-94.262695,348.04688,-317.43164,101.51367,silence,0.0,
26.0,-280.3711,46.728516,-143.4082,195.77637,87.01172,6.4453125,-328.71094,110.37598,silence,0.0,
27.0,-168.38379,13.696289,-5.6396484,22.558594,155.49316,376.24512,-335.9619,111.18164,silence,0.0,
32.0,163.5498,-3.2226562,150.65918,-237.6709,38.671875,995.8008,-322.26562,102.319336,silence,0.0,
34.0,187.71973,19.335938,36.254883,-116.82129,-120.84961,632.4463,-311.792,96.67969,silence,0.0,
35.0,-197.3877,56.396484,-162.74414,190.94238,-20.141602,109.57031,-320.6543,102.319336,silence,0.0,
37.0,-241.69922,33.83789,-85.40039,140.18555,153.07617,121.65527,-327.0996,104.73633,silence,0.0,
39.0,21.75293,1.6113281,69.28711,-92.65137,63.64746,794.38477,-320.6543,88.62305,silence,0.0,
46.0,293.26172,-8.056641,122.46094,-226.3916,-80.56641,940.20996,-305.34668,74.12109,silence,0.0,
48.0,-25.78125,49.95117,-99.90234,91.04004,-107.958984,271.5088,-302.12402,81.37207,silence,0.0,
50.0,-241.69922,38.671875,-139.37988,217.5293,103.125,-0.80566406,-312.59766,90.234375,silence,0.0,
52.0,-111.18164,14.501953,22.558594,15.307617,139.37988,377.85645,-317.43164,86.206055,silence,0.0,
72.0,231.22559,-13.696289,153.88184,-240.08789,12.084961,1017.5537,-301.31836,70.89844,silence,0.0,
74.0,194.9707,33.83789,7.2509766,-76.538086,-121.65527,547.0459,-286.8164,72.509766,silence,0.0,
76.0,-190.94238,65.25879,-164.35547,211.88965,-23.364258,78.149414,-302.9297,83.78906,silence,0.0,
77.0,-211.88965,31.420898,-74.12109,139.37988,157.91016,138.57422,-312.59766,91.04004,silence,0.0,
79.0,62.036133,4.8339844,95.06836,-136.15723,46.728516,829.834,-309.375,87.81738,silence,0.0,
81.0,306.958,11.279297,102.319336,-201.41602,-91.8457,907.9834,-299.70703,85.40039,silence,0.0,
82.0,-53.17383,60.424805,-114.4043,120.043945,-96.67969,183.6914,-306.958,99.90234,silence,0.0,
83.0,-225.58594,37.86621,-136.15723,205.44434,114.4043,18.530273,-318.2373,107.15332,silence,0.0,
91.0,-56.396484,10.473633,37.060547,-4.0283203,128.10059,409.27734,-323.87695,102.319336,silence,0.0,
93.0,290.03906,-4.0283203,145.8252,-248.9502,-24.169922,1032.8613,-307.76367,94.262695,silence,0.0,
94.0,195.77637,33.032227,-16.918945,-20.141602,-125.68359,501.9287,-305.34668,91.8457,silence,0.0,
96.0,-207.05566,61.23047,-158.71582,200.61035,-10.473633,60.424805,-310.18066,99.90234,silence,0.0,
98.0,-165.16113,27.392578,-62.841797,121.65527,157.91016,199.80469,-314.20898,105.54199,silence,0.0,
99.0,103.125,9.667969,114.4043,-182.88574,42.700195,857.22656,-306.958,92.65137,silence,0.0,
108.0,319.84863,15.307617,88.62305,-198.99902,-88.62305,868.50586,-294.87305,85.40039,silence,0.0,
110.0,-54.785156,62.036133,-120.84961,128.10059,-70.89844,131.32324,-298.90137,90.234375,silence,0.0,
111.0,-200.61035,45.92285,-131.32324,190.94238,126.48926,31.420898,-308.56934,91.04004,silence,0.0,
124.0,1.6113281,16.113281,41.89453,-17.72461,132.1289,467.28516,-306.15234,75.73242,silence,0.0,
125.0,322.26562,-4.8339844,140.99121,-259.42383,-49.95117,997.4121,-290.03906,66.06445,silence,0.0,
127.0,178.05176,52.368164,-48.339844,3.2226562,-115.20996,421.3623,-281.98242,63.64746,silence,0.0,
129.0,-202.22168,70.89844,-154.6875,205.44434,2.4169922,-0.80566406,-291.6504,75.73242,silence,0.0,
141.0,-105.54199,20.947266,-50.756836,104.73633,157.91016,224.78027,-294.87305,73.31543,silence,0.0,
142.0,165.9668,4.0283203,138.57422,-190.94238,31.420898,850.78125,-287.62207,69.28711,silence,0.0,
144.0,327.0996,20.947266,70.89844,-171.60645,-103.125,775.0488,-276.34277,68.481445,silence,0.0,
145.0,-56.396484,62.841797,-120.84961,162.74414,-53.17383,92.65137,-279.56543,73.31543,silence,0.0,
157.0,-179.66309,46.728516,-103.125,172.41211,111.18164,34.643555,-289.2334,87.01172,silence,0.0,
159.0,62.036133,10.473633,65.25879,-36.254883,110.37598,529.3213,-291.6504,75.73242,silence,0.0,
160.0,363.3545,5.6396484,150.65918,-257.00684,-83.78906,974.8535,-281.17676,74.92676,silence,0.0,
161.0,165.9668,53.17383,-57.20215,29.80957,-116.82129,373.02246,-281.17676,83.78906,silence,0.0,
174.0,-173.21777,55.59082,-135.35156,194.16504,28.198242,-12.890625,-296.48438,101.51367,silence,0.0,
175.0,-75.73242,21.75293,-25.78125,56.396484,160.32715,282.7881,-305.34668,98.291016,silence,0.0,
177.0,212.69531,19.335938,155.49316,-226.3916,33.032227,901.5381,-298.0957,85.40039,silence,0.0,
179.0,334.3506,32.226562,66.87012,-174.02344,-116.82129,725.9033,-287.62207,78.95508,silence,0.0,
181.0,-49.95117,70.89844,-131.32324,175.63477,-42.700195,92.65137,-290.84473,86.206055,silence,0.0,
190.0,-125.68359,31.420898,-85.40039,143.4082,127.29492,49.145508,-302.12402,87.01172,silence,0.0,
192.0,93.45703,27.392578,76.538086,-75.73242,100.70801,651.7822,-298.90137,77.34375,silence,0.0,
206.0,397.99805,7.2509766,158.71582,-261.84082,-82.177734,942.62695,-280.3711,58.007812,silence,0.0,
208.0,144.21387,62.036133,-68.481445,30.615234,-103.125,326.29395,-279.56543,66.87012,silence,0.0,
210.0,-129.71191,46.728516,-125.68359,184.49707,70.89844,-47.53418,-283.59375,79.76074,silence,0.0,
211.0,-27.392578,28.198242,0.80566406,20.947266,159.52148,296.48438,-287.62207,65.25879,silence,0.0,
213.0,298.0957,-8.862305,164.35547,-237.6709,28.198242,924.0967,-273.92578,56.396484,silence,0.0,
215.0,322.26562,31.420898,52.368164,-136.96289,-136.15723,620.3613,-268.28613,56.396484,silence,0.0,
227.0,-45.92285,45.92285,-148.24219,174.02344,-16.113281,74.12109,-273.92578,69.28711,silence,0.0,
242.0,-98.291016,26.586914,-74.92676,133.74023,145.01953,66.06445,-286.8164,71.7041,silence,0.0,
244.0,133.74023,5.6396484,81.37207,-94.262695,77.34375,725.09766,-283.59375,60.424805,silence,0.0,
246.0,397.19238,0.0,139.37988,-246.5332,-84.59473,907.9834,-270.70312,57.20215,silence,0.0,
248.0,109.57031,37.86621,-89.42871,66.06445,-99.90234,275.5371,-275.5371,65.25879,silence,0.0,
250.0,-105.54199,20.947266,-125.68359,185.30273,103.930664,-35.44922,-290.03906,82.177734,silence,0.0,
260.0,12.890625,-4.0283203,12.890625,14.501953,144.21387,335.15625,-297.29004,78.95508,silence,0.0,
274.0,339.18457,-27.392578,153.07617,-240.08789,20.141602,980.49316,-286.8164,70.09277,silence,0.0,
277.0,310.18066,1.6113281,27.392578,-105.54199,-115.20996,555.10254,-282.7881,78.149414,silence,0.0,
280.0,-59.61914,31.420898,-156.29883,169.99512,-2.4169922,75.73242,-294.87305,90.234375,silence,0.0,
281.0,-82.177734,3.2226562,-69.28711,123.2666,167.57812,116.82129,-302.12402,86.206055,silence,0.0,
283.0,144.21387,-12.890625,88.62305,-132.1289,61.23047,794.38477,-304.54102,81.37207,silence,0.0,
285.0,383.4961,-15.307617,115.20996,-229.61426,-73.31543,905.5664,-288.42773,72.509766,silence,0.0,
292.0,46.728516,44.311523,-100.70801,78.95508,-82.9834,192.55371,-290.84473,77.34375,silence,0.0,
294.0,-130.51758,20.947266,-132.93457,174.8291,129.71191,-3.2226562,-297.29004,84.59473,silence,0.0,
295.0,-12.890625,3.2226562,36.254883,-17.72461,145.01953,377.05078,-302.12402,74.12109,silence,0.0,
297.0,291.6504,-1.6113281,149.04785,-261.03516,-8.862305,997.4121,-281.17676,58.007812,silence,0.0,
309.0,211.08398,29.80957,3.2226562,-78.149414,-107.15332,493.0664,-270.70312,55.59082,silence,0.0,
310.0,-145.01953,42.700195,-153.07617,170.80078,2.4169922,42.700195,-286.01074,70.09277,silence,0.0,
312.0,-139.37988,11.279297,-57.20215,106.34766,167.57812,145.01953,-294.06738,68.481445,silence,0.0,
314.0,73.31543,-4.0283203,106.34766,-157.10449,45.92285,810.49805,-286.01074,64.453125,silence,0.0,
316.0,277.14844,2.4169922,90.234375,-198.19336,-87.01172,856.4209,-277.14844,65.25879,silence,0.0,
325.0,-65.25879,41.088867,-121.65527,115.20996,-71.7041,132.93457,-284.3994,70.89844,silence,0.0,
327.0,-213.50098,20.947266,-130.51758,185.30273,134.5459,7.2509766,-290.84473,85.40039,silence,0.0,
329.0,-70.89844,4.0283203,37.060547,-3.2226562,132.1289,416.52832,-290.84473,71.7041,silence,0.0,
342.0,207.86133,-0.80566406,139.37988,-250.56152,-35.44922,995.8008,-277.14844,57.20215,silence,0.0,
344.0,105.54199,35.44922,-35.44922,-8.862305,-111.18164,437.4756,-279.56543,67.67578,silence,0.0,
358.0,-249.75586,38.671875,-152.27051,193.35938,3.2226562,22.558594,-290.03906,78.149414,silence,0.0,
360.0,-204.63867,8.862305,-59.61914,111.18164,171.60645,203.02734,-302.12402,82.9834,silence,0.0,
