Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
0cd98096-0f4d-4096-945a-be2c6a70bb5f,1,05-03-2019_22-20-51,A5,36,-2.9749994,24959x8,111991,22:18:59.054,22:20:51.078,4.4873095,222.8507,µV,1551820534747,1551820851078,
Stimuli appearance,4016.0,6999.0,10009.0,13008.0,16003.0,19003.0,22005.0,25017.0,28007.0,31003.0,34006.0,37008.0,40002.0,43006.0,46002.0,49014.0,52009.0,55010.0,58013.0,61004.0,64016.0,67000.0,70008.0,73013.0,76007.0,79018.0,82011.0,85016.0,88021.0,91010.0,94010.0,97017.0,100000.0,103010.0,106015.0,109007.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-199.20044,-5.2368164,-75.128174,170.19653,118.63403,-388.93433,8.056641,-20.544434,silence,0.0,
2.0,12.487793,-17.321777,70.495605,-76.94092,67.67578,289.83765,14.300537,-39.074707,silence,0.0,
4.0,245.52612,5.4382324,122.058105,-246.73462,-94.06128,412.29858,33.636475,-48.742676,silence,0.0,
6.0,8.459473,26.184082,-75.73242,66.87012,-129.5105,-149.85352,33.636475,-39.678955,silence,0.0,
8.0,-212.69531,0.0,-117.22412,218.33496,67.67578,-412.5,8.258057,-18.530273,silence,0.0,
23.0,-122.46094,-13.293457,17.120361,26.989746,130.31616,-99.49951,4.0283203,-20.141602,silence,0.0,
26.0,169.99512,-10.473633,147.43652,-243.10913,11.480713,412.29858,15.509033,-36.85913,silence,0.0,
28.0,168.98804,22.357178,30.413818,-110.17456,-145.01953,151.06201,20.544434,-36.85913,silence,0.0,
29.0,-154.48608,21.954346,-148.04077,209.87549,-35.247803,-385.51025,20.141602,-29.406738,silence,0.0,
31.0,-198.39478,0.80566406,-62.64038,155.896,127.697754,-346.23413,9.667969,-20.74585,silence,0.0,
32.0,17.72461,0.60424805,83.184814,-104.333496,38.671875,347.44263,14.099121,-33.233643,silence,0.0,
34.0,241.29639,17.523193,104.333496,-229.41284,-91.64429,412.29858,31.219482,-42.49878,silence,0.0,
