Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
9a00516b-83a5-4bb4-b077-b8888938b641,2,05-03-2019_22-23-07,A5,36,-2.9749994,24962x8,112010,22:21:15.114,22:23:07.151,4.487428,222.84479,µV,1551820739087,1551820987152,
Stimuli appearance,4010.0,7005.0,10009.0,13016.0,16007.0,19014.0,22011.0,25009.0,28022.0,31019.0,34022.0,37017.0,40025.0,43023.0,46014.0,49017.0,52013.0,55023.0,58023.0,61024.0,64024.0,67019.0,70028.0,73034.0,76024.0,79030.0,82028.0,85029.0,88023.0,91031.0,94034.0,97028.0,100033.0,103036.0,106035.0,109041.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,261.03516,-5.2368164,133.3374,-242.90771,-95.06836,284.60083,162.34131,-103.326416,silence,0.0,
14.0,-19.73877,31.018066,-95.269775,79.96216,-94.66553,-391.35132,166.77246,-96.07544,silence,0.0,
16.0,-195.97778,0.80566406,-119.23828,198.7976,122.46094,-412.5,154.6875,-75.531006,silence,0.0,
18.0,-99.90234,-4.8339844,36.85913,5.6396484,125.68359,-286.8164,158.11157,-87.01172,silence,0.0,
19.0,199.80469,-19.73877,164.55688,-251.36719,-6.8481445,353.68652,173.21777,-106.54907,silence,0.0,
20.0,161.33423,12.286377,24.169922,-81.170654,-125.88501,-137.36572,183.48999,-103.326416,silence,0.0,
22.0,-164.15405,32.629395,-155.49316,201.61743,-10.473633,-412.5,171.60645,-98.0896,silence,0.0,
23.0,-173.41919,-7.8552246,-54.18091,138.97705,137.56714,-412.5,167.98096,-97.283936,silence,0.0,
28.0,30.615234,-17.120361,108.76465,-131.92749,17.523193,165.76538,178.656,-113.39722,silence,0.0,
29.0,246.33179,3.0212402,110.77881,-211.2854,-104.73633,220.95337,192.95654,-121.45386,silence,0.0,
36.0,-65.86304,28.198242,-98.89526,114.20288,-88.220215,-412.5,188.92822,-108.76465,silence,0.0,
38.0,-222.36328,8.459473,-122.25952,215.71655,108.76465,-412.5,178.85742,-104.13208,silence,0.0,
40.0,-76.33667,-12.487793,51.763916,5.8410645,105.13916,-287.8235,182.08008,-108.1604,silence,0.0,
42.0,211.2854,-21.954346,164.35547,-247.94312,-59.21631,323.2727,202.4231,-125.079346,silence,0.0,
43.0,148.04077,8.660889,-8.056641,-22.558594,-132.93457,-239.88647,214.91089,-127.697754,silence,0.0,
45.0,-205.64575,20.544434,-154.6875,213.29956,-18.73169,-412.5,199.40186,-109.77173,silence,0.0,
62.0,-173.82202,-11.682129,-48.94409,137.36572,137.1643,-412.5,186.1084,-105.944824,silence,0.0,
64.0,42.90161,-23.968506,127.29492,-160.32715,4.2297363,150.25635,198.59619,-116.82129,silence,0.0,
66.0,252.37427,-18.328857,90.63721,-185.30273,-112.39014,125.079346,216.11938,-118.63403,silence,0.0,
68.0,-94.262695,32.42798,-115.81421,137.1643,-75.32959,-412.5,205.84717,-106.54907,silence,0.0,
77.0,-212.29248,-5.4382324,-110.37598,206.04858,109.16748,-412.5,195.57495,-103.72925,silence,0.0,
79.0,-49.749756,-23.162842,62.841797,-5.4382324,98.291016,-253.38135,202.4231,-113.39722,silence,0.0,
80.0,236.4624,-21.148682,164.35547,-260.83374,-79.559326,272.31445,220.95337,-118.83545,silence,0.0,
