Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
4142312e-a5a1-4a95-a394-15f972dc815f,3,05-03-2019_22-25-55,A5,36,-2.9749994,24960x8,111999,22:24:03.110,22:25:55.139,4.487486,222.84193,µV,1551820875142,1551821155139,
Stimuli appearance,4019.0,7007.0,10022.0,13006.0,16005.0,19013.0,22004.0,25009.0,28006.0,31017.0,34010.0,37013.0,40001.0,43010.0,46015.0,49007.0,52003.0,55017.0,58013.0,61015.0,64017.0,67014.0,70013.0,73021.0,76022.0,79017.0,82013.0,85016.0,88005.0,91010.0,94023.0,97012.0,100018.0,103010.0,106016.0,109010.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,28.80249,9.063721,-87.41455,75.93384,-136.35864,-412.5,-412.5,-396.58813,silence,0.0,
2.0,-159.7229,-30.413818,-109.973145,222.16187,66.6687,-412.5,-412.5,-396.58813,silence,0.0,
5.0,-70.29419,-39.678955,23.76709,24.572754,137.76855,-412.5,-412.5,-412.09717,silence,0.0,
7.0,202.62451,-37.46338,143.4082,-247.94312,4.2297363,-412.5,-412.5,-412.5,silence,0.0,
9.0,208.06274,-15.710449,31.420898,-101.916504,-163.14697,-412.5,-412.5,-412.5,silence,0.0,
10.0,-98.0896,-26.78833,-132.1289,211.2854,-54.986572,-412.5,-412.5,-412.5,silence,0.0,
13.0,-144.41528,-39.276123,-47.131348,143.60962,135.35156,-412.5,-412.5,-412.5,silence,0.0,
15.0,44.91577,-25.579834,89.83154,-118.83545,46.92993,-412.5,-412.5,-412.5,silence,0.0,
21.0,259.82666,-7.2509766,104.333496,-229.41284,-103.930664,-412.5,-412.5,-412.5,silence,0.0,
22.0,-28.601074,8.459473,-87.01172,96.276855,-124.072266,-412.5,-412.5,-412.5,silence,0.0,
24.0,-166.97388,-27.79541,-112.18872,207.4585,95.06836,-412.5,-412.5,-412.5,silence,0.0,
26.0,-53.17383,-39.074707,47.131348,-2.0141602,129.71191,-412.5,-412.5,-412.5,silence,0.0,
28.0,209.87549,-20.947266,136.56006,-267.8833,-22.357178,-412.5,-412.5,-412.5,silence,0.0,
30.0,151.46484,7.0495605,-0.80566406,-54.785156,-157.10449,-412.5,-412.5,-412.5,silence,0.0,
32.0,-174.62769,3.8269043,-138.97705,213.7024,-40.283203,-412.5,-412.5,-412.5,silence,0.0,
34.0,-155.09033,-25.579834,-39.88037,135.15015,154.08325,-412.5,-412.5,-412.5,silence,0.0,
39.0,42.700195,-16.918945,104.333496,-162.1399,41.088867,-412.5,-412.5,-412.5,silence,0.0,
41.0,233.844,11.480713,88.82446,-212.29248,-105.340576,-412.5,-412.5,-412.5,silence,0.0,
46.0,-70.69702,17.523193,-88.220215,119.23828,-106.14624,-412.5,-412.5,-412.5,silence,0.0,
65.0,-195.77637,-7.0495605,-100.909424,201.41602,106.34766,-412.5,-412.5,-412.5,silence,0.0,
67.0,-64.453125,-11.077881,54.382324,-21.75293,139.78271,-412.5,-412.5,-412.5,silence,0.0,
69.0,189.53247,3.0212402,138.3728,-266.07056,-59.61914,-412.5,-412.5,-412.5,silence,0.0,
71.0,105.74341,27.996826,-25.579834,-13.897705,-146.83228,-412.5,-412.5,-412.5,silence,0.0,
72.0,-208.26416,5.4382324,-126.690674,208.26416,-36.4563,-412.5,-412.5,-412.5,silence,0.0,
73.0,-167.77954,-13.293457,-28.198242,118.029785,158.31299,-412.5,-412.5,-412.5,silence,0.0,
81.0,36.657715,-0.60424805,125.28076,-194.56787,26.586914,-412.5,-412.5,-412.5,silence,0.0,
97.0,183.89282,25.177002,75.531006,-193.56079,-119.23828,-412.5,-412.5,-412.5,silence,0.0,
102.0,-116.41846,25.78125,-105.13916,146.63086,-87.61597,-412.5,-412.5,-412.5,silence,0.0,
103.0,-224.57886,-6.0424805,-89.02588,187.92114,107.15332,-412.5,-412.5,-412.5,silence,0.0,
105.0,-57.403564,-4.2297363,60.62622,-27.996826,128.302,-412.5,-412.5,-412.5,silence,0.0,
113.0,188.12256,11.480713,137.36572,-271.5088,-89.42871,-412.5,-412.5,-412.5,silence,0.0,
115.0,63.446045,27.996826,-45.117188,26.184082,-134.74731,-412.5,-412.5,-412.5,silence,0.0,
116.0,-218.33496,6.2438965,-118.43262,215.31372,-16.71753,-412.5,-412.5,-412.5,silence,0.0,
118.0,-164.7583,-5.0354004,-18.73169,82.177734,168.18237,-412.5,-412.5,-412.5,silence,0.0,
119.0,60.424805,1.0070801,139.78271,-223.16895,29.003906,-412.5,-412.5,-412.5,silence,0.0,
132.0,170.59937,28.80249,52.166748,-177.44751,-131.32324,-412.5,-412.5,-412.5,silence,0.0,
134.0,-130.31616,23.565674,-110.37598,181.47583,-66.06445,-412.5,-412.5,-412.5,silence,0.0,
136.0,-211.68823,-12.890625,-77.34375,184.69849,108.36182,-412.5,-412.5,-412.5,silence,0.0,
138.0,-16.516113,-22.961426,70.09277,-47.53418,116.61987,-412.5,-412.5,-412.5,silence,0.0,
147.0,218.13354,4.4311523,132.73315,-262.44507,-94.66553,-412.5,-412.5,-412.5,silence,0.0,
