Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
341dedd2-1756-4d26-bbed-d3aab06ebfc5,4,05-03-2019_22-28-00,A5,36,-2.9749994,24956x8,112006,22:26:08.306,22:28:00.332,4.487583,222.83765,µV,1551821043140,1551821280333,
Stimuli appearance,4017.0,7017.0,10022.0,13014.0,16022.0,19031.0,22017.0,25016.0,28016.0,31024.0,34016.0,37019.0,40014.0,43018.0,46016.0,49020.0,52029.0,55017.0,58025.0,61020.0,64020.0,67020.0,70023.0,73023.0,76026.0,79032.0,82020.0,85026.0,88024.0,91026.0,94013.0,97019.0,100030.0,103026.0,106024.0,109024.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,225.78735,6.0424805,132.1289,-277.55127,-88.82446,412.29858,-5.6396484,-3.2226562,silence,0.0,
14.0,104.53491,14.904785,-50.55542,18.933105,-122.46094,73.31543,-3.8269043,0.0,silence,0.0,
16.0,-198.7976,-4.0283203,-122.66235,217.5293,9.466553,-356.50635,-19.335938,19.134521,silence,0.0,
17.0,-130.92041,-23.968506,-21.954346,92.248535,151.06201,-58.20923,-26.989746,17.120361,silence,0.0,
19.0,96.07544,-3.0212402,137.1643,-218.53638,13.494873,412.29858,-13.092041,-1.2084961,silence,0.0,
21.0,201.41602,26.78833,51.361084,-178.25317,-125.28076,412.29858,4.2297363,-5.2368164,silence,0.0,
23.0,-112.39014,15.106201,-111.58447,191.54663,-43.304443,-249.95728,-3.2226562,1.8127441,silence,0.0,
29.0,-197.58911,-18.328857,-80.36499,183.89282,119.84253,-306.35376,-13.293457,8.258057,silence,0.0,
31.0,-10.473633,-14.501953,65.66162,-39.88037,97.68677,295.88013,-13.696289,-2.8198242,silence,0.0,
32.0,223.16895,6.4453125,128.302,-266.87622,-105.74341,412.29858,9.667969,-16.314697,silence,0.0,
34.0,45.318604,25.982666,-70.69702,46.728516,-124.87793,17.523193,4.4311523,-9.265137,silence,0.0,
36.0,-209.87549,-2.0141602,-115.81421,220.1477,42.297363,-391.75415,0.80566406,-9.667969,silence,0.0,
57.0,-130.51758,-16.314697,1.0070801,63.043213,145.01953,-40.283203,-7.4523926,-8.862305,silence,0.0,
59.0,108.56323,0.20141602,142.1997,-227.6001,9.869385,412.29858,0.60424805,-11.883545,silence,0.0,
60.0,169.39087,28.601074,42.700195,-156.50024,-139.37988,349.4568,8.459473,-20.544434,silence,0.0,
61.0,-143.20679,14.703369,-128.90625,204.23584,-32.83081,-266.6748,-3.8269043,-3.6254883,silence,0.0,
62.0,-201.01318,-12.084961,-69.28711,169.99512,126.086426,-285.4065,-17.321777,8.862305,silence,0.0,
64.0,-10.675049,-2.2155762,72.30835,-75.93384,69.28711,403.43628,-20.141602,3.6254883,silence,0.0,
65.0,226.99585,20.343018,113.59863,-254.58984,-106.14624,412.29858,-10.675049,-4.0283203,silence,0.0,
72.0,5.6396484,23.565674,-80.76782,71.30127,-115.61279,-7.0495605,-7.2509766,5.0354004,silence,0.0,
74.0,-215.71655,-8.660889,-110.980225,227.19727,79.156494,-394.17114,-20.141602,21.350098,silence,0.0,
75.0,-131.32324,-11.682129,18.530273,32.025146,140.38696,9.869385,-22.961426,12.487793,silence,0.0,
77.0,144.41528,3.0212402,142.1997,-238.8794,2.2155762,412.29858,-5.6396484,-3.0212402,silence,0.0,
78.0,163.14697,27.191162,29.406738,-116.015625,-151.66626,276.94702,1.2084961,-7.6538086,silence,0.0,
90.0,-151.06201,2.2155762,-128.90625,208.06274,-26.586914,-267.6819,-10.675049,5.6396484,silence,0.0,
92.0,-194.56787,-17.523193,-54.382324,159.52148,133.53882,-262.04224,-18.530273,7.0495605,silence,0.0,
93.0,12.890625,-6.8481445,83.99048,-106.34766,47.93701,412.29858,-8.459473,-8.258057,silence,0.0,
105.0,239.28223,12.689209,104.53491,-229.21143,-107.35474,412.29858,7.8552246,-20.343018,silence,0.0,
107.0,-29.205322,29.608154,-88.62305,91.44287,-111.987305,-84.79614,8.258057,-11.883545,silence,0.0,
108.0,-213.7024,-11.883545,-107.55615,226.19019,110.77881,-390.9485,-3.6254883,-4.0283203,silence,0.0,
109.0,-95.67261,-17.926025,36.254883,10.473633,131.52466,27.79541,-8.862305,-10.070801,silence,0.0,
110.0,190.13672,-4.6325684,140.18555,-255.79834,-12.084961,412.29858,7.8552246,-26.989746,silence,0.0,
125.0,146.42944,29.003906,1.6113281,-73.11401,-143.00537,190.74097,13.897705,-22.76001,silence,0.0,
139.0,-167.1753,7.0495605,-136.35864,214.91089,-21.954346,-288.22632,-4.8339844,-6.8481445,silence,0.0,
140.0,-169.7937,-24.371338,-48.94409,152.67334,139.17847,-219.54346,-14.099121,-1.2084961,silence,0.0,
142.0,25.378418,-7.8552246,101.51367,-146.42944,24.572754,412.29858,-8.660889,-11.480713,silence,0.0,
143.0,234.64966,18.127441,92.85278,-210.68115,-110.77881,412.29858,5.2368164,-12.890625,silence,0.0,
145.0,-55.993652,17.321777,-93.85986,121.45386,-107.35474,-169.7937,-4.6325684,-2.8198242,silence,0.0,
156.0,-199.40186,-14.099121,-105.13916,220.1477,109.973145,-353.88794,-17.72461,7.2509766,silence,0.0,
158.0,-73.11401,-21.551514,51.965332,-8.459473,120.64819,82.78198,-19.134521,4.6325684,silence,0.0,
160.0,209.47266,2.0141602,138.77563,-265.2649,-55.18799,412.29858,-5.4382324,-3.2226562,silence,0.0,
172.0,141.99829,16.918945,-9.869385,-27.79541,-139.17847,149.45068,0.20141602,-6.0424805,silence,0.0,
173.0,-192.75513,-2.0141602,-133.13599,219.74487,-21.350098,-310.7849,-4.2297363,3.6254883,silence,0.0,
174.0,-165.16113,-21.551514,-34.44214,126.89209,156.29883,-165.56396,-17.120361,4.4311523,silence,0.0,
175.0,58.007812,-8.660889,112.994385,-179.8645,21.551514,412.29858,-3.0212402,-13.092041,silence,0.0,
177.0,245.52612,13.092041,72.71118,-198.99902,-116.015625,412.29858,13.494873,-12.084961,silence,0.0,
190.0,-80.163574,17.321777,-99.298096,132.1289,-78.552246,-223.37036,6.0424805,-10.473633,silence,0.0,
192.0,-197.18628,-20.544434,-95.67261,202.82593,110.77881,-332.73926,-3.8269043,-10.473633,silence,0.0,
193.0,-28.198242,-23.76709,58.007812,-17.321777,112.79297,138.97705,0.80566406,-16.516113,silence,0.0,
206.0,239.68506,-1.4099121,130.719,-268.08472,-78.75366,412.29858,14.904785,-24.572754,silence,0.0,
208.0,123.065186,20.947266,-36.053467,2.2155762,-134.5459,89.02588,17.321777,-18.328857,silence,0.0,
209.0,-200.61035,-3.4240723,-122.66235,216.92505,-10.070801,-355.09644,4.4311523,-9.063721,silence,0.0,
211.0,-131.72607,-28.399658,-27.191162,108.966064,151.66626,-111.987305,-3.6254883,-12.890625,silence,0.0,
212.0,91.64429,-8.660889,133.94165,-206.45142,15.307617,412.29858,6.0424805,-20.141602,silence,0.0,
224.0,241.90063,12.084961,64.65454,-185.90698,-122.058105,412.29858,16.918945,-16.113281,silence,0.0,
225.0,-83.184814,7.6538086,-101.51367,163.75122,-55.59082,-248.54736,7.2509766,-9.063721,silence,0.0,
227.0,-189.33105,-21.75293,-83.78906,183.08716,124.87793,-325.6897,-9.063721,3.4240723,silence,0.0,
240.0,-1.8127441,-23.76709,68.481445,-36.254883,104.937744,216.92505,-13.696289,-2.8198242,silence,0.0,
242.0,251.5686,8.660889,128.70483,-272.51587,-98.49243,412.29858,4.8339844,-9.667969,silence,0.0,
243.0,97.48535,19.940186,-53.375244,26.385498,-124.67651,59.21631,5.2368164,-4.8339844,silence,0.0,
256.0,-198.59619,-12.286377,-112.18872,211.88965,21.148682,-374.43237,-7.0495605,5.2368164,silence,0.0,
258.0,-128.90625,-18.933105,-16.71753,73.31543,156.50024,-56.19507,-10.473633,-2.2155762,silence,0.0,
259.0,119.4397,-10.272217,140.58838,-219.94629,10.876465,412.29858,1.2084961,-16.113281,silence,0.0,
273.0,218.13354,21.954346,45.117188,-172.00928,-136.15723,401.0193,8.459473,-21.148682,silence,0.0,
275.0,-105.54199,6.8481445,-113.1958,192.3523,-40.283203,-269.2932,3.4240723,-12.689209,silence,0.0,
277.0,-189.9353,-22.558594,-71.90552,180.26733,118.029785,-308.1665,-5.4382324,-13.293457,silence,0.0,
278.0,19.73877,-25.579834,71.502686,-49.346924,83.99048,331.9336,-1.8127441,-21.954346,silence,0.0,
280.0,254.18701,3.0212402,124.27368,-258.61816,-102.923584,412.29858,25.78125,-44.714355,silence,0.0,
291.0,51.5625,20.343018,-72.71118,49.346924,-121.45386,-13.696289,21.75293,-33.233643,silence,0.0,
293.0,-185.30273,-18.530273,-116.61987,221.75903,55.993652,-412.29858,10.876465,-16.314697,silence,0.0,
294.0,-109.16748,-28.198242,5.0354004,47.53418,146.22803,-31.420898,0.0,-30.81665,silence,0.0,
307.0,158.11157,-10.473633,140.38696,-233.23975,13.293457,412.29858,18.73169,-45.318604,silence,0.0,
309.0,196.38062,16.71753,37.060547,-141.59546,-153.88184,299.90845,21.954346,-40.48462,silence,0.0,
311.0,-117.42554,-2.8198242,-132.1289,207.05566,-41.693115,-272.11304,4.8339844,-17.926025,silence,0.0,
313.0,-166.97388,-28.601074,-62.64038,166.77246,129.91333,-286.21216,-8.862305,-10.876465,silence,0.0,
314.0,32.226562,-20.74585,75.32959,-83.58765,57.000732,412.29858,-1.6113281,-14.300537,silence,0.0,
315.0,259.021,5.2368164,114.20288,-249.35303,-99.70093,412.29858,5.2368164,-13.494873,silence,0.0,
323.0,15.307617,9.667969,-81.170654,78.35083,-122.86377,-28.198242,-1.6113281,-8.862305,silence,0.0,
