Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
e39316c1-b41d-4845-8322-39511d17104f,5,05-03-2019_22-30-45,A5,36,-2.9749994,24964x8,112012,22:28:53.567,22:30:45.598,4.487603,222.8361,µV,1551821168327,1551821445599,
Stimuli appearance,4012.0,7019.0,10018.0,13019.0,16029.0,19017.0,22028.0,25015.0,28014.0,31023.0,34020.0,37021.0,40024.0,43028.0,46020.0,49018.0,52024.0,55025.0,58024.0,61031.0,64024.0,67032.0,70029.0,73032.0,76017.0,79035.0,82025.0,85026.0,88033.0,91027.0,94034.0,97022.0,100033.0,103025.0,106038.0,109037.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,184.8999,24.572754,59.61914,-178.25317,-129.91333,284.60083,79.35791,-66.87012,silence,0.0,
2.0,-93.255615,27.593994,-116.41846,170.19653,-40.081787,-410.68726,76.94092,-54.58374,silence,0.0,
3.0,-183.89282,-0.20141602,-84.99756,180.06592,116.41846,-412.5,56.799316,-45.52002,silence,0.0,
16.0,-5.2368164,-8.862305,73.11401,-41.89453,89.227295,169.99512,48.339844,-58.20923,silence,0.0,
17.0,216.92505,-2.8198242,150.45776,-262.24365,-111.18164,412.29858,67.474365,-64.65454,silence,0.0,
19.0,48.742676,28.80249,-75.531006,44.110107,-119.036865,-136.15723,70.89844,-52.166748,silence,0.0,
21.0,-182.2815,11.682129,-123.66943,205.24292,58.813477,-412.5,51.763916,-33.43506,silence,0.0,
25.0,-113.80005,-8.056641,3.6254883,43.304443,150.8606,-152.06909,45.52002,-45.117188,silence,0.0,
44.0,115.41138,-7.6538086,158.5144,-237.46948,12.084961,412.29858,61.431885,-52.56958,silence,0.0,
45.0,171.20361,20.947266,51.361084,-153.479,-140.58838,200.40894,66.87012,-57.60498,silence,0.0,
47.0,-117.42554,16.314697,-138.17139,187.51831,-32.025146,-390.54565,61.029053,-49.346924,silence,0.0,
49.0,-171.40503,-4.8339844,-74.12109,162.34131,123.065186,-393.7683,41.290283,-45.52002,silence,0.0,
50.0,-9.265137,-5.6396484,81.97632,-88.82446,63.64746,283.39233,44.714355,-66.467285,silence,0.0,
52.0,207.4585,11.883545,126.48926,-250.3601,-104.13208,412.29858,68.481445,-61.431885,silence,0.0,
54.0,-5.4382324,27.593994,-89.227295,63.848877,-122.25952,-158.11157,64.65454,-51.965332,silence,0.0,
55.0,-189.73389,13.696289,-117.82837,203.02734,96.276855,-412.5,48.54126,-34.643555,silence,0.0,
58.0,-117.022705,-6.0424805,24.371338,18.328857,138.77563,-116.41846,47.735596,-44.91577,silence,0.0,
62.0,131.92749,-4.0283203,147.03369,-248.14453,0.20141602,412.29858,60.62622,-58.20923,silence,0.0,
64.0,127.093506,24.169922,32.226562,-114.20288,-140.58838,114.60571,70.69702,-53.57666,silence,0.0,
65.0,-152.47192,25.579834,-143.60962,199.20044,-19.134521,-397.3938,58.20923,-32.42798,silence,0.0,
67.0,-187.3169,2.0141602,-59.014893,143.60962,152.87476,-366.57715,54.382324,-36.85913,silence,0.0,
69.0,-10.675049,-9.265137,92.85278,-116.82129,41.693115,333.74634,64.65454,-52.368164,silence,0.0,
75.0,195.17212,20.74585,102.11792,-220.95337,-106.54907,412.29858,82.78198,-48.339844,silence,0.0,
77.0,-73.91968,47.332764,-94.46411,98.0896,-112.79297,-275.73853,68.68286,-20.141602,silence,0.0,
79.0,-216.3208,18.73169,-119.64111,207.25708,110.77881,-412.5,47.332764,-18.328857,silence,0.0,
91.0,-113.59863,0.80566406,33.43506,3.2226562,126.89209,-86.8103,44.51294,-34.039307,silence,0.0,
93.0,147.2351,5.6396484,142.60254,-259.42383,-27.79541,412.29858,55.389404,-44.311523,silence,0.0,
94.0,104.73633,40.283203,6.2438965,-68.481445,-141.19263,54.382324,53.778076,-39.88037,silence,0.0,
109.0,-202.4231,40.081787,-142.1997,201.41602,-18.933105,-397.3938,42.297363,-25.177002,silence,0.0,
111.0,-179.8645,6.4453125,-50.958252,137.56714,152.67334,-300.5127,27.392578,-25.177002,silence,0.0,
114.0,-1.8127441,5.8410645,104.53491,-157.30591,23.162842,400.81787,33.032227,-43.707275,silence,0.0,
126.0,186.91406,30.413818,86.8103,-213.7024,-107.75757,412.29858,46.124268,-45.92285,silence,0.0,
142.0,-107.15332,44.110107,-101.312256,111.18164,-91.04004,-311.18774,40.081787,-35.44922,silence,0.0,
144.0,-223.16895,15.509033,-107.55615,194.9707,120.24536,-412.5,31.82373,-29.406738,silence,0.0,
145.0,-85.60181,-4.0283203,54.58374,-10.675049,118.43262,-22.155762,34.84497,-40.283203,silence,0.0,
147.0,160.52856,8.660889,146.83228,-266.4734,-61.029053,412.29858,48.339844,-37.46338,silence,0.0,
148.0,76.33667,46.92993,-27.593994,-16.314697,-136.96289,3.4240723,55.389404,-33.83789,silence,0.0,
149.0,-216.3208,33.636475,-145.8252,198.59619,-12.286377,-412.5,40.88745,-15.509033,silence,0.0,
158.0,-170.80078,4.6325684,-36.254883,117.82837,163.95264,-250.76294,31.622314,-19.134521,silence,0.0,
160.0,24.975586,5.8410645,135.15015,-204.43726,20.947266,412.29858,42.095947,-39.678955,silence,0.0,
162.0,173.41919,34.84497,75.128174,-195.37354,-121.45386,390.9485,55.993652,-46.124268,silence,0.0,
163.0,-111.987305,41.693115,-114.001465,136.76147,-67.27295,-371.20972,49.145508,-29.80957,silence,0.0,
174.0,-203.63159,0.40283203,-98.89526,187.11548,122.66235,-412.5,34.44214,-21.75293,silence,0.0,
175.0,-42.700195,-5.2368164,61.029053,-21.954346,113.80005,40.283203,32.226562,-35.046387,silence,0.0,
177.0,199.80469,6.0424805,148.04077,-279.56543,-95.47119,412.29858,40.081787,-33.43506,silence,0.0,
179.0,78.149414,33.636475,-44.714355,8.862305,-120.84961,-34.44214,39.88037,-16.516113,silence,0.0,
180.0,-187.11548,14.703369,-128.10059,196.98486,11.883545,-412.5,20.947266,-2.8198242,silence,0.0,
192.0,-140.58838,-2.8198242,-26.184082,90.234375,161.33423,-190.13672,18.328857,-12.890625,silence,0.0,
194.0,74.523926,-4.8339844,147.83936,-215.1123,19.134521,412.29858,30.615234,-29.406738,silence,0.0,
196.0,188.32397,23.76709,63.043213,-178.85742,-129.71191,335.55908,44.110107,-24.572754,silence,0.0,
211.0,-105.54199,35.44922,-117.22412,176.84326,-47.53418,-355.70068,24.371338,-5.8410645,silence,0.0,
213.0,-175.03052,-4.2297363,-89.02588,174.8291,125.079346,-406.65894,15.911865,-4.8339844,silence,0.0,
227.0,-10.675049,-10.272217,67.07153,-37.664795,103.930664,155.09033,22.961426,-24.572754,silence,0.0,
229.0,218.7378,-0.40283203,140.18555,-264.2578,-103.930664,412.29858,45.318604,-28.80249,silence,0.0,
231.0,57.60498,29.003906,-71.30127,37.46338,-121.85669,-100.10376,43.304443,-24.77417,silence,0.0,
232.0,-177.64893,8.258057,-129.71191,216.11938,41.89453,-412.5,35.85205,-17.926025,silence,0.0,
233.0,-98.69385,-22.357178,-11.682129,61.6333,155.49316,-159.32007,27.191162,-15.106201,silence,0.0,
235.0,122.46094,-13.494873,154.88892,-225.38452,6.4453125,412.29858,50.756836,-37.664795,silence,0.0,
243.0,189.53247,10.876465,46.325684,-153.479,-143.00537,224.57886,67.474365,-46.124268,silence,0.0,
244.0,-110.57739,16.918945,-136.56006,192.95654,-29.80957,-394.9768,59.820557,-40.88745,silence,0.0,
246.0,-159.52148,-10.473633,-77.74658,169.18945,124.87793,-412.09717,58.007812,-44.714355,silence,0.0,
259.0,21.75293,-16.918945,72.30835,-61.6333,70.09277,237.26807,54.986572,-55.18799,silence,0.0,
261.0,242.50488,1.0070801,131.72607,-238.67798,-109.77173,412.29858,67.67578,-60.22339,silence,0.0,
263.0,32.83081,25.579834,-84.99756,73.31543,-128.50342,-155.49316,59.61914,-44.91577,silence,0.0,
277.0,-158.91724,-5.4382324,-120.24536,215.1123,76.33667,-412.5,44.91577,-35.046387,silence,0.0,
279.0,-66.6687,-29.80957,22.357178,34.643555,139.78271,-129.10767,44.51294,-34.643555,silence,0.0,
281.0,174.62769,-13.897705,148.24219,-233.844,5.0354004,412.29858,49.346924,-35.85205,silence,0.0,
283.0,192.95654,15.307617,32.629395,-111.78589,-152.47192,145.8252,47.131348,-35.650635,silence,0.0,
284.0,-93.0542,6.8481445,-147.83936,211.68823,-29.003906,-381.48193,33.233643,-15.509033,silence,0.0,
286.0,-107.958984,-23.76709,-61.23047,163.34839,131.32324,-364.96582,18.933105,-14.501953,silence,0.0,
293.0,61.431885,-20.343018,87.61597,-92.04712,37.46338,336.969,25.78125,-20.343018,silence,0.0,
310.0,267.48047,-2.0141602,115.41138,-222.36328,-109.77173,412.29858,42.90161,-26.586914,silence,0.0,
311.0,16.314697,14.904785,-89.42871,99.70093,-121.45386,-217.93213,44.91577,-18.73169,silence,0.0,
313.0,-118.43262,-20.947266,-117.42554,218.7378,106.14624,-412.5,34.44214,-8.459473,silence,0.0,
315.0,-26.586914,-31.219482,36.053467,19.134521,127.093506,-94.66553,33.233643,-27.996826,silence,0.0,
317.0,223.97461,-23.968506,143.00537,-247.7417,-22.558594,412.29858,52.56958,-36.85913,silence,0.0,
327.0,199.40186,1.4099121,12.487793,-69.28711,-154.48608,82.177734,56.396484,-32.42798,silence,0.0,
330.0,-80.36499,-14.300537,-143.60962,210.27832,-33.636475,-399.8108,50.152588,-28.601074,silence,0.0,
