Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
a4cddb25-3f7d-4362-973a-82187f7aa0cf,1,05-03-2019_22-34-22,C4-B6,36,-8.5,24968x8,112008,22:32:30.267,22:34:22.299,4.487574,222.83755,µV,1551821499398,1551821662299,
Stimuli appearance,4021.0,7017.0,10022.0,13021.0,16021.0,19014.0,22031.0,25019.0,28022.0,31018.0,34019.0,37024.0,40028.0,43007.0,46015.0,49025.0,52020.0,55028.0,58018.0,61025.0,64025.0,67016.0,70031.0,73020.0,76024.0,79026.0,82024.0,85026.0,88026.0,91032.0,94031.0,97036.0,100028.0,103017.0,106029.0,109036.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,189.53247,24.371338,64.65454,-189.33105,-123.065186,400.81787,-14.904785,0.0,silence,0.0,
2.0,-95.87402,21.75293,-108.1604,155.49316,-27.996826,-326.69678,-16.314697,6.8481445,silence,0.0,
3.0,-179.46167,-13.494873,-86.60889,181.27441,123.66943,-386.92017,-25.78125,11.480713,silence,0.0,
19.0,-24.572754,-20.343018,67.07153,-37.664795,80.163574,178.25317,-25.982666,-1.0070801,silence,0.0,
20.0,209.47266,1.0070801,138.17139,-266.07056,-114.20288,412.29858,-7.2509766,-15.307617,silence,0.0,
22.0,67.27295,30.413818,-67.07153,29.608154,-107.958984,-24.371338,-2.6184082,-10.675049,silence,0.0,
24.0,-190.13672,1.8127441,-127.89917,211.48682,39.074707,-412.5,-10.675049,2.8198242,silence,0.0,
26.0,-125.48218,-11.883545,-8.862305,67.67578,142.60254,-116.82129,-12.689209,-4.6325684,silence,0.0,
27.0,86.40747,-10.070801,148.04077,-217.93213,-0.60424805,412.29858,-8.660889,-11.279297,silence,0.0,
31.0,173.82202,23.162842,48.54126,-163.34839,-134.94873,310.98633,2.0141602,-17.321777,silence,0.0,
32.0,-121.25244,27.191162,-121.65527,185.90698,-16.918945,-355.9021,-0.80566406,-1.8127441,silence,0.0,
51.0,-181.87866,-8.258057,-79.559326,173.82202,128.10059,-375.64087,-15.307617,4.8339844,silence,0.0,
53.0,-7.0495605,-12.689209,72.71118,-48.94409,71.502686,276.7456,-24.371338,-1.6113281,silence,0.0,
54.0,209.87549,4.0283203,127.697754,-248.9502,-121.051025,412.29858,-9.063721,-5.2368164,silence,0.0,
56.0,16.71753,29.205322,-80.76782,59.014893,-105.944824,-97.08252,-10.473633,-0.40283203,silence,0.0,
57.0,-204.23584,3.2226562,-126.28784,217.32788,76.33667,-412.5,-29.80957,19.537354,silence,0.0,
59.0,-111.58447,-20.343018,6.8481445,45.92285,133.74023,-80.163574,-32.42798,8.660889,silence,0.0,
61.0,122.86377,-9.265137,150.05493,-229.01001,-10.876465,412.29858,-21.551514,-2.6184082,silence,0.0,
62.0,158.11157,23.565674,33.83789,-137.96997,-141.99829,228.60718,-12.084961,-11.279297,silence,0.0,
64.0,-131.52466,13.494873,-146.83228,201.61743,-12.084961,-349.85962,-14.099121,-4.2297363,silence,0.0,
69.0,-169.7937,-13.494873,-69.488525,161.93848,128.302,-339.5874,-23.162842,-9.063721,silence,0.0,
70.0,7.6538086,-17.321777,75.531006,-78.75366,33.83789,370.40405,-14.099121,-20.544434,silence,0.0,
72.0,229.01001,4.0283203,117.62695,-236.05957,-120.24536,412.29858,11.883545,-36.657715,silence,0.0,
74.0,-7.2509766,26.989746,-90.43579,73.91968,-105.74341,-137.76855,13.897705,-32.42798,silence,0.0,
76.0,-178.85742,-5.2368164,-118.83545,215.31372,105.74341,-412.5,-6.2438965,-16.314697,silence,0.0,
81.0,-99.49951,-16.516113,24.371338,20.343018,119.64111,-57.806396,-4.2297363,-24.975586,silence,0.0,
82.0,164.55688,-3.6254883,137.76855,-241.4978,-25.78125,412.29858,8.660889,-35.247803,silence,0.0,
84.0,157.10449,26.586914,21.551514,-100.10376,-143.60962,147.63794,16.113281,-24.169922,silence,0.0,
94.0,-125.28076,10.876465,-144.81812,201.41602,-11.883545,-366.37573,3.2226562,-7.8552246,silence,0.0,
96.0,-153.07617,-16.918945,-57.806396,149.85352,140.99121,-311.9934,-9.869385,-2.8198242,silence,0.0,
97.0,43.707275,-13.293457,86.60889,-118.83545,15.911865,412.29858,-8.056641,-12.890625,silence,0.0,
111.0,239.28223,7.4523926,99.09668,-224.37744,-103.125,412.29858,5.6396484,-21.551514,silence,0.0,
113.0,-37.664795,25.982666,-101.71509,103.930664,-90.83862,-216.72363,0.0,-8.056641,silence,0.0,
114.0,-180.46875,-1.6113281,-120.24536,214.70947,129.5105,-412.5,-22.357178,5.2368164,silence,0.0,
127.0,-68.88428,-15.509033,41.693115,0.80566406,113.59863,-4.4311523,-28.198242,-2.2155762,silence,0.0,
