Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
da361027-ad82-40d4-84c6-726cf6f56a01,2,05-03-2019_22-36-26,C4-B6,36,-8.5,24971x8,112011,22:34:34.075,22:36:26.109,4.4875407,222.8392,µV,1551821550291,1551821786109,
Stimuli appearance,4015.0,7014.0,10008.0,13018.0,16028.0,19019.0,22022.0,25028.0,28021.0,31014.0,34023.0,37013.0,40024.0,43027.0,46020.0,49025.0,52033.0,55022.0,58029.0,61031.0,64030.0,67019.0,70026.0,73021.0,76022.0,79019.0,82030.0,85033.0,88023.0,91033.0,94023.0,97038.0,100033.0,103030.0,106035.0,109031.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,170.80078,27.392578,37.46338,-147.03369,-133.53882,262.24365,13.293457,-15.710449,silence,0.0,
13.0,-124.072266,11.883545,-142.1997,202.62451,-17.120361,-342.81006,6.6467285,1.8127441,silence,0.0,
15.0,-176.23901,-17.72461,-75.32959,167.98096,121.65527,-341.19873,-3.8269043,0.0,silence,0.0,
18.0,13.092041,-7.0495605,80.36499,-82.58057,42.297363,379.6692,2.6184082,-13.897705,silence,0.0,
19.0,227.6001,20.141602,114.60571,-244.51904,-117.82837,412.29858,21.551514,-24.169922,silence,0.0,
21.0,1.6113281,34.44214,-88.82446,62.841797,-102.11792,-135.15015,20.343018,-17.321777,silence,0.0,
22.0,-188.92822,-7.0495605,-122.46094,226.19019,87.81738,-412.5,9.869385,-9.869385,silence,0.0,
24.0,-100.70801,-22.961426,31.622314,18.933105,121.65527,-49.346924,4.6325684,-17.926025,silence,0.0,
28.0,164.55688,-1.8127441,143.60962,-239.08081,-19.134521,412.29858,17.926025,-35.44922,silence,0.0,
30.0,149.24927,30.615234,24.169922,-106.14624,-134.14307,158.91724,29.80957,-39.678955,silence,0.0,
37.0,-148.24219,18.933105,-150.45776,214.91089,-13.494873,-379.46777,16.71753,-20.74585,silence,0.0,
39.0,-173.82202,-11.279297,-66.06445,163.95264,121.45386,-317.23022,2.6184082,-10.473633,silence,0.0,
41.0,21.350098,-7.6538086,91.44287,-108.1604,10.272217,401.42212,10.675049,-22.76001,silence,0.0,
43.0,235.05249,22.357178,107.35474,-226.19019,-119.23828,412.29858,29.406738,-25.78125,silence,0.0,
44.0,-36.85913,29.205322,-97.08252,98.49243,-96.47827,-216.3208,24.371338,-6.4453125,silence,0.0,
46.0,-196.78345,-6.8481445,-121.25244,230.82275,107.55615,-412.5,6.0424805,9.063721,silence,0.0,
62.0,-88.220215,-12.890625,38.671875,9.869385,106.951904,-14.501953,4.6325684,1.2084961,silence,0.0,
64.0,182.48291,2.2155762,144.41528,-249.15161,-38.671875,412.29858,18.328857,-10.070801,silence,0.0,
66.0,141.19263,27.79541,6.8481445,-67.474365,-130.31616,98.0896,20.947266,-4.4311523,silence,0.0,
67.0,-171.60645,8.258057,-144.41528,219.14062,-13.696289,-392.5598,11.077881,11.077881,silence,0.0,
68.0,-162.94556,-17.321777,-51.763916,148.24219,143.00537,-266.07056,2.4169922,9.265137,silence,0.0,
69.0,37.46338,-9.063721,107.15332,-154.6875,5.6396484,412.29858,11.883545,-3.6254883,silence,0.0,
79.0,236.66382,22.357178,89.02588,-212.69531,-112.79297,412.29858,38.47046,-27.392578,silence,0.0,
81.0,-68.07861,27.593994,-104.73633,124.4751,-76.94092,-311.9934,31.82373,-9.667969,silence,0.0,
82.0,-196.98486,-6.0424805,-122.25952,215.31372,122.86377,-412.5,17.321777,-6.4453125,silence,0.0,
83.0,-63.64746,-11.480713,50.958252,-11.883545,98.89526,15.509033,22.76001,-25.982666,silence,0.0,
85.0,209.06982,9.265137,136.35864,-265.66772,-69.89136,412.29858,41.4917,-35.247803,silence,0.0,
86.0,127.89917,34.039307,-24.572754,-24.169922,-119.036865,23.968506,46.92993,-37.060547,silence,0.0,
96.0,-197.3877,7.6538086,-140.18555,216.72363,6.6467285,-412.5,32.226562,-18.73169,silence,0.0,
98.0,-151.86768,-19.134521,-42.297363,126.89209,158.71582,-218.93921,26.586914,-23.968506,silence,0.0,
112.0,59.820557,-3.4240723,125.48218,-185.70557,0.0,412.29858,42.90161,-38.067627,silence,0.0,
114.0,225.38452,26.989746,73.91968,-195.97778,-116.21704,412.29858,52.972412,-45.52002,silence,0.0,
116.0,-75.128174,17.523193,-112.18872,135.55298,-44.714355,-357.51343,42.095947,-26.78833,silence,0.0,
129.0,-191.1438,-18.328857,-105.74341,205.64575,119.64111,-412.09717,29.205322,-16.516113,silence,0.0,
131.0,-20.74585,-17.321777,60.62622,-28.399658,99.49951,87.81738,24.169922,-20.544434,silence,0.0,
132.0,228.40576,6.0424805,139.98413,-270.70312,-97.88818,412.29858,36.4563,-33.43506,silence,0.0,
146.0,118.2312,22.155762,-47.131348,11.682129,-110.17456,-20.74585,38.067627,-29.003906,silence,0.0,
148.0,-189.53247,-3.0212402,-139.17847,215.71655,11.883545,-412.5,14.703369,-6.0424805,silence,0.0,
150.0,-121.85669,-26.184082,-26.184082,96.276855,147.2351,-158.5144,13.293457,-10.675049,silence,0.0,
151.0,92.248535,-8.660889,139.78271,-210.88257,1.0070801,412.29858,17.926025,-21.75293,silence,0.0,
153.0,219.74487,25.579834,57.403564,-184.69849,-123.2666,384.10034,21.551514,-14.904785,silence,0.0,
163.0,-94.06128,15.307617,-113.1958,168.5852,-24.169922,-356.70776,13.696289,0.60424805,silence,0.0,
165.0,-185.10132,-21.75293,-90.03296,187.11548,127.89917,-386.71875,-3.4240723,7.0495605,silence,0.0,
167.0,4.6325684,-20.947266,69.488525,-41.290283,84.191895,192.95654,4.0283203,-13.897705,silence,0.0,
180.0,242.7063,8.056641,133.94165,-261.03516,-119.036865,412.29858,29.80957,-33.636475,silence,0.0,
181.0,75.128174,24.975586,-72.71118,35.247803,-102.72217,-68.481445,30.413818,-27.191162,silence,0.0,
183.0,-189.53247,-10.473633,-128.70483,215.1123,40.081787,-412.5,13.696289,-21.148682,silence,0.0,
184.0,-116.61987,-19.73877,-9.667969,64.65454,141.99829,-116.82129,14.703369,-25.579834,silence,0.0,
185.0,117.22412,-1.0070801,149.6521,-232.23267,-0.40283203,412.29858,24.77417,-32.025146,silence,0.0,
187.0,204.23584,25.378418,44.91577,-161.33423,-127.89917,294.67163,32.025146,-38.87329,silence,0.0,
197.0,-114.20288,19.537354,-130.11475,181.87866,-15.307617,-372.2168,29.608154,-29.406738,silence,0.0,
199.0,-187.11548,-16.918945,-75.32959,167.1753,123.2666,-378.05786,21.350098,-28.198242,silence,0.0,
200.0,18.530273,-15.509033,74.92676,-71.09985,59.21631,290.03906,20.74585,-36.85913,silence,0.0,
213.0,243.10913,12.487793,131.52466,-254.99268,-106.54907,412.29858,40.081787,-45.318604,silence,0.0,
215.0,37.060547,27.191162,-80.96924,46.92993,-95.87402,-120.84961,37.060547,-32.025146,silence,0.0,
216.0,-188.52539,-14.501953,-119.036865,219.34204,75.531006,-412.5,20.343018,-17.321777,silence,0.0,
229.0,-98.291016,-27.996826,14.501953,37.86621,123.87085,-78.149414,16.113281,-21.148682,silence,0.0,
231.0,161.53564,-6.2438965,149.24927,-234.44824,-17.120361,412.29858,20.947266,-25.378418,silence,0.0,
246.0,172.81494,30.010986,35.247803,-132.93457,-137.96997,187.71973,35.85205,-32.025146,silence,0.0,
248.0,-138.57422,13.293457,-146.63086,202.22168,-10.070801,-390.54565,24.975586,-20.343018,silence,0.0,
249.0,-181.67725,-15.911865,-72.509766,169.18945,128.10059,-361.54175,17.926025,-12.890625,silence,0.0,
251.0,17.926025,-6.6467285,75.93384,-80.163574,31.219482,351.0681,20.74585,-23.162842,silence,0.0,
253.0,235.85815,18.73169,109.77173,-222.76611,-113.80005,412.29858,30.212402,-30.212402,silence,0.0,
264.0,-16.314697,24.77417,-92.44995,96.276855,-101.916504,-186.71265,29.205322,-19.335938,silence,0.0,
267.0,-195.37354,-5.8410645,-125.48218,233.844,101.71509,-412.5,11.883545,-8.056641,silence,0.0,
269.0,-88.82446,-20.343018,30.212402,23.364258,114.001465,-51.965332,13.897705,-21.148682,silence,0.0,
271.0,177.04468,1.2084961,148.84644,-239.08081,-31.420898,412.29858,25.78125,-32.629395,silence,0.0,
281.0,163.75122,25.579834,18.127441,-87.81738,-139.37988,112.79297,37.664795,-33.83789,silence,0.0,
284.0,-136.35864,8.056641,-146.22803,218.93921,-17.523193,-395.9839,27.79541,-24.371338,silence,0.0,
287.0,-156.70166,-25.78125,-54.986572,158.5144,129.30908,-309.375,18.530273,-16.314697,silence,0.0,
297.0,43.103027,-17.120361,98.69385,-123.46802,4.8339844,407.4646,26.184082,-34.240723,silence,0.0,
300.0,239.48364,18.933105,97.283936,-211.88965,-120.24536,412.29858,44.110107,-44.714355,silence,0.0,
302.0,-38.87329,25.982666,-97.68677,106.75049,-94.06128,-281.37817,42.095947,-38.067627,silence,0.0,
303.0,-175.83618,-15.911865,-119.23828,219.34204,116.015625,-412.5,24.572754,-29.205322,silence,0.0,
305.0,-63.446045,-20.947266,51.763916,-2.0141602,105.13916,-25.177002,24.975586,-36.657715,silence,0.0,
313.0,197.18628,-0.40283203,141.19263,-253.17993,-56.19507,412.29858,39.276123,-43.707275,silence,0.0,
315.0,146.83228,19.134521,-4.8339844,-49.346924,-126.086426,46.124268,47.332764,-43.90869,silence,0.0,
316.0,-163.95264,-2.8198242,-144.21387,217.32788,2.2155762,-412.5,32.629395,-25.78125,silence,0.0,
318.0,-142.1997,-27.593994,-45.52002,136.56006,152.06909,-267.8833,20.74585,-22.357178,silence,0.0,
