Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
830b5c40-3775-4f86-9c99-3e2f94c9ce01,3,05-03-2019_22-38-29,C4-B6,36,-8.5,24964x8,111991,22:36:37.658,22:38:29.680,4.487526,222.83994,µV,1551821674098,1551821909681,
Stimuli appearance,4007.0,7003.0,10006.0,13007.0,16012.0,19002.0,22010.0,25004.0,28003.0,31010.0,34005.0,37008.0,39995.0,43006.0,46001.0,49001.0,52017.0,55022.0,58018.0,61006.0,64015.0,67002.0,70015.0,73003.0,76012.0,79010.0,82009.0,85018.0,88007.0,91010.0,94019.0,97012.0,100015.0,103015.0,106016.0,109014.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-175.63477,-7.2509766,-111.987305,198.59619,127.29492,-371.61255,-17.523193,16.516113,silence,0.0,
15.0,-30.413818,-17.321777,59.820557,-18.328857,95.87402,117.22412,-15.307617,6.4453125,silence,0.0,
16.0,217.5293,-3.6254883,147.83936,-265.86914,-101.312256,412.29858,9.063721,-11.279297,silence,0.0,
18.0,121.85669,21.75293,-31.219482,-11.883545,-116.21704,41.89453,12.487793,-7.4523926,silence,0.0,
20.0,-173.21777,-2.6184082,-131.92749,205.44434,11.480713,-403.23486,-4.0283203,3.0212402,silence,0.0,
21.0,-121.45386,-23.162842,-34.44214,112.994385,151.06201,-141.19263,-12.286377,2.0141602,silence,0.0,
22.0,77.948,-9.265137,134.5459,-194.16504,-9.466553,412.29858,-2.2155762,-7.8552246,silence,0.0,
24.0,206.85425,13.897705,67.07153,-181.27441,-133.74023,412.29858,14.703369,-15.509033,silence,0.0,
25.0,-76.94092,20.947266,-110.77881,150.25635,-33.032227,-314.00757,6.0424805,-3.0212402,silence,0.0,
27.0,-167.1753,-15.911865,-98.49243,189.33105,126.28784,-359.93042,-13.092041,2.2155762,silence,0.0,
30.0,-5.2368164,-21.148682,64.85596,-34.84497,82.58057,201.2146,-14.904785,-7.6538086,silence,0.0,
49.0,220.55054,-4.0283203,146.02661,-263.45215,-124.67651,412.29858,4.2297363,-14.501953,silence,0.0,
50.0,87.213135,22.155762,-64.25171,31.82373,-109.3689,-3.8269043,4.0283203,-7.2509766,silence,0.0,
52.0,-174.62769,7.4523926,-135.15015,213.29956,35.046387,-412.5,-15.307617,11.077881,silence,0.0,
53.0,-95.06836,-22.357178,-21.148682,85.80322,145.8252,-90.234375,-18.530273,7.2509766,silence,0.0,
54.0,100.50659,-7.4523926,155.69458,-215.51514,-19.335938,412.29858,-7.0495605,-1.8127441,silence,0.0,
55.0,196.38062,27.996826,55.993652,-166.97388,-135.55298,369.19556,0.40283203,-3.0212402,silence,0.0,
56.0,-90.43579,15.911865,-123.66943,192.15088,-20.74585,-328.3081,-4.4311523,8.459473,silence,0.0,
58.0,-166.57104,-6.2438965,-84.191895,177.44751,126.690674,-349.05396,-17.523193,13.696289,silence,0.0,
59.0,12.890625,-16.71753,77.34375,-47.93701,67.67578,315.8203,-10.070801,1.4099121,silence,0.0,
64.0,226.59302,1.6113281,134.34448,-252.57568,-127.29492,412.29858,7.4523926,-16.314697,silence,0.0,
