Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
aa09c464-c266-42ff-892b-cc872011518a,4,05-03-2019_22-40-32,C4-B6,36,-8.5,24967x8,111996,22:38:40.897,22:40:32.927,4.4875383,222.83932,µV,1551821797690,1551822032928,
Stimuli appearance,3993.0,6999.0,9997.0,12996.0,16009.0,19004.0,22005.0,25003.0,28002.0,30998.0,34001.0,37015.0,40012.0,43000.0,45997.0,49009.0,52002.0,55009.0,58015.0,61002.0,64007.0,67005.0,70014.0,73017.0,76016.0,79017.0,82007.0,85015.0,88024.0,91017.0,94014.0,97010.0,100024.0,103011.0,106016.0,109016.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-78.149414,14.703369,-108.56323,149.6521,-43.707275,-377.65503,54.986572,-201.81885,silence,0.0,
2.0,-185.70557,-14.300537,-102.72217,204.43726,122.46094,-412.5,33.83789,-190.53955,silence,0.0,
3.0,-17.72461,-12.890625,71.7041,-28.198242,93.255615,114.60571,42.297363,-206.25,silence,0.0,
4.0,229.01001,5.2368164,151.66626,-262.44507,-122.66235,412.29858,61.431885,-218.33496,silence,0.0,
5.0,98.89526,22.558594,-57.20215,19.940186,-106.75049,-62.438965,65.25879,-211.08398,silence,0.0,
18.0,-184.29565,-7.6538086,-139.37988,223.57178,23.968506,-412.5,53.778076,-203.02734,silence,0.0,
20.0,-122.66235,-19.537354,-29.205322,88.62305,147.03369,-163.5498,49.54834,-209.27124,silence,0.0,
22.0,100.305176,-6.0424805,154.28467,-220.55054,-13.696289,412.29858,64.25171,-220.55054,silence,0.0,
24.0,209.27124,24.572754,56.396484,-178.05176,-124.4751,319.4458,64.05029,-216.3208,silence,0.0,
26.0,-91.04004,15.509033,-130.31616,182.88574,-12.084961,-394.17114,54.986572,-203.02734,silence,0.0,
27.0,-179.8645,-15.710449,-95.67261,177.85034,128.10059,-412.5,35.44922,-199.20044,silence,0.0,
28.0,12.689209,-19.537354,69.488525,-49.749756,79.35791,241.09497,36.4563,-207.25708,silence,0.0,
30.0,237.46948,8.258057,140.38696,-265.2649,-111.38306,412.29858,57.403564,-219.14062,silence,0.0,
