Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
205edfe7-515b-4373-b87b-a2716285210e,5,05-03-2019_22-42-38,C4-B6,36,-8.5,24969x8,111999,22:40:46.529,22:42:38.557,4.487538,222.83934,µV,1551821920932,1551822158558,
Stimuli appearance,3997.0,7006.0,10009.0,13000.0,16014.0,19003.0,22012.0,25018.0,28002.0,31016.0,34009.0,37019.0,40019.0,43013.0,46020.0,49015.0,52016.0,55018.0,58013.0,61019.0,64007.0,67022.0,70013.0,73015.0,76013.0,79016.0,82026.0,85022.0,88021.0,91023.0,94020.0,97027.0,100025.0,103021.0,106013.0,109021.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,10.070801,-20.141602,72.10693,-51.965332,59.417725,281.98242,11.883545,-16.516113,silence,0.0,
2.0,241.69922,4.2297363,130.11475,-254.38843,-117.022705,412.29858,27.79541,-24.169922,silence,0.0,
15.0,33.636475,24.169922,-88.82446,52.770996,-87.41455,-122.46094,27.79541,-12.689209,silence,0.0,
16.0,-211.48682,-8.862305,-131.92749,222.96753,64.65454,-412.5,6.4453125,1.4099121,silence,0.0,
17.0,-107.75757,-27.392578,2.8198242,51.5625,123.065186,-78.149414,8.660889,-7.8552246,silence,0.0,
19.0,154.6875,-11.077881,157.10449,-223.7732,-22.357178,412.29858,18.127441,-18.530273,silence,0.0,
21.0,186.51123,10.070801,37.46338,-136.56006,-128.70483,187.3169,17.926025,-14.300537,silence,0.0,
22.0,-135.7544,7.2509766,-160.72998,213.29956,-1.6113281,-381.68335,2.4169922,5.2368164,silence,0.0,
24.0,-173.21777,-25.579834,-80.36499,168.38379,126.28784,-356.30493,-6.4453125,4.0283203,silence,0.0,
25.0,36.254883,-29.205322,79.96216,-77.948,27.79541,391.35132,-3.4240723,-9.063721,silence,0.0,
27.0,255.39551,6.6467285,117.022705,-234.64966,-111.78589,412.29858,14.904785,-17.72461,silence,0.0,
37.0,6.8481445,11.077881,-95.06836,74.523926,-84.79614,-165.56396,13.293457,-11.077881,silence,0.0,
38.0,-189.53247,-23.565674,-131.52466,222.36328,116.82129,-412.5,-5.8410645,1.8127441,silence,0.0,
40.0,-82.37915,-36.4563,35.247803,7.6538086,121.65527,-35.247803,-3.8269043,-7.2509766,silence,0.0,
41.0,204.84009,-25.378418,153.68042,-251.5686,-24.371338,412.29858,19.537354,-31.018066,silence,0.0,
43.0,168.78662,9.265137,24.169922,-108.76465,-113.39722,113.59863,28.399658,-26.989746,silence,0.0,
44.0,-128.90625,-4.4311523,-153.27759,201.61743,3.6254883,-400.21362,24.169922,-13.494873,silence,0.0,
60.0,-150.25635,-33.233643,-59.21631,145.01953,141.19263,-313.0005,12.890625,-12.689209,silence,0.0,
62.0,50.756836,-20.141602,97.48535,-139.5813,12.689209,412.29858,24.371338,-27.593994,silence,0.0,
64.0,262.64648,-0.20141602,108.966064,-231.22559,-97.68677,412.29858,45.318604,-33.83789,silence,0.0,
66.0,-37.664795,9.466553,-101.11084,87.61597,-72.71118,-277.34985,39.47754,-25.378418,silence,0.0,
68.0,-177.64893,-22.357178,-127.49634,212.69531,121.051025,-412.5,26.989746,-18.530273,silence,0.0,
69.0,-49.145508,-34.039307,52.368164,-7.6538086,103.930664,-8.660889,25.177002,-24.169922,silence,0.0,
70.0,230.41992,-19.537354,152.27051,-260.02808,-58.61206,412.29858,36.4563,-31.219482,silence,0.0,
71.0,159.92432,10.272217,-4.2297363,-58.20923,-111.78589,36.85913,42.90161,-24.169922,silence,0.0,
80.0,-161.73706,-5.4382324,-156.90308,203.83301,11.682129,-412.5,27.996826,-8.056641,silence,0.0,
81.0,-144.01245,-28.80249,-53.375244,139.37988,140.18555,-252.37427,16.314697,-11.480713,silence,0.0,
83.0,67.07153,-28.399658,119.4397,-169.18945,-4.6325684,412.29858,27.191162,-22.76001,silence,0.0,
96.0,252.57568,-2.2155762,89.63013,-205.64575,-102.52075,412.29858,36.254883,-27.593994,silence,0.0,
98.0,-75.128174,22.961426,-110.17456,118.83545,-46.5271,-333.1421,22.961426,-10.675049,silence,0.0,
