Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
1b2462a2-f970-4229-ab34-59810ec18a92,1,08-03-2019_21-32-36,A4,36,0.0,24980x8,112007,21:30:44.190,21:32:36.220,4.484459,222.99234,µV,1552077019908,1552077156221,
Stimuli appearance,4010.0,7018.0,10017.0,13014.0,16019.0,19014.0,22044.0,25026.0,28045.0,31028.0,34030.0,37027.0,40026.0,43017.0,46025.0,49021.0,52034.0,55017.0,58030.0,61028.0,64023.0,67025.0,70032.0,73029.0,76023.0,79025.0,82034.0,85030.0,88029.0,91029.0,94032.0,97026.0,100028.0,103035.0,106033.0,109037.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,173.6206,-412.5,-3.6254883,15.509033,117.62695,412.29858,2.6184082,-19.537354,silence,0.0,
19.0,-286.8164,412.29858,162.34131,-412.5,-412.5,412.29858,3.6254883,-31.219482,silence,0.0,
21.0,-288.22632,412.29858,89.63013,-268.08472,57.20215,-54.58374,0.60424805,-4.8339844,silence,0.0,
23.0,129.30908,-412.5,-140.38696,412.29858,-412.29858,-412.5,-3.0212402,23.968506,silence,0.0,
25.0,272.51587,-412.5,-119.036865,412.29858,-412.29858,-412.5,-4.8339844,3.4240723,silence,0.0,
26.0,-61.029053,412.29858,111.18164,-412.5,-412.5,412.29858,3.8269043,-27.191162,silence,0.0,
28.0,-345.8313,412.29858,151.46484,-412.5,-412.5,412.29858,2.8198242,-21.954346,silence,0.0,
29.0,-48.54126,16.918945,-34.44214,261.438,-412.29858,-412.5,-2.6184082,6.4453125,silence,0.0,
31.0,279.96826,-412.5,-167.37671,412.29858,-412.29858,-412.5,-5.0354004,7.8552246,silence,0.0,
32.0,124.4751,-339.5874,13.897705,-23.364258,177.04468,412.29858,1.2084961,-27.191162,silence,0.0,
33.0,-296.8872,412.29858,173.01636,-412.5,-412.5,412.29858,3.8269043,-19.335938,silence,0.0,
34.0,-262.04224,412.29858,51.361084,-144.81812,-23.162842,-253.38135,0.40283203,2.8198242,silence,0.0,
40.0,193.96362,-412.5,-153.479,412.29858,-412.29858,-412.5,-3.6254883,20.74585,silence,0.0,
48.0,268.48755,-412.5,-113.59863,412.29858,-319.4458,-250.3601,-1.0070801,-5.8410645,silence,0.0,
49.0,-75.128174,412.29858,128.50342,-412.5,-412.5,412.29858,2.8198242,-17.523193,silence,0.0,
51.0,-327.50244,412.29858,143.20679,-412.5,-412.5,412.29858,3.4240723,-5.6396484,silence,0.0,
53.0,-11.480713,-107.35474,-56.799316,396.38672,-412.29858,-412.5,-3.0212402,18.127441,silence,0.0,
54.0,288.0249,-412.5,-169.99512,412.29858,-412.29858,-412.5,-4.4311523,14.099121,silence,0.0,
76.0,79.96216,-213.50098,19.537354,-81.57349,259.62524,412.29858,3.0212402,-18.127441,silence,0.0,
77.0,-265.4663,412.29858,171.80786,-412.5,-412.5,412.29858,4.2297363,-22.76001,silence,0.0,
78.0,-211.88965,412.29858,33.032227,-83.38623,-58.007812,-412.5,-1.4099121,-3.2226562,silence,0.0,
80.0,210.47974,-412.5,-158.11157,412.29858,-412.29858,-412.5,-4.0283203,19.73877,silence,0.0,
81.0,229.41284,-412.5,-97.48535,385.51025,-174.22485,51.5625,-0.60424805,-5.0354004,silence,0.0,
82.0,-105.74341,412.29858,139.37988,-412.5,-412.5,412.29858,3.0212402,-23.565674,silence,0.0,
84.0,-292.8589,412.29858,132.53174,-412.5,-412.5,412.29858,2.8198242,-7.6538086,silence,0.0,
85.0,3.0212402,-228.60718,-73.91968,412.29858,-412.29858,-412.5,-2.2155762,20.343018,silence,0.0,
86.0,269.69604,-412.5,-155.29175,412.29858,-412.29858,-412.5,-3.6254883,12.286377,silence,0.0,
91.0,58.007812,-95.269775,25.177002,-168.5852,411.2915,412.29858,2.4169922,-27.79541,silence,0.0,
106.0,-259.82666,412.29858,166.36963,-412.5,-412.5,412.29858,4.0283203,-24.77417,silence,0.0,
108.0,-182.68433,412.29858,6.4453125,-21.350098,-117.22412,-412.5,-1.8127441,4.4311523,silence,0.0,
110.0,228.40576,-412.5,-167.57812,412.29858,-412.29858,-412.5,-4.4311523,25.78125,silence,0.0,
112.0,231.82983,-412.5,-84.191895,275.93994,-80.76782,308.97217,-1.6113281,2.4169922,silence,0.0,
125.0,-114.60571,412.29858,136.56006,-412.5,-412.5,412.29858,3.2226562,-25.378418,silence,0.0,
127.0,-258.21533,412.29858,114.001465,-412.5,-412.5,412.29858,3.6254883,-5.4382324,silence,0.0,
128.0,40.283203,-403.43628,-107.55615,412.29858,-412.29858,-412.5,-3.6254883,19.134521,silence,0.0,
130.0,286.21216,-412.5,-159.11865,412.29858,-412.29858,-412.5,-4.0283203,2.6184082,silence,0.0,
131.0,36.053467,0.20141602,24.975586,-231.62842,-412.5,412.29858,2.0141602,-25.378418,silence,0.0,
132.0,-252.57568,412.29858,155.09033,-412.5,-412.5,412.29858,3.2226562,-18.328857,silence,0.0,
133.0,-126.89209,366.17432,-16.71753,42.297363,-195.37354,-412.5,-1.8127441,8.862305,silence,0.0,
140.0,242.30347,-412.5,-178.85742,412.29858,-412.29858,-412.5,-4.0283203,5.0354004,silence,0.0,
141.0,223.57178,-412.5,-63.446045,180.26733,-13.293457,412.29858,2.0141602,-23.968506,silence,0.0,
158.0,-154.28467,412.29858,149.45068,-412.5,-412.5,412.29858,3.8269043,-37.86621,silence,0.0,
159.0,-230.82275,412.29858,104.937744,-412.5,298.49854,412.29858,3.6254883,-10.272217,silence,0.0,
161.0,63.848877,-412.5,-126.086426,412.29858,-412.29858,-412.5,-3.0212402,19.335938,silence,0.0,
163.0,287.21924,-412.5,-143.20679,412.29858,-412.29858,-412.5,-3.8269043,9.466553,silence,0.0,
173.0,11.883545,93.85986,51.5625,-363.5559,-412.5,412.29858,2.8198242,-12.286377,silence,0.0,
175.0,-243.71338,412.29858,164.7583,-412.5,-412.5,412.29858,3.8269043,-8.862305,silence,0.0,
177.0,-76.538086,223.7732,-20.544434,89.42871,-267.48047,-412.5,-1.8127441,22.357178,silence,0.0,
178.0,232.6355,-412.5,-168.18237,412.29858,-412.29858,-412.5,-4.0283203,24.371338,silence,0.0,
190.0,198.19336,-412.5,-31.018066,88.42163,44.714355,412.29858,1.4099121,-7.6538086,silence,0.0,
191.0,-166.77246,412.29858,152.67334,-412.5,-412.5,412.29858,3.8269043,-23.162842,silence,0.0,
194.0,-205.84717,412.29858,93.85986,-389.13574,170.80078,263.25073,1.6113281,2.6184082,silence,0.0,
196.0,89.02588,-412.5,-140.38696,412.29858,-412.29858,-412.5,-3.6254883,19.335938,silence,0.0,
197.0,251.97144,-412.5,-130.92041,412.29858,-412.29858,-412.5,-3.8269043,-5.8410645,silence,0.0,
206.0,-1.8127441,206.65283,69.89136,-412.5,-412.5,412.29858,2.2155762,-37.060547,silence,0.0,
224.0,-229.01001,412.29858,151.06201,-412.5,-412.5,412.29858,3.6254883,-30.212402,silence,0.0,
225.0,-52.56958,117.22412,-25.579834,147.63794,-386.31592,-412.5,-3.2226562,6.6467285,silence,0.0,
227.0,217.5293,-412.5,-163.95264,412.29858,-412.29858,-412.5,-3.6254883,15.710449,silence,0.0,
229.0,157.91016,-412.5,-9.667969,31.219482,95.269775,412.29858,2.0141602,-9.466553,silence,0.0,
231.0,-178.25317,412.29858,152.87476,-412.5,-412.5,412.29858,3.4240723,-12.890625,silence,0.0,
242.0,-178.656,412.29858,89.02588,-286.21216,74.12109,17.926025,1.8127441,4.0283203,silence,0.0,
244.0,116.21704,-412.5,-141.79688,412.29858,-412.29858,-412.5,-3.8269043,23.364258,silence,0.0,
246.0,226.99585,-412.5,-117.42554,412.29858,-412.29858,-412.5,-4.2297363,-2.0141602,silence,0.0,
248.0,-26.78833,369.5984,97.08252,-412.5,-412.5,412.29858,2.6184082,-28.198242,silence,0.0,
258.0,-249.95728,412.29858,145.01953,-412.5,-412.5,412.29858,3.6254883,-20.141602,silence,0.0,
260.0,-29.205322,40.88745,-33.83789,219.54346,-412.29858,-412.5,-3.0212402,12.689209,silence,0.0,
262.0,210.27832,-412.5,-176.0376,412.29858,-412.29858,-412.5,-4.4311523,17.72461,silence,0.0,
275.0,120.24536,-370.20264,7.4523926,-19.537354,160.32715,412.29858,1.6113281,-8.056641,silence,0.0,
291.0,-201.2146,412.29858,158.11157,-412.5,-412.5,412.29858,4.6325684,-18.933105,silence,0.0,
294.0,-184.69849,412.29858,54.785156,-184.8999,9.869385,-185.70557,0.80566406,9.265137,silence,0.0,
296.0,142.80396,-412.5,-147.83936,412.29858,-412.29858,-412.5,-4.6325684,34.039307,silence,0.0,
299.0,217.12646,-412.5,-116.61987,412.29858,-328.71094,-338.58032,-1.2084961,3.2226562,silence,0.0,
301.0,-36.254883,412.29858,111.987305,-412.5,-412.5,412.29858,2.6184082,-22.357178,silence,0.0,
303.0,-249.35303,412.29858,141.59546,-412.5,-412.5,412.29858,3.8269043,-1.2084961,silence,0.0,
310.0,-0.60424805,-55.18799,-49.95117,335.15625,-412.29858,-412.5,-3.4240723,27.593994,silence,0.0,
312.0,241.4978,-412.5,-162.74414,412.29858,-412.29858,-412.5,-4.8339844,23.162842,silence,0.0,
314.0,90.63721,-224.57886,16.918945,-76.7395,246.13037,412.29858,2.2155762,-7.8552246,silence,0.0,
315.0,-204.84009,412.29858,161.93848,-412.5,-412.5,412.29858,3.6254883,-6.8481445,silence,0.0,
317.0,-178.656,412.29858,31.420898,-104.13208,-38.47046,-408.06885,0.20141602,15.509033,silence,0.0,
319.0,179.05884,-412.5,-154.48608,412.29858,-412.29858,-412.5,-4.8339844,34.44214,silence,0.0,
326.0,215.91797,-412.5,-102.319336,402.4292,-189.33105,21.75293,-1.2084961,7.0495605,silence,0.0,
328.0,-63.043213,412.29858,135.55298,-412.5,-412.5,412.29858,2.8198242,-14.300537,silence,0.0,
340.0,-237.6709,412.29858,128.70483,-412.5,-412.5,412.29858,2.4169922,7.0495605,silence,0.0,
342.0,19.335938,-185.10132,-73.11401,412.29858,-412.29858,-412.5,-2.4169922,25.982666,silence,0.0,
344.0,268.08472,-412.5,-155.896,412.29858,-412.29858,-412.5,-5.4382324,24.77417,silence,0.0,
346.0,65.86304,-119.4397,25.378418,-136.96289,365.16724,412.29858,1.6113281,-10.876465,silence,0.0,
357.0,-225.98877,412.29858,170.80078,-412.5,-412.5,412.29858,3.0212402,-25.177002,silence,0.0,
359.0,-159.52148,412.29858,6.2438965,-36.053467,-93.255615,-412.5,-2.2155762,0.60424805,silence,0.0,
360.0,214.50806,-412.5,-155.49316,412.29858,-412.29858,-412.5,-4.2297363,20.343018,silence,0.0,
362.0,217.5293,-412.5,-88.0188,294.67163,-89.63013,253.9856,-0.80566406,-12.487793,silence,0.0,
363.0,-107.75757,412.29858,146.02661,-412.5,-412.5,412.29858,2.8198242,-37.261963,silence,0.0,
365.0,-246.93604,412.29858,121.85669,-412.5,-412.5,412.29858,3.4240723,-21.75293,silence,0.0,
374.0,40.88745,-351.47095,-85.80322,412.29858,-412.29858,-412.5,-3.0212402,6.6467285,silence,0.0,
390.0,286.615,-412.5,-147.43652,412.29858,-412.29858,-412.5,-4.4311523,2.2155762,silence,0.0,
391.0,42.90161,-38.067627,33.83789,-210.47974,-412.5,412.29858,2.6184082,-25.579834,silence,0.0,
408.0,-237.26807,412.29858,171.0022,-412.5,-412.5,412.29858,3.6254883,-20.343018,silence,0.0,
410.0,-134.34448,412.29858,-4.4311523,13.092041,-166.77246,-412.5,-1.6113281,19.537354,silence,0.0,
411.0,239.88647,-412.5,-167.1753,412.29858,-412.29858,-412.5,-4.0283203,25.378418,silence,0.0,
413.0,233.03833,-412.5,-63.446045,197.18628,-29.608154,412.29858,1.4099121,-2.2155762,silence,0.0,
424.0,-145.22095,412.29858,150.65918,-412.5,-412.5,412.29858,2.6184082,-23.565674,silence,0.0,
426.0,-238.8794,412.29858,121.45386,-412.5,338.78174,412.29858,2.6184082,-0.80566406,silence,0.0,
427.0,51.965332,-412.5,-113.39722,412.29858,-412.29858,-412.5,-3.6254883,11.279297,silence,0.0,
428.0,302.12402,-412.5,-142.80396,412.29858,-412.29858,-412.5,-4.2297363,-6.2438965,silence,0.0,
430.0,17.72461,76.7395,49.95117,-321.25854,-412.5,412.29858,3.0212402,-37.261963,silence,0.0,
431.0,-271.5088,412.29858,168.78662,-412.5,-412.5,412.29858,3.8269043,-30.212402,silence,0.0,
441.0,-107.55615,293.46313,-8.056641,57.806396,-231.22559,-412.5,-2.2155762,8.459473,silence,0.0,
459.0,250.15869,-412.5,-161.33423,412.29858,-412.29858,-412.5,-3.8269043,1.0070801,silence,0.0,
461.0,222.5647,-412.5,-34.84497,115.61279,29.205322,412.29858,1.8127441,-33.83789,silence,0.0,
476.0,-187.51831,412.29858,152.47192,-412.5,-412.5,412.29858,4.2297363,-57.806396,silence,0.0,
478.0,-255.39551,412.29858,113.39722,-412.5,222.96753,363.15308,1.6113281,-32.226562,silence,0.0,
480.0,73.71826,-412.5,-129.5105,412.29858,-412.29858,-412.5,-3.6254883,-3.2226562,silence,0.0,
482.0,310.38208,-412.5,-134.94873,412.29858,-412.29858,-412.5,-3.2226562,-7.4523926,silence,0.0,
484.0,-4.4311523,184.69849,64.05029,-412.5,-412.5,412.29858,2.0141602,-38.47046,silence,0.0,
486.0,-289.4348,412.29858,156.70166,-412.5,-412.5,412.29858,4.8339844,-39.276123,silence,0.0,
488.0,-71.09985,189.53247,-22.558594,123.87085,-324.88403,-412.5,-3.2226562,-1.8127441,silence,0.0,
493.0,277.55127,-412.5,-169.18945,412.29858,-412.29858,-412.5,-4.4311523,8.258057,silence,0.0,
495.0,208.46558,-412.5,-23.76709,59.61914,74.32251,412.29858,1.0070801,-26.184082,silence,0.0,
496.0,-228.20435,412.29858,153.88184,-412.5,-412.5,412.29858,4.0283203,-41.4917,silence,0.0,
498.0,-242.30347,412.29858,93.85986,-340.19165,123.46802,114.60571,0.80566406,-14.300537,silence,0.0,
499.0,138.3728,-412.5,-146.02661,412.29858,-412.29858,-412.5,-3.8269043,9.667969,silence,0.0,
508.0,303.93677,-412.5,-131.52466,412.29858,-412.29858,-412.5,-4.0283203,-12.084961,silence,0.0,
525.0,-5.2368164,312.39624,78.95508,-412.5,-412.5,412.29858,3.8269043,-39.47754,silence,0.0,
526.0,-288.42773,412.29858,150.65918,-412.5,-412.5,412.29858,3.2226562,-27.996826,silence,0.0,
528.0,-35.650635,79.35791,-28.601074,187.11548,-412.29858,-412.5,-2.8198242,-1.6113281,silence,0.0,
530.0,291.6504,-412.5,-167.37671,412.29858,-412.29858,-412.5,-4.4311523,1.4099121,silence,0.0,
541.0,188.32397,-412.5,1.0070801,9.265137,131.52466,412.29858,1.8127441,-45.318604,silence,0.0,
543.0,-243.71338,412.29858,164.7583,-412.5,-412.5,412.29858,3.0212402,-49.749756,silence,0.0,
