Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
52ee2b0e-75c4-4185-b995-57601b4ac098,2,08-03-2019_21-35-01,A4,36,0.0,24979x8,111988,21:33:09.753,21:35:01.780,4.48484,222.9734,µV,1552077044214,1552077301780,
Stimuli appearance,4001.0,7000.0,10002.0,13000.0,16008.0,19001.0,22003.0,25000.0,28002.0,31005.0,33995.0,37010.0,39995.0,43004.0,45999.0,48999.0,52007.0,54999.0,58008.0,61004.0,64005.0,66995.0,70007.0,73013.0,76000.0,79014.0,82000.0,85009.0,88008.0,91011.0,94015.0,97008.0,100021.0,103009.0,106015.0,109006.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-328.1067,-412.5,-301.51978,412.29858,-412.29858,-412.5,-38.067627,-11.279297,silence,0.0,
2.0,-3.2226562,-8.056641,103.72925,-224.78027,-412.5,412.29858,12.487793,-47.93701,silence,0.0,
3.0,357.91626,412.29858,406.65894,-412.5,-412.5,412.29858,165.36255,-42.49878,silence,0.0,
4.0,100.70801,168.78662,-31.420898,65.460205,-186.91406,-412.5,42.700195,-2.2155762,silence,0.0,
18.0,-289.03198,-412.5,-360.53467,412.29858,-412.29858,-412.5,-32.629395,6.6467285,silence,0.0,
20.0,-254.58984,-412.5,-87.81738,82.78198,29.003906,412.29858,-35.046387,-16.314697,silence,0.0,
22.0,238.67798,412.29858,327.70386,-412.5,-412.5,412.29858,96.07544,-32.025146,silence,0.0,
24.0,287.42065,412.29858,239.28223,-319.4458,159.7229,348.04688,119.23828,-18.933105,silence,0.0,
26.0,-136.15723,-412.5,-303.93677,412.29858,-412.29858,-412.5,-15.509033,5.8410645,silence,0.0,
27.0,-346.23413,-412.5,-307.76367,412.29858,-412.29858,-412.5,-38.47046,-19.134521,silence,0.0,
29.0,-8.459473,91.241455,133.13599,-303.1311,-412.5,412.29858,23.364258,-42.297363,silence,0.0,
30.0,337.57324,412.29858,345.42847,-412.5,-412.5,412.29858,169.59229,-33.43506,silence,0.0,
31.0,44.110107,113.59863,-54.18091,114.80713,-257.8125,-412.5,25.378418,-0.60424805,silence,0.0,
32.0,-325.48828,-412.5,-392.5598,412.29858,-412.29858,-412.5,-35.046387,0.80566406,silence,0.0,
37.0,-231.02417,-372.01538,-32.83081,11.883545,77.74658,412.29858,-34.240723,-27.392578,silence,0.0,
38.0,241.4978,412.29858,329.5166,-412.5,-412.5,412.29858,110.980225,-39.88037,silence,0.0,
40.0,284.198,412.29858,205.0415,-230.82275,86.206055,59.417725,111.58447,-11.077881,silence,0.0,
60.0,-177.64893,-412.5,-317.0288,412.29858,-412.29858,-412.5,-22.961426,11.883545,silence,0.0,
62.0,-330.52368,-412.5,-269.2932,412.29858,-356.50635,-412.5,-39.074707,-13.092041,silence,0.0,
63.0,32.226562,170.39795,207.65991,-391.35132,-412.5,412.29858,34.240723,-37.86621,silence,0.0,
64.0,361.54175,412.29858,352.0752,-412.5,-412.5,412.29858,157.30591,-19.537354,silence,0.0,
66.0,41.290283,39.074707,-55.993652,135.55298,-351.47095,-412.5,23.162842,6.8481445,silence,0.0,
67.0,-322.46704,-412.5,-356.90918,412.29858,-412.29858,-412.5,-35.44922,8.660889,silence,0.0,
69.0,-139.5813,-283.19092,15.509033,-19.940186,116.61987,412.29858,-32.629395,-26.78833,silence,0.0,
70.0,292.8589,412.29858,373.22388,-412.5,-412.5,412.29858,135.7544,-47.131348,silence,0.0,
71.0,299.10278,412.29858,158.71582,-143.00537,16.918945,-126.48926,111.18164,-20.544434,silence,0.0,
73.0,-197.99194,-412.5,-317.63306,412.29858,-412.29858,-412.5,-22.76001,9.265137,silence,0.0,
78.0,-304.13818,-412.5,-247.13745,398.8037,-265.86914,-412.5,-38.87329,-14.703369,silence,0.0,
92.0,72.30835,277.34985,252.57568,-412.5,-412.5,412.29858,37.86621,-43.50586,silence,0.0,
94.0,342.40723,412.29858,320.05005,-412.5,-412.5,412.29858,176.64185,-39.88037,silence,0.0,
96.0,22.357178,-21.954346,-105.340576,226.79443,-412.29858,-412.5,16.113281,3.8269043,silence,0.0,
97.0,-342.60864,-412.5,-362.54883,412.29858,-412.29858,-412.5,-35.650635,5.4382324,silence,0.0,
109.0,-84.39331,-204.43726,26.78833,-41.088867,172.61353,412.29858,-32.629395,-27.79541,silence,0.0,
110.0,304.13818,412.29858,372.61963,-412.5,-412.5,412.29858,132.73315,-31.018066,silence,0.0,
112.0,274.93286,412.29858,92.85278,-82.9834,-13.696289,-334.14917,76.538086,2.4169922,silence,0.0,
113.0,-235.45532,-412.5,-327.70386,412.29858,-412.29858,-412.5,-29.003906,10.473633,silence,0.0,
115.0,-280.16968,-412.5,-226.19019,301.7212,-144.6167,-114.20288,-36.254883,-17.120361,silence,0.0,
124.0,129.10767,385.51025,301.7212,-412.5,-412.5,412.29858,60.021973,-40.48462,silence,0.0,
126.0,344.82422,412.29858,318.2373,-412.5,-412.5,412.29858,144.01245,-19.134521,silence,0.0,
140.0,12.286377,-113.1958,-122.058105,289.83765,-412.29858,-412.5,-1.8127441,12.890625,silence,0.0,
142.0,-335.55908,-412.5,-336.76758,412.29858,-412.29858,-412.5,-37.86621,-4.0283203,silence,0.0,
143.0,-51.763916,-133.3374,66.467285,-110.17456,248.9502,412.29858,-18.530273,-42.095947,silence,0.0,
159.0,329.3152,412.29858,384.50317,-412.5,-412.5,412.29858,145.22095,-45.721436,silence,0.0,
160.0,211.68823,380.07202,42.49878,-44.110107,-51.361084,-412.5,67.67578,-5.6396484,silence,0.0,
162.0,-265.86914,-412.5,-348.85254,412.29858,-412.29858,-412.5,-30.010986,14.904785,silence,0.0,
163.0,-282.58667,-412.5,-213.90381,234.64966,-74.32251,138.17139,-37.261963,-14.300537,silence,0.0,
165.0,161.33423,412.29858,307.56226,-412.5,-412.5,412.29858,60.827637,-41.4917,silence,0.0,
166.0,325.48828,412.29858,269.69604,-412.5,374.6338,412.29858,139.17847,-17.120361,silence,0.0,
175.0,-33.032227,-185.30273,-196.58203,394.37256,-412.29858,-412.5,-7.0495605,4.6325684,silence,0.0,
176.0,-359.32617,-412.5,-329.3152,412.29858,-412.29858,-412.5,-37.664795,-6.8481445,silence,0.0,
178.0,-46.92993,-67.27295,70.29419,-152.27051,345.42847,412.29858,-9.667969,-42.095947,silence,0.0,
179.0,331.32935,412.29858,388.7329,-412.5,-412.5,412.29858,146.63086,-29.80957,silence,0.0,
180.0,137.76855,288.83057,15.106201,-9.869385,-111.38306,-412.5,51.361084,5.4382324,silence,0.0,
192.0,-279.96826,-412.5,-341.40015,412.29858,-412.29858,-412.5,-31.420898,4.0283203,silence,0.0,
209.0,-300.10986,-412.5,-127.89917,143.60962,-38.067627,332.135,-36.254883,-20.74585,silence,0.0,
211.0,200.40894,412.29858,341.40015,-412.5,-412.5,412.29858,96.276855,-43.103027,silence,0.0,
213.0,305.5481,412.29858,279.96826,-402.83203,253.17993,412.29858,137.76855,-11.883545,silence,0.0,
214.0,-78.75366,-288.62915,-236.4624,412.29858,-412.29858,-412.5,-10.876465,11.279297,silence,0.0,
216.0,-351.26953,-412.5,-320.05005,412.29858,-412.29858,-412.5,-37.664795,1.4099121,silence,0.0,
218.0,-31.018066,0.20141602,104.937744,-217.12646,408.47168,412.29858,1.4099121,-31.219482,silence,0.0,
225.0,337.97607,412.29858,378.4607,-412.5,-412.5,412.29858,153.88184,-31.622314,silence,0.0,
227.0,91.8457,201.41602,-23.76709,46.325684,-175.83618,-412.5,55.792236,3.4240723,silence,0.0,
228.0,-310.5835,-412.5,-358.92334,412.29858,-412.29858,-412.5,-31.420898,-4.2297363,silence,0.0,
230.0,-267.27905,-412.5,-90.63721,79.559326,10.272217,412.29858,-34.44214,-32.025146,silence,0.0,
231.0,239.68506,412.29858,338.58032,-412.5,-412.5,412.29858,114.4043,-49.54834,silence,0.0,
233.0,296.8872,412.29858,239.28223,-329.11377,163.14697,412.29858,140.99121,-25.579834,silence,0.0,
242.0,-116.015625,-408.47168,-283.99658,412.29858,-412.29858,-412.5,-12.084961,0.0,silence,0.0,
244.0,-330.52368,-412.5,-308.77075,412.29858,-412.29858,-412.5,-38.269043,-14.300537,silence,0.0,
258.0,6.2438965,49.346924,125.079346,-288.62915,-412.5,412.29858,16.71753,-36.657715,silence,0.0,
276.0,369.7998,412.29858,351.87378,-412.5,-412.5,412.29858,166.57104,-32.226562,silence,0.0,
278.0,75.32959,99.70093,-41.89453,71.90552,-221.15479,-412.5,34.039307,-1.8127441,silence,0.0,
281.0,-296.6858,-412.5,-376.44653,412.29858,-412.29858,-412.5,-33.83789,5.8410645,silence,0.0,
283.0,-206.45142,-412.5,-36.254883,7.8552246,75.128174,412.29858,-33.83789,-21.75293,silence,0.0,
294.0,295.4773,412.29858,346.63696,-412.5,-412.5,412.29858,129.10767,-44.91577,silence,0.0,
297.0,334.75342,412.29858,228.40576,-286.615,107.35474,136.76147,117.62695,-14.904785,silence,0.0,
298.0,-111.18164,-412.5,-297.08862,412.29858,-412.29858,-412.5,-19.335938,5.4382324,silence,0.0,
300.0,-277.9541,-412.5,-248.14453,392.3584,-357.71484,-412.5,-39.074707,-16.314697,silence,0.0,
302.0,77.948,109.77173,217.5293,-411.69434,-412.5,412.29858,38.671875,-30.413818,silence,0.0,
