Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
559e2df4-52be-4db4-bd96-22270e7c60c8,3,08-03-2019_21-37-13,A4,36,0.0,24981x8,112017,21:35:21.950,21:37:13.986,4.4848742,222.9717,µV,1552077189792,1552077433987,
Stimuli appearance,4011.0,7021.0,10029.0,13020.0,16016.0,19017.0,22021.0,25017.0,28022.0,31025.0,34023.0,37028.0,40021.0,43023.0,46026.0,49033.0,52030.0,55027.0,58024.0,61024.0,64027.0,67020.0,70022.0,73023.0,76031.0,79028.0,82029.0,85029.0,88035.0,91050.0,94039.0,97031.0,100043.0,103026.0,106034.0,109044.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,34.039307,-412.5,26.586914,412.29858,-412.29858,-412.5,-5.2368164,-36.85913,silence,0.0,
1.0,-80.163574,-412.5,58.410645,412.29858,-412.29858,-412.5,-146.83228,-53.17383,silence,0.0,
3.0,30.212402,94.06128,5.8410645,-211.2854,-412.5,412.29858,56.799316,-77.545166,silence,0.0,
20.0,190.74097,412.29858,-66.6687,-412.5,-412.5,412.29858,286.21216,-76.94092,silence,0.0,
21.0,105.54199,267.27905,-23.968506,72.9126,-208.86841,-412.5,138.57422,-39.88037,silence,0.0,
23.0,-34.643555,-412.5,60.22339,412.29858,-412.29858,-412.5,-115.41138,-37.261963,silence,0.0,
24.0,-55.18799,-412.5,49.749756,70.89844,19.940186,412.29858,-60.424805,-66.87012,silence,0.0,
26.0,117.42554,412.29858,-11.480713,-412.5,-412.5,412.29858,216.11938,-87.81738,silence,0.0,
27.0,158.71582,412.29858,-49.54834,-335.15625,148.24219,323.87695,244.92188,-66.06445,silence,0.0,
32.0,34.039307,-412.5,43.50586,412.29858,-412.29858,-412.5,-8.862305,-46.92993,silence,0.0,
34.0,-80.76782,-412.5,68.68286,412.29858,-412.29858,-412.5,-134.34448,-59.820557,silence,0.0,
35.0,20.74585,239.28223,7.6538086,-303.33252,-412.5,412.29858,93.65845,-81.57349,silence,0.0,
56.0,155.49316,412.29858,-59.417725,-412.5,-412.5,412.29858,285.4065,-72.30835,silence,0.0,
58.0,47.131348,169.7937,-10.473633,82.58057,-262.04224,-412.5,120.24536,-35.247803,silence,0.0,
60.0,-101.11084,-412.5,67.07153,412.29858,-412.29858,-412.5,-125.48218,-33.636475,silence,0.0,
61.0,-68.07861,-412.5,35.247803,23.162842,66.26587,412.29858,-42.297363,-71.7041,silence,0.0,
62.0,107.958984,412.29858,-34.643555,-412.5,-412.5,412.29858,229.21143,-87.213135,silence,0.0,
64.0,145.22095,412.29858,-40.48462,-232.83691,61.431885,58.61206,227.80151,-61.029053,silence,0.0,
65.0,-18.530273,-412.5,40.686035,412.29858,-412.29858,-412.5,-28.601074,-34.84497,silence,0.0,
66.0,-104.937744,-412.5,64.85596,412.29858,-366.17432,-412.5,-125.28076,-60.22339,silence,0.0,
76.0,31.82373,394.17114,-8.660889,-383.4961,-412.5,412.29858,120.84961,-84.99756,silence,0.0,
78.0,178.45459,412.29858,-57.403564,-412.5,-412.5,412.29858,282.9895,-64.85596,silence,0.0,
80.0,72.9126,52.972412,-3.4240723,130.51758,-361.34033,-412.5,89.227295,-35.046387,silence,0.0,
81.0,-99.70093,-412.5,66.6687,412.29858,-412.29858,-412.5,-127.89917,-37.664795,silence,0.0,
83.0,-75.531006,-412.5,31.018066,-13.293457,125.079346,412.29858,-25.579834,-71.502686,silence,0.0,
93.0,86.40747,412.29858,-52.368164,-412.5,-412.5,412.29858,233.64258,-78.75366,silence,0.0,
95.0,144.81812,412.29858,-36.053467,-145.62378,4.2297363,-170.39795,215.1123,-51.361084,silence,0.0,
96.0,-39.47754,-412.5,36.85913,412.29858,-412.29858,-412.5,-51.763916,-36.053467,silence,0.0,
111.0,-104.937744,-412.5,65.66162,391.75415,-252.97852,-407.26318,-112.39014,-57.806396,silence,0.0,
112.0,37.060547,412.29858,-12.689209,-412.5,-412.5,412.29858,147.03369,-84.79614,silence,0.0,
115.0,160.9314,412.29858,-61.834717,-412.5,-412.5,412.29858,290.03906,-70.69702,silence,0.0,
116.0,61.834717,-64.453125,2.2155762,207.86133,-412.29858,-412.5,70.09277,-46.728516,silence,0.0,
118.0,-110.17456,-412.5,70.09277,412.29858,-412.29858,-412.5,-134.94873,-52.368164,silence,0.0,
119.0,-33.233643,-242.10205,24.169922,-37.664795,172.00928,412.29858,0.0,-81.170654,silence,0.0,
126.0,101.312256,412.29858,-51.763916,-412.5,-412.5,412.29858,246.5332,-70.09277,silence,0.0,
128.0,105.54199,412.29858,-26.586914,-81.57349,-37.261963,-377.4536,199.60327,-43.707275,silence,0.0,
143.0,-72.9126,-412.5,41.088867,412.29858,-412.29858,-412.5,-68.68286,-26.586914,silence,0.0,
145.0,-108.966064,-412.5,63.64746,327.50244,-157.70874,-73.71826,-98.89526,-56.799316,silence,0.0,
147.0,29.003906,412.29858,-23.968506,-412.5,-412.5,412.29858,153.479,-76.33667,silence,0.0,
161.0,111.18164,412.29858,-47.332764,-412.5,-412.5,412.29858,273.52295,-57.000732,silence,0.0,
163.0,10.272217,-172.61353,8.862305,297.69287,-412.29858,-412.5,40.88745,-32.83081,silence,0.0,
164.0,-130.51758,-412.5,65.86304,412.29858,-412.29858,-412.5,-145.62378,-39.074707,silence,0.0,
165.0,-49.145508,-116.21704,26.385498,-84.39331,246.5332,412.29858,16.113281,-72.9126,silence,0.0,
177.0,121.051025,412.29858,-52.56958,-412.5,-412.5,412.29858,254.99268,-76.538086,silence,0.0,
178.0,94.06128,412.29858,-20.74585,-33.43506,-77.34375,-412.5,182.2815,-41.088867,silence,0.0,
180.0,-63.043213,-412.5,48.94409,412.29858,-412.29858,-412.5,-84.191895,-36.657715,silence,0.0,
182.0,-95.06836,-412.5,52.166748,225.38452,-79.76074,189.9353,-76.94092,-55.389404,silence,0.0,
183.0,73.91968,412.29858,-21.551514,-412.5,-412.5,412.29858,168.98804,-75.32959,silence,0.0,
193.0,136.35864,412.29858,-59.417725,-412.5,359.12476,412.29858,265.86914,-50.152588,silence,0.0,
195.0,28.80249,-363.3545,19.73877,373.82812,-412.29858,-412.5,20.141602,-32.025146,silence,0.0,
209.0,-101.312256,-412.5,66.87012,412.29858,-412.29858,-412.5,-147.83936,-37.86621,silence,0.0,
211.0,-18.328857,-24.975586,22.961426,-149.6521,354.29077,412.29858,37.86621,-66.6687,silence,0.0,
