Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
17afe21b-67c6-46a2-b5d8-96830371593e,4,08-03-2019_21-39-31,A4,36,0.0,24976x8,112016,21:37:39.333,21:39:31.370,4.485115,222.95973,µV,1552077321970,1552077571371,
Stimuli appearance,4013.0,7005.0,10017.0,13028.0,16011.0,19025.0,22016.0,25022.0,28027.0,31018.0,34029.0,37018.0,40020.0,43015.0,46016.0,49015.0,52020.0,55022.0,58021.0,61034.0,64016.0,67026.0,70018.0,73023.0,76027.0,79027.0,82024.0,85032.0,88029.0,91032.0,94027.0,97032.0,100032.0,103048.0,106021.0,109031.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,17.72461,-328.71094,31.622314,412.29858,-412.29858,-412.5,-30.212402,9.667969,silence,0.0,
2.0,-30.615234,-412.5,73.11401,412.29858,-412.29858,-412.5,-204.84009,-13.696289,silence,0.0,
3.0,-21.350098,-54.986572,2.8198242,-157.70874,-412.5,412.29858,3.4240723,-46.5271,silence,0.0,
18.0,35.44922,412.29858,-77.34375,-412.5,-412.5,412.29858,237.87231,-40.686035,silence,0.0,
20.0,26.586914,412.29858,-18.73169,-4.8339844,-148.4436,-412.5,118.029785,-5.6396484,silence,0.0,
21.0,-25.378418,-412.5,62.841797,412.29858,-412.29858,-412.5,-163.95264,1.2084961,silence,0.0,
23.0,-51.965332,-412.5,34.039307,242.50488,-73.71826,412.29858,-114.80713,-25.378418,silence,0.0,
25.0,9.466553,412.29858,-50.958252,-412.5,-412.5,412.29858,178.25317,-45.92285,silence,0.0,
26.0,36.053467,412.29858,-70.495605,-412.5,360.33325,412.29858,253.38135,-22.558594,silence,0.0,
27.0,-2.2155762,-412.5,33.83789,412.29858,-412.29858,-412.5,-36.657715,3.6254883,silence,0.0,
28.0,-43.90869,-412.5,68.28003,412.29858,-412.29858,-412.5,-197.79053,-5.6396484,silence,0.0,
49.0,-24.975586,72.71118,-2.2155762,-284.3994,-412.5,412.29858,34.44214,-37.060547,silence,0.0,
52.0,35.44922,412.29858,-75.531006,-412.5,-412.5,412.29858,258.21533,-45.318604,silence,0.0,
53.0,16.113281,262.64648,-14.300537,50.756836,-233.03833,-412.5,104.937744,-12.487793,silence,0.0,
55.0,-26.385498,-412.5,72.30835,412.29858,-412.29858,-412.5,-170.19653,-3.6254883,silence,0.0,
56.0,-35.046387,-412.5,23.565674,133.3374,-2.6184082,412.29858,-97.68677,-37.664795,silence,0.0,
57.0,22.357178,412.29858,-54.986572,-412.5,-412.5,412.29858,204.43726,-55.18799,silence,0.0,
59.0,45.318604,412.29858,-59.820557,-412.5,207.86133,282.9895,207.05566,-29.608154,silence,0.0,
67.0,-3.8269043,-412.5,46.92993,412.29858,-412.29858,-412.5,-62.64038,-9.265137,silence,0.0,
70.0,-41.693115,-412.5,66.26587,412.29858,-412.29858,-412.5,-181.073,-32.42798,silence,0.0,
72.0,-21.350098,211.48682,-20.343018,-412.5,-412.5,412.29858,67.27295,-56.5979,silence,0.0,
73.0,37.060547,412.29858,-69.89136,-412.5,-412.5,412.29858,277.34985,-42.297363,silence,0.0,
84.0,22.961426,131.92749,-9.466553,110.77881,-334.75342,-412.5,86.206055,-8.258057,silence,0.0,
85.0,-31.219482,-412.5,72.509766,412.29858,-412.29858,-412.5,-163.34839,-15.509033,silence,0.0,
87.0,-22.961426,-412.5,19.134521,62.64038,64.05029,412.29858,-68.07861,-46.124268,silence,0.0,
88.0,12.890625,412.29858,-60.021973,-412.5,-412.5,412.29858,224.37744,-55.389404,silence,0.0,
90.0,55.389404,412.29858,-41.4917,-321.8628,115.81421,-12.084961,211.68823,-27.79541,silence,0.0,
101.0,-5.6396484,-412.5,44.91577,412.29858,-412.29858,-412.5,-84.39331,-6.8481445,silence,0.0,
103.0,-39.074707,-412.5,61.834717,412.29858,-412.29858,-412.5,-178.05176,-27.191162,silence,0.0,
104.0,-14.300537,371.0083,-32.226562,-412.5,-412.5,412.29858,98.291016,-57.000732,silence,0.0,
106.0,36.053467,412.29858,-73.91968,-412.5,-412.5,412.29858,277.9541,-45.721436,silence,0.0,
107.0,19.134521,14.300537,-5.6396484,197.3877,-412.29858,-412.5,49.145508,-7.6538086,silence,0.0,
108.0,-38.87329,-412.5,63.64746,412.29858,-412.29858,-412.5,-196.98486,-15.911865,silence,0.0,
118.0,-21.551514,-380.8777,12.487793,4.2297363,148.4436,412.29858,-54.58374,-53.17383,silence,0.0,
119.0,21.148682,412.29858,-72.10693,-412.5,-412.5,412.29858,246.5332,-63.848877,silence,0.0,
122.0,52.368164,412.29858,-32.42798,-206.25,26.586914,-262.8479,200.40894,-32.025146,silence,0.0,
