Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
5ed84fad-388f-4121-82b7-541f8f046188,5,08-03-2019_21-42-12,A4,36,0.0,24965x8,112006,21:40:20.684,21:42:12.711,4.485386,222.94626,µV,1552077459355,1552077732711,
Stimuli appearance,4021.0,7008.0,10014.0,13008.0,16015.0,19022.0,22011.0,25021.0,28010.0,31023.0,34010.0,37019.0,40013.0,43015.0,46025.0,49019.0,52022.0,55016.0,58020.0,61020.0,64018.0,67016.0,70017.0,73024.0,76013.0,79022.0,82015.0,85025.0,88015.0,91024.0,94024.0,97017.0,100028.0,103024.0,106024.0,109018.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,47.332764,-198.59619,27.392578,23.162842,126.28784,412.29858,-164.7583,68.481445,silence,0.0,
3.0,-255.39551,412.29858,-326.49536,353.08228,-412.5,412.29858,206.85425,55.792236,silence,0.0,
5.0,-130.31616,412.29858,-99.298096,36.657715,8.660889,-379.46777,88.220215,84.39331,silence,0.0,
20.0,259.82666,-412.5,282.7881,-326.29395,-412.29858,-412.5,-260.83374,110.77881,silence,0.0,
25.0,214.91089,-412.5,260.4309,-184.49707,-193.35938,-39.276123,-282.7881,80.96924,silence,0.0,
26.0,-123.87085,403.6377,-230.2185,285.20508,-412.5,412.29858,59.014893,56.5979,silence,0.0,
28.0,-239.28223,412.29858,-283.39233,275.93994,-412.5,412.29858,244.31763,84.79614,silence,0.0,
30.0,100.10376,-94.06128,101.11084,-201.41602,-412.29858,-412.5,-111.987305,110.980225,silence,0.0,
32.0,297.49146,-412.5,316.22314,-314.61182,-412.29858,-412.5,-362.54883,114.20288,silence,0.0,
34.0,9.466553,-114.20288,0.40283203,61.6333,215.31372,412.29858,-107.958984,72.10693,silence,0.0,
37.0,-252.7771,412.29858,-332.53784,347.0398,-412.5,412.29858,218.53638,67.07153,silence,0.0,
50.0,-93.0542,384.50317,-63.446045,8.660889,-36.4563,-412.5,68.88428,104.53491,silence,0.0,
52.0,276.34277,-412.5,295.4773,-349.25537,-412.29858,-412.5,-282.9895,105.74341,silence,0.0,
53.0,197.3877,-412.5,206.25,-114.80713,-117.62695,274.3286,-269.89746,73.11401,silence,0.0,
54.0,-173.82202,412.29858,-255.39551,291.04614,-412.5,412.29858,121.45386,40.48462,silence,0.0,
56.0,-220.55054,412.29858,-278.55835,255.19409,383.29468,412.29858,216.3208,64.65454,silence,0.0,
57.0,107.55615,-178.85742,152.27051,-249.75586,-412.29858,-412.5,-167.1753,106.14624,silence,0.0,
59.0,298.49854,-412.5,311.9934,-297.08862,-412.29858,-412.5,-352.88086,89.227295,silence,0.0,
60.0,-21.75293,-46.325684,-27.392578,96.276855,327.30103,412.29858,-65.05737,55.993652,silence,0.0,
62.0,-264.0564,412.29858,-346.43555,339.18457,-412.5,412.29858,239.48364,53.17383,silence,0.0,
63.0,-44.91577,265.06348,-39.88037,-15.509033,-90.83862,-412.5,19.335938,85.80322,silence,0.0,
65.0,282.18384,-412.5,311.59058,-349.85962,-412.29858,-412.5,-301.9226,103.72925,silence,0.0,
66.0,172.00928,-412.5,150.05493,-67.8772,-40.48462,412.29858,-218.33496,65.25879,silence,0.0,
68.0,-212.89673,412.29858,-266.6748,301.31836,-412.5,412.29858,159.92432,41.290283,silence,0.0,
73.0,-202.62451,412.29858,-262.44507,213.7024,275.5371,412.29858,200.81177,69.08569,silence,0.0,
75.0,131.32324,-314.61182,202.62451,-281.17676,-412.29858,-412.5,-161.73706,113.1958,silence,0.0,
77.0,278.35693,-412.5,297.29004,-290.84473,-412.29858,-412.5,-344.4214,90.234375,silence,0.0,
85.0,-48.54126,22.155762,-58.007812,155.09033,-412.5,412.29858,-47.53418,54.986572,silence,0.0,
102.0,-270.70312,412.29858,-330.7251,317.23022,-412.5,412.29858,266.4734,56.5979,silence,0.0,
105.0,-4.0283203,164.55688,-9.265137,-48.742676,-157.30591,-412.5,35.85205,105.54199,silence,0.0,
106.0,283.39233,-412.5,327.50244,-357.312,-412.29858,-412.5,-320.05005,112.79297,silence,0.0,
108.0,145.62378,-412.5,90.63721,-29.003906,8.459473,412.29858,-214.30664,66.467285,silence,0.0,
119.0,-238.8794,412.29858,-278.15552,327.30103,-412.5,412.29858,187.71973,43.90869,silence,0.0,
120.0,-178.05176,412.29858,-236.4624,155.69458,170.19653,251.77002,208.46558,77.948,silence,0.0,
122.0,172.81494,-412.5,243.9148,-296.8872,-412.29858,-412.5,-203.22876,105.54199,silence,0.0,
124.0,263.04932,-412.5,282.18384,-279.364,-412.29858,-412.5,-314.61182,68.88428,silence,0.0,
125.0,-66.26587,102.72217,-106.14624,210.0769,-412.5,412.29858,39.678955,31.018066,silence,0.0,
126.0,-266.87622,412.29858,-307.76367,299.5056,-412.5,412.29858,267.48047,34.240723,silence,0.0,
136.0,37.664795,81.170654,11.279297,-75.32959,-257.40967,-412.5,-23.364258,88.42163,silence,0.0,
152.0,287.62207,-412.5,336.76758,-352.88086,-412.29858,-412.5,-318.0359,88.220215,silence,0.0,
153.0,108.1604,-346.23413,56.396484,-2.4169922,51.965332,412.29858,-165.76538,52.56958,silence,0.0,
155.0,-255.79834,412.29858,-299.5056,341.80298,-412.5,412.29858,207.4585,41.693115,silence,0.0,
156.0,-159.92432,412.29858,-175.83618,93.45703,87.01172,-77.948,167.98096,65.66162,silence,0.0,
158.0,215.51514,-412.5,265.66772,-298.90137,-412.29858,-412.5,-204.23584,90.83862,silence,0.0,
170.0,244.51904,-412.5,275.5371,-241.29639,-342.81006,-412.5,-311.792,61.23047,silence,0.0,
172.0,-91.241455,222.36328,-169.7937,266.27197,-412.5,412.29858,67.27295,36.4563,silence,0.0,
175.0,-263.85498,412.29858,-299.70703,292.8589,-412.5,412.29858,278.15552,52.166748,silence,0.0,
177.0,67.67578,10.675049,43.103027,-117.42554,-371.41113,-412.5,-32.83081,85.40039,silence,0.0,
179.0,298.90137,-412.5,335.9619,-329.3152,-412.29858,-412.5,-333.54492,90.234375,silence,0.0,
185.0,57.403564,-233.44116,37.664795,15.509033,113.1958,412.29858,-156.70166,46.728516,silence,0.0,
187.0,-250.96436,412.29858,-321.45996,352.67944,-412.5,412.29858,226.19019,45.721436,silence,0.0,
190.0,-139.78271,412.29858,-119.036865,50.756836,22.357178,-325.28687,143.60962,86.206055,silence,0.0,
192.0,253.9856,-412.5,276.14136,-315.41748,-412.29858,-412.5,-243.31055,109.57031,silence,0.0,
203.0,220.1477,-412.5,263.85498,-195.37354,-225.78735,-129.91333,-274.93286,66.26587,silence,0.0,
219.0,-120.64819,354.6936,-221.55762,282.9895,-412.5,412.29858,66.06445,29.003906,silence,0.0,
220.0,-252.37427,412.29858,-287.42065,277.34985,-412.5,412.29858,314.4104,53.375244,silence,0.0,
223.0,80.163574,-66.6687,82.78198,-181.073,-412.29858,-412.5,-50.958252,92.85278,silence,0.0,
224.0,296.48438,-412.5,326.69678,-316.62598,-412.29858,-412.5,-320.6543,79.156494,silence,0.0,
226.0,16.314697,-137.36572,6.4453125,52.770996,186.1084,412.29858,-92.248535,37.664795,silence,0.0,
237.0,-254.79126,412.29858,-335.35767,350.8667,-412.5,412.29858,236.05957,23.162842,silence,0.0,
239.0,-103.72925,411.49292,-78.552246,11.077881,-16.516113,-412.5,105.54199,66.06445,silence,0.0,
241.0,266.6748,-412.5,286.41357,-339.78882,-412.29858,-412.5,-261.438,69.68994,silence,0.0,
243.0,193.56079,-412.5,220.34912,-129.30908,-132.53174,196.78345,-250.56152,47.93701,silence,0.0,
244.0,-162.34131,412.29858,-249.75586,289.03198,-412.5,412.29858,130.31616,23.76709,silence,0.0,
254.0,-230.41992,412.29858,-272.7173,264.2578,410.48584,412.29858,236.66382,54.18091,silence,0.0,
256.0,104.333496,-152.87476,136.76147,-231.02417,-412.29858,-412.5,-95.67261,79.76074,silence,0.0,
269.0,286.01074,-412.5,307.9651,-302.52686,-412.29858,-412.5,-325.8911,76.7395,silence,0.0,
285.0,-20.141602,-59.61914,-23.364258,85.80322,302.72827,412.29858,-64.453125,29.205322,silence,0.0,
286.0,-267.8833,412.29858,-330.9265,342.81006,-412.5,412.29858,256.604,27.392578,silence,0.0,
288.0,-57.403564,280.3711,-33.636475,-12.487793,-77.948,-412.5,97.283936,73.91968,silence,0.0,
290.0,274.53003,-412.5,311.18774,-349.05396,-412.29858,-412.5,-271.10596,79.35791,silence,0.0,
295.0,181.67725,-412.5,156.50024,-78.149414,-59.21631,412.29858,-245.72754,50.152588,silence,0.0,
303.0,-205.44434,412.29858,-262.64648,292.8589,-412.5,412.29858,190.74097,15.106201,silence,0.0,
304.0,-205.64575,412.29858,-273.32153,235.2539,296.8872,412.29858,251.16577,44.91577,silence,0.0,
306.0,126.690674,-284.198,192.55371,-279.1626,-412.29858,-412.5,-137.1643,79.35791,silence,0.0,
307.0,281.98242,-412.5,296.08154,-281.37817,-412.29858,-412.5,-335.7605,57.000732,silence,0.0,
319.0,-46.92993,7.4523926,-51.159668,135.95581,399.00513,412.29858,-9.869385,12.890625,silence,0.0,
321.0,-270.5017,412.29858,-326.29395,323.47412,-412.5,412.29858,283.39233,20.141602,silence,0.0,
323.0,-11.883545,178.45459,-14.300537,-27.392578,-141.19263,-412.5,54.382324,69.08569,silence,0.0,
337.0,278.55835,-412.5,334.75342,-355.9021,-412.29858,-412.5,-297.8943,67.67578,silence,0.0,
338.0,157.50732,-412.5,103.72925,-32.83081,-8.459473,412.29858,-196.58203,43.50586,silence,0.0,
340.0,-244.31763,412.29858,-264.45923,306.7566,-412.5,412.29858,183.6914,17.321777,silence,0.0,
