Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
cff1941c-27c5-4eef-81be-1300eab8d446,1,08-03-2019_21-47-30,A5,36,0.0,24907x8,112008,21:45:38.340,21:47:30.372,4.5534444,219.61397,µV,0,1552078050372,
Stimuli appearance,4020.0,7015.0,10018.0,13013.0,16022.0,19021.0,22018.0,25018.0,28014.0,31015.0,34020.0,37021.0,40029.0,43023.0,46027.0,49028.0,52022.0,55033.0,58027.0,61028.0,64022.0,67031.0,70023.0,73030.0,76034.0,79025.0,82022.0,85028.0,88024.0,91028.0,94030.0,97032.0,100025.0,103042.0,106034.0,109035.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-201.2146,32.83081,silence,0.0,
3.0,21.551514,-6.0424805,-215.51514,412.29858,274.1272,412.29858,-12.084961,4.0283203,silence,0.0,
5.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,128.50342,-0.80566406,silence,0.0,
21.0,-253.9856,412.29858,-40.283203,-112.59155,-96.07544,-288.83057,6.8481445,26.586914,silence,0.0,
23.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-168.98804,30.413818,silence,0.0,
25.0,-412.5,-412.5,381.88477,-120.44678,-46.92993,55.792236,-121.25244,16.918945,silence,0.0,
26.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,85.60181,5.6396484,silence,0.0,
36.0,-412.29858,412.29858,-412.29858,412.29858,188.52539,250.96436,87.213135,20.343018,silence,0.0,
38.0,194.36646,-412.5,-412.5,-412.5,-412.29858,-412.5,-102.923584,32.42798,silence,0.0,
40.0,-412.5,-412.5,-412.5,-412.5,-390.54565,-412.5,-180.67017,34.039307,silence,0.0,
41.0,-24.371338,130.92041,-336.969,412.29858,345.02563,412.29858,-5.2368164,15.307617,silence,0.0,
42.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,114.20288,26.184082,silence,0.0,
44.0,-146.02661,302.12402,37.060547,-231.62842,-137.76855,-412.5,-17.72461,58.410645,silence,0.0,
63.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-196.98486,70.29419,silence,0.0,
65.0,-412.5,-412.5,227.39868,-26.78833,-3.8269043,169.59229,-136.35864,59.21631,silence,0.0,
70.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,39.678955,76.538086,silence,0.0,
75.0,-412.29858,412.29858,-412.29858,412.29858,119.23828,215.91797,-0.60424805,105.944824,silence,0.0,
77.0,301.7212,-412.5,-412.5,-412.5,-412.29858,-412.5,-218.93921,143.60962,silence,0.0,
79.0,-412.5,-412.5,-412.5,-412.5,-332.33643,-352.2766,-272.51587,147.83936,silence,0.0,
84.0,-79.35791,301.51978,-412.29858,412.29858,399.60938,412.29858,-99.70093,151.26343,silence,0.0,
86.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-9.265137,155.69458,silence,0.0,
88.0,-67.67578,152.87476,132.93457,-359.32617,-209.67407,-412.5,-177.04468,177.04468,silence,0.0,
90.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-68.07861,190.53955,silence,0.0,
102.0,-412.29858,412.29858,-412.29858,269.2932,64.85596,228.20435,-104.73633,214.70947,silence,0.0,
117.0,404.04053,-412.5,-412.5,-412.5,-412.29858,-412.5,-313.80615,230.2185,silence,0.0,
119.0,-412.5,-412.5,-412.5,-412.5,-252.97852,-116.015625,-344.21997,226.3916,silence,0.0,
121.0,-136.96289,412.29858,-412.29858,412.29858,-412.5,412.29858,-154.48608,211.2854,silence,0.0,
123.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-49.749756,216.52222,silence,0.0,
134.0,0.20141602,3.4240723,243.31055,-412.5,-299.10278,-412.5,-224.17603,230.41992,silence,0.0,
136.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-374.6338,239.48364,silence,0.0,
137.0,227.6001,-375.03662,18.933105,149.24927,91.8457,412.29858,-254.58984,222.96753,silence,0.0,
139.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-58.410645,220.75195,silence,0.0,
151.0,-412.29858,412.29858,-336.969,114.20288,16.71753,146.22803,-116.82129,236.26099,silence,0.0,
153.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-322.66846,251.16577,silence,0.0,
155.0,-412.29858,412.29858,-412.29858,412.29858,368.3899,412.29858,-71.502686,209.87549,silence,0.0,
168.0,47.735596,-154.48608,384.50317,-412.5,-371.61255,-412.5,-256.4026,232.03125,silence,0.0,
185.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-368.79272,220.95337,silence,0.0,
188.0,129.71191,-211.88965,-66.06445,265.86914,154.28467,412.29858,-215.91797,199.20044,silence,0.0,
191.0,-398.40088,412.29858,-194.56787,2.8198242,-14.904785,57.806396,-144.81812,226.3916,silence,0.0,
194.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-339.99023,242.10205,silence,0.0,
204.0,-412.5,-412.5,-412.5,-409.07593,-109.3689,89.42871,-308.36792,226.59302,silence,0.0,
206.0,-305.95093,412.29858,-412.29858,412.29858,-412.5,412.29858,-115.61279,214.50806,silence,0.0,
208.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-374.6338,241.4978,silence,0.0,
210.0,53.375244,-84.191895,-155.29175,394.9768,238.27515,412.29858,-218.33496,219.94629,silence,0.0,
219.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-73.516846,225.38452,silence,0.0,
221.0,-291.24756,412.29858,-78.95508,-83.58765,-65.25879,-9.466553,-185.70557,250.96436,silence,0.0,
223.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-371.41113,255.59692,silence,0.0,
237.0,-412.5,-412.5,-412.5,-216.3208,-59.417725,214.10522,-323.87695,240.2893,silence,0.0,
240.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-128.302,228.40576,silence,0.0,
252.0,-412.29858,412.29858,-412.29858,412.29858,230.62134,412.29858,-112.994385,241.90063,silence,0.0,
254.0,160.32715,-412.5,-412.5,-412.5,-412.29858,-412.5,-305.34668,259.82666,silence,0.0,
256.0,-412.5,-412.5,-412.5,-412.5,-406.2561,-412.5,-385.51025,257.20825,silence,0.0,
269.0,-9.667969,64.85596,-269.89746,412.29858,308.77075,412.29858,-203.43018,227.6001,silence,0.0,
271.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-62.64038,227.80151,silence,0.0,
273.0,-412.5,-412.5,304.3396,-84.39331,-13.494873,294.67163,-311.59058,244.11621,silence,0.0,
287.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-111.987305,231.22559,silence,0.0,
289.0,-412.29858,412.29858,-412.29858,412.29858,157.30591,393.16406,-132.1289,246.93604,silence,0.0,
291.0,250.76294,-412.5,-412.5,-412.5,-412.29858,-412.5,-330.32227,255.99976,silence,0.0,
293.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-63.24463,222.96753,silence,0.0,
303.0,-99.49951,222.5647,86.00464,-292.05322,-174.02344,-359.5276,-211.88965,242.90771,silence,0.0,
318.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-361.54175,241.90063,silence,0.0,
320.0,387.12158,-412.5,161.13281,18.127441,21.148682,382.69043,-287.62207,218.13354,silence,0.0,
322.0,-412.29858,412.29858,-412.29858,376.64795,93.65845,276.7456,-123.87085,234.64966,silence,0.0,
323.0,356.90918,-412.5,-412.5,-412.5,-412.29858,-412.5,-314.20898,243.9148,silence,0.0,
337.0,-412.5,-412.5,-412.5,-412.5,-299.90845,-200.81177,-331.9336,228.00293,silence,0.0,
338.0,-103.52783,404.44336,-412.29858,412.29858,408.47168,412.29858,-146.02661,215.71655,silence,0.0,
340.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-49.145508,218.13354,silence,0.0,
341.0,-34.44214,88.42163,185.70557,-412.5,-260.63232,-412.5,-206.45142,235.05249,silence,0.0,
353.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-345.42847,237.26807,silence,0.0,
355.0,276.7456,-412.5,59.417725,96.67969,66.6687,412.29858,-227.6001,206.45142,silence,0.0,
357.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,-66.26587,189.9353,silence,0.0,
