Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
703a4783-5126-4245-9170-e3fd426a20ed,2,08-03-2019_21-49-46,A5,36,-5.95,24976x8,112004,21:47:54.126,21:49:46.165,4.5288267,220.80774,µV,1552077938364,1552078186166,
Stimuli appearance,4004.0,7005.0,10003.0,13006.0,16010.0,19018.0,22001.0,25002.0,28005.0,31013.0,34003.0,37007.0,40007.0,43015.0,46016.0,49010.0,52014.0,55007.0,58007.0,61025.0,64016.0,67021.0,70014.0,73013.0,76015.0,79019.0,82019.0,85010.0,88020.0,91025.0,94020.0,97028.0,100010.0,103023.0,106025.0,109021.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,62.841797,96.276855,silence,0.0,
2.0,-44.110107,159.11865,146.42944,-405.45044,-240.69214,-412.5,-102.319336,108.36182,silence,0.0,
4.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-256.20117,100.909424,silence,0.0,
6.0,287.21924,-412.5,103.72925,99.09668,23.76709,351.87378,-146.63086,94.06128,silence,0.0,
9.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,54.382324,81.97632,silence,0.0,
11.0,-412.29858,412.29858,-412.29858,320.45288,94.46411,151.26343,1.0070801,99.90234,silence,0.0,
23.0,347.44263,-412.5,-412.5,-412.5,-412.29858,-412.5,-198.99902,101.312256,silence,0.0,
25.0,-412.5,-412.5,-412.5,-412.5,-326.69678,-205.24292,-232.83691,86.60889,silence,0.0,
27.0,-109.973145,412.29858,-412.29858,412.29858,-412.5,412.29858,-27.392578,82.9834,silence,0.0,
29.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,57.403564,97.48535,silence,0.0,
30.0,0.60424805,43.90869,255.99976,-412.5,-320.6543,-412.5,-125.88501,113.1958,silence,0.0,
32.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-268.48755,108.36182,silence,0.0,
33.0,196.98486,-383.6975,3.0212402,191.94946,79.156494,412.29858,-145.8252,92.248535,silence,0.0,
34.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,44.311523,80.96924,silence,0.0,
36.0,-400.81787,412.29858,-412.29858,143.4082,45.52002,70.89844,-29.205322,98.291016,silence,0.0,
37.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-233.03833,106.54907,silence,0.0,
38.0,-412.5,-412.5,-412.5,-412.5,-233.64258,-75.128174,-211.68823,97.283936,silence,0.0,
43.0,-169.18945,412.29858,-412.29858,412.29858,-412.5,412.29858,2.2155762,71.502686,silence,0.0,
45.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,62.841797,75.73242,silence,0.0,
47.0,43.707275,-114.001465,-412.5,-412.5,-405.65186,-412.5,-128.90625,83.184814,silence,0.0,
48.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-237.87231,86.60889,silence,0.0,
67.0,129.5105,-232.23267,-85.80322,325.6897,141.39404,412.29858,-84.99756,65.460205,silence,0.0,
68.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,83.78906,58.410645,silence,0.0,
69.0,-347.44263,412.29858,-265.06348,23.565674,-0.40283203,-37.060547,-10.675049,81.97632,silence,0.0,
71.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-201.61743,83.78906,silence,0.0,
73.0,-412.5,-412.5,-412.5,-412.5,-160.12573,-5.0354004,-167.77954,66.26587,silence,0.0,
74.0,-255.19409,412.29858,-412.29858,412.29858,-412.5,412.29858,39.074707,53.979492,silence,0.0,
76.0,-412.29858,412.29858,-412.29858,412.29858,384.50317,412.29858,70.89844,69.28711,silence,0.0,
78.0,85.40039,-281.37817,-412.5,-412.5,-412.29858,-412.5,-127.89917,87.01172,silence,0.0,
79.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-239.28223,87.61597,silence,0.0,
81.0,61.6333,-98.69385,-190.74097,412.29858,239.48364,412.29858,-76.135254,69.68994,silence,0.0,
85.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,76.33667,71.502686,silence,0.0,
87.0,-266.6748,412.29858,-126.690674,-79.35791,-42.095947,-134.94873,-37.060547,84.59473,silence,0.0,
89.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-231.82983,84.79614,silence,0.0,
91.0,-412.5,-412.5,-412.5,-255.99976,-101.11084,87.41455,-177.44751,74.32251,silence,0.0,
96.0,-344.6228,412.29858,-412.29858,412.29858,-412.5,412.29858,44.311523,50.756836,silence,0.0,
98.0,-412.29858,412.29858,-412.29858,412.29858,297.08862,405.85327,47.93701,66.467285,silence,0.0,
99.0,134.14307,-412.5,-412.5,-412.5,-412.29858,-412.5,-149.04785,79.156494,silence,0.0,
109.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-233.23975,72.10693,silence,0.0,
111.0,-0.60424805,22.357178,-312.19482,412.29858,321.66138,412.29858,-60.62622,64.453125,silence,0.0,
113.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,80.36499,69.28711,silence,0.0,
125.0,-182.08008,412.29858,-16.113281,-177.2461,-101.11084,-289.63623,-52.166748,87.81738,silence,0.0,
126.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-237.06665,86.00464,silence,0.0,
128.0,399.00513,-412.5,377.4536,-83.99048,-42.700195,161.13281,-156.90308,72.10693,silence,0.0,
129.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,49.54834,57.403564,silence,0.0,
141.0,-412.29858,412.29858,-412.29858,412.29858,207.25708,275.5371,35.650635,70.09277,silence,0.0,
143.0,197.3877,-412.5,-412.5,-412.5,-412.29858,-412.5,-158.11157,77.142334,silence,0.0,
145.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-221.55762,74.523926,silence,0.0,
146.0,-37.86621,190.33813,-412.29858,412.29858,401.62354,412.29858,-31.82373,64.65454,silence,0.0,
158.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,82.58057,69.68994,silence,0.0,
160.0,-91.64429,244.92188,81.37207,-313.2019,-178.85742,-412.5,-79.35791,88.0188,silence,0.0,
176.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-248.74878,90.234375,silence,0.0,
178.0,342.81006,-412.5,185.10132,44.91577,-5.6396484,276.7456,-158.91724,78.95508,silence,0.0,
180.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,45.52002,71.90552,silence,0.0,
182.0,-412.29858,412.29858,-412.29858,412.29858,128.302,167.57812,21.350098,72.10693,silence,0.0,
193.0,303.1311,-412.5,-412.5,-412.5,-412.29858,-412.5,-181.27441,79.96216,silence,0.0,
195.0,-412.5,-412.5,-412.5,-412.5,-369.19556,-317.0288,-205.0415,55.18799,silence,0.0,
197.0,-82.9834,367.78564,-412.29858,412.29858,-412.5,412.29858,3.8269043,32.83081,silence,0.0,
199.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,99.298096,41.088867,silence,0.0,
210.0,-25.378418,103.72925,194.36646,-412.5,-272.51587,-412.5,-78.552246,61.029053,silence,0.0,
212.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-228.40576,73.91968,silence,0.0,
214.0,254.99268,-412.5,64.05029,137.96997,46.728516,377.05078,-116.21704,56.799316,silence,0.0,
216.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,65.66162,57.000732,silence,0.0,
225.0,-412.29858,412.29858,-412.29858,254.38843,75.32959,88.82446,10.272217,73.31543,silence,0.0,
241.0,387.72583,-412.5,-412.5,-412.5,-412.29858,-412.5,-209.47266,90.63721,silence,0.0,
243.0,-412.5,-412.5,-412.5,-412.5,-282.7881,-169.18945,-211.48682,71.7041,silence,0.0,
244.0,-130.719,412.29858,-412.29858,412.29858,-412.5,412.29858,-3.0212402,61.834717,silence,0.0,
246.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,67.8772,69.28711,silence,0.0,
248.0,24.371338,-29.80957,325.28687,-412.5,-361.13892,-412.5,-116.21704,89.83154,silence,0.0,
249.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-240.69214,84.79614,silence,0.0,
251.0,162.94556,-318.64014,-31.018066,246.73462,101.11084,412.29858,-99.70093,66.467285,silence,0.0,
253.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,76.7395,59.417725,silence,0.0,
259.0,-376.0437,412.29858,-356.70776,91.8457,35.650635,-7.6538086,-0.80566406,71.30127,silence,0.0,
261.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-208.86841,78.35083,silence,0.0,
276.0,-412.5,-412.5,-412.5,-412.5,-194.9707,-46.5271,-202.22168,70.495605,silence,0.0,
278.0,-203.02734,412.29858,-412.29858,412.29858,-412.5,412.29858,2.0141602,54.785156,silence,0.0,
280.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,52.770996,61.6333,silence,0.0,
294.0,70.89844,-184.69849,-412.5,-412.5,-412.29858,-412.5,-129.10767,74.12109,silence,0.0,
297.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-237.26807,70.29419,silence,0.0,
299.0,86.00464,-173.01636,-127.29492,382.2876,185.90698,412.29858,-79.35791,48.339844,silence,0.0,
310.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,88.0188,40.48462,silence,0.0,
312.0,-313.40332,412.29858,-189.53247,-26.989746,-22.357178,-99.90234,-8.459473,44.110107,silence,0.0,
314.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-209.06982,61.834717,silence,0.0,
317.0,-412.5,-412.5,-412.5,-367.1814,-125.68359,30.615234,-168.98804,49.54834,silence,0.0,
319.0,-304.74243,412.29858,-412.29858,412.29858,-412.5,412.29858,33.032227,46.5271,silence,0.0,
327.0,-412.29858,412.29858,-412.29858,412.29858,349.25537,412.29858,61.834717,58.813477,silence,0.0,
329.0,110.57739,-385.71167,-412.5,-412.5,-412.29858,-412.5,-126.89209,64.25171,silence,0.0,
331.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-234.04541,65.460205,silence,0.0,
341.0,30.010986,-46.325684,-243.10913,412.29858,271.5088,412.29858,-59.417725,61.23047,silence,0.0,
343.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,85.198975,59.014893,silence,0.0,
345.0,-226.19019,412.29858,-67.27295,-121.45386,-65.66162,-221.3562,-34.039307,83.184814,silence,0.0,
347.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-213.09814,79.76074,silence,0.0,
348.0,-412.5,-412.5,-412.5,-172.2107,-77.34375,102.923584,-157.50732,61.431885,silence,0.0,
350.0,-385.51025,412.29858,-412.29858,412.29858,-412.5,412.29858,45.721436,52.770996,silence,0.0,
359.0,-412.29858,412.29858,-412.29858,412.29858,261.6394,334.552,44.51294,63.446045,silence,0.0,
361.0,152.06909,-412.5,-412.5,-412.5,-412.29858,-412.5,-150.8606,74.32251,silence,0.0,
363.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-215.1123,63.848877,silence,0.0,
375.0,-19.335938,90.43579,-369.7998,412.29858,358.5205,412.29858,-28.399658,43.707275,silence,0.0,
377.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,102.923584,53.375244,silence,0.0,
393.0,-147.63794,343.81714,21.148682,-235.05249,-125.48218,-409.68018,-29.406738,61.029053,silence,0.0,
395.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-210.27832,56.19507,silence,0.0,
397.0,378.25928,-412.5,281.5796,-36.053467,-29.205322,172.41211,-128.10059,43.50586,silence,0.0,
410.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,77.545166,29.406738,silence,0.0,
411.0,-412.29858,412.29858,-412.29858,412.29858,177.85034,204.03442,41.4917,55.59082,silence,0.0,
