Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
bb573387-fffd-48ba-a550-b69a70085d95,3,08-03-2019_21-51-56,A5,36,-5.95,24964x8,112006,21:50:04.038,21:51:56.072,4.544817,220.03085,µV,1552078074162,1552078316073,
Stimuli appearance,4016.0,7029.0,10014.0,13016.0,16014.0,19008.0,22021.0,25020.0,28014.0,31021.0,34023.0,37015.0,40021.0,43018.0,46008.0,49018.0,52019.0,55018.0,58025.0,61017.0,64020.0,67023.0,70017.0,73015.0,76021.0,79020.0,82023.0,85021.0,88025.0,91026.0,94020.0,97028.0,100015.0,103025.0,106019.0,109027.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,99.09668,-214.50806,-120.44678,342.0044,166.57104,412.29858,29.80957,-55.389404,silence,0.0,
2.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,195.97778,-57.806396,silence,0.0,
4.0,-289.4348,412.29858,-251.97144,-16.314697,4.0283203,-181.073,98.89526,-41.088867,silence,0.0,
6.0,403.6377,-412.5,-412.5,-412.5,-412.29858,-412.5,-97.68677,-31.622314,silence,0.0,
8.0,372.82104,-412.5,-412.5,-412.5,-188.12256,-129.30908,-64.25171,-53.57666,silence,0.0,
22.0,-230.62134,412.29858,-412.29858,412.29858,-412.5,412.29858,142.1997,-64.05029,silence,0.0,
24.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,406.45752,198.7976,-55.993652,silence,0.0,
26.0,78.552246,-307.56226,-412.5,-412.5,-412.29858,-412.5,-1.0070801,-44.311523,silence,0.0,
28.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-109.57031,-49.749756,silence,0.0,
30.0,38.87329,-86.8103,-221.55762,412.29858,297.69287,412.29858,59.417725,-65.460205,silence,0.0,
35.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,217.5293,-63.24463,silence,0.0,
37.0,-221.75903,412.29858,-109.57031,-104.73633,-60.424805,-320.6543,90.03296,-45.721436,silence,0.0,
38.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-107.55615,-37.86621,silence,0.0,
41.0,360.13184,-412.5,-412.5,-202.4231,-112.994385,-42.700195,-44.311523,-49.346924,silence,0.0,
63.0,-299.10278,412.29858,-412.29858,412.29858,-412.5,412.29858,170.19653,-57.806396,silence,0.0,
65.0,-412.29858,412.29858,-412.29858,412.29858,346.63696,252.97852,168.78662,-41.693115,silence,0.0,
66.0,111.18164,-412.5,-412.5,-412.5,-412.29858,-412.5,-31.219482,-35.046387,silence,0.0,
68.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-121.051025,-41.290283,silence,0.0,
69.0,-5.2368164,54.58374,-360.33325,412.29858,407.66602,412.29858,67.474365,-46.5271,silence,0.0,
71.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,198.59619,-45.117188,silence,0.0,
72.0,-156.29883,412.29858,1.8127441,-211.88965,-132.73315,-412.5,50.354004,-24.371338,silence,0.0,
74.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-105.74341,-15.307617,silence,0.0,
76.0,317.43164,-412.5,340.59448,-48.54126,-48.742676,45.721436,-34.240723,-37.46338,silence,0.0,
78.0,-366.77856,412.29858,-412.29858,412.29858,-412.5,412.29858,172.81494,-46.92993,silence,0.0,
80.0,-403.8391,412.29858,-412.29858,412.29858,238.8794,102.923584,160.72998,-39.88037,silence,0.0,
81.0,170.80078,-412.5,-412.5,-412.5,-412.29858,-412.5,-49.749756,-30.81665,silence,0.0,
86.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-111.18164,-32.42798,silence,0.0,
89.0,-43.50586,199.80469,-412.29858,412.29858,-412.5,412.29858,81.97632,-53.778076,silence,0.0,
94.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,191.74805,-41.290283,silence,0.0,
113.0,-74.92676,236.26099,98.291016,-346.63696,-220.95337,-412.5,32.226562,-25.177002,silence,0.0,
115.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-127.093506,-33.233643,silence,0.0,
117.0,277.7527,-412.5,156.50024,70.69702,-1.0070801,127.093506,-21.350098,-50.354004,silence,0.0,
119.0,-401.2207,412.29858,-412.29858,412.29858,-412.5,412.29858,183.6914,-56.5979,silence,0.0,
121.0,-373.6267,412.29858,-412.29858,398.40088,148.4436,-1.4099121,135.7544,-39.276123,silence,0.0,
128.0,260.02808,-412.5,-412.5,-412.5,-412.29858,-412.5,-83.99048,-20.343018,silence,0.0,
129.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-105.74341,-28.399658,silence,0.0,
132.0,-77.545166,408.6731,-412.29858,412.29858,-412.5,412.29858,79.35791,-40.48462,silence,0.0,
133.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,194.76929,-33.636475,silence,0.0,
135.0,-19.940186,102.923584,221.96045,-412.5,-350.46387,-412.5,11.682129,-19.537354,silence,0.0,
136.0,-412.5,-412.5,-412.5,-412.5,-412.29858,-412.5,-125.48218,-20.947266,silence,0.0,
137.0,205.24292,-412.5,36.4563,155.29175,63.64746,258.61816,-12.689209,-37.46338,silence,0.0,
139.0,-412.29858,412.29858,-412.29858,412.29858,-412.5,412.29858,161.93848,-42.095947,silence,0.0,
145.0,-352.88086,412.29858,-412.29858,175.83618,81.7749,-67.67578,120.24536,-34.039307,silence,0.0,
147.0,341.40015,-412.5,-412.5,-412.5,-412.29858,-412.5,-86.40747,-25.982666,silence,0.0,
159.0,-412.5,-412.5,-412.5,-412.5,-327.70386,-299.3042,-77.34375,-41.088867,silence,0.0,
