Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
d1c046b2-0adf-41d5-99a4-a3cfd542e809,4,08-03-2019_21-54-47,A5,36,-5.95,24973x8,111994,21:52:55.196,21:54:47.225,4.5374265,220.38925,µV,1552078204067,1552078487225,
Stimuli appearance,4014.0,7005.0,10008.0,13003.0,16012.0,19008.0,22003.0,25004.0,28016.0,31008.0,34007.0,37012.0,40004.0,43006.0,46012.0,49013.0,52017.0,55009.0,58018.0,61004.0,64009.0,67011.0,70020.0,73016.0,76007.0,79013.0,82021.0,85012.0,88018.0,91017.0,94012.0,97012.0,100018.0,103018.0,106012.0,109016.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,86.8103,-412.5,-18.933105,95.47119,141.39404,129.5105,-2.0141602,-48.138428,silence,0.0,
1.0,15.509033,412.29858,-412.29858,-412.5,-412.5,412.29858,210.88257,-47.131348,silence,0.0,
3.0,-66.87012,412.29858,-206.85425,-332.135,164.35547,-41.89453,168.5852,-45.721436,silence,0.0,
5.0,-72.71118,-412.5,-412.5,412.29858,-412.29858,-412.5,-54.986572,-46.124268,silence,0.0,
8.0,51.361084,-412.5,397.3938,412.29858,-412.29858,-412.5,-80.36499,-59.417725,silence,0.0,
10.0,61.431885,412.29858,-376.44653,-412.5,-412.5,412.29858,112.39014,-60.021973,silence,0.0,
11.0,-49.346924,412.29858,-412.29858,-412.5,-412.5,412.29858,224.98169,-53.57666,silence,0.0,
14.0,-96.07544,143.20679,169.99512,158.5144,-412.29858,-412.5,27.593994,-41.290283,silence,0.0,
28.0,-5.0354004,-412.5,-412.5,412.29858,-412.29858,-412.5,-121.45386,-44.51294,silence,0.0,
30.0,111.18164,-412.5,-63.64746,42.700195,340.59448,272.11304,3.6254883,-51.159668,silence,0.0,
32.0,5.6396484,412.29858,-412.29858,-412.5,-412.5,412.29858,201.81885,-42.49878,silence,0.0,
34.0,-78.149414,412.29858,-104.53491,-214.70947,-9.265137,-113.39722,131.52466,-35.650635,silence,0.0,
36.0,-54.986572,-412.5,-412.5,412.29858,-412.29858,-412.5,-82.58057,-40.88745,silence,0.0,
41.0,59.820557,-412.5,351.26953,412.29858,-412.29858,-247.94312,-70.69702,-52.368164,silence,0.0,
42.0,76.7395,412.29858,-412.29858,-412.5,-412.5,412.29858,146.02661,-68.68286,silence,0.0,
44.0,-64.453125,412.29858,-412.29858,-412.5,-412.5,412.29858,207.4585,-58.410645,silence,0.0,
45.0,-80.76782,-43.103027,241.69922,292.45605,-412.29858,-412.5,4.8339844,-47.332764,silence,0.0,
61.0,4.6325684,-412.5,-412.5,412.29858,-412.29858,-412.5,-122.46094,-53.979492,silence,0.0,
63.0,105.74341,-321.8628,-78.35083,-22.357178,-412.5,412.29858,38.067627,-62.036133,silence,0.0,
64.0,4.4311523,412.29858,-412.29858,-412.5,-412.5,412.29858,207.65991,-59.014893,silence,0.0,
65.0,-97.08252,412.29858,-7.8552246,-127.697754,-149.04785,-198.39478,110.980225,-51.763916,silence,0.0,
67.0,-39.88037,-412.5,-412.5,412.29858,-412.29858,-412.5,-101.71509,-43.50586,silence,0.0,
68.0,48.742676,-412.5,272.7173,402.02637,-412.29858,-139.78271,-60.62622,-48.94409,silence,0.0,
70.0,63.446045,412.29858,-412.29858,-412.5,-412.5,412.29858,147.2351,-54.18091,silence,0.0,
72.0,-77.34375,412.29858,-400.21362,-412.5,-412.5,356.70776,205.0415,-51.965332,silence,0.0,
74.0,-80.96924,-271.10596,346.0327,403.8391,-412.29858,-412.5,2.4169922,-54.382324,silence,0.0,
75.0,22.961426,-412.5,-412.5,412.29858,-412.29858,-412.5,-109.16748,-55.18799,silence,0.0,
80.0,90.83862,-169.39087,-129.71191,-101.916504,-412.5,412.29858,71.7041,-63.24463,silence,0.0,
81.0,-0.40283203,412.29858,-412.29858,-412.5,-412.5,412.29858,224.37744,-57.403564,silence,0.0,
83.0,-121.051025,412.29858,50.958252,-76.538086,-303.33252,-321.8628,111.78589,-52.972412,silence,0.0,
84.0,-27.593994,-412.5,-412.5,412.29858,-412.29858,-412.5,-103.326416,-43.304443,silence,0.0,
86.0,53.57666,-412.5,159.11865,265.2649,-172.61353,-52.770996,-50.152588,-52.770996,silence,0.0,
88.0,50.55542,412.29858,-412.29858,-412.5,-412.5,412.29858,183.89282,-66.467285,silence,0.0,
90.0,-73.516846,412.29858,-378.05786,-412.5,-412.5,169.59229,187.11548,-57.806396,silence,0.0,
95.0,-83.58765,-412.5,410.083,412.29858,-412.29858,-412.5,-19.940186,-59.21631,silence,0.0,
97.0,36.85913,-412.5,-412.5,412.29858,-412.29858,-412.5,-100.50659,-65.86304,silence,0.0,
98.0,70.89844,5.2368164,-194.76929,-225.38452,-412.5,412.29858,102.319336,-77.34375,silence,0.0,
99.0,-11.279297,412.29858,-412.29858,-412.5,-412.5,412.29858,226.3916,-70.495605,silence,0.0,
107.0,-128.70483,412.29858,76.33667,-9.466553,-412.29858,-412.5,71.09985,-55.18799,silence,0.0,
123.0,-14.904785,-412.5,-412.5,412.29858,-412.29858,-412.5,-103.52783,-53.375244,silence,0.0,
124.0,65.05737,-412.5,45.318604,181.47583,3.0212402,8.459473,-15.911865,-64.453125,silence,0.0,
126.0,35.046387,412.29858,-412.29858,-412.5,-412.5,412.29858,200.40894,-67.67578,silence,0.0,
128.0,-68.28003,412.29858,-315.01465,-412.5,-412.5,48.339844,178.25317,-59.417725,silence,0.0,
141.0,-75.531006,-412.5,-412.5,412.29858,-412.29858,-412.5,-38.671875,-51.5625,silence,0.0,
142.0,52.166748,-412.5,-412.5,412.29858,-412.29858,-412.5,-89.83154,-58.61206,silence,0.0,
144.0,63.446045,196.38062,-284.80225,-351.47095,-412.5,412.29858,112.59155,-64.05029,silence,0.0,
145.0,-26.385498,412.29858,-412.29858,-412.5,-412.5,412.29858,247.13745,-70.89844,silence,0.0,
146.0,-116.61987,301.7212,110.37598,57.403564,-412.29858,-412.5,66.26587,-54.986572,silence,0.0,
156.0,-3.2226562,-412.5,-412.5,412.29858,-412.29858,-412.5,-108.56323,-50.756836,silence,0.0,
157.0,102.72217,-412.5,-19.940186,102.52075,137.36572,121.65527,-4.0283203,-63.043213,silence,0.0,
