Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
cb57e984-f911-468d-ae57-0bc498ae0a89,5,08-03-2019_21-56-53,A5,36,-5.95,24965x8,112000,21:55:01.544,21:56:53.574,4.5294576,220.777,µV,1552078375231,1552078613575,
Stimuli appearance,4010.0,7002.0,10006.0,12998.0,16007.0,19015.0,22007.0,25010.0,28002.0,31009.0,34001.0,37008.0,40028.0,43014.0,46016.0,49016.0,52024.0,55020.0,58021.0,61017.0,64014.0,67011.0,70013.0,73018.0,76010.0,79016.0,82024.0,85013.0,88023.0,91023.0,94019.0,97010.0,100023.0,103023.0,106023.0,109026.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-74.92676,-412.5,351.0681,412.29858,-412.29858,-412.5,-312.59766,255.19409,silence,0.0,
1.0,77.545166,-412.5,343.61572,412.29858,-412.29858,-412.5,-386.1145,249.75586,silence,0.0,
14.0,82.78198,-3.2226562,-177.04468,-315.21606,-412.5,412.29858,-193.15796,252.57568,silence,0.0,
16.0,-25.982666,412.29858,-412.29858,-412.5,-412.5,412.29858,-62.438965,254.38843,silence,0.0,
18.0,-129.91333,412.29858,79.559326,27.392578,-412.29858,-172.61353,-208.26416,261.438,silence,0.0,
20.0,11.682129,-412.5,-412.5,412.29858,-412.29858,-412.5,-394.37256,262.44507,silence,0.0,
22.0,102.72217,-412.5,14.703369,156.50024,27.79541,347.44263,-316.22314,250.15869,silence,0.0,
24.0,34.240723,412.29858,-412.29858,-412.5,-412.5,412.29858,-94.66553,239.68506,silence,0.0,
26.0,-71.09985,412.29858,-246.33179,-412.5,-412.5,367.1814,-123.2666,251.77002,silence,0.0,
28.0,-69.28711,-412.5,397.99805,412.29858,-412.29858,-412.5,-334.75342,261.23657,silence,0.0,
30.0,79.96216,-412.5,318.64014,412.29858,-412.29858,-262.44507,-389.33716,248.34595,silence,0.0,
40.0,80.76782,141.59546,-236.86523,-412.5,-412.5,412.29858,-181.073,237.26807,silence,0.0,
42.0,-38.269043,412.29858,-392.5598,-412.5,-412.5,412.29858,-65.05737,228.00293,silence,0.0,
44.0,-113.1958,320.05005,99.298096,109.3689,-412.29858,-333.1421,-239.08081,238.8794,silence,0.0,
46.0,14.904785,-412.5,-412.5,412.29858,-412.29858,-412.5,-407.4646,232.6355,silence,0.0,
49.0,120.44678,-412.5,-32.025146,83.58765,183.08716,408.06885,-298.90137,223.16895,silence,0.0,
50.0,14.501953,412.29858,-412.29858,-412.5,-412.5,412.29858,-90.63721,220.95337,silence,0.0,
52.0,-71.7041,412.29858,-161.13281,-358.3191,196.78345,261.03516,-138.77563,234.64966,silence,0.0,
54.0,-54.58374,-412.5,409.8816,412.29858,-412.29858,-412.5,-350.8667,239.08081,silence,0.0,
69.0,83.78906,-412.5,308.36792,412.29858,-412.29858,-122.25952,-358.72192,237.26807,silence,0.0,
71.0,78.149414,370.40405,-303.73535,-412.5,-412.5,412.29858,-154.6875,234.24683,silence,0.0,
73.0,-55.389404,412.29858,-367.58423,-412.5,-412.5,412.29858,-56.396484,243.9148,silence,0.0,
76.0,-97.48535,171.40503,139.98413,218.33496,-412.29858,-412.5,-250.96436,262.64648,silence,0.0,
78.0,18.328857,-412.5,-412.5,412.29858,-412.29858,-412.5,-397.79663,260.4309,silence,0.0,
82.0,135.35156,-412.5,-62.64038,16.71753,382.69043,412.29858,-257.20825,252.17285,silence,0.0,
83.0,6.6467285,412.29858,-412.29858,-412.5,-412.5,412.29858,-60.021973,238.67798,silence,0.0,
85.0,-81.7749,412.29858,-64.85596,-227.19727,-9.667969,181.27441,-134.94873,248.34595,silence,0.0,
87.0,-36.4563,-412.5,406.65894,412.29858,-412.29858,-412.5,-349.25537,250.76294,silence,0.0,
94.0,85.40039,-412.5,278.35693,412.29858,-412.29858,21.954346,-342.0044,236.4624,silence,0.0,
96.0,75.128174,412.29858,-373.82812,-412.5,-412.5,412.29858,-132.33032,236.05957,silence,0.0,
98.0,-79.76074,412.29858,-340.9973,-412.5,-412.5,412.29858,-70.09277,232.83691,silence,0.0,
110.0,-78.149414,-1.2084961,195.37354,361.34033,-412.29858,-412.5,-255.59692,228.60718,silence,0.0,
112.0,26.586914,-412.5,397.19238,412.29858,-412.29858,-412.5,-378.86353,210.0769,silence,0.0,
114.0,122.46094,-377.65503,-80.56641,-52.56958,-412.5,412.29858,-222.5647,205.64575,silence,0.0,
115.0,-5.8410645,412.29858,-412.29858,-412.5,-412.5,412.29858,-49.145508,200.40894,silence,0.0,
116.0,-100.305176,412.29858,1.0070801,-125.079346,-139.37988,77.948,-128.10059,209.87549,silence,0.0,
128.0,-21.954346,-412.5,406.2561,412.29858,-412.29858,-412.5,-347.64404,212.29248,silence,0.0,
130.0,75.73242,-412.5,216.3208,412.29858,-405.0476,118.83545,-314.4104,200.40894,silence,0.0,
144.0,79.96216,412.29858,-406.0547,-412.5,-412.5,412.29858,-107.55615,192.95654,silence,0.0,
159.0,-85.198975,412.29858,-321.25854,-412.5,-412.5,412.29858,-59.417725,197.58911,silence,0.0,
161.0,-68.68286,-196.98486,265.4663,412.29858,-412.29858,-412.5,-269.69604,211.2854,silence,0.0,
162.0,41.4917,-412.5,372.2168,412.29858,-412.29858,-412.5,-379.26636,206.85425,silence,0.0,
164.0,116.82129,-225.78735,-116.61987,-146.42944,-412.5,412.29858,-198.7976,199.20044,silence,0.0,
165.0,-6.8481445,412.29858,-412.29858,-412.5,-412.5,412.29858,-43.50586,201.61743,silence,0.0,
167.0,-120.64819,412.29858,47.53418,-61.834717,-306.15234,-29.003906,-159.52148,215.51514,silence,0.0,
168.0,-13.092041,-412.5,-412.5,412.29858,-412.29858,-412.5,-342.60864,213.09814,silence,0.0,
178.0,71.7041,-412.5,122.46094,296.8872,-188.12256,174.02344,-286.01074,206.45142,silence,0.0,
180.0,52.166748,412.29858,-412.09717,-412.5,-412.5,412.29858,-72.509766,195.37354,silence,0.0,
181.0,-89.227295,412.29858,-303.33252,-412.5,-412.5,412.29858,-60.827637,204.03442,silence,0.0,
194.0,-73.71826,-412.5,324.4812,412.29858,-412.29858,-412.5,-269.0918,203.02734,silence,0.0,
196.0,72.71118,-412.5,341.60156,412.29858,-412.29858,-412.5,-340.39307,196.58203,silence,0.0,
210.0,88.220215,-74.12109,-161.93848,-262.24365,-412.5,412.29858,-152.67334,186.71265,silence,0.0,
212.0,-23.968506,412.29858,-412.29858,-412.5,-412.5,412.29858,-11.883545,185.30273,silence,0.0,
214.0,-135.7544,412.29858,68.07861,9.667969,-412.29858,-193.56079,-153.88184,196.38062,silence,0.0,
216.0,-1.0070801,-412.5,-412.5,412.29858,-412.29858,-412.5,-338.3789,192.15088,silence,0.0,
229.0,86.60889,-412.5,28.601074,180.26733,-7.2509766,235.65674,-261.23657,195.37354,silence,0.0,
231.0,35.247803,412.29858,-404.64478,-412.5,-412.5,412.29858,-48.339844,190.94238,silence,0.0,
232.0,-84.191895,412.29858,-262.24365,-412.5,-412.5,324.4812,-72.30835,201.81885,silence,0.0,
234.0,-70.89844,-412.5,383.4961,412.29858,-412.29858,-412.5,-284.198,204.03442,silence,0.0,
236.0,80.163574,-412.5,329.3152,412.29858,-412.29858,-377.4536,-334.14917,192.55371,silence,0.0,
237.0,73.91968,95.06836,-223.57178,-400.21362,-412.5,412.29858,-130.31616,177.64893,silence,0.0,
238.0,-30.615234,412.29858,-389.74,-412.5,-412.5,412.29858,-9.466553,180.87158,silence,0.0,
240.0,-127.29492,351.87378,92.85278,89.83154,-412.29858,-359.32617,-174.42627,189.12964,silence,0.0,
248.0,12.084961,-412.5,-412.5,412.29858,-412.29858,-412.5,-349.4568,188.12256,silence,0.0,
260.0,115.41138,-412.5,-25.982666,109.973145,131.12183,333.54492,-249.15161,174.02344,silence,0.0,
262.0,25.982666,412.29858,-412.29858,-412.5,-412.5,412.29858,-54.382324,170.39795,silence,0.0,
264.0,-71.09985,412.29858,-181.27441,-382.489,240.08789,224.78027,-82.9834,170.59937,silence,0.0,
278.0,-54.58374,-412.5,407.66602,412.29858,-412.29858,-412.5,-293.0603,173.41919,silence,0.0,
280.0,85.198975,-412.5,313.0005,412.29858,-412.29858,-214.91089,-318.2373,166.36963,silence,0.0,
282.0,76.7395,309.375,-292.25464,-412.5,-412.5,412.29858,-119.4397,164.55688,silence,0.0,
284.0,-49.749756,412.29858,-366.97998,-412.5,-412.5,412.29858,-14.904785,161.33423,silence,0.0,
285.0,-104.13208,208.26416,128.302,191.54663,-412.29858,-412.5,-188.32397,167.98096,silence,0.0,
287.0,16.71753,-412.5,-412.5,412.29858,-412.29858,-412.5,-337.1704,170.39795,silence,0.0,
295.0,130.92041,-412.5,-58.20923,29.205322,335.35767,412.29858,-218.93921,168.18237,silence,0.0,
296.0,9.265137,412.29858,-412.29858,-412.5,-412.5,412.29858,-12.084961,167.77954,silence,0.0,
298.0,-79.156494,412.29858,-90.03296,-261.438,44.110107,126.48926,-77.74658,173.21777,silence,0.0,
313.0,-40.48462,-412.5,404.64478,412.29858,-412.29858,-412.5,-299.10278,189.53247,silence,0.0,
329.0,78.35083,-412.5,284.80225,412.29858,-412.29858,-68.68286,-300.91553,188.52539,silence,0.0,
331.0,74.32251,412.29858,-357.91626,-412.5,-412.5,412.29858,-84.99756,181.67725,silence,0.0,
334.0,-73.516846,412.29858,-347.2412,-412.5,-412.5,412.29858,-10.272217,197.99194,silence,0.0,
345.0,-87.41455,38.47046,178.05176,324.68262,-412.29858,-412.5,-209.67407,210.88257,silence,0.0,
348.0,28.198242,-412.5,411.0901,412.29858,-412.29858,-412.5,-347.84546,208.86841,silence,0.0,
