Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
8ac7c7e4-d988-420f-90c6-339b8c6386d5,1,08-03-2019_21-59-24,C4-B6,36,-8.5,24917x8,112007,21:57:32.365,21:59:24.393,4.5237665,221.05473,µV,1552078501575,1552078764393,
Stimuli appearance,4024.0,7015.0,10030.0,13024.0,16003.0,19024.0,22027.0,25031.0,28034.0,31027.0,34029.0,37029.0,40029.0,43038.0,46033.0,49034.0,52033.0,55032.0,58036.0,61027.0,64034.0,67035.0,70037.0,73031.0,76033.0,79030.0,82025.0,85038.0,88029.0,91030.0,94042.0,97027.0,100037.0,103030.0,106034.0,109034.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,87.213135,-115.41138,-146.83228,350.46387,-412.5,412.29858,-205.44434,259.62524,silence,0.0,
1.0,-42.700195,412.29858,-412.29858,412.29858,-412.5,412.29858,-60.62622,259.2224,silence,0.0,
3.0,-114.60571,412.29858,16.918945,-110.77881,-133.94165,-137.36572,-203.02734,268.48755,silence,0.0,
16.0,21.551514,-412.5,-412.5,-412.5,-412.29858,-412.5,-395.9839,264.0564,silence,0.0,
17.0,104.53491,-412.5,141.19263,-25.982666,-48.54126,355.9021,-305.5481,254.18701,silence,0.0,
19.0,22.357178,412.29858,-412.29858,412.29858,-412.5,412.29858,-82.9834,252.37427,silence,0.0,
21.0,-94.86694,412.29858,-412.29858,327.30103,276.94702,412.29858,-105.54199,271.7102,silence,0.0,
23.0,-56.19507,-412.5,-412.5,-412.5,-412.29858,-412.5,-333.1421,271.5088,silence,0.0,
25.0,95.87402,-412.5,-412.5,-412.5,-412.29858,-301.11694,-384.7046,266.87622,silence,0.0,
27.0,59.61914,11.279297,-235.2539,412.29858,-412.5,412.29858,-185.30273,255.19409,silence,0.0,
47.0,-50.354004,412.29858,-412.29858,412.29858,-412.5,412.29858,-57.000732,269.2932,silence,0.0,
49.0,-104.937744,298.29712,48.339844,-177.85034,-231.02417,-291.8518,-224.78027,269.89746,silence,0.0,
53.0,30.615234,-412.5,-412.5,-412.5,-412.29858,-412.5,-405.24902,268.89038,silence,0.0,
55.0,120.64819,-412.5,60.827637,24.371338,-2.6184082,412.29858,-307.56226,268.28613,silence,0.0,
57.0,4.2297363,412.29858,-412.29858,412.29858,-412.5,412.29858,-92.44995,260.83374,silence,0.0,
58.0,-85.40039,412.29858,-335.9619,205.0415,174.8291,333.54492,-140.58838,270.09888,silence,0.0,
65.0,-44.51294,-412.5,-412.5,-412.5,-412.29858,-412.5,-355.9021,268.08472,silence,0.0,
67.0,101.916504,-412.5,-412.5,-412.5,-412.29858,-124.4751,-382.08618,264.45923,silence,0.0,
68.0,66.87012,157.91016,-326.09253,412.29858,-412.5,412.29858,-166.77246,257.20825,silence,0.0,
70.0,-71.30127,412.29858,-412.29858,412.29858,-412.5,412.29858,-46.92993,253.78418,silence,0.0,
72.0,-86.60889,190.94238,95.47119,-262.24365,-355.09644,-412.5,-230.01709,258.41675,silence,0.0,
73.0,32.83081,-412.5,-412.5,-412.5,-412.29858,-412.5,-381.28052,254.79126,silence,0.0,
78.0,117.022705,-412.5,3.2226562,73.91968,76.94092,412.29858,-252.7771,240.89355,silence,0.0,
80.0,-17.120361,412.29858,-412.29858,412.29858,-412.5,412.29858,-49.54834,239.48364,silence,0.0,
92.0,-94.86694,412.29858,-221.3562,82.37915,91.8457,237.26807,-120.44678,255.19409,silence,0.0,
95.0,-35.44922,-412.5,-412.5,-412.5,-412.29858,-412.5,-337.57324,253.9856,silence,0.0,
96.0,100.10376,-412.5,-412.5,-412.5,-361.54175,13.293457,-331.73218,248.34595,silence,0.0,
98.0,62.64038,383.6975,-412.29858,412.29858,-412.5,412.29858,-108.966064,242.50488,silence,0.0,
99.0,-88.62305,412.29858,-412.29858,412.29858,-412.5,412.29858,-35.44922,240.69214,silence,0.0,
109.0,-73.91968,69.488525,170.59937,-387.72583,-412.29858,-412.5,-244.31763,245.3247,silence,0.0,
124.0,42.90161,-412.5,-412.5,-412.5,-412.29858,-412.5,-367.58423,243.71338,silence,0.0,
126.0,111.78589,-378.86353,-24.975586,123.87085,158.11157,412.29858,-219.74487,235.05249,silence,0.0,
127.0,-26.586914,412.29858,-412.29858,412.29858,-412.5,412.29858,-27.996826,239.48364,silence,0.0,
129.0,-103.72925,412.29858,-115.61279,7.2509766,31.018066,134.14307,-124.072266,246.73462,silence,0.0,
130.0,-16.516113,-412.5,-412.5,-412.5,-412.29858,-412.5,-338.58032,244.31763,silence,0.0,
132.0,100.305176,-412.5,393.96973,-280.77393,-238.27515,136.15723,-312.79907,237.06665,silence,0.0,
133.0,65.05737,412.29858,-412.29858,412.29858,-412.5,412.29858,-92.85278,231.22559,silence,0.0,
134.0,-94.06128,412.29858,-412.29858,412.29858,-412.5,412.29858,-31.420898,238.47656,silence,0.0,
142.0,-63.64746,-65.66162,266.6748,-412.5,-412.29858,-412.5,-244.92188,245.72754,silence,0.0,
143.0,64.453125,-412.5,-412.5,-412.5,-412.29858,-412.5,-359.729,234.04541,silence,0.0,
145.0,100.909424,-262.24365,-65.460205,201.2146,282.7881,412.29858,-184.09424,230.62134,silence,0.0,
158.0,-29.608154,412.29858,-412.29858,412.29858,-412.5,412.29858,-29.608154,230.82275,silence,0.0,
175.0,-128.70483,412.29858,-45.92285,-47.93701,-26.78833,16.71753,-129.5105,236.05957,silence,0.0,
177.0,4.8339844,-412.5,-412.5,-412.5,-412.29858,-412.5,-345.62988,246.33179,silence,0.0,
193.0,90.234375,-412.5,287.01782,-151.86768,-145.22095,219.14062,-298.90137,239.48364,silence,0.0,
195.0,47.735596,412.29858,-412.29858,412.29858,-412.5,412.29858,-71.90552,231.02417,silence,0.0,
197.0,-95.87402,412.29858,-412.29858,412.29858,-412.5,412.29858,-53.57666,235.2539,silence,0.0,
199.0,-64.453125,-258.21533,373.22388,-412.5,-412.29858,-412.5,-273.72437,244.31763,silence,0.0,
201.0,80.56641,-412.5,-412.5,-412.5,-412.29858,-412.5,-364.563,234.04541,silence,0.0,
203.0,80.56641,-148.04077,-125.48218,315.01465,391.75415,412.29858,-158.31299,216.11938,silence,0.0,
205.0,-33.83789,412.29858,-412.29858,412.29858,-412.5,412.29858,-10.876465,211.08398,silence,0.0,
215.0,-119.036865,412.29858,10.473633,-90.43579,-110.57739,-142.40112,-151.06201,224.17603,silence,0.0,
226.0,21.148682,-412.5,-412.5,-412.5,-412.29858,-412.5,-345.22705,224.17603,silence,0.0,
228.0,108.1604,-412.5,170.80078,-44.51294,-70.89844,276.94702,-261.23657,211.2854,silence,0.0,
230.0,22.155762,412.29858,-412.29858,412.29858,-412.5,412.29858,-39.47754,206.65283,silence,0.0,
244.0,-89.83154,412.29858,-412.29858,363.75732,301.7212,390.54565,-55.59082,211.68823,silence,0.0,
247.0,-61.834717,-412.5,-412.5,-412.5,-412.29858,-412.5,-282.7881,228.60718,silence,0.0,
249.0,96.8811,-412.5,-412.5,-412.5,-412.29858,-389.13574,-347.84546,221.75903,silence,0.0,
251.0,76.7395,-27.392578,-201.61743,412.29858,-412.5,412.29858,-136.96289,221.3562,silence,0.0,
260.0,-46.325684,412.29858,-412.29858,412.29858,-412.5,412.29858,-8.660889,221.75903,silence,0.0,
263.0,-104.333496,320.05005,40.081787,-150.65918,-210.88257,-339.5874,-170.80078,222.16187,silence,0.0,
265.0,22.558594,-412.5,-412.5,-412.5,-412.29858,-412.5,-350.06104,228.20435,silence,0.0,
266.0,118.43262,-412.5,76.94092,13.494873,-13.293457,367.98706,-247.13745,219.14062,silence,0.0,
267.0,2.8198242,412.29858,-412.29858,412.29858,-412.5,412.29858,-23.364258,203.83301,silence,0.0,
277.0,-100.10376,412.29858,-356.30493,227.19727,194.76929,281.781,-63.446045,212.29248,silence,0.0,
278.0,-54.382324,-412.5,-412.5,-412.5,-412.29858,-412.5,-284.3994,213.29956,silence,0.0,
280.0,99.70093,-412.5,-412.5,-412.5,-412.29858,-235.05249,-311.38916,211.48682,silence,0.0,
282.0,63.848877,124.27368,-309.77783,412.29858,-412.5,412.29858,-108.76465,207.25708,silence,0.0,
292.0,-65.86304,412.29858,-412.29858,412.29858,-412.5,412.29858,0.0,207.86133,silence,0.0,
295.0,-89.63013,214.50806,92.04712,-241.4978,-330.52368,-412.5,-181.67725,210.68115,silence,0.0,
296.0,28.80249,-412.5,-412.5,-412.5,-412.29858,-412.5,-334.75342,209.06982,silence,0.0,
298.0,119.4397,-412.5,21.954346,56.19507,62.64038,412.29858,-210.0769,200.20752,silence,0.0,
308.0,-18.127441,412.29858,-412.29858,412.29858,-412.5,412.29858,-3.8269043,186.51123,silence,0.0,
310.0,-94.46411,412.29858,-232.23267,106.54907,105.340576,188.32397,-72.10693,205.84717,silence,0.0,
312.0,-38.067627,-412.5,-412.5,-412.5,-412.29858,-412.5,-288.0249,210.68115,silence,0.0,
314.0,99.70093,-412.5,-412.5,-412.5,-379.6692,-56.19507,-298.49854,206.65283,silence,0.0,
315.0,60.62622,339.386,-393.96973,412.29858,-412.5,412.29858,-77.34375,197.99194,silence,0.0,
325.0,-92.04712,412.29858,-412.29858,412.29858,-412.5,412.29858,2.2155762,207.4585,silence,0.0,
327.0,-83.38623,99.49951,150.8606,-358.11768,-412.29858,-412.5,-202.82593,210.27832,silence,0.0,
328.0,33.43506,-412.5,-412.5,-412.5,-412.29858,-412.5,-339.18457,214.70947,silence,0.0,
330.0,111.78589,-406.65894,-17.120361,113.80005,132.73315,412.29858,-191.1438,202.22168,silence,0.0,
