Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
3aa00c4b-94ec-4f33-a0c1-c96b1b64014c,2,08-03-2019_22-01-40,C4-B6,36,-8.5,24971x8,111991,21:59:48.459,22:01:40.483,4.5190477,221.28555,µV,1552078652386,1552078900484,
Stimuli appearance,4005.0,6998.0,10008.0,12993.0,16008.0,19011.0,22001.0,25007.0,28008.0,31012.0,34004.0,37005.0,40018.0,43007.0,46014.0,49007.0,52009.0,55013.0,58011.0,61018.0,64012.0,67010.0,70010.0,73013.0,76021.0,79010.0,82012.0,85009.0,88015.0,91011.0,94012.0,97025.0,100012.0,103022.0,106016.0,109020.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,-40.48462,-412.5,324.07837,-412.5,-412.29858,-412.5,-175.63477,-3.8269043,silence,0.0,
14.0,75.73242,-412.5,263.04932,-335.55908,-224.78027,-117.62695,-150.25635,-8.660889,silence,0.0,
15.0,68.68286,412.29858,-278.55835,412.29858,-412.5,412.29858,82.78198,-15.307617,silence,0.0,
17.0,-77.74658,412.29858,-310.5835,412.29858,-412.5,412.29858,140.58838,-1.8127441,silence,0.0,
18.0,-73.71826,-6.0424805,141.19263,-412.5,-412.29858,-412.5,-89.227295,3.6254883,silence,0.0,
19.0,27.593994,-412.5,345.02563,-412.5,-412.29858,-412.5,-204.84009,11.279297,silence,0.0,
21.0,108.966064,-334.3506,-23.364258,173.41919,201.81885,412.29858,-55.59082,4.0283203,silence,0.0,
23.0,-8.660889,412.29858,-386.51733,412.29858,-412.5,412.29858,145.62378,-3.2226562,silence,0.0,
25.0,-105.13916,412.29858,-40.081787,-17.120361,-19.73877,-172.00928,27.79541,11.077881,silence,0.0,
26.0,-23.968506,-412.5,342.40723,-412.5,-412.29858,-412.5,-185.30273,3.4240723,silence,0.0,
28.0,74.72534,-412.5,200.0061,-198.7976,-141.79688,-40.081787,-130.11475,-6.6467285,silence,0.0,
31.0,62.841797,412.29858,-302.52686,412.29858,-412.5,412.29858,91.8457,-12.689209,silence,0.0,
50.0,-83.38623,412.29858,-300.7141,412.29858,401.82495,378.05786,122.86377,-3.6254883,silence,0.0,
52.0,-78.552246,-183.08716,205.84717,-412.5,-412.29858,-412.5,-102.72217,10.473633,silence,0.0,
54.0,46.5271,-412.5,327.0996,-412.5,-412.29858,-412.5,-213.29956,5.0354004,silence,0.0,
55.0,91.241455,-209.27124,-58.61206,254.38843,304.3396,412.29858,-5.6396484,-5.8410645,silence,0.0,
57.0,-9.265137,412.29858,-379.26636,412.29858,-412.5,412.29858,163.75122,-9.869385,silence,0.0,
58.0,-119.4397,412.29858,-10.675049,-64.25171,-74.92676,-289.63623,18.933105,2.0141602,silence,0.0,
60.0,-7.6538086,-412.5,367.3828,-412.5,-412.29858,-412.5,-197.79053,3.2226562,silence,0.0,
61.0,79.76074,-412.5,132.33032,-91.241455,-74.92676,48.339844,-118.029785,-0.80566406,silence,0.0,
62.0,56.396484,412.29858,-313.2019,412.29858,-412.5,412.29858,101.11084,-5.2368164,silence,0.0,
64.0,-76.33667,412.29858,-278.55835,412.29858,283.99658,227.19727,92.85278,0.40283203,silence,0.0,
65.0,-74.32251,-411.2915,254.58984,-412.5,-412.29858,-412.5,-119.4397,4.4311523,silence,0.0,
70.0,66.467285,-412.5,318.64014,-412.5,-412.29858,-412.5,-192.15088,-5.4382324,silence,0.0,
72.0,77.948,-82.37915,-101.312256,383.29468,403.23486,412.29858,19.940186,-12.689209,silence,0.0,
74.0,-15.509033,412.29858,-354.29077,412.29858,-412.5,412.29858,155.49316,-14.501953,silence,0.0,
76.0,-116.82129,406.65894,16.113281,-130.11475,-145.42236,-412.5,7.2509766,-10.876465,silence,0.0,
81.0,-9.265137,-412.5,381.0791,-412.5,-412.29858,-412.5,-183.08716,-10.070801,silence,0.0,
92.0,99.49951,-412.5,69.89136,-7.8552246,-24.371338,117.022705,-93.45703,-13.494873,silence,0.0,
94.0,38.067627,412.29858,-322.66846,412.29858,-412.5,412.29858,128.70483,-19.537354,silence,0.0,
96.0,-76.135254,412.29858,-240.69214,286.8164,182.68433,99.70093,93.255615,-8.459473,silence,0.0,
109.0,-75.531006,-412.5,297.8943,-412.5,-412.29858,-412.5,-131.52466,1.2084961,silence,0.0,
111.0,72.509766,-412.5,306.7566,-412.5,-412.29858,-412.5,-183.08716,5.2368164,silence,0.0,
112.0,69.89136,77.142334,-167.57812,412.29858,-412.5,412.29858,33.43506,-9.265137,silence,0.0,
114.0,-30.413818,412.29858,-336.969,412.29858,-412.5,412.29858,155.69458,-2.8198242,silence,0.0,
124.0,-101.71509,282.38525,38.067627,-204.03442,-248.14453,-412.5,-58.813477,1.2084961,silence,0.0,
