Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
73e8822a-7350-4d26-a329-dae1960036e9,3,08-03-2019_22-03-49,C4-B6,36,-8.5,24960x8,112018,22:01:57.634,22:03:49.669,4.5157194,221.44865,µV,1552078788493,1552079029670,
Stimuli appearance,4026.0,7018.0,10022.0,13009.0,16021.0,19015.0,22016.0,25019.0,28016.0,31026.0,34017.0,37017.0,40025.0,43031.0,46030.0,49029.0,52018.0,55027.0,58033.0,61026.0,64018.0,67022.0,70032.0,73030.0,76034.0,79025.0,82033.0,85035.0,88026.0,91040.0,94036.0,97036.0,100034.0,103045.0,106032.0,109033.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,28.80249,-412.5,225.38452,-412.5,-412.29858,-412.5,-137.36572,-30.413818,silence,0.0,
14.0,125.48218,-412.5,27.996826,-44.91577,-36.657715,70.495605,-42.49878,-32.025146,silence,0.0,
16.0,28.198242,412.29858,-202.22168,412.29858,-412.5,412.29858,184.69849,-41.290283,silence,0.0,
19.0,-111.987305,412.29858,-159.92432,336.36475,225.38452,88.220215,155.49316,-37.46338,silence,0.0,
21.0,-67.27295,-412.5,163.5498,-412.5,-412.29858,-412.5,-78.149414,-23.364258,silence,0.0,
22.0,115.41138,-412.5,173.6206,-412.5,-412.29858,-412.5,-132.33032,-29.406738,silence,0.0,
26.0,94.46411,12.487793,-97.48535,409.68018,-412.5,412.29858,83.38623,-31.018066,silence,0.0,
28.0,-58.007812,412.29858,-205.64575,412.29858,-412.5,412.29858,206.45142,-17.926025,silence,0.0,
29.0,-125.68359,338.98315,8.258057,-143.4082,-189.53247,-412.5,27.392578,-11.279297,silence,0.0,
37.0,26.385498,-412.5,220.1477,-412.5,-412.29858,-412.5,-139.78271,-14.703369,silence,0.0,
39.0,141.59546,-412.5,2.2155762,2.0141602,13.494873,158.5144,-32.226562,-29.406738,silence,0.0,
40.0,3.2226562,412.29858,-212.69531,412.29858,-412.5,412.29858,191.54663,-30.010986,silence,0.0,
41.0,-109.57031,412.29858,-128.10059,217.5293,146.83228,3.0212402,146.63086,-26.78833,silence,0.0,
42.0,-61.834717,-412.5,172.41211,-412.5,-412.29858,-412.5,-86.8103,-18.73169,silence,0.0,
43.0,115.61279,-412.5,163.5498,-412.5,-412.29858,-412.5,-116.015625,-22.558594,silence,0.0,
65.0,84.39331,135.95581,-130.31616,412.29858,-412.5,412.29858,100.70801,-24.77417,silence,0.0,
67.0,-78.75366,412.29858,-197.79053,412.29858,-412.5,412.29858,214.30664,-22.558594,silence,0.0,
69.0,-109.973145,231.02417,30.81665,-207.25708,-292.25464,-412.5,14.300537,-6.6467285,silence,0.0,
71.0,49.145508,-412.5,215.71655,-412.5,-412.29858,-412.5,-155.09033,-7.8552246,silence,0.0,
73.0,141.19263,-412.5,-9.869385,47.332764,52.166748,260.02808,-23.76709,-22.357178,silence,0.0,
74.0,-8.056641,412.29858,-223.37036,412.29858,-412.5,412.29858,189.73389,-18.328857,silence,0.0,
75.0,-105.944824,412.29858,-84.59473,140.58838,93.45703,-43.707275,119.84253,-15.710449,silence,0.0,
76.0,-41.89453,-412.5,185.30273,-412.5,-412.29858,-412.5,-108.76465,-2.2155762,silence,0.0,
