Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
ea065d20-b3db-4f98-8534-f3999728f3de,4,08-03-2019_22-05-55,C4-B6,36,-8.5,24967x8,112008,22:04:03.729,22:05:55.754,4.5128956,221.58722,µV,1552078917652,1552079155755,
Stimuli appearance,4025.0,7023.0,10020.0,13022.0,16025.0,19020.0,22020.0,25032.0,28018.0,31024.0,34019.0,37024.0,40029.0,43022.0,46027.0,49024.0,52029.0,55026.0,58035.0,61027.0,64032.0,67022.0,70041.0,73026.0,76028.0,79028.0,82027.0,85026.0,88026.0,91032.0,94032.0,97029.0,100029.0,103028.0,106031.0,109026.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,289.2334,412.29858,-412.29858,412.29858,-412.5,412.29858,133.94165,17.120361,silence,0.0,
2.0,-75.73242,218.13354,77.34375,-257.20825,-243.10913,-412.5,-61.834717,25.982666,silence,0.0,
4.0,-311.38916,-412.5,-412.5,-412.5,-412.29858,-412.5,-214.70947,26.989746,silence,0.0,
6.0,-15.106201,-412.5,6.0424805,71.09985,34.44214,309.17358,-87.01172,15.106201,silence,0.0,
8.0,286.41357,412.29858,-412.29858,412.29858,-412.5,412.29858,124.87793,17.523193,silence,0.0,
21.0,164.7583,412.29858,-172.00928,137.96997,78.95508,-33.636475,59.61914,24.77417,silence,0.0,
24.0,-273.52295,-412.5,385.10742,-412.5,-412.29858,-412.5,-167.98096,34.240723,silence,0.0,
26.0,-210.68115,-412.5,339.18457,-412.5,-269.89746,-233.23975,-168.5852,26.184082,silence,0.0,
50.0,157.10449,412.29858,-315.6189,412.29858,-412.5,412.29858,60.827637,7.8552246,silence,0.0,
52.0,262.8479,412.29858,-401.0193,412.29858,-412.5,412.29858,136.96289,14.501953,silence,0.0,
54.0,-87.81738,82.78198,123.87085,-401.0193,-313.80615,-412.5,-76.7395,15.911865,silence,0.0,
56.0,-310.7849,-412.5,-412.5,-412.5,-412.29858,-412.5,-213.90381,14.501953,silence,0.0,
58.0,27.392578,-397.19238,-22.357178,131.52466,78.95508,412.29858,-44.714355,-1.2084961,silence,0.0,
60.0,298.0957,412.29858,-412.29858,412.29858,-412.5,412.29858,152.27051,2.8198242,silence,0.0,
61.0,130.11475,412.29858,-98.69385,45.52002,39.47754,-112.18872,60.021973,11.682129,silence,0.0,
62.0,-288.22632,-412.5,396.58813,-412.5,-412.29858,-412.5,-169.59229,24.169922,silence,0.0,
64.0,-195.37354,-412.5,298.0957,-346.43555,-192.55371,-123.87085,-143.20679,21.350098,silence,0.0,
65.0,204.03442,412.29858,-363.15308,412.29858,-412.5,412.29858,78.149414,22.76001,silence,0.0,
66.0,243.71338,412.29858,-388.7329,412.29858,392.15698,412.29858,133.3374,20.141602,silence,0.0,
71.0,-102.72217,-43.103027,186.30981,-412.5,-381.68335,-412.5,-87.61597,38.067627,silence,0.0,
73.0,-299.10278,-412.5,-412.5,-412.5,-412.29858,-412.5,-209.47266,34.039307,silence,0.0,
74.0,63.24463,-281.781,-43.707275,195.97778,155.29175,412.29858,-26.385498,18.933105,silence,0.0,
76.0,301.9226,412.29858,-412.29858,412.29858,-412.5,412.29858,150.05493,25.177002,silence,0.0,
77.0,71.30127,412.29858,-46.5271,-13.696289,1.8127441,-196.1792,41.4917,31.018066,silence,0.0,
79.0,-297.69287,-412.5,-412.5,-412.5,-412.29858,-412.5,-179.8645,31.420898,silence,0.0,
91.0,-187.3169,-412.5,226.19019,-216.72363,-132.53174,-34.44214,-122.86377,23.364258,silence,0.0,
93.0,246.73462,412.29858,-378.4607,412.29858,-412.5,412.29858,98.0896,25.177002,silence,0.0,
105.0,214.30664,412.29858,-366.97998,412.29858,332.33643,376.44653,128.70483,28.80249,silence,0.0,
108.0,-131.52466,-212.89673,256.80542,-412.5,-411.49292,-412.5,-96.07544,40.48462,silence,0.0,
110.0,-296.08154,-412.5,392.5598,-412.5,-412.29858,-412.5,-201.61743,34.039307,silence,0.0,
111.0,74.92676,-168.18237,-86.8103,288.0249,236.4624,412.29858,3.6254883,15.307617,silence,0.0,
113.0,315.6189,412.29858,-412.29858,412.29858,-412.5,412.29858,164.15405,14.099121,silence,0.0,
114.0,10.675049,412.29858,-16.918945,-56.799316,-49.749756,-325.48828,36.657715,15.509033,silence,0.0,
124.0,-292.25464,-412.5,-412.5,-412.5,-412.29858,-412.5,-175.23193,19.134521,silence,0.0,
125.0,-159.11865,-412.5,149.85352,-116.61987,-84.191895,32.629395,-110.980225,6.0424805,silence,0.0,
128.0,278.15552,412.29858,-397.3938,412.29858,-412.5,412.29858,128.50342,0.0,silence,0.0,
139.0,211.08398,412.29858,-347.84546,412.29858,255.59692,219.54346,125.28076,4.8339844,silence,0.0,
141.0,-158.11157,-412.5,314.4104,-412.5,-412.29858,-412.5,-100.909424,7.2509766,silence,0.0,
143.0,-255.59692,-412.5,387.323,-412.5,-412.29858,-412.5,-176.44043,7.8552246,silence,0.0,
145.0,89.83154,-52.368164,-126.690674,408.47168,300.7141,412.29858,30.81665,-1.2084961,silence,0.0,
146.0,319.84863,412.29858,-412.29858,412.29858,-412.5,412.29858,167.57812,10.473633,silence,0.0,
156.0,-29.80957,412.29858,9.667969,-114.001465,-97.68677,-412.5,3.6254883,14.501953,silence,0.0,
157.0,-296.28296,-412.5,-412.5,-412.5,-412.29858,-412.5,-176.44043,14.501953,silence,0.0,
158.0,-126.89209,-412.5,85.198975,-35.44922,-43.50586,82.58057,-81.37207,-0.20141602,silence,0.0,
173.0,294.06738,412.29858,-402.02637,412.29858,-412.5,412.29858,139.37988,-3.4240723,silence,0.0,
174.0,196.58203,412.29858,-303.93677,364.7644,183.6914,100.50659,116.41846,9.466553,silence,0.0,
176.0,-211.08398,-412.5,347.2412,-412.5,-412.29858,-412.5,-110.980225,14.703369,silence,0.0,
177.0,-241.69922,-412.5,365.36865,-412.5,-398.8037,-412.5,-155.49316,7.6538086,silence,0.0,
178.0,98.0896,77.948,-195.57495,412.29858,366.97998,412.29858,62.841797,-8.459473,silence,0.0,
180.0,304.74243,412.29858,-412.29858,412.29858,-412.5,412.29858,189.9353,-11.883545,silence,0.0,
192.0,-59.417725,315.8203,36.4563,-174.8291,-174.42627,-412.5,-1.2084961,1.0070801,silence,0.0,
206.0,-294.4702,-412.5,-412.5,-412.5,-412.29858,-412.5,-172.00928,1.6113281,silence,0.0,
208.0,-72.30835,-412.5,32.629395,24.572754,-7.2509766,169.99512,-52.166748,-18.127441,silence,0.0,
209.0,282.38525,412.29858,-412.29858,412.29858,-412.5,412.29858,162.94556,-22.961426,silence,0.0,
211.0,183.6914,412.29858,-243.31055,234.24683,123.065186,-1.0070801,112.59155,-19.537354,silence,0.0,
225.0,-238.07373,-412.5,369.19556,-412.5,-412.29858,-412.5,-116.21704,-14.501953,silence,0.0,
227.0,-218.93921,-412.5,354.29077,-412.5,-333.54492,-407.26318,-132.53174,-23.76709,silence,0.0,
229.0,122.46094,236.05957,-256.604,412.29858,-412.5,412.29858,83.38623,-22.558594,silence,0.0,
240.0,292.65747,412.29858,-409.8816,412.29858,-412.5,412.29858,186.30981,-10.675049,silence,0.0,
242.0,-75.93384,211.48682,76.94092,-279.96826,-249.15161,-412.5,-16.113281,-1.6113281,silence,0.0,
243.0,-306.55518,-412.5,-412.5,-412.5,-412.29858,-412.5,-179.26025,9.667969,silence,0.0,
244.0,-11.682129,-412.5,3.6254883,65.460205,44.110107,285.4065,-54.785156,1.6113281,silence,0.0,
246.0,283.79517,412.29858,-412.29858,412.29858,-412.5,412.29858,150.45776,-7.8552246,silence,0.0,
247.0,156.50024,412.29858,-157.50732,124.27368,79.76074,-49.749756,89.83154,-1.6113281,silence,0.0,
258.0,-276.94702,-412.5,390.74707,-412.5,-412.29858,-412.5,-135.55298,3.2226562,silence,0.0,
260.0,-206.25,-412.5,333.1421,-412.5,-268.28613,-267.27905,-129.10767,-6.2438965,silence,0.0,
273.0,163.5498,412.29858,-320.05005,412.29858,-412.5,412.29858,91.04004,-22.76001,silence,0.0,
274.0,253.9856,412.29858,-394.7754,412.29858,-412.5,412.29858,173.01636,-14.099121,silence,0.0,
276.0,-90.43579,82.9834,122.25952,-399.60938,-317.23022,-412.5,-36.85913,-13.696289,silence,0.0,
