Session ID,Session Tag,Date,Stimuli,Presentations,Volume,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
96b97fc0-81c1-4128-b0fd-e2baf8ba763c,5,08-03-2019_22-08-04,C4-B6,36,-8.5,24971x8,111988,22:06:12.970,22:08:04.991,4.510589,221.70053,µV,1552079043747,1552079284991,
Stimuli appearance,4007.0,7009.0,10012.0,13014.0,16012.0,19007.0,22009.0,25002.0,28010.0,31011.0,34014.0,37014.0,40015.0,43011.0,46012.0,49014.0,52003.0,55007.0,58007.0,61015.0,64013.0,67012.0,70015.0,73013.0,76015.0,79010.0,82018.0,85015.0,88015.0,91012.0,94010.0,97018.0,100011.0,103020.0,106017.0,109018.0,
Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8,Key,Freq
0.0,305.7495,412.29858,-392.5598,412.29858,-412.5,412.29858,154.6875,-11.077881,silence,0.0,
1.0,47.131348,412.29858,-25.78125,-10.876465,4.0283203,-199.20044,37.664795,-3.4240723,silence,0.0,
3.0,-303.73535,-412.5,346.43555,-412.5,-412.29858,-412.5,-188.32397,-5.6396484,silence,0.0,
5.0,-183.89282,-412.5,184.8999,-267.48047,-126.28784,-34.240723,-141.19263,-8.258057,silence,0.0,
8.0,246.33179,412.29858,-318.0359,412.29858,-412.5,412.29858,92.248535,-10.272217,silence,0.0,
20.0,214.70947,412.29858,-304.74243,412.29858,305.7495,377.2522,117.22412,1.8127441,silence,0.0,
22.0,-132.53174,-169.7937,218.13354,-412.5,-361.94458,-412.5,-115.61279,21.148682,silence,0.0,
25.0,-297.8943,-412.5,331.32935,-412.5,-412.29858,-412.5,-214.91089,14.300537,silence,0.0,
27.0,88.42163,-186.30981,-72.509766,298.90137,204.43726,412.29858,-19.134521,-4.4311523,silence,0.0,
28.0,314.20898,412.29858,-389.9414,412.29858,-412.5,412.29858,145.42236,-1.4099121,silence,0.0,
32.0,5.8410645,412.29858,-0.60424805,-64.05029,-35.44922,-306.7566,4.4311523,14.703369,silence,0.0,
34.0,-302.9297,-412.5,372.2168,-412.5,-412.29858,-412.5,-197.3877,12.487793,silence,0.0,
51.0,-154.08325,-412.5,115.61279,-147.03369,-81.7749,15.710449,-127.29492,-2.2155762,silence,0.0,
53.0,287.62207,412.29858,-330.12085,412.29858,-412.5,412.29858,110.17456,-11.077881,silence,0.0,
55.0,207.25708,412.29858,-291.04614,412.29858,239.28223,192.3523,120.64819,-9.063721,silence,0.0,
57.0,-172.81494,-387.12158,270.3003,-412.5,-395.58105,-412.5,-111.18164,-11.682129,silence,0.0,
58.0,-259.62524,-412.5,319.4458,-412.5,-392.3584,-412.5,-192.95654,-14.099121,silence,0.0,
59.0,93.45703,-77.142334,-112.79297,412.29858,280.77393,412.29858,30.010986,-30.615234,silence,0.0,
60.0,318.84155,412.29858,-368.5913,412.29858,-412.5,412.29858,176.23901,-24.169922,silence,0.0,
61.0,-49.346924,402.83203,15.911865,-139.5813,-79.96216,-412.5,23.565674,-19.134521,silence,0.0,
62.0,-288.42773,-412.5,395.17822,-412.5,-412.29858,-412.5,-175.23193,-16.71753,silence,0.0,
63.0,-123.66943,-412.5,57.60498,-45.117188,-48.94409,101.11084,-91.241455,-22.558594,silence,0.0,
65.0,295.07446,412.29858,-335.9619,412.29858,-412.5,412.29858,138.77563,-16.314697,silence,0.0,
70.0,193.7622,412.29858,-230.41992,395.58105,168.38379,87.41455,103.52783,-10.272217,silence,0.0,
73.0,-215.1123,-412.5,305.5481,-412.5,-411.49292,-412.5,-129.71191,-0.20141602,silence,0.0,
89.0,-231.62842,-412.5,302.9297,-412.5,-356.10352,-412.5,-190.33813,-10.675049,silence,0.0,
91.0,110.57739,48.94409,-168.98804,412.29858,343.61572,412.29858,36.254883,-20.343018,silence,0.0,
92.0,305.7495,412.29858,-340.9973,412.29858,-412.5,412.29858,154.28467,-6.4453125,silence,0.0,
94.0,-68.481445,289.03198,44.110107,-217.12646,-148.64502,-412.5,-39.276123,4.4311523,silence,0.0,
95.0,-308.1665,-412.5,393.5669,-412.5,-412.29858,-412.5,-216.52222,12.890625,silence,0.0,
96.0,-42.49878,-412.5,17.926025,16.918945,-3.2226562,219.74487,-98.89526,-3.6254883,silence,0.0,
97.0,296.28296,412.29858,-360.33325,412.29858,-412.5,412.29858,124.072266,3.0212402,silence,0.0,
98.0,177.44751,412.29858,-173.41919,237.6709,109.973145,16.113281,69.488525,5.4382324,silence,0.0,
100.0,-254.18701,-412.5,318.0359,-412.5,-412.29858,-412.5,-160.52856,8.660889,silence,0.0,
